




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (773)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
glycolate transmembrane transport (GO:0097339)	1	1	.05	+	18.43	5.28E-02
detection of peptidoglycan (GO:0032499)	1	1	.05	+	18.43	5.28E-02
response to peptidoglycan (GO:0032494)	1	1	.05	+	18.43	5.28E-02
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	1	1	.05	+	18.43	5.28E-02
peptidyl-pyrromethane cofactor linkage (GO:0018160)	1	1	.05	+	18.43	5.28E-02
cGMP biosynthetic process (GO:0006182)	1	1	.05	+	18.43	5.28E-02
peptidyl-cysteine S-nitrosylation (GO:0018119)	1	1	.05	+	18.43	5.28E-02
fruit abscission (GO:0060867)	1	1	.05	+	18.43	5.28E-02
sphingolipid catabolic process (GO:0030149)	1	1	.05	+	18.43	5.28E-02
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process (GO:0051484)	1	1	.05	+	18.43	5.28E-02
terpenoid biosynthetic process, mevalonate-independent (GO:0051483)	1	1	.05	+	18.43	5.28E-02
response to magnetism (GO:0071000)	1	1	.05	+	18.43	5.28E-02
positive regulation of peroxisome organization (GO:1900064)	1	1	.05	+	18.43	5.28E-02
regulation of peroxisome organization (GO:1900063)	1	1	.05	+	18.43	5.28E-02
negative regulation of cellular response to hypoxia (GO:1900038)	1	1	.05	+	18.43	5.28E-02
mitochondrion morphogenesis (GO:0070584)	1	1	.05	+	18.43	5.28E-02
sphingosine-1-phosphate receptor signaling pathway (GO:0003376)	1	1	.05	+	18.43	5.28E-02
raffinose catabolic process (GO:0034484)	1	1	.05	+	18.43	5.28E-02
negative regulation of oxidoreductase activity (GO:0051354)	1	1	.05	+	18.43	5.28E-02
DNA methylation on cytosine within a CHH sequence (GO:0010426)	1	1	.05	+	18.43	5.28E-02
positive regulation of plant epidermal cell differentiation (GO:1903890)	1	1	.05	+	18.43	5.28E-02
multicellular organismal water homeostasis (GO:0050891)	1	1	.05	+	18.43	5.28E-02
negative regulation of cytokinin dehydrogenase activity (GO:1903857)	1	1	.05	+	18.43	5.28E-02
regulation of cytokinin dehydrogenase activity (GO:1903856)	1	1	.05	+	18.43	5.28E-02
regulation of body fluid levels (GO:0050878)	1	1	.05	+	18.43	5.28E-02
eukaryotic translation initiation factor 4F complex assembly (GO:0097010)	1	1	.05	+	18.43	5.28E-02
negative regulation of ERAD pathway (GO:1904293)	1	1	.05	+	18.43	5.28E-02
regulation of ERAD pathway (GO:1904292)	1	1	.05	+	18.43	5.28E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	1	1	.05	+	18.43	5.28E-02
cell surface pattern recognition receptor signaling pathway (GO:0002752)	1	1	.05	+	18.43	5.28E-02
induction of programmed cell death (GO:0012502)	1	1	.05	+	18.43	5.28E-02
sucrose induced translational repression (GO:0080149)	1	1	.05	+	18.43	5.28E-02
multicellular organismal iron ion homeostasis (GO:0060586)	1	1	.05	+	18.43	5.28E-02
positive regulation of glycine hydroxymethyltransferase activity (GO:0080114)	1	1	.05	+	18.43	5.28E-02
cyanide catabolic process (GO:0019500)	1	1	.05	+	18.43	5.28E-02
negative regulation of translation in response to stress (GO:0032055)	1	1	.05	+	18.43	5.28E-02
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	1	1	.05	+	18.43	5.28E-02
regulation of translation in response to stress (GO:0043555)	1	1	.05	+	18.43	5.28E-02
response to very low fluence red light stimulus (GO:0010203)	1	1	.05	+	18.43	5.28E-02
negative regulation of binding (GO:0051100)	1	1	.05	+	18.43	5.28E-02
positive regulation of anthocyanin biosynthetic process (GO:0031542)	1	1	.05	+	18.43	5.28E-02
sepal vascular tissue pattern formation (GO:0080057)	1	1	.05	+	18.43	5.28E-02
petal vascular tissue pattern formation (GO:0080056)	1	1	.05	+	18.43	5.28E-02
positive regulation of anthocyanin metabolic process (GO:0031539)	2	2	.11	+	18.43	5.47E-03
positive regulation of transcription factor catabolic process (GO:1901485)	1	1	.05	+	18.43	5.28E-02
regulation of transcription factor catabolic process (GO:1901483)	1	1	.05	+	18.43	5.28E-02
negative regulation of mRNA processing (GO:0050686)	1	1	.05	+	18.43	5.28E-02
heme a metabolic process (GO:0046160)	1	1	.05	+	18.43	5.28E-02
vesicle tethering (GO:0099022)	1	1	.05	+	18.43	5.28E-02
nuclear pore organization (GO:0006999)	1	1	.05	+	18.43	5.28E-02
negative regulation of mRNA 3'-end processing (GO:0031441)	1	1	.05	+	18.43	5.28E-02
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	1	1	.05	+	18.43	5.28E-02
cGMP metabolic process (GO:0046068)	1	1	.05	+	18.43	5.28E-02
ureide catabolic process (GO:0010136)	4	3	.22	+	13.82	1.45E-03
ureide metabolic process (GO:0010135)	4	3	.22	+	13.82	1.45E-03
allantoin catabolic process (GO:0000256)	3	2	.16	+	12.28	1.19E-02
maltose metabolic process (GO:0000023)	3	2	.16	+	12.28	1.19E-02
glutamate biosynthetic process (GO:0006537)	3	2	.16	+	12.28	1.19E-02
negative regulation of apoptotic process (GO:0043066)	3	2	.16	+	12.28	1.19E-02
cellular response to chitin (GO:0071323)	6	4	.33	+	12.28	3.59E-04
circadian regulation of calcium ion oscillation (GO:0010617)	3	2	.16	+	12.28	1.19E-02
positive regulation of flavonoid biosynthetic process (GO:0009963)	3	2	.16	+	12.28	1.19E-02
shoot apical meristem development (GO:1902182)	3	2	.16	+	12.28	1.19E-02
L-glutamate biosynthetic process (GO:0097054)	3	2	.16	+	12.28	1.19E-02
positive regulation of reactive oxygen species biosynthetic process (GO:1903428)	5	3	.27	+	11.06	2.71E-03
response to strigolactone (GO:1902347)	5	3	.27	+	11.06	2.71E-03
purine nucleobase catabolic process (GO:0006145)	5	3	.27	+	11.06	2.71E-03
arabinan catabolic process (GO:0031222)	7	4	.38	+	10.53	6.38E-04
nitrogen utilization (GO:0019740)	7	4	.38	+	10.53	6.38E-04
photosynthesis, light harvesting in photosystem II (GO:0009769)	7	4	.38	+	10.53	6.38E-04
response to low light intensity stimulus (GO:0009645)	16	9	.87	+	10.37	3.42E-07
cobalt ion transport (GO:0006824)	2	1	.11	+	9.21	1.03E-01
regulation of trichoblast fate specification (GO:0010061)	2	1	.11	+	9.21	1.03E-01
allantoin metabolic process (GO:0000255)	4	2	.22	+	9.21	2.04E-02
far-red light signaling pathway (GO:0010018)	2	1	.11	+	9.21	1.03E-01
response to pheromone (GO:0019236)	2	1	.11	+	9.21	1.03E-01
pyridoxal 5'-phosphate salvage (GO:0009443)	2	1	.11	+	9.21	1.03E-01
pyridoxal metabolic process (GO:0042817)	2	1	.11	+	9.21	1.03E-01
positive regulation of protein polyubiquitination (GO:1902916)	2	1	.11	+	9.21	1.03E-01
regulation of protein polyubiquitination (GO:1902914)	2	1	.11	+	9.21	1.03E-01
histone H2B conserved C-terminal lysine deubiquitination (GO:0035616)	2	1	.11	+	9.21	1.03E-01
arabinan metabolic process (GO:0031221)	8	4	.43	+	9.21	1.04E-03
negative regulation of cellular protein catabolic process (GO:1903363)	2	1	.11	+	9.21	1.03E-01
positive regulation of camalexin biosynthetic process (GO:1901183)	2	1	.11	+	9.21	1.03E-01
regulation of camalexin biosynthetic process (GO:1901182)	2	1	.11	+	9.21	1.03E-01
primary amino compound metabolic process (GO:1901160)	2	1	.11	+	9.21	1.03E-01
cytoplasm protein quality control by the ubiquitin-proteasome system (GO:0071629)	2	1	.11	+	9.21	1.03E-01
phosphatidylserine biosynthetic process (GO:0006659)	2	1	.11	+	9.21	1.03E-01
phosphatidylserine metabolic process (GO:0006658)	2	1	.11	+	9.21	1.03E-01
response to very low light intensity stimulus (GO:0055122)	2	1	.11	+	9.21	1.03E-01
entrainment of circadian clock by photoperiod (GO:0043153)	4	2	.22	+	9.21	2.04E-02
cytoplasm protein quality control (GO:0140455)	2	1	.11	+	9.21	1.03E-01
nuclear migration (GO:0007097)	4	2	.22	+	9.21	2.04E-02
response to humidity (GO:0009270)	2	1	.11	+	9.21	1.03E-01
monovalent inorganic anion homeostasis (GO:0055083)	2	1	.11	+	9.21	1.03E-01
chloride ion homeostasis (GO:0055064)	2	1	.11	+	9.21	1.03E-01
glycoprotein catabolic process (GO:0006516)	2	1	.11	+	9.21	1.03E-01
nuclear migration along microfilament (GO:0031022)	2	1	.11	+	9.21	1.03E-01
vitamin catabolic process (GO:0009111)	2	1	.11	+	9.21	1.03E-01
tetrahydrofolylpolyglutamate biosynthetic process (GO:0046901)	2	1	.11	+	9.21	1.03E-01
positive regulation of phytoalexin biosynthetic process (GO:0052322)	2	1	.11	+	9.21	1.03E-01
positive regulation of phytoalexin metabolic process (GO:0052320)	2	1	.11	+	9.21	1.03E-01
regulation of phytoalexin biosynthetic process (GO:0052319)	2	1	.11	+	9.21	1.03E-01
regulation of phytoalexin metabolic process (GO:0052318)	2	1	.11	+	9.21	1.03E-01
cellular response to far red light (GO:0071490)	2	1	.11	+	9.21	1.03E-01
(R)-2-hydroxy-alpha-linolenic acid biosynthetic process (GO:1902609)	2	1	.11	+	9.21	1.03E-01
NAD transmembrane transport (GO:0035352)	2	1	.11	+	9.21	1.03E-01
myo-inositol transport (GO:0015798)	2	1	.11	+	9.21	1.03E-01
polyol transport (GO:0015791)	2	1	.11	+	9.21	1.03E-01
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	2	1	.11	+	9.21	1.03E-01
ethanolamine-containing compound metabolic process (GO:0042439)	2	1	.11	+	9.21	1.03E-01
medium-chain fatty acid metabolic process (GO:0051791)	2	1	.11	+	9.21	1.03E-01
glycoside catabolic process (GO:0016139)	2	1	.11	+	9.21	1.03E-01
molybdate ion transport (GO:0015689)	2	1	.11	+	9.21	1.03E-01
positive regulation of photosynthesis (GO:1905157)	2	1	.11	+	9.21	1.03E-01
exit from dormancy (GO:0097438)	2	1	.11	+	9.21	1.03E-01
water-soluble vitamin catabolic process (GO:0042365)	2	1	.11	+	9.21	1.03E-01
ATP generation from poly-ADP-D-ribose (GO:1990966)	2	1	.11	+	9.21	1.03E-01
positive regulation of shade avoidance (GO:1902448)	2	1	.11	+	9.21	1.03E-01
nucleus localization (GO:0051647)	4	2	.22	+	9.21	2.04E-02
(+)-abscisic acid D-glucopyranosyl ester transmembrane transport (GO:1902418)	2	1	.11	+	9.21	1.03E-01
stem cell differentiation (GO:0048863)	2	1	.11	+	9.21	1.03E-01
release of seed from dormancy (GO:0048838)	2	1	.11	+	9.21	1.03E-01
detection of molecule of bacterial origin (GO:0032490)	2	1	.11	+	9.21	1.03E-01
regulation of molecular function, epigenetic (GO:0040030)	2	1	.11	+	9.21	1.03E-01
lipid glycosylation (GO:0030259)	4	2	.22	+	9.21	2.04E-02
regulation of cytosolic calcium ion concentration (GO:0051480)	4	2	.22	+	9.21	2.04E-02
RNA secondary structure unwinding (GO:0010501)	2	1	.11	+	9.21	1.03E-01
regulation of pectin biosynthetic process (GO:1900030)	2	1	.11	+	9.21	1.03E-01
cell-cell recognition (GO:0009988)	2	1	.11	+	9.21	1.03E-01
negative regulation of proteasomal protein catabolic process (GO:1901799)	2	1	.11	+	9.21	1.03E-01
radial axis specification (GO:0009945)	2	1	.11	+	9.21	1.03E-01
membrane lipid catabolic process (GO:0046466)	2	1	.11	+	9.21	1.03E-01
positive regulation of cell fate commitment (GO:0010455)	2	1	.11	+	9.21	1.03E-01
cellular anion homeostasis (GO:0030002)	4	2	.22	+	9.21	2.04E-02
metaxylem development (GO:0090058)	2	1	.11	+	9.21	1.03E-01
ammonia assimilation cycle (GO:0019676)	6	3	.33	+	9.21	4.50E-03
regulation of plant epidermal cell differentiation (GO:1903888)	2	1	.11	+	9.21	1.03E-01
UDP-N-acetylglucosamine transmembrane transport (GO:1990569)	2	1	.11	+	9.21	1.03E-01
negative regulation of molecular function, epigenetic (GO:0045857)	2	1	.11	+	9.21	1.03E-01
male-female gamete recognition during double fertilization forming a zygote and endosperm (GO:0080173)	2	1	.11	+	9.21	1.03E-01
lytic vacuole organization (GO:0080171)	2	1	.11	+	9.21	1.03E-01
cellular amide catabolic process (GO:0043605)	4	2	.22	+	9.21	2.04E-02
positive regulation of DNA demethylation (GO:1901537)	2	1	.11	+	9.21	1.03E-01
regulation of trichome morphogenesis (GO:2000039)	2	1	.11	+	9.21	1.03E-01
response to vitamin B1 (GO:0010266)	2	1	.11	+	9.21	1.03E-01
response to low fluence blue light stimulus by blue low-fluence system (GO:0010244)	6	3	.33	+	9.21	4.50E-03
response to continuous far red light stimulus by the high-irradiance response system (GO:0010201)	2	1	.11	+	9.21	1.03E-01
4-alpha-methyl-delta7-sterol oxidation (GO:0080065)	2	1	.11	+	9.21	1.03E-01
regulation of DNA binding (GO:0051101)	2	1	.11	+	9.21	1.03E-01
phloem sucrose unloading (GO:0110128)	2	1	.11	+	9.21	1.03E-01
phloem unloading (GO:0110127)	2	1	.11	+	9.21	1.03E-01
ER-nucleus signaling pathway (GO:0006984)	2	1	.11	+	9.21	1.03E-01
ER overload response (GO:0006983)	2	1	.11	+	9.21	1.03E-01
regulation of binding (GO:0051098)	4	2	.22	+	9.21	2.04E-02
alternative mRNA splicing, via spliceosome (GO:0000380)	4	2	.22	+	9.21	2.04E-02
regulation of apoptotic process (GO:0042981)	4	2	.22	+	9.21	2.04E-02
nucleobase catabolic process (GO:0046113)	9	4	.49	+	8.19	1.60E-03
oligosaccharide catabolic process (GO:0009313)	7	3	.38	+	7.90	6.87E-03
multicellular organismal homeostasis (GO:0048871)	7	3	.38	+	7.90	6.87E-03
photosynthesis, light harvesting in photosystem I (GO:0009768)	19	8	1.03	+	7.76	1.24E-05
negative regulation of mRNA metabolic process (GO:1903312)	5	2	.27	+	7.37	3.08E-02
mitotic DNA replication checkpoint (GO:0033314)	5	2	.27	+	7.37	3.08E-02
tyrosine catabolic process (GO:0006572)	5	2	.27	+	7.37	3.08E-02
tetrahydrofolylpolyglutamate metabolic process (GO:0046900)	5	2	.27	+	7.37	3.08E-02
homoserine biosynthetic process (GO:0009090)	5	2	.27	+	7.37	3.08E-02
positive regulation of hormone biosynthetic process (GO:0046886)	5	2	.27	+	7.37	3.08E-02
detection of bacterium (GO:0016045)	5	2	.27	+	7.37	3.08E-02
positive regulation of auxin biosynthetic process (GO:0010601)	5	2	.27	+	7.37	3.08E-02
citrate metabolic process (GO:0006101)	5	2	.27	+	7.37	3.08E-02
positive regulation of reactive oxygen species metabolic process (GO:2000379)	10	4	.54	+	7.37	2.34E-03
photoprotection (GO:0010117)	5	2	.27	+	7.37	3.08E-02
flavin adenine dinucleotide metabolic process (GO:0072387)	5	2	.27	+	7.37	3.08E-02
entrainment of circadian clock (GO:0009649)	13	5	.71	+	7.09	8.06E-04
regulation of reactive oxygen species biosynthetic process (GO:1903426)	8	3	.43	+	6.91	9.86E-03
phosphatidylethanolamine biosynthetic process (GO:0006646)	8	3	.43	+	6.91	9.86E-03
response to iron ion starvation (GO:1990641)	8	3	.43	+	6.91	9.86E-03
nitrate assimilation (GO:0042128)	11	4	.60	+	6.70	3.28E-03
nitrate metabolic process (GO:0042126)	11	4	.60	+	6.70	3.28E-03
xylan catabolic process (GO:0045493)	15	5	.81	+	6.14	1.51E-03
cellular sodium ion homeostasis (GO:0006883)	3	1	.16	+	6.14	1.50E-01
pyruvate transport (GO:0006848)	6	2	.33	+	6.14	4.28E-02
positive regulation of protein ubiquitination (GO:0031398)	3	1	.16	+	6.14	1.50E-01
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	6	2	.33	+	6.14	4.28E-02
monopolar cell growth (GO:0042814)	3	1	.16	+	6.14	1.50E-01
histone deubiquitination (GO:0016578)	3	1	.16	+	6.14	1.50E-01
fusion of sperm to egg plasma membrane involved in double fertilization forming a zygote and endosperm (GO:0061936)	3	1	.16	+	6.14	1.50E-01
NADP biosynthetic process (GO:0006741)	3	1	.16	+	6.14	1.50E-01
positive regulation of potassium ion transport (GO:0043268)	3	1	.16	+	6.14	1.50E-01
ribonucleoprotein complex disassembly (GO:0032988)	3	1	.16	+	6.14	1.50E-01
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	3	1	.16	+	6.14	1.50E-01
circadian regulation of gene expression (GO:0032922)	6	2	.33	+	6.14	4.28E-02
NAD transport (GO:0043132)	3	1	.16	+	6.14	1.50E-01
UDP-D-xylose biosynthetic process (GO:0033320)	6	2	.33	+	6.14	4.28E-02
UDP-D-xylose metabolic process (GO:0033319)	6	2	.33	+	6.14	4.28E-02
cellular phosphate ion homeostasis (GO:0030643)	3	1	.16	+	6.14	1.50E-01
endoplasmic reticulum membrane fusion (GO:0016320)	3	1	.16	+	6.14	1.50E-01
potassium ion export across plasma membrane (GO:0097623)	3	1	.16	+	6.14	1.50E-01
photosystem I stabilization (GO:0042550)	3	1	.16	+	6.14	1.50E-01
secondary alcohol metabolic process (GO:1902652)	12	4	.65	+	6.14	4.45E-03
UDP-xylose transmembrane transport (GO:0015790)	3	1	.16	+	6.14	1.50E-01
response to drug (GO:0042493)	6	2	.33	+	6.14	4.28E-02
positive regulation of secondary metabolite biosynthetic process (GO:1900378)	3	1	.16	+	6.14	1.50E-01
glycoside metabolic process (GO:0016137)	3	1	.16	+	6.14	1.50E-01
regulation of mRNA polyadenylation (GO:1900363)	3	1	.16	+	6.14	1.50E-01
protein localization to nuclear envelope (GO:0090435)	3	1	.16	+	6.14	1.50E-01
heterochromatin organization involved in chromatin silencing (GO:0070868)	3	1	.16	+	6.14	1.50E-01
plasma membrane fusion (GO:0045026)	3	1	.16	+	6.14	1.50E-01
positive regulation of cellular response to drug (GO:2001040)	6	2	.33	+	6.14	4.28E-02
heterochromatin maintenance (GO:0070829)	3	1	.16	+	6.14	1.50E-01
chromatin maintenance (GO:0070827)	3	1	.16	+	6.14	1.50E-01
regulation of cellular response to drug (GO:2001038)	6	2	.33	+	6.14	4.28E-02
positive regulation of response to drug (GO:2001025)	6	2	.33	+	6.14	4.28E-02
regulation of response to drug (GO:2001023)	6	2	.33	+	6.14	4.28E-02
protein N-linked glycosylation via asparagine (GO:0018279)	6	2	.33	+	6.14	4.28E-02
chloride transmembrane transport (GO:1902476)	3	1	.16	+	6.14	1.50E-01
regulation of shade avoidance (GO:1902446)	3	1	.16	+	6.14	1.50E-01
positive regulation of auxin metabolic process (GO:0090355)	6	2	.33	+	6.14	4.28E-02
uracil catabolic process (GO:0006212)	3	1	.16	+	6.14	1.50E-01
exocyst localization (GO:0051601)	3	1	.16	+	6.14	1.50E-01
histone H3-K27 methylation (GO:0070734)	3	1	.16	+	6.14	1.50E-01
detection of molecule of fungal origin (GO:0032491)	3	1	.16	+	6.14	1.50E-01
peptidyl-asparagine modification (GO:0018196)	6	2	.33	+	6.14	4.28E-02
histone H4-K5 acetylation (GO:0043981)	3	1	.16	+	6.14	1.50E-01
cellular component maintenance (GO:0043954)	3	1	.16	+	6.14	1.50E-01
aerenchyma formation (GO:0010618)	3	1	.16	+	6.14	1.50E-01
positive regulation of histone H3-K9 dimethylation (GO:1900111)	3	1	.16	+	6.14	1.50E-01
isocitrate metabolic process (GO:0006102)	12	4	.65	+	6.14	4.45E-03
negative regulation of protein catabolic process (GO:0042177)	3	1	.16	+	6.14	1.50E-01
positive regulation of hormone metabolic process (GO:0032352)	6	2	.33	+	6.14	4.28E-02
regulation of starch biosynthetic process (GO:0010581)	3	1	.16	+	6.14	1.50E-01
water homeostasis (GO:0030104)	12	4	.65	+	6.14	4.45E-03
regulation of cellular response to hypoxia (GO:1900037)	3	1	.16	+	6.14	1.50E-01
fucose metabolic process (GO:0006004)	3	1	.16	+	6.14	1.50E-01
pentacyclic triterpenoid biosynthetic process (GO:0019745)	3	1	.16	+	6.14	1.50E-01
pentacyclic triterpenoid metabolic process (GO:0019742)	3	1	.16	+	6.14	1.50E-01
simple leaf morphogenesis (GO:0060776)	3	1	.16	+	6.14	1.50E-01
dimethylallyl diphosphate metabolic process (GO:0050993)	3	1	.16	+	6.14	1.50E-01
dimethylallyl diphosphate biosynthetic process (GO:0050992)	3	1	.16	+	6.14	1.50E-01
positive regulation of anion transmembrane transport (GO:1903961)	3	1	.16	+	6.14	1.50E-01
glycerophospholipid catabolic process (GO:0046475)	3	1	.16	+	6.14	1.50E-01
short-chain fatty acid metabolic process (GO:0046459)	3	1	.16	+	6.14	1.50E-01
regulation of epidermal cell division (GO:0010482)	3	1	.16	+	6.14	1.50E-01
detection of hypoxia (GO:0070483)	3	1	.16	+	6.14	1.50E-01
positive regulation of systemic acquired resistance (GO:1901672)	3	1	.16	+	6.14	1.50E-01
disaccharide catabolic process (GO:0046352)	6	2	.33	+	6.14	4.28E-02
phosphatidylethanolamine metabolic process (GO:0046337)	9	3	.49	+	6.14	1.35E-02
homogalacturonan metabolic process (GO:0010394)	3	1	.16	+	6.14	1.50E-01
response to trehalose (GO:0010353)	3	1	.16	+	6.14	1.50E-01
singlet oxygen-mediated programmed cell death (GO:0010343)	3	1	.16	+	6.14	1.50E-01
positive regulation of salicylic acid mediated signaling pathway (GO:0080151)	6	2	.33	+	6.14	4.28E-02
pyridine-containing compound catabolic process (GO:0072526)	3	1	.16	+	6.14	1.50E-01
replication fork protection (GO:0048478)	3	1	.16	+	6.14	1.50E-01
cellular trivalent inorganic anion homeostasis (GO:0072502)	3	1	.16	+	6.14	1.50E-01
regulation of DNA demethylation (GO:1901535)	3	1	.16	+	6.14	1.50E-01
positive regulation of anion channel activity (GO:1901529)	3	1	.16	+	6.14	1.50E-01
homogalacturonan biosynthetic process (GO:0010289)	3	1	.16	+	6.14	1.50E-01
