




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
positive regulation of hydrogen peroxide-mediated programmed cell death (GO:1901300)	1	1	.81	+	1.23	5.55E-01
astral microtubule organization (GO:0030953)	2	2	1.62	+	1.23	4.82E-01
butanediol biosynthetic process (GO:0034079)	2	2	1.62	+	1.23	4.82E-01
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951)	1	1	.81	+	1.23	5.55E-01
butanediol metabolic process (GO:0034077)	2	2	1.62	+	1.23	4.82E-01
negative regulation of DNA strand resection involved in replication fork processing (GO:0110027)	1	1	.81	+	1.23	5.55E-01
regulation of DNA strand resection involved in replication fork processing (GO:0110026)	1	1	.81	+	1.23	5.55E-01
regulation of vesicle targeting, to, from or within Golgi (GO:0048209)	1	1	.81	+	1.23	5.55E-01
COPII vesicle coating (GO:0048208)	1	1	.81	+	1.23	5.55E-01
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	1	1	.81	+	1.23	5.55E-01
COPI coating of Golgi vesicle (GO:0048205)	1	1	.81	+	1.23	5.55E-01
Golgi transport vesicle coating (GO:0048200)	1	1	.81	+	1.23	5.55E-01
negative regulation of transcription from RNA polymerase II promoter by pheromones (GO:0046020)	6	6	4.86	+	1.23	3.60E-01
mitotic cell cycle arrest (GO:0071850)	2	2	1.62	+	1.23	4.82E-01
actin filament debranching (GO:0071846)	1	1	.81	+	1.23	5.55E-01
protein localization to nuclear inner membrane (GO:0036228)	8	8	6.48	+	1.23	3.24E-01
peptidyl-serine acetylation (GO:0030920)	2	2	1.62	+	1.23	4.82E-01
contractile ring maintenance (GO:0036212)	2	2	1.62	+	1.23	4.82E-01
cell volume homeostasis (GO:0006884)	1	1	.81	+	1.23	5.55E-01
cellular sodium ion homeostasis (GO:0006883)	2	2	1.62	+	1.23	4.82E-01
purine nucleoside bisphosphate catabolic process (GO:0034034)	2	2	1.62	+	1.23	4.82E-01
intracellular sequestering of iron ion (GO:0006880)	3	3	2.43	+	1.23	4.38E-01
ribonucleoside bisphosphate catabolic process (GO:0034031)	2	2	1.62	+	1.23	4.82E-01
protein splicing (GO:0030908)	1	1	.81	+	1.23	5.55E-01
cellular cobalt ion homeostasis (GO:0006877)	1	1	.81	+	1.23	5.55E-01
tail-anchored membrane protein insertion into ER membrane (GO:0071816)	1	1	.81	+	1.23	5.55E-01
glutamine transport (GO:0006868)	3	3	2.43	+	1.23	4.38E-01
pyrimidine nucleotide transport (GO:0006864)	1	1	.81	+	1.23	5.55E-01
mitochondrial RNA modification (GO:1900864)	6	6	4.86	+	1.23	3.60E-01
mitochondrial pyruvate transmembrane transport (GO:0006850)	4	4	3.24	+	1.23	4.07E-01
plasma membrane pyruvate transport (GO:0006849)	1	1	.81	+	1.23	5.55E-01
pyruvate transport (GO:0006848)	5	5	4.05	+	1.23	3.81E-01
acetate transport (GO:0006846)	4	4	3.24	+	1.23	4.07E-01
mitochondrial citrate transmembrane transport (GO:0006843)	3	3	2.43	+	1.23	4.38E-01
tricarboxylic acid transport (GO:0006842)	3	3	2.43	+	1.23	4.38E-01
negative regulation of DNA binding (GO:0043392)	6	6	4.86	+	1.23	3.60E-01
peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity (GO:1990264)	1	1	.81	+	1.23	5.55E-01
pre-mRNA catabolic process (GO:1990261)	1	1	.81	+	1.23	5.55E-01
D-leucine catabolic process (GO:1900832)	1	1	.81	+	1.23	5.55E-01
D-leucine metabolic process (GO:1900831)	1	1	.81	+	1.23	5.55E-01
cobalt ion transport (GO:0006824)	2	2	1.62	+	1.23	4.82E-01
histone glutamine methylation (GO:1990258)	2	2	1.62	+	1.23	4.82E-01
D-tyrosine catabolic process (GO:1900829)	1	1	.81	+	1.23	5.55E-01
D-tyrosine metabolic process (GO:1900828)	1	1	.81	+	1.23	5.55E-01
regulation of transcription from RNA polymerase II promoter in response to DNA damage (GO:1990248)	1	1	.81	+	1.23	5.55E-01
nitric oxide biosynthetic process (GO:0006809)	1	1	.81	+	1.23	5.55E-01
superoxide metabolic process (GO:0006801)	8	8	6.48	+	1.23	3.24E-01
response to aluminum ion (GO:0010044)	1	1	.81	+	1.23	5.55E-01
response to zinc ion (GO:0010043)	1	1	.81	+	1.23	5.55E-01
sequestration of proteasome core complex in proteasome storage granule (GO:1990237)	1	1	.81	+	1.23	5.55E-01
proteasome core complex import into nucleus (GO:1990236)	1	1	.81	+	1.23	5.55E-01
response to carbon dioxide (GO:0010037)	2	2	1.62	+	1.23	4.82E-01
protein glycosylation in endoplasmic reticulum (GO:0033577)	1	1	.81	+	1.23	5.55E-01
response to acetate (GO:0010034)	1	1	.81	+	1.23	5.55E-01
allantoin catabolic process (GO:0000256)	6	6	4.86	+	1.23	3.60E-01
allantoin metabolic process (GO:0000255)	6	6	4.86	+	1.23	3.60E-01
organic acid phosphorylation (GO:0031388)	1	1	.81	+	1.23	5.55E-01
regulation of termination of mating projection growth (GO:0031385)	2	2	1.62	+	1.23	4.82E-01
mating projection formation (GO:0031382)	1	1	.81	+	1.23	5.55E-01
spliceosomal tri-snRNP complex assembly (GO:0000244)	6	6	4.86	+	1.23	3.60E-01
unsaturated fatty acid metabolic process (GO:0033559)	1	1	.81	+	1.23	5.55E-01
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	1	1	.81	+	1.23	5.55E-01
N-terminal protein amino acid modification (GO:0031365)	15	15	12.15	+	1.23	2.42E-01
tRNA import into nucleus (GO:0035719)	3	3	2.43	+	1.23	4.38E-01
isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:0019287)	4	4	3.24	+	1.23	4.07E-01
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	1	1	.81	+	1.23	5.55E-01
raffinose metabolic process (GO:0033530)	1	1	.81	+	1.23	5.55E-01
protein initiator methionine removal (GO:0070084)	2	2	1.62	+	1.23	4.82E-01
histone H2B ubiquitination (GO:0033523)	3	3	2.43	+	1.23	4.38E-01
positive regulation of vesicle fusion (GO:0031340)	3	3	2.43	+	1.23	4.38E-01
asparagine biosynthetic process from oxaloacetate (GO:0019266)	1	1	.81	+	1.23	5.55E-01
glycine biosynthetic process, by transamination of glyoxylate (GO:0019265)	1	1	.81	+	1.23	5.55E-01
glycine biosynthetic process from serine (GO:0019264)	2	2	1.62	+	1.23	4.82E-01
L-lysine catabolic process to acetyl-CoA via saccharopine (GO:0033512)	1	1	.81	+	1.23	5.55E-01
regulation of sulfur amino acid metabolic process (GO:0031335)	2	2	1.62	+	1.23	4.82E-01
glucose 1-phosphate metabolic process (GO:0019255)	2	2	1.62	+	1.23	4.82E-01
mitotic actomyosin contractile ring assembly actin filament organization (GO:1903479)	1	1	.81	+	1.23	5.55E-01
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	1	1	.81	+	1.23	5.55E-01
negative regulation of hydrogen peroxide-mediated programmed cell death (GO:1901299)	1	1	.81	+	1.23	5.55E-01
regulation of hydrogen peroxide-mediated programmed cell death (GO:1901298)	2	2	1.62	+	1.23	4.82E-01
regulation of mitotic actomyosin contractile ring contraction (GO:1903471)	2	2	1.62	+	1.23	4.82E-01
respiratory chain complex III assembly (GO:0017062)	7	7	5.67	+	1.23	3.41E-01
cilium assembly (GO:0060271)	1	1	.81	+	1.23	5.55E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	2	2	1.62	+	1.23	4.82E-01
negative regulation of mitotic DNA replication initiation (GO:1903467)	1	1	.81	+	1.23	5.55E-01
negative regulation of mitotic cell cycle DNA replication (GO:1903464)	1	1	.81	+	1.23	5.55E-01
Okazaki fragment processing involved in mitotic DNA replication (GO:1903461)	1	1	.81	+	1.23	5.55E-01
regulation of protein localization to chromatin (GO:1905634)	3	3	2.43	+	1.23	4.38E-01
lactate catabolic process (GO:1903457)	2	2	1.62	+	1.23	4.82E-01
cysteine transport (GO:0042883)	1	1	.81	+	1.23	5.55E-01
putrescine biosynthetic process (GO:0009446)	1	1	.81	+	1.23	5.55E-01
putrescine metabolic process (GO:0009445)	1	1	.81	+	1.23	5.55E-01
allantoin assimilation pathway (GO:0009442)	1	1	.81	+	1.23	5.55E-01
cyclic purine nucleotide metabolic process (GO:0052652)	1	1	.81	+	1.23	5.55E-01
glyoxylate catabolic process (GO:0009436)	1	1	.81	+	1.23	5.55E-01
alditol phosphate metabolic process (GO:0052646)	5	5	4.05	+	1.23	3.81E-01
negative regulation of mitotic cytokinetic process (GO:1903437)	1	1	.81	+	1.23	5.55E-01
pyruvate biosynthetic process (GO:0042866)	1	1	.81	+	1.23	5.55E-01
chorismate biosynthetic process (GO:0009423)	4	4	3.24	+	1.23	4.07E-01
positive regulation of reactive oxygen species biosynthetic process (GO:1903428)	1	1	.81	+	1.23	5.55E-01
negative regulation of reactive oxygen species biosynthetic process (GO:1903427)	1	1	.81	+	1.23	5.55E-01
regulation of reactive oxygen species biosynthetic process (GO:1903426)	2	2	1.62	+	1.23	4.82E-01
fluoride transmembrane transport (GO:1903424)	2	2	1.62	+	1.23	4.82E-01
L-alanine catabolic process (GO:0042853)	2	2	1.62	+	1.23	4.82E-01
L-alanine metabolic process (GO:0042851)	2	2	1.62	+	1.23	4.82E-01
response to water deprivation (GO:0009414)	3	3	2.43	+	1.23	4.38E-01
glycol biosynthetic process (GO:0042845)	2	2	1.62	+	1.23	4.82E-01
protein-tetrapyrrole linkage (GO:0017006)	3	3	2.43	+	1.23	4.38E-01
glycol metabolic process (GO:0042844)	2	2	1.62	+	1.23	4.82E-01
D-xylose catabolic process (GO:0042843)	4	4	3.24	+	1.23	4.07E-01
protein-heme linkage (GO:0017003)	3	3	2.43	+	1.23	4.38E-01
pathogenesis (GO:0009405)	1	1	.81	+	1.23	5.55E-01
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	1	1	.81	+	1.23	5.55E-01
reactive oxygen species biosynthetic process (GO:1903409)	1	1	.81	+	1.23	5.55E-01
L-lysine transmembrane transport (GO:1903401)	3	3	2.43	+	1.23	4.38E-01
L-arginine transmembrane transport (GO:1903400)	3	3	2.43	+	1.23	4.38E-01
vitamin B6 catabolic process (GO:0042820)	1	1	.81	+	1.23	5.55E-01
negative regulation of neuron death (GO:1901215)	1	1	.81	+	1.23	5.55E-01
regulation of neuron death (GO:1901214)	1	1	.81	+	1.23	5.55E-01
outer dynein arm assembly (GO:0036158)	1	1	.81	+	1.23	5.55E-01
protein arginylation (GO:0016598)	1	1	.81	+	1.23	5.55E-01
phosphatidylinositol acyl-chain remodeling (GO:0036149)	2	2	1.62	+	1.23	4.82E-01
regulation of lysine biosynthetic process via aminoadipic acid (GO:1902986)	1	1	.81	+	1.23	5.55E-01
DNA strand elongation involved in mitotic DNA replication (GO:1902983)	1	1	.81	+	1.23	5.55E-01
polyphosphate biosynthetic process (GO:0006799)	3	3	2.43	+	1.23	4.38E-01
transcriptional activation by promoter-enhancer looping (GO:0071733)	1	1	.81	+	1.23	5.55E-01
mitotic DNA replication preinitiation complex assembly (GO:1902977)	3	3	2.43	+	1.23	4.38E-01
mitotic DNA replication initiation (GO:1902975)	4	4	3.24	+	1.23	4.07E-01
heme oxidation (GO:0006788)	1	1	.81	+	1.23	5.55E-01
porphyrin-containing compound catabolic process (GO:0006787)	1	1	.81	+	1.23	5.55E-01
heme A biosynthetic process (GO:0006784)	3	3	2.43	+	1.23	4.38E-01
positive regulation of nucleotide biosynthetic process (GO:0030810)	1	1	.81	+	1.23	5.55E-01
uroporphyrinogen III biosynthetic process (GO:0006780)	1	1	.81	+	1.23	5.55E-01
mitotic DNA replication (GO:1902969)	11	11	8.91	+	1.23	2.83E-01
base conversion or substitution editing (GO:0016553)	4	4	3.24	+	1.23	4.07E-01
regulation of nucleotide biosynthetic process (GO:0030808)	1	1	.81	+	1.23	5.55E-01
biotin metabolic process (GO:0006768)	6	6	4.86	+	1.23	3.60E-01
intein-mediated protein splicing (GO:0016539)	1	1	.81	+	1.23	5.55E-01
regulation of MAPK export from nucleus (GO:0071701)	2	2	1.62	+	1.23	4.82E-01
glutathione biosynthetic process (GO:0006750)	2	2	1.62	+	1.23	4.82E-01
protein localization to septin ring (GO:1902935)	2	2	1.62	+	1.23	4.82E-01
mitochondrial tRNA 3'-end processing (GO:1990180)	1	1	.81	+	1.23	5.55E-01
malonic acid transport (GO:1900752)	1	1	.81	+	1.23	5.55E-01
NADP catabolic process (GO:0006742)	1	1	.81	+	1.23	5.55E-01
inulin catabolic process (GO:1902927)	1	1	.81	+	1.23	5.55E-01
inulin metabolic process (GO:1902926)	1	1	.81	+	1.23	5.55E-01
protein localization to actomyosin contractile ring (GO:1990179)	1	1	.81	+	1.23	5.55E-01
(R)-carnitine transport (GO:1900749)	1	1	.81	+	1.23	5.55E-01
SCF complex disassembly in response to cadmium stress (GO:1990171)	1	1	.81	+	1.23	5.55E-01
NADH regeneration (GO:0006735)	3	3	2.43	+	1.23	4.38E-01
NADH metabolic process (GO:0006734)	14	14	11.34	+	1.23	2.51E-01
mitochondrial protein catabolic process (GO:0035694)	1	1	.81	+	1.23	5.55E-01
cellular response to drug (GO:0035690)	4	4	3.24	+	1.23	4.07E-01
immune system process (GO:0002376)	5	5	4.05	+	1.23	3.81E-01
negative regulation of protein polyubiquitination (GO:1902915)	1	1	.81	+	1.23	5.55E-01
regulation of protein polyubiquitination (GO:1902914)	1	1	.81	+	1.23	5.55E-01
protein localization to site of double-strand break (GO:1990166)	2	2	1.62	+	1.23	4.82E-01
triterpenoid metabolic process (GO:0006722)	1	1	.81	+	1.23	5.55E-01
terpenoid metabolic process (GO:0006721)	8	8	6.48	+	1.23	3.24E-01
proteasome storage granule assembly (GO:1902906)	3	3	2.43	+	1.23	4.38E-01
protein localization to cell tip (GO:1990151)	1	1	.81	+	1.23	5.55E-01
cell redox homeostasis (GO:0045454)	22	22	17.82	+	1.23	1.88E-01
negative regulation of ion transport (GO:0043271)	2	2	1.62	+	1.23	4.82E-01
tricarboxylic acid transmembrane transport (GO:0035674)	3	3	2.43	+	1.23	4.38E-01
ferulate metabolic process (GO:0033494)	1	1	.81	+	1.23	5.55E-01
maintenance of translational fidelity (GO:1990145)	4	4	3.24	+	1.23	4.07E-01
protein localization to nuclear periphery (GO:1990139)	2	2	1.62	+	1.23	4.82E-01
positive regulation of nitric oxide biosynthetic process (GO:0045429)	1	1	.81	+	1.23	5.55E-01
regulation of nitric oxide biosynthetic process (GO:0045428)	2	2	1.62	+	1.23	4.82E-01
Ran protein signal transduction (GO:0031291)	1	1	.81	+	1.23	5.55E-01
messenger ribonucleoprotein complex assembly (GO:1990120)	1	1	.81	+	1.23	5.55E-01
RNA polymerase III assembly (GO:1990115)	2	2	1.62	+	1.23	4.82E-01
RNA polymerase II core complex assembly (GO:1990114)	1	1	.81	+	1.23	5.55E-01
RNA polymerase I assembly (GO:1990113)	1	1	.81	+	1.23	5.55E-01
positive regulation of cyclase activity (GO:0031281)	3	3	2.43	+	1.23	4.38E-01
stress granule disassembly (GO:0035617)	3	3	2.43	+	1.23	4.38E-01
nonribosomal peptide biosynthetic process (GO:0019184)	2	2	1.62	+	1.23	4.82E-01
response to external biotic stimulus (GO:0043207)	5	5	4.05	+	1.23	3.81E-01
2'-deoxyribonucleotide metabolic process (GO:0009394)	4	4	3.24	+	1.23	4.07E-01
sulfur amino acid transport (GO:0000101)	4	4	3.24	+	1.23	4.07E-01
regulation of secondary cell septum biogenesis (GO:1903395)	1	1	.81	+	1.23	5.55E-01
positive regulation of antisense RNA transcription (GO:0060196)	1	1	.81	+	1.23	5.55E-01
regulation of protein desumoylation (GO:0060188)	4	4	3.24	+	1.23	4.07E-01
activation of adenylate cyclase activity (GO:0007190)	1	1	.81	+	1.23	5.55E-01
positive regulation of formation of translation preinitiation complex (GO:1901195)	6	6	4.86	+	1.23	3.60E-01
regulation of formation of translation preinitiation complex (GO:1901193)	6	6	4.86	+	1.23	3.60E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	2	2	1.62	+	1.23	4.82E-01
regulation of exocyst localization (GO:0060178)	2	2	1.62	+	1.23	4.82E-01
tRNA transcription by RNA polymerase III (GO:0042797)	17	17	13.77	+	1.23	2.24E-01
chromatin-mediated maintenance of transcription (GO:0048096)	1	1	.81	+	1.23	5.55E-01
regulation of nucleus organization (GO:1903353)	1	1	.81	+	1.23	5.55E-01
L-ornithine transmembrane transport (GO:1903352)	3	3	2.43	+	1.23	4.38E-01
cell surface receptor signaling pathway (GO:0007166)	1	1	.81	+	1.23	5.55E-01
tRNA 3'-trailer cleavage (GO:0042779)	3	3	2.43	+	1.23	4.38E-01
positive regulation of meiotic DNA double-strand break formation (GO:1903343)	1	1	.81	+	1.23	5.55E-01
regulation of fungal-type cell wall biogenesis (GO:0032995)	1	1	.81	+	1.23	5.55E-01
cell adhesion (GO:0007155)	7	7	5.67	+	1.23	3.41E-01
cell part morphogenesis (GO:0032990)	3	3	2.43	+	1.23	4.38E-01
positive regulation of protein folding (GO:1903334)	1	1	.81	+	1.23	5.55E-01
regulation of sulfur metabolic process (GO:0042762)	8	8	6.48	+	1.23	3.24E-01
xylulose 5-phosphate biosynthetic process (GO:1901159)	1	1	.81	+	1.23	5.55E-01
regulation of protein folding (GO:1903332)	1	1	.81	+	1.23	5.55E-01
very long-chain fatty acid catabolic process (GO:0042760)	2	2	1.62	+	1.23	4.82E-01
long-chain fatty acid biosynthetic process (GO:0042759)	3	3	2.43	+	1.23	4.38E-01
regulation of iron-sulfur cluster assembly (GO:1903329)	1	1	.81	+	1.23	5.55E-01
protein insertion into mitochondrial inner membrane from matrix (GO:0032979)	6	6	4.86	+	1.23	3.60E-01
oligosaccharide catabolic process (GO:0009313)	11	11	8.91	+	1.23	2.83E-01
protein insertion into membrane from inner side (GO:0032978)	6	6	4.86	+	1.23	3.60E-01
amino acid transmembrane export from vacuole (GO:0032974)	4	4	3.24	+	1.23	4.07E-01
amino acid export across plasma membrane (GO:0032973)	1	1	.81	+	1.23	5.55E-01
positive regulation of protein maturation (GO:1903319)	1	1	.81	+	1.23	5.55E-01
positive regulation of nitrogen cycle metabolic process (GO:1903316)	1	1	.81	+	1.23	5.55E-01
hydrogen peroxide catabolic process (GO:0042744)	6	6	4.86	+	1.23	3.60E-01
regulation of nitrogen cycle metabolic process (GO:1903314)	1	1	.81	+	1.23	5.55E-01
hydrogen peroxide metabolic process (GO:0042743)	7	7	5.67	+	1.23	3.41E-01
protein biotinylation (GO:0009305)	1	1	.81	+	1.23	5.55E-01
tRNA transcription (GO:0009304)	17	17	13.77	+	1.23	2.24E-01
snRNA transcription (GO:0009301)	1	1	.81	+	1.23	5.55E-01
D-serine catabolic process (GO:0036088)	1	1	.81	+	1.23	5.55E-01
positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation (GO:0036086)	1	1	.81	+	1.23	5.55E-01
heme O biosynthetic process (GO:0048034)	1	1	.81	+	1.23	5.55E-01
heme o metabolic process (GO:0048033)	1	1	.81	+	1.23	5.55E-01
D-xylose metabolic process (GO:0042732)	6	6	4.86	+	1.23	3.60E-01
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	1	1	.81	+	1.23	5.55E-01
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	1	1	.81	+	1.23	5.55E-01
thiamine-containing compound catabolic process (GO:0042725)	1	1	.81	+	1.23	5.55E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	3	3	2.43	+	1.23	4.38E-01
inositol phosphate-mediated signaling (GO:0048016)	1	1	.81	+	1.23	5.55E-01
biofilm formation (GO:0042710)	4	4	3.24	+	1.23	4.07E-01
recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex (GO:0036031)	1	1	.81	+	1.23	5.55E-01
protein localization to spindle microtubule (GO:1902889)	1	1	.81	+	1.23	5.55E-01
positive regulation of response to oxidative stress (GO:1902884)	2	2	1.62	+	1.23	4.82E-01
negative regulation of response to oxidative stress (GO:1902883)	1	1	.81	+	1.23	5.55E-01
regulation of response to oxidative stress (GO:1902882)	5	5	4.05	+	1.23	3.81E-01
TORC2 signaling (GO:0038203)	6	6	4.86	+	1.23	3.60E-01
ergosterol biosynthetic process (GO:0006696)	24	24	19.44	+	1.23	1.76E-01
nuclear protein quality control by the ubiquitin-proteasome system (GO:0071630)	5	5	4.05	+	1.23	3.81E-01
phosphorylation of RNA polymerase II C-terminal domain serine 5 residues (GO:0071620)	1	1	.81	+	1.23	5.55E-01
microtubule organizing center localization (GO:0061842)	1	1	.81	+	1.23	5.55E-01
'de novo' pyridoxal 5'-phosphate biosynthetic process (GO:0036001)	1	1	.81	+	1.23	5.55E-01
sphingosine metabolic process (GO:0006670)	4	4	3.24	+	1.23	4.07E-01
phosphorylation of RNA polymerase II C-terminal domain serine 2 residues (GO:0071619)	1	1	.81	+	1.23	5.55E-01
posttranscriptional gene silencing (GO:0016441)	2	2	1.62	+	1.23	4.82E-01
glycerol ether metabolic process (GO:0006662)	2	2	1.62	+	1.23	4.82E-01
CDP-choline pathway (GO:0006657)	5	5	4.05	+	1.23	3.81E-01
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	5	5	4.05	+	1.23	3.81E-01
mitotic spindle formation (spindle phase one) (GO:0061804)	4	4	3.24	+	1.23	4.07E-01
unsaturated fatty acid biosynthetic process (GO:0006636)	1	1	.81	+	1.23	5.55E-01
protein retention in ER lumen (GO:0006621)	10	10	8.10	+	1.23	2.96E-01
negative regulation of cell cycle G1/S phase transition (GO:1902807)	3	3	2.43	+	1.23	4.38E-01
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	2	2	1.62	+	1.23	4.82E-01
nucleotide salvage (GO:0043173)	14	14	11.34	+	1.23	2.51E-01
immune effector process (GO:0002252)	5	5	4.05	+	1.23	3.81E-01
acetate ester metabolic process (GO:1900619)	2	2	1.62	+	1.23	4.82E-01
initial mitotic spindle pole body separation (GO:0000073)	4	4	3.24	+	1.23	4.07E-01
N-terminal peptidyl-proline methylation (GO:0035568)	1	1	.81	+	1.23	5.55E-01
putrescine biosynthetic process from ornithine (GO:0033387)	1	1	.81	+	1.23	5.55E-01
geranylgeranyl diphosphate biosynthetic process (GO:0033386)	1	1	.81	+	1.23	5.55E-01
geranylgeranyl diphosphate metabolic process (GO:0033385)	1	1	.81	+	1.23	5.55E-01
geranyl diphosphate biosynthetic process (GO:0033384)	2	2	1.62	+	1.23	4.82E-01
geranyl diphosphate metabolic process (GO:0033383)	2	2	1.62	+	1.23	4.82E-01
farnesyl diphosphate metabolic process (GO:0045338)	7	7	5.67	+	1.23	3.41E-01
farnesyl diphosphate biosynthetic process (GO:0045337)	6	6	4.86	+	1.23	3.60E-01
protein initiator methionine removal involved in protein maturation (GO:0035551)	2	2	1.62	+	1.23	4.82E-01
pericentric heterochromatin organization (GO:0140462)	1	1	.81	+	1.23	5.55E-01
carnitine biosynthetic process (GO:0045329)	1	1	.81	+	1.23	5.55E-01
positive regulation of SNARE complex assembly (GO:0035543)	2	2	1.62	+	1.23	4.82E-01
secretory granule organization (GO:0033363)	1	1	.81	+	1.23	5.55E-01
DNA replication, removal of RNA primer (GO:0043137)	5	5	4.05	+	1.23	3.81E-01
NAD transport (GO:0043132)	2	2	1.62	+	1.23	4.82E-01
proline transmembrane transport (GO:0035524)	4	4	3.24	+	1.23	4.07E-01
rRNA methylation (GO:0031167)	64	64	51.85	+	1.23	5.52E-02
ribosomal small subunit assembly (GO:0000028)	28	28	22.68	+	1.23	1.55E-01
maltose catabolic process (GO:0000025)	5	5	4.05	+	1.23	3.81E-01
protein K29-linked ubiquitination (GO:0035519)	1	1	.81	+	1.23	5.55E-01
replication fork arrest (GO:0043111)	5	5	4.05	+	1.23	3.81E-01
alpha-glucoside transport (GO:0000017)	1	1	.81	+	1.23	5.55E-01
hypoxanthine salvage (GO:0043103)	1	1	.81	+	1.23	5.55E-01
GDP-mannose biosynthetic process (GO:0009298)	3	3	2.43	+	1.23	4.38E-01
proteasome localization (GO:0031144)	2	2	1.62	+	1.23	4.82E-01
formate metabolic process (GO:0015942)	1	1	.81	+	1.23	5.55E-01
pantothenate biosynthetic process (GO:0015940)	10	10	8.10	+	1.23	2.96E-01
negative regulation of conjugation with cellular fusion (GO:0031138)	2	2	1.62	+	1.23	4.82E-01
negative regulation of conjugation (GO:0031135)	2	2	1.62	+	1.23	4.82E-01
pantothenate metabolic process (GO:0015939)	10	10	8.10	+	1.23	2.96E-01
coenzyme A catabolic process (GO:0015938)	1	1	.81	+	1.23	5.55E-01
negative regulation of DNA duplex unwinding (GO:1905463)	1	1	.81	+	1.23	5.55E-01
regulation of DNA duplex unwinding (GO:1905462)	1	1	.81	+	1.23	5.55E-01
snRNA pseudouridine synthesis (GO:0031120)	7	7	5.67	+	1.23	3.41E-01
regulation of DNA stability (GO:0097752)	2	2	1.62	+	1.23	4.82E-01
