




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
carnitine biosynthetic process (GO:0045329)	2	1	.04	+	27.26	3.60E-02
oxidative single-stranded DNA demethylation (GO:0035552)	2	1	.04	+	27.26	3.60E-02
negative regulation of oxidoreductase activity (GO:0051354)	2	1	.04	+	27.26	3.60E-02
dehydro-D-arabinono-1,4-lactone biosynthetic process (GO:0070485)	2	1	.04	+	27.26	3.60E-02
dehydro-D-arabinono-1,4-lactone metabolic process (GO:0070484)	2	1	.04	+	27.26	3.60E-02
negative regulation of peptidase activity (GO:0010466)	2	1	.04	+	27.26	3.60E-02
very long-chain fatty acid biosynthetic process (GO:0042761)	5	2	.09	+	21.81	3.94E-03
pentose metabolic process (GO:0019321)	9	3	.17	+	18.17	6.53E-04
regulation of histone methylation (GO:0031060)	3	1	.06	+	18.17	5.36E-02
C-terminal protein lipidation (GO:0006501)	3	1	.06	+	18.17	5.36E-02
cellular ketone body metabolic process (GO:0046950)	3	1	.06	+	18.17	5.36E-02
regulation of mitotic chromosome condensation (GO:1903379)	3	1	.06	+	18.17	5.36E-02
DNA demethylation (GO:0080111)	3	1	.06	+	18.17	5.36E-02
response to hydrogen peroxide (GO:0042542)	3	1	.06	+	18.17	5.36E-02
ketone body metabolic process (GO:1902224)	3	1	.06	+	18.17	5.36E-02
oxidative demethylation (GO:0070989)	3	1	.06	+	18.17	5.36E-02
regulation of membrane potential (GO:0042391)	3	1	.06	+	18.17	5.36E-02
regulation of pyruvate dehydrogenase activity (GO:1904182)	3	1	.06	+	18.17	5.36E-02
L-methionine salvage from S-adenosylmethionine (GO:0019284)	3	1	.06	+	18.17	5.36E-02
tRNA-guanine transglycosylation (GO:0101030)	3	1	.06	+	18.17	5.36E-02
oxidative DNA demethylation (GO:0035511)	3	1	.06	+	18.17	5.36E-02
pantothenate biosynthetic process (GO:0015940)	3	1	.06	+	18.17	5.36E-02
pantothenate metabolic process (GO:0015939)	3	1	.06	+	18.17	5.36E-02
deoxyribonucleotide catabolic process (GO:0009264)	3	1	.06	+	18.17	5.36E-02
deoxyribose phosphate catabolic process (GO:0046386)	3	1	.06	+	18.17	5.36E-02
reductive iron assimilation (GO:0033215)	7	2	.13	+	15.58	7.53E-03
iron import into cell (GO:0033212)	7	2	.13	+	15.58	7.53E-03
galacturonan metabolic process (GO:0010393)	7	2	.13	+	15.58	7.53E-03
pectin catabolic process (GO:0045490)	7	2	.13	+	15.58	7.53E-03
pectin metabolic process (GO:0045488)	7	2	.13	+	15.58	7.53E-03
negative regulation of proteolysis (GO:0045861)	4	1	.07	+	13.63	7.08E-02
DNA methylation or demethylation (GO:0044728)	4	1	.07	+	13.63	7.08E-02
pyrimidine ribonucleoside metabolic process (GO:0046131)	4	1	.07	+	13.63	7.08E-02
DNA dealkylation involved in DNA repair (GO:0006307)	4	1	.07	+	13.63	7.08E-02
arachidonic acid metabolic process (GO:0019369)	4	1	.07	+	13.63	7.08E-02
olefinic compound metabolic process (GO:0120254)	4	1	.07	+	13.63	7.08E-02
pentose catabolic process (GO:0019323)	4	1	.07	+	13.63	7.08E-02
pyrimidine nucleoside metabolic process (GO:0006213)	4	1	.07	+	13.63	7.08E-02
vacuolar proton-transporting V-type ATPase complex assembly (GO:0070072)	4	1	.07	+	13.63	7.08E-02
proton-transporting V-type ATPase complex assembly (GO:0070070)	4	1	.07	+	13.63	7.08E-02
carnitine metabolic process (GO:0009437)	4	1	.07	+	13.63	7.08E-02
osmosensory signaling pathway (GO:0007231)	4	1	.07	+	13.63	7.08E-02
arabinan metabolic process (GO:0031221)	4	1	.07	+	13.63	7.08E-02
acetyl-CoA biosynthetic process from pyruvate (GO:0006086)	4	1	.07	+	13.63	7.08E-02
sorbitol catabolic process (GO:0006062)	4	1	.07	+	13.63	7.08E-02
sorbitol metabolic process (GO:0006060)	4	1	.07	+	13.63	7.08E-02
tRNA dihydrouridine synthesis (GO:0002943)	4	1	.07	+	13.63	7.08E-02
N-acetylglucosamine metabolic process (GO:0006044)	4	1	.07	+	13.63	7.08E-02
icosanoid metabolic process (GO:0006690)	4	1	.07	+	13.63	7.08E-02
'de novo' UMP biosynthetic process (GO:0044205)	4	1	.07	+	13.63	7.08E-02
S-adenosylmethionine cycle (GO:0033353)	4	1	.07	+	13.63	7.08E-02
very long-chain fatty acid metabolic process (GO:0000038)	8	2	.15	+	13.63	9.72E-03
regulation of chromosome condensation (GO:0060623)	4	1	.07	+	13.63	7.08E-02
amino-acid betaine biosynthetic process (GO:0006578)	4	1	.07	+	13.63	7.08E-02
regulation of peptidyl-lysine acetylation (GO:2000756)	5	1	.09	+	10.90	8.77E-02
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	5	1	.09	+	10.90	8.77E-02
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	5	1	.09	+	10.90	8.77E-02
C-terminal protein amino acid modification (GO:0018410)	5	1	.09	+	10.90	8.77E-02
protein neddylation (GO:0045116)	5	1	.09	+	10.90	8.77E-02
hexitol catabolic process (GO:0019407)	5	1	.09	+	10.90	8.77E-02
cellular response to amino acid stimulus (GO:0071230)	5	1	.09	+	10.90	8.77E-02
cellular response to acid chemical (GO:0071229)	5	1	.09	+	10.90	8.77E-02
UMP metabolic process (GO:0046049)	5	1	.09	+	10.90	8.77E-02
UMP biosynthetic process (GO:0006222)	5	1	.09	+	10.90	8.77E-02
negative regulation of chromatin organization (GO:1905268)	5	1	.09	+	10.90	8.77E-02
unsaturated fatty acid metabolic process (GO:0033559)	5	1	.09	+	10.90	8.77E-02
regulation of histone acetylation (GO:0035065)	5	1	.09	+	10.90	8.77E-02
response to amino acid (GO:0043200)	5	1	.09	+	10.90	8.77E-02
cell surface receptor signaling pathway (GO:0007166)	5	1	.09	+	10.90	8.77E-02
hexitol metabolic process (GO:0006059)	5	1	.09	+	10.90	8.77E-02
glycerophospholipid catabolic process (GO:0046475)	5	1	.09	+	10.90	8.77E-02
DNA dealkylation (GO:0035510)	5	1	.09	+	10.90	8.77E-02
regulation of oxidoreductase activity (GO:0051341)	5	1	.09	+	10.90	8.77E-02
maltose metabolic process (GO:0000023)	5	1	.09	+	10.90	8.77E-02
response to acid chemical (GO:0001101)	5	1	.09	+	10.90	8.77E-02
regulation of vacuole fusion, non-autophagic (GO:0032889)	5	1	.09	+	10.90	8.77E-02
fatty acid derivative metabolic process (GO:1901568)	11	2	.20	+	9.91	1.77E-02
post-translational protein modification (GO:0043687)	6	1	.11	+	9.09	1.04E-01
protein sumoylation (GO:0016925)	6	1	.11	+	9.09	1.04E-01
L-methionine salvage from methylthioadenosine (GO:0019509)	6	1	.11	+	9.09	1.04E-01
DNA modification (GO:0006304)	6	1	.11	+	9.09	1.04E-01
L-methionine salvage (GO:0071267)	6	1	.11	+	9.09	1.04E-01
S-adenosylmethionine metabolic process (GO:0046500)	6	1	.11	+	9.09	1.04E-01
intermembrane lipid transfer (GO:0120009)	6	1	.11	+	9.09	1.04E-01
regulation of protein acetylation (GO:1901983)	6	1	.11	+	9.09	1.04E-01
amino acid salvage (GO:0043102)	6	1	.11	+	9.09	1.04E-01
ribosomal large subunit export from nucleus (GO:0000055)	6	1	.11	+	9.09	1.04E-01
amino-acid betaine metabolic process (GO:0006577)	6	1	.11	+	9.09	1.04E-01
fungal-type cell wall polysaccharide metabolic process (GO:0071966)	13	2	.24	+	8.39	2.42E-02
response to reactive oxygen species (GO:0000302)	13	2	.24	+	8.39	2.42E-02
glucose homeostasis (GO:0042593)	7	1	.13	+	7.79	1.21E-01
cellular response to osmotic stress (GO:0071470)	7	1	.13	+	7.79	1.21E-01
peptidyl-arginine N-methylation (GO:0035246)	7	1	.13	+	7.79	1.21E-01
L-methionine biosynthetic process (GO:0071265)	7	1	.13	+	7.79	1.21E-01
negative regulation of translation (GO:0017148)	7	1	.13	+	7.79	1.21E-01
peptidyl-arginine methylation (GO:0018216)	7	1	.13	+	7.79	1.21E-01
carbohydrate homeostasis (GO:0033500)	7	1	.13	+	7.79	1.21E-01
peptidyl-arginine modification (GO:0018195)	7	1	.13	+	7.79	1.21E-01
glycerolipid catabolic process (GO:0046503)	7	1	.13	+	7.79	1.21E-01
regulation of peptidase activity (GO:0052547)	7	1	.13	+	7.79	1.21E-01
coenzyme A biosynthetic process (GO:0015937)	7	1	.13	+	7.79	1.21E-01
deoxyribose phosphate metabolic process (GO:0019692)	7	1	.13	+	7.79	1.21E-01
sphingolipid biosynthetic process (GO:0030148)	22	3	.40	+	7.43	8.01E-03
phosphorelay signal transduction system (GO:0000160)	15	2	.28	+	7.27	3.15E-02
pH reduction (GO:0045851)	8	1	.15	+	6.81	1.37E-01
cellular response to superoxide (GO:0071451)	8	1	.15	+	6.81	1.37E-01
cellular response to oxygen radical (GO:0071450)	8	1	.15	+	6.81	1.37E-01
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	8	1	.15	+	6.81	1.37E-01
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	8	1	.15	+	6.81	1.37E-01
negative regulation of cellular amide metabolic process (GO:0034249)	8	1	.15	+	6.81	1.37E-01
positive regulation of TOR signaling (GO:0032008)	8	1	.15	+	6.81	1.37E-01
glycogen metabolic process (GO:0005977)	8	1	.15	+	6.81	1.37E-01
removal of superoxide radicals (GO:0019430)	8	1	.15	+	6.81	1.37E-01
response to oxygen radical (GO:0000305)	8	1	.15	+	6.81	1.37E-01
response to superoxide (GO:0000303)	8	1	.15	+	6.81	1.37E-01
energy reserve metabolic process (GO:0006112)	8	1	.15	+	6.81	1.37E-01
intracellular pH reduction (GO:0051452)	8	1	.15	+	6.81	1.37E-01
hydrogen peroxide catabolic process (GO:0042744)	8	1	.15	+	6.81	1.37E-01
phospholipid catabolic process (GO:0009395)	8	1	.15	+	6.81	1.37E-01
acetyl-CoA biosynthetic process (GO:0006085)	8	1	.15	+	6.81	1.37E-01
deoxyribonucleotide metabolic process (GO:0009262)	8	1	.15	+	6.81	1.37E-01
vacuolar acidification (GO:0007035)	8	1	.15	+	6.81	1.37E-01
nucleoside bisphosphate biosynthetic process (GO:0033866)	17	2	.31	+	6.41	3.95E-02
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	17	2	.31	+	6.41	3.95E-02
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	17	2	.31	+	6.41	3.95E-02
response to oxygen-containing compound (GO:1901700)	26	3	.48	+	6.29	1.25E-02
regulation of histone modification (GO:0031056)	9	1	.17	+	6.06	1.52E-01
fungal-type cell wall polysaccharide biosynthetic process (GO:0051278)	9	1	.17	+	6.06	1.52E-01
cellular response to organonitrogen compound (GO:0071417)	9	1	.17	+	6.06	1.52E-01
protein O-linked glycosylation (GO:0006493)	9	1	.17	+	6.06	1.52E-01
cellular response to nitrogen compound (GO:1901699)	9	1	.17	+	6.06	1.52E-01
response to osmotic stress (GO:0006970)	9	1	.17	+	6.06	1.52E-01
regulation of DNA-dependent DNA replication (GO:0090329)	9	1	.17	+	6.06	1.52E-01
regulation of DNA replication (GO:0006275)	9	1	.17	+	6.06	1.52E-01
mitochondrial RNA processing (GO:0000963)	9	1	.17	+	6.06	1.52E-01
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	9	1	.17	+	6.06	1.52E-01
iron ion transport (GO:0006826)	18	2	.33	+	6.06	4.37E-02
cellular response to reactive oxygen species (GO:0034614)	9	1	.17	+	6.06	1.52E-01
response to inorganic substance (GO:0010035)	18	2	.33	+	6.06	4.37E-02
ceramide biosynthetic process (GO:0046513)	9	1	.17	+	6.06	1.52E-01
hydrogen peroxide metabolic process (GO:0042743)	9	1	.17	+	6.06	1.52E-01
negative regulation of cellular protein metabolic process (GO:0032269)	27	3	.50	+	6.06	1.39E-02
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	9	1	.17	+	6.06	1.52E-01
negative regulation of protein metabolic process (GO:0051248)	28	3	.51	+	5.84	1.53E-02
import into cell (GO:0098657)	19	2	.35	+	5.74	4.81E-02
sphingolipid metabolic process (GO:0006665)	30	3	.55	+	5.45	1.83E-02
cellular response to endogenous stimulus (GO:0071495)	10	1	.18	+	5.45	1.68E-01
demethylation (GO:0070988)	10	1	.18	+	5.45	1.68E-01
regulation of vacuole organization (GO:0044088)	10	1	.18	+	5.45	1.68E-01
thioester biosynthetic process (GO:0035384)	10	1	.18	+	5.45	1.68E-01
alditol catabolic process (GO:0019405)	10	1	.18	+	5.45	1.68E-01
cellular modified amino acid biosynthetic process (GO:0042398)	20	2	.37	+	5.45	5.27E-02
proton-transporting two-sector ATPase complex assembly (GO:0070071)	10	1	.18	+	5.45	1.68E-01
regulation of pH (GO:0006885)	10	1	.18	+	5.45	1.68E-01
pyrimidine nucleobase biosynthetic process (GO:0019856)	10	1	.18	+	5.45	1.68E-01
cell wall polysaccharide biosynthetic process (GO:0070592)	10	1	.18	+	5.45	1.68E-01
regulation of intracellular pH (GO:0051453)	10	1	.18	+	5.45	1.68E-01
acyl-CoA biosynthetic process (GO:0071616)	10	1	.18	+	5.45	1.68E-01
cell wall chitin metabolic process (GO:0006037)	10	1	.18	+	5.45	1.68E-01
fatty acid biosynthetic process (GO:0006633)	20	2	.37	+	5.45	5.27E-02
coenzyme A metabolic process (GO:0015936)	10	1	.18	+	5.45	1.68E-01
regulation of cellular pH (GO:0030641)	10	1	.18	+	5.45	1.68E-01
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	10	1	.18	+	5.45	1.68E-01
cellular response to oxygen-containing compound (GO:1901701)	21	2	.39	+	5.19	5.74E-02
cell wall macromolecule biosynthetic process (GO:0044038)	22	2	.40	+	4.96	6.23E-02
response to endogenous stimulus (GO:0009719)	11	1	.20	+	4.96	1.83E-01
disaccharide metabolic process (GO:0005984)	11	1	.20	+	4.96	1.83E-01
alditol metabolic process (GO:0019400)	11	1	.20	+	4.96	1.83E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	11	1	.20	+	4.96	1.83E-01
cellular component macromolecule biosynthetic process (GO:0070589)	22	2	.40	+	4.96	6.23E-02
G protein-coupled receptor signaling pathway (GO:0007186)	11	1	.20	+	4.96	1.83E-01
regulation of autophagy (GO:0010506)	11	1	.20	+	4.96	1.83E-01
mitotic sister chromatid cohesion (GO:0007064)	11	1	.20	+	4.96	1.83E-01
reactive oxygen species metabolic process (GO:0072593)	23	2	.42	+	4.74	6.73E-02
monocarboxylic acid biosynthetic process (GO:0072330)	35	3	.64	+	4.67	2.72E-02
cellular glucan metabolic process (GO:0006073)	35	3	.64	+	4.67	2.72E-02
cellular response to chemical stress (GO:0062197)	47	4	.86	+	4.64	1.14E-02
programmed cell death (GO:0012501)	12	1	.22	+	4.54	1.98E-01
cell wall glycoprotein biosynthetic process (GO:0031506)	12	1	.22	+	4.54	1.98E-01
apoptotic process (GO:0006915)	12	1	.22	+	4.54	1.98E-01
potassium ion transmembrane transport (GO:0071805)	12	1	.22	+	4.54	1.98E-01
superoxide metabolic process (GO:0006801)	12	1	.22	+	4.54	1.98E-01
NADPH regeneration (GO:0006740)	12	1	.22	+	4.54	1.98E-01
mannoprotein biosynthetic process (GO:0006057)	12	1	.22	+	4.54	1.98E-01
mannoprotein metabolic process (GO:0006056)	12	1	.22	+	4.54	1.98E-01
cell death (GO:0008219)	12	1	.22	+	4.54	1.98E-01
negative regulation of hydrolase activity (GO:0051346)	12	1	.22	+	4.54	1.98E-01
cell wall mannoprotein biosynthetic process (GO:0000032)	12	1	.22	+	4.54	1.98E-01
pyrimidine ribonucleotide metabolic process (GO:0009218)	12	1	.22	+	4.54	1.98E-01
polysaccharide metabolic process (GO:0005976)	88	7	1.61	+	4.34	1.30E-03
glucan metabolic process (GO:0044042)	38	3	.70	+	4.30	3.35E-02
cellular response to oxidative stress (GO:0034599)	38	3	.70	+	4.30	3.35E-02
carbohydrate catabolic process (GO:0016052)	117	9	2.15	+	4.19	3.47E-04
positive regulation of intracellular signal transduction (GO:1902533)	13	1	.24	+	4.19	2.12E-01
positive regulation of signaling (GO:0023056)	13	1	.24	+	4.19	2.12E-01
acetyl-CoA metabolic process (GO:0006084)	13	1	.24	+	4.19	2.12E-01
positive regulation of signal transduction (GO:0009967)	13	1	.24	+	4.19	2.12E-01
ceramide metabolic process (GO:0006672)	13	1	.24	+	4.19	2.12E-01
cell wall macromolecule metabolic process (GO:0044036)	40	3	.73	+	4.09	3.80E-02
monosaccharide metabolic process (GO:0005996)	40	3	.73	+	4.09	3.80E-02
cell wall polysaccharide metabolic process (GO:0010383)	27	2	.50	+	4.04	8.86E-02
pyruvate metabolic process (GO:0006090)	27	2	.50	+	4.04	8.86E-02
negative regulation of catalytic activity (GO:0043086)	27	2	.50	+	4.04	8.86E-02
nucleotide catabolic process (GO:0009166)	14	1	.26	+	3.89	2.27E-01
nucleoside biosynthetic process (GO:0009163)	14	1	.26	+	3.89	2.27E-01
ribonucleoside biosynthetic process (GO:0042455)	14	1	.26	+	3.89	2.27E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	42	3	.77	+	3.89	4.29E-02
nucleobase biosynthetic process (GO:0046112)	14	1	.26	+	3.89	2.27E-01
response to oxidative stress (GO:0006979)	56	4	1.03	+	3.89	2.03E-02
mitochondrial RNA metabolic process (GO:0000959)	14	1	.26	+	3.89	2.27E-01
pyrimidine nucleobase metabolic process (GO:0006206)	14	1	.26	+	3.89	2.27E-01
oligosaccharide metabolic process (GO:0009311)	14	1	.26	+	3.89	2.27E-01
cellular polysaccharide metabolic process (GO:0044264)	56	4	1.03	+	3.89	2.03E-02
rRNA methylation (GO:0031167)	14	1	.26	+	3.89	2.27E-01
cellular monovalent inorganic cation homeostasis (GO:0030004)	14	1	.26	+	3.89	2.27E-01
ribosomal small subunit assembly (GO:0000028)	14	1	.26	+	3.89	2.27E-01
monosaccharide catabolic process (GO:0046365)	14	1	.26	+	3.89	2.27E-01
carbohydrate metabolic process (GO:0005975)	267	19	4.90	+	3.88	5.77E-07
glucosamine-containing compound metabolic process (GO:1901071)	29	2	.53	+	3.76	9.98E-02
cellular iron ion homeostasis (GO:0006879)	29	2	.53	+	3.76	9.98E-02
iron ion homeostasis (GO:0055072)	29	2	.53	+	3.76	9.98E-02
cell wall biogenesis (GO:0042546)	45	3	.83	+	3.63	5.07E-02
cellular modified amino acid metabolic process (GO:0006575)	45	3	.83	+	3.63	5.07E-02
beta-glucan catabolic process (GO:0051275)	15	1	.28	+	3.63	2.41E-01
ribonucleoside bisphosphate metabolic process (GO:0033875)	30	2	.55	+	3.63	1.06E-01
nucleoside bisphosphate metabolic process (GO:0033865)	30	2	.55	+	3.63	1.06E-01
long-chain fatty acid metabolic process (GO:0001676)	15	1	.28	+	3.63	2.41E-01
regulation of TOR signaling (GO:0032006)	15	1	.28	+	3.63	2.41E-01
glucosamine-containing compound catabolic process (GO:1901072)	15	1	.28	+	3.63	2.41E-01
autophagy of mitochondrion (GO:0000422)	15	1	.28	+	3.63	2.41E-01
nucleosome assembly (GO:0006334)	15	1	.28	+	3.63	2.41E-01
purine nucleoside bisphosphate metabolic process (GO:0034032)	30	2	.55	+	3.63	1.06E-01
cellular response to unfolded protein (GO:0034620)	15	1	.28	+	3.63	2.41E-01
potassium ion transport (GO:0006813)	15	1	.28	+	3.63	2.41E-01
polysaccharide catabolic process (GO:0000272)	60	4	1.10	+	3.63	2.53E-02
cellulose catabolic process (GO:0030245)	15	1	.28	+	3.63	2.41E-01
cellulose metabolic process (GO:0030243)	15	1	.28	+	3.63	2.41E-01
positive regulation of cell communication (GO:0010647)	15	1	.28	+	3.63	2.41E-01
regulation of Ras protein signal transduction (GO:0046578)	15	1	.28	+	3.63	2.41E-01
cellular oxidant detoxification (GO:0098869)	30	2	.55	+	3.63	1.06E-01
nucleobase-containing small molecule biosynthetic process (GO:0034404)	30	2	.55	+	3.63	1.06E-01
autophagy of nucleus (GO:0044804)	15	1	.28	+	3.63	2.41E-01
mitochondrion disassembly (GO:0061726)	15	1	.28	+	3.63	2.41E-01
monovalent inorganic cation homeostasis (GO:0055067)	15	1	.28	+	3.63	2.41E-01
amino sugar catabolic process (GO:0046348)	15	1	.28	+	3.63	2.41E-01
negative regulation of molecular function (GO:0044092)	31	2	.57	+	3.52	1.11E-01
nucleoside metabolic process (GO:0009116)	32	2	.59	+	3.41	1.17E-01
glycosyl compound biosynthetic process (GO:1901659)	16	1	.29	+	3.41	2.55E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	16	1	.29	+	3.41	2.55E-01
response to unfolded protein (GO:0006986)	16	1	.29	+	3.41	2.55E-01
negative regulation of protein modification process (GO:0031400)	16	1	.29	+	3.41	2.55E-01
pyrimidine nucleotide biosynthetic process (GO:0006221)	16	1	.29	+	3.41	2.55E-01
glutathione metabolic process (GO:0006749)	16	1	.29	+	3.41	2.55E-01
nucleoside phosphate catabolic process (GO:1901292)	16	1	.29	+	3.41	2.55E-01
fungal-type cell wall biogenesis (GO:0009272)	32	2	.59	+	3.41	1.17E-01
glucan biosynthetic process (GO:0009250)	16	1	.29	+	3.41	2.55E-01
cellular metabolic compound salvage (GO:0043094)	16	1	.29	+	3.41	2.55E-01
developmental process (GO:0032502)	49	3	.90	+	3.34	6.22E-02
cellular response to toxic substance (GO:0097237)	33	2	.61	+	3.30	1.23E-01
cellular detoxification (GO:1990748)	33	2	.61	+	3.30	1.23E-01
asexual sporulation (GO:0030436)	17	1	.31	+	3.21	2.68E-01
conidium formation (GO:0048315)	17	1	.31	+	3.21	2.68E-01
pyrimidine nucleotide metabolic process (GO:0006220)	17	1	.31	+	3.21	2.68E-01
organophosphate catabolic process (GO:0046434)	34	2	.62	+	3.21	1.30E-01
cellular polysaccharide catabolic process (GO:0044247)	17	1	.31	+	3.21	2.68E-01
amino acid transmembrane transport (GO:0003333)	34	2	.62	+	3.21	1.30E-01
conidium development (GO:0061794)	17	1	.31	+	3.21	2.68E-01
phospholipid transport (GO:0015914)	17	1	.31	+	3.21	2.68E-01
sister chromatid cohesion (GO:0007062)	17	1	.31	+	3.21	2.68E-01
carbohydrate derivative catabolic process (GO:1901136)	35	2	.64	+	3.12	1.36E-01
glycosyl compound metabolic process (GO:1901657)	35	2	.64	+	3.12	1.36E-01
ribosomal small subunit biogenesis (GO:0042274)	70	4	1.28	+	3.12	4.09E-02
amino sugar metabolic process (GO:0006040)	35	2	.64	+	3.12	1.36E-01
cellular response to chemical stimulus (GO:0070887)	124	7	2.27	+	3.08	8.36E-03
regulation of chromatin organization (GO:1902275)	18	1	.33	+	3.03	2.81E-01
ribosome localization (GO:0033750)	18	1	.33	+	3.03	2.81E-01
regulation of DNA metabolic process (GO:0051052)	18	1	.33	+	3.03	2.81E-01
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	18	1	.33	+	3.03	2.81E-01
ATP generation from ADP (GO:0006757)	18	1	.33	+	3.03	2.81E-01
NADP metabolic process (GO:0006739)	18	1	.33	+	3.03	2.81E-01
cell differentiation (GO:0030154)	36	2	.66	+	3.03	1.42E-01
calcium ion transmembrane transport (GO:0070588)	18	1	.33	+	3.03	2.81E-01
glycolytic process (GO:0006096)	18	1	.33	+	3.03	2.81E-01
