




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (995)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
positive regulation of mitotic spindle elongation (GO:1902846)	1	1	.17	+	5.91	1.56E-01
phosphatidylcholine biosynthetic process (GO:0006656)	1	1	.17	+	5.91	1.56E-01
myeloid leukocyte activation (GO:0002274)	1	1	.17	+	5.91	1.56E-01
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	1	1	.17	+	5.91	1.56E-01
induction of bacterial agglutination (GO:0043152)	1	1	.17	+	5.91	1.56E-01
leukocyte activation (GO:0045321)	2	2	.34	+	5.91	4.59E-02
negative regulation of myosin-light-chain-phosphatase activity (GO:0035509)	1	1	.17	+	5.91	1.56E-01
regulation of myosin-light-chain-phosphatase activity (GO:0035507)	1	1	.17	+	5.91	1.56E-01
regulation of glutamate secretion, neurotransmission (GO:1903294)	1	1	.17	+	5.91	1.56E-01
regulation of phagocytosis, engulfment (GO:0060099)	1	1	.17	+	5.91	1.56E-01
viral life cycle (GO:0019058)	1	1	.17	+	5.91	1.56E-01
negative regulation of microtubule polymerization (GO:0031115)	2	2	.34	+	5.91	4.59E-02
long-chain fatty acid import into peroxisome (GO:0015910)	1	1	.17	+	5.91	1.56E-01
regulation of organic acid transport (GO:0032890)	1	1	.17	+	5.91	1.56E-01
formation of cytoplasmic translation initiation complex (GO:0001732)	1	1	.17	+	5.91	1.56E-01
regulation of histone H4 acetylation involved in response to DNA damage stimulus (GO:2000873)	1	1	.17	+	5.91	1.56E-01
post-chaperonin tubulin folding pathway (GO:0007023)	3	3	.51	+	5.91	1.50E-02
negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901029)	1	1	.17	+	5.91	1.56E-01
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)	1	1	.17	+	5.91	1.56E-01
positive regulation of chromosome segregation (GO:0051984)	1	1	.17	+	5.91	1.56E-01
positive regulation of telomerase activity (GO:0051973)	1	1	.17	+	5.91	1.56E-01
regulation of telomerase activity (GO:0051972)	1	1	.17	+	5.91	1.56E-01
isoprenoid biosynthetic process via mevalonate (GO:1902767)	1	1	.17	+	5.91	1.56E-01
tyrosine catabolic process (GO:0006572)	1	1	.17	+	5.91	1.56E-01
monovalent inorganic anion homeostasis (GO:0055083)	2	2	.34	+	5.91	4.59E-02
regulation of response to osmotic stress (GO:0047484)	1	1	.17	+	5.91	1.56E-01
late endosomal microautophagy (GO:0061738)	1	1	.17	+	5.91	1.56E-01
regulation of amino acid transport (GO:0051955)	1	1	.17	+	5.91	1.56E-01
manganese ion homeostasis (GO:0055071)	1	1	.17	+	5.91	1.56E-01
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	1	1	.17	+	5.91	1.56E-01
negative regulation of lamellipodium organization (GO:1902744)	1	1	.17	+	5.91	1.56E-01
lysine metabolic process (GO:0006553)	1	1	.17	+	5.91	1.56E-01
chloride ion homeostasis (GO:0055064)	2	2	.34	+	5.91	4.59E-02
glucose catabolic process to pyruvate (GO:0061718)	1	1	.17	+	5.91	1.56E-01
calcium ion transmembrane transport via low voltage-gated calcium channel (GO:0090676)	1	1	.17	+	5.91	1.56E-01
histidine catabolic process (GO:0006548)	1	1	.17	+	5.91	1.56E-01
histidine metabolic process (GO:0006547)	1	1	.17	+	5.91	1.56E-01
aspartate biosynthetic process (GO:0006532)	1	1	.17	+	5.91	1.56E-01
mitochondrial mRNA 3'-end processing (GO:0090616)	1	1	.17	+	5.91	1.56E-01
mitochondrial mRNA processing (GO:0090615)	1	1	.17	+	5.91	1.56E-01
negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:2001271)	1	1	.17	+	5.91	1.56E-01
zonula adherens maintenance (GO:0045218)	1	1	.17	+	5.91	1.56E-01
carnitine transport (GO:0015879)	1	1	.17	+	5.91	1.56E-01
protein localization to presynapse (GO:1905383)	1	1	.17	+	5.91	1.56E-01
histone H3-K36 dimethylation (GO:0097676)	1	1	.17	+	5.91	1.56E-01
amino-acid betaine transport (GO:0015838)	1	1	.17	+	5.91	1.56E-01
histamine biosynthetic process (GO:0001694)	2	2	.34	+	5.91	4.59E-02
retinal metabolic process (GO:0042574)	2	2	.34	+	5.91	4.59E-02
retinol metabolic process (GO:0042572)	1	1	.17	+	5.91	1.56E-01
box H/ACA snoRNA processing (GO:0034964)	1	1	.17	+	5.91	1.56E-01
box C/D snoRNA processing (GO:0034963)	1	1	.17	+	5.91	1.56E-01
negative regulation of double-strand break repair (GO:2000780)	1	1	.17	+	5.91	1.56E-01
positive regulation of cytoplasmic translation (GO:2000767)	1	1	.17	+	5.91	1.56E-01
hypotonic salinity response (GO:0042539)	1	1	.17	+	5.91	1.56E-01
cellular response to blue light (GO:0071483)	1	1	.17	+	5.91	1.56E-01
cellular hypotonic salinity response (GO:0071477)	1	1	.17	+	5.91	1.56E-01
cellular hypotonic response (GO:0071476)	1	1	.17	+	5.91	1.56E-01
free ubiquitin chain depolymerization (GO:0010995)	1	1	.17	+	5.91	1.56E-01
cellular response to anoxia (GO:0071454)	2	2	.34	+	5.91	4.59E-02
cellular response to pheromone (GO:0071444)	1	1	.17	+	5.91	1.56E-01
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	1	1	.17	+	5.91	1.56E-01
O-glycan processing, core 1 (GO:0016267)	2	2	.34	+	5.91	4.59E-02
magnesium ion homeostasis (GO:0010960)	1	1	.17	+	5.91	1.56E-01
C-terminal protein methylation (GO:0006481)	1	1	.17	+	5.91	1.56E-01
canonical glycolysis (GO:0061621)	1	1	.17	+	5.91	1.56E-01
glycolytic process through glucose-6-phosphate (GO:0061620)	1	1	.17	+	5.91	1.56E-01
regulation of translational fidelity (GO:0006450)	1	1	.17	+	5.91	1.56E-01
regulation of glutamate secretion (GO:0014048)	1	1	.17	+	5.91	1.56E-01
glutamate secretion (GO:0014047)	1	1	.17	+	5.91	1.56E-01
glycolytic process through fructose-6-phosphate (GO:0061615)	1	1	.17	+	5.91	1.56E-01
regulation of Roundabout signaling pathway (GO:0035386)	1	1	.17	+	5.91	1.56E-01
transepithelial water transport (GO:0035377)	1	1	.17	+	5.91	1.56E-01
tRNA export from nucleus (GO:0006409)	1	1	.17	+	5.91	1.56E-01
desensitization of G protein-coupled receptor signaling pathway by arrestin (GO:0002032)	2	2	.34	+	5.91	4.59E-02
nuclear-transcribed mRNA catabolic process, no-go decay (GO:0070966)	1	1	.17	+	5.91	1.56E-01
trehalose catabolic process (GO:0005993)	1	1	.17	+	5.91	1.56E-01
positive regulation of protein dephosphorylation (GO:0035307)	1	1	.17	+	5.91	1.56E-01
positive regulation of dephosphorylation (GO:0035306)	1	1	.17	+	5.91	1.56E-01
lysine biosynthetic process (GO:0009085)	1	1	.17	+	5.91	1.56E-01
quinolinate metabolic process (GO:0046874)	1	1	.17	+	5.91	1.56E-01
formate transport (GO:0015724)	1	1	.17	+	5.91	1.56E-01
bicarbonate transport (GO:0015701)	2	2	.34	+	5.91	4.59E-02
positive regulation of mitotic sister chromatid segregation (GO:0062033)	1	1	.17	+	5.91	1.56E-01
positive regulation of protein export from nucleus (GO:0046827)	1	1	.17	+	5.91	1.56E-01
ocellus photoreceptor cell development (GO:0042463)	2	2	.34	+	5.91	4.59E-02
positive regulation of transcription regulatory region DNA binding (GO:2000679)	1	1	.17	+	5.91	1.56E-01
retinoid metabolic process (GO:0001523)	3	3	.51	+	5.91	1.50E-02
regulation of early endosome to late endosome transport (GO:2000641)	1	1	.17	+	5.91	1.56E-01
cellular response to corticotropin-releasing hormone stimulus (GO:0071376)	1	1	.17	+	5.91	1.56E-01
peptidyl-glutamine methylation (GO:0018364)	1	1	.17	+	5.91	1.56E-01
mystery cell differentiation (GO:0008583)	1	1	.17	+	5.91	1.56E-01
positive regulation of phospholipase C activity (GO:0010863)	2	2	.34	+	5.91	4.59E-02
rhabdomere morphogenesis (GO:0061541)	5	5	.85	+	5.91	1.79E-03
7-methylguanosine mRNA capping (GO:0006370)	2	2	.34	+	5.91	4.59E-02
carotene catabolic process (GO:0016121)	1	1	.17	+	5.91	1.56E-01
carotene metabolic process (GO:0016119)	1	1	.17	+	5.91	1.56E-01
carotenoid metabolic process (GO:0016116)	1	1	.17	+	5.91	1.56E-01
terpenoid catabolic process (GO:0016115)	2	2	.34	+	5.91	4.59E-02
tetraterpenoid metabolic process (GO:0016108)	1	1	.17	+	5.91	1.56E-01
sesquiterpenoid catabolic process (GO:0016107)	2	2	.34	+	5.91	4.59E-02
diterpenoid biosynthetic process (GO:0016102)	1	1	.17	+	5.91	1.56E-01
diterpenoid metabolic process (GO:0016101)	3	3	.51	+	5.91	1.50E-02
negative regulation of transposon integration (GO:0070895)	1	1	.17	+	5.91	1.56E-01
interaction with host (GO:0051701)	1	1	.17	+	5.91	1.56E-01
quaternary ammonium group transport (GO:0015697)	1	1	.17	+	5.91	1.56E-01
vitamin A biosynthetic process (GO:0035238)	1	1	.17	+	5.91	1.56E-01
cytoneme assembly (GO:0035231)	2	2	.34	+	5.91	4.59E-02
positive regulation of lysosomal protein catabolic process (GO:1905167)	1	1	.17	+	5.91	1.56E-01
regulation of lysosomal protein catabolic process (GO:1905165)	1	1	.17	+	5.91	1.56E-01
positive regulation of membrane invagination (GO:1905155)	1	1	.17	+	5.91	1.56E-01
regulation of membrane invagination (GO:1905153)	1	1	.17	+	5.91	1.56E-01
histone H4-K20 trimethylation (GO:0034773)	2	2	.34	+	5.91	4.59E-02
histone H4-K20 dimethylation (GO:0034772)	1	1	.17	+	5.91	1.56E-01
histone H4-K20 methylation (GO:0034770)	2	2	.34	+	5.91	4.59E-02
viral entry into host cell (GO:0046718)	1	1	.17	+	5.91	1.56E-01
movement in host environment (GO:0052126)	1	1	.17	+	5.91	1.56E-01
positive regulation of ATP-dependent microtubule motor activity, minus-end-directed (GO:2000579)	1	1	.17	+	5.91	1.56E-01
regulation of ATP-dependent microtubule motor activity, minus-end-directed (GO:2000577)	1	1	.17	+	5.91	1.56E-01
regulation of follicle cell microvillus length (GO:0032533)	1	1	.17	+	5.91	1.56E-01
regulation of microvillus length (GO:0032532)	1	1	.17	+	5.91	1.56E-01
regulation of follicle cell microvillus organization (GO:0032531)	1	1	.17	+	5.91	1.56E-01
regulation of microvillus organization (GO:0032530)	1	1	.17	+	5.91	1.56E-01
positive regulation of somatic stem cell division (GO:1904677)	2	2	.34	+	5.91	4.59E-02
regulation of somatic stem cell division (GO:1904675)	2	2	.34	+	5.91	4.59E-02
pointed-end actin filament capping (GO:0051694)	1	1	.17	+	5.91	1.56E-01
transepithelial chloride transport (GO:0030321)	1	1	.17	+	5.91	1.56E-01
protein O-linked glycosylation via threonine (GO:0018243)	1	1	.17	+	5.91	1.56E-01
cellular response to leucine (GO:0071233)	2	2	.34	+	5.91	4.59E-02
transcription-coupled nucleotide-excision repair (GO:0006283)	1	1	.17	+	5.91	1.56E-01
connective tissue development (GO:0061448)	1	1	.17	+	5.91	1.56E-01
regulation of phospholipase C activity (GO:1900274)	2	2	.34	+	5.91	4.59E-02
mitochondrial RNA 3'-end processing (GO:0000965)	1	1	.17	+	5.91	1.56E-01
absorption of visible light (GO:0016038)	1	1	.17	+	5.91	1.56E-01
phagosome acidification (GO:0090383)	1	1	.17	+	5.91	1.56E-01
peptidyl-methionine modification (GO:0018206)	2	2	.34	+	5.91	4.59E-02
negative regulation of extracellular matrix disassembly (GO:0010716)	1	1	.17	+	5.91	1.56E-01
regulation of extracellular matrix disassembly (GO:0010715)	1	1	.17	+	5.91	1.56E-01
nuclear cortical migration (GO:0035192)	1	1	.17	+	5.91	1.56E-01
larval foraging behavior (GO:0035177)	1	1	.17	+	5.91	1.56E-01
uracil catabolic process (GO:0006212)	2	2	.34	+	5.91	4.59E-02
thymine catabolic process (GO:0006210)	1	1	.17	+	5.91	1.56E-01
homogentisate metabolic process (GO:1901999)	1	1	.17	+	5.91	1.56E-01
plus-end-directed endosome transport along mitotic spindle midzone microtubule (GO:0140024)	1	1	.17	+	5.91	1.56E-01
trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0099555)	1	1	.17	+	5.91	1.56E-01
trans-synaptic signaling by soluble gas, modulating synaptic transmission (GO:0099554)	1	1	.17	+	5.91	1.56E-01
trans-synaptic signaling, modulating synaptic transmission (GO:0099550)	1	1	.17	+	5.91	1.56E-01
protein O-GlcNAcylation via threonine (GO:0097370)	1	1	.17	+	5.91	1.56E-01
trans-synaptic signaling by nitric oxide (GO:0099548)	1	1	.17	+	5.91	1.56E-01
negative regulation of insulin secretion (GO:0046676)	1	1	.17	+	5.91	1.56E-01
trans-synaptic signaling by soluble gas (GO:0099543)	1	1	.17	+	5.91	1.56E-01
positive regulation of small RNA loading onto RISC (GO:0106161)	2	2	.34	+	5.91	4.59E-02
ocellus morphogenesis (GO:0048816)	1	1	.17	+	5.91	1.56E-01
regulation of small RNA loading onto RISC (GO:0106159)	2	2	.34	+	5.91	4.59E-02
cap2 mRNA methylation (GO:0097310)	1	1	.17	+	5.91	1.56E-01
regulation of Cdc42 protein signal transduction (GO:0032489)	1	1	.17	+	5.91	1.56E-01
cap1 mRNA methylation (GO:0097309)	1	1	.17	+	5.91	1.56E-01
retinol transport (GO:0034633)	1	1	.17	+	5.91	1.56E-01
entry into host (GO:0044409)	1	1	.17	+	5.91	1.56E-01
phospholipase C-activating rhodopsin mediated signaling pathway (GO:0030265)	1	1	.17	+	5.91	1.56E-01
terpene metabolic process (GO:0042214)	1	1	.17	+	5.91	1.56E-01
polar body extrusion after meiotic divisions (GO:0040038)	1	1	.17	+	5.91	1.56E-01
negative regulation of intracellular mRNA localization (GO:1904581)	1	1	.17	+	5.91	1.56E-01
IMP biosynthetic process (GO:0006188)	1	1	.17	+	5.91	1.56E-01
cell morphogenesis involved in Malpighian tubule morphogenesis (GO:0061336)	1	1	.17	+	5.91	1.56E-01
positive regulation of cAMP-mediated signaling (GO:0043950)	1	1	.17	+	5.91	1.56E-01
positive regulation of transcription involved in G2/M transition of mitotic cell cycle (GO:0090282)	1	1	.17	+	5.91	1.56E-01
regulation of actomyosin contractile ring contraction (GO:0031991)	1	1	.17	+	5.91	1.56E-01
negative regulation of lipophagy (GO:1904503)	1	1	.17	+	5.91	1.56E-01
isoprenoid catabolic process (GO:0008300)	3	3	.51	+	5.91	1.50E-02
NADH oxidation (GO:0006116)	2	2	.34	+	5.91	4.59E-02
lysine biosynthetic process via aminoadipic acid (GO:0019878)	1	1	.17	+	5.91	1.56E-01
fumarate metabolic process (GO:0006106)	1	1	.17	+	5.91	1.56E-01
isocitrate metabolic process (GO:0006102)	1	1	.17	+	5.91	1.56E-01
nuclear speck organization (GO:0035063)	1	1	.17	+	5.91	1.56E-01
uracil metabolic process (GO:0019860)	2	2	.34	+	5.91	4.59E-02
thymine metabolic process (GO:0019859)	1	1	.17	+	5.91	1.56E-01
nonfunctional rRNA decay (GO:0070651)	1	1	.17	+	5.91	1.56E-01
adult chitin-based cuticle pattern formation (GO:0035018)	1	1	.17	+	5.91	1.56E-01
quinolinate biosynthetic process (GO:0019805)	1	1	.17	+	5.91	1.56E-01
compound eye corneal lens morphogenesis (GO:0048750)	1	1	.17	+	5.91	1.56E-01
mitochondrial mRNA polyadenylation (GO:0097222)	1	1	.17	+	5.91	1.56E-01
positive regulation of reactive oxygen species metabolic process (GO:2000379)	2	2	.34	+	5.91	4.59E-02
macrophage activation (GO:0042116)	1	1	.17	+	5.91	1.56E-01
negative regulation of lamellipodium assembly (GO:0010593)	1	1	.17	+	5.91	1.56E-01
negative regulation of stress fiber assembly (GO:0051497)	1	1	.17	+	5.91	1.56E-01
positive regulation of synaptic vesicle exocytosis (GO:2000302)	1	1	.17	+	5.91	1.56E-01
acetate metabolic process (GO:0006083)	1	1	.17	+	5.91	1.56E-01
glycerol-3-phosphate metabolic process (GO:0006072)	2	2	.34	+	5.91	4.59E-02
glycerol metabolic process (GO:0006071)	1	1	.17	+	5.91	1.56E-01
response to magnetism (GO:0071000)	1	1	.17	+	5.91	1.56E-01
positive regulation of nitric oxide metabolic process (GO:1904407)	1	1	.17	+	5.91	1.56E-01
positive regulation of phospholipase activity (GO:0010518)	2	2	.34	+	5.91	4.59E-02
regulation of phospholipase activity (GO:0010517)	2	2	.34	+	5.91	4.59E-02
Golgi ribbon formation (GO:0090161)	1	1	.17	+	5.91	1.56E-01
strand displacement (GO:0000732)	1	1	.17	+	5.91	1.56E-01
inositol biosynthetic process (GO:0006021)	1	1	.17	+	5.91	1.56E-01
positive regulation of ruffle assembly (GO:1900029)	1	1	.17	+	5.91	1.56E-01
regulation of ruffle assembly (GO:1900027)	1	1	.17	+	5.91	1.56E-01
cellular water homeostasis (GO:0009992)	1	1	.17	+	5.91	1.56E-01
fructose 2,6-bisphosphate metabolic process (GO:0006003)	1	1	.17	+	5.91	1.56E-01
regulation of cell differentiation involved in tissue homeostasis (GO:0060786)	2	2	.34	+	5.91	4.59E-02
detection of light stimulus involved in magnetoreception (GO:0050980)	1	1	.17	+	5.91	1.56E-01
foraging behavior (GO:0060756)	1	1	.17	+	5.91	1.56E-01
response to methyl methanesulfonate (GO:0072702)	1	1	.17	+	5.91	1.56E-01
negative regulation of TORC2 signaling (GO:1903940)	1	1	.17	+	5.91	1.56E-01
cytoneme morphogenesis (GO:0003399)	2	2	.34	+	5.91	4.59E-02
olefinic compound metabolic process (GO:0120254)	2	2	.34	+	5.91	4.59E-02
hydrocarbon catabolic process (GO:0120253)	1	1	.17	+	5.91	1.56E-01
magnetoreception (GO:0050958)	1	1	.17	+	5.91	1.56E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter (GO:0001193)	1	1	.17	+	5.91	1.56E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation (GO:0001192)	1	1	.17	+	5.91	1.56E-01
fasciculation of sensory neuron axon (GO:0097155)	1	1	.17	+	5.91	1.56E-01
induction of negative chemotaxis (GO:0050929)	1	1	.17	+	5.91	1.56E-01
positive regulation of negative chemotaxis (GO:0050924)	1	1	.17	+	5.91	1.56E-01
regulation of negative chemotaxis (GO:0050923)	1	1	.17	+	5.91	1.56E-01
neuroligin clustering involved in postsynaptic membrane assembly (GO:0097118)	1	1	.17	+	5.91	1.56E-01
IMP salvage (GO:0032264)	1	1	.17	+	5.91	1.56E-01
negative regulation of actin filament bundle assembly (GO:0032232)	1	1	.17	+	5.91	1.56E-01
regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction (GO:0014853)	1	1	.17	+	5.91	1.56E-01
regulation of skeletal muscle contraction by neural stimulation via neuromuscular junction (GO:0014852)	1	1	.17	+	5.91	1.56E-01
mannose trimming involved in glycoprotein ERAD pathway (GO:1904382)	1	1	.17	+	5.91	1.56E-01
actin modification (GO:0030047)	1	1	.17	+	5.91	1.56E-01
positive regulation of telomere maintenance (GO:0032206)	1	1	.17	+	5.91	1.56E-01
regulation of telomere maintenance (GO:0032204)	2	2	.34	+	5.91	4.59E-02
positive regulation of telomere capping (GO:1904355)	1	1	.17	+	5.91	1.56E-01
regulation of telomere capping (GO:1904353)	1	1	.17	+	5.91	1.56E-01
positive regulation of protein catabolic process in the vacuole (GO:1904352)	1	1	.17	+	5.91	1.56E-01
regulation of protein catabolic process in the vacuole (GO:1904350)	1	1	.17	+	5.91	1.56E-01
positive regulation of calcium ion-dependent exocytosis (GO:0045956)	1	1	.17	+	5.91	1.56E-01
regulation of skeletal muscle contraction (GO:0014819)	1	1	.17	+	5.91	1.56E-01
exit from mitosis (GO:0010458)	1	1	.17	+	5.91	1.56E-01
box H/ACA snoRNA metabolic process (GO:0033979)	1	1	.17	+	5.91	1.56E-01
positive regulation of female receptivity (GO:0045925)	1	1	.17	+	5.91	1.56E-01
box C/D snoRNA metabolic process (GO:0033967)	1	1	.17	+	5.91	1.56E-01
positive regulation of translational fidelity (GO:0045903)	1	1	.17	+	5.91	1.56E-01
positive regulation of pericentric heterochromatin assembly (GO:0090053)	1	1	.17	+	5.91	1.56E-01
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	1	1	.17	+	5.91	1.56E-01
nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	1	1	.17	+	5.91	1.56E-01
multicellular organismal water homeostasis (GO:0050891)	2	2	.34	+	5.91	4.59E-02
disaccharide catabolic process (GO:0046352)	1	1	.17	+	5.91	1.56E-01
renal protein absorption (GO:0097017)	2	2	.34	+	5.91	4.59E-02
protein alpha-1,2-demannosylation (GO:0036508)	1	1	.17	+	5.91	1.56E-01
protein demannosylation (GO:0036507)	1	1	.17	+	5.91	1.56E-01
negative regulation of rhodopsin gene expression (GO:0045871)	1	1	.17	+	5.91	1.56E-01
maternal determination of dorsal/ventral axis, ovarian follicular epithelium, soma encoded (GO:0008071)	1	1	.17	+	5.91	1.56E-01
negative regulation of pole plasm oskar mRNA localization (GO:0045855)	1	1	.17	+	5.91	1.56E-01
regulation of transcription from RNA polymerase II promoter involved in spermatogenesis (GO:1902064)	1	1	.17	+	5.91	1.56E-01
negative regulation of hematopoietic stem cell differentiation (GO:1902037)	1	1	.17	+	5.91	1.56E-01
regulation of hematopoietic stem cell differentiation (GO:1902036)	2	2	.34	+	5.91	4.59E-02
negative regulation of eclosion (GO:0045804)	1	1	.17	+	5.91	1.56E-01
cellular response to sucrose starvation (GO:0043617)	1	1	.17	+	5.91	1.56E-01
fatty acid transmembrane transport (GO:1902001)	1	1	.17	+	5.91	1.56E-01
