




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
prolactin signaling pathway (GO:0038161)	1	1	.05	+	19.58	4.98E-02
negative regulation of chromosome condensation (GO:1902340)	1	1	.05	+	19.58	4.98E-02
slow axonal transport (GO:1990832)	1	1	.05	+	19.58	4.98E-02
subtelomeric heterochromatin organization (GO:0140461)	1	1	.05	+	19.58	4.98E-02
negative regulation of eosinophil extravasation (GO:2000420)	1	1	.05	+	19.58	4.98E-02
regulation of eosinophil extravasation (GO:2000419)	1	1	.05	+	19.58	4.98E-02
cellular response to blue light (GO:0071483)	2	2	.10	+	19.58	4.87E-03
positive regulation of prolactin signaling pathway (GO:1902213)	1	1	.05	+	19.58	4.98E-02
regulation of prolactin signaling pathway (GO:1902211)	1	1	.05	+	19.58	4.98E-02
cellular response to non-ionic osmotic stress (GO:0071471)	1	1	.05	+	19.58	4.98E-02
cellular response to anoxia (GO:0071454)	1	1	.05	+	19.58	4.98E-02
mitotic spindle microtubule depolymerization (GO:1990755)	1	1	.05	+	19.58	4.98E-02
starch catabolic process (GO:0005983)	1	1	.05	+	19.58	4.98E-02
starch metabolic process (GO:0005982)	1	1	.05	+	19.58	4.98E-02
transcription elongation from mitochondrial promoter (GO:0006392)	1	1	.05	+	19.58	4.98E-02
cellular response to cortisol stimulus (GO:0071387)	1	1	.05	+	19.58	4.98E-02
regulation of acid-sensing ion channel activity (GO:1901585)	1	1	.05	+	19.58	4.98E-02
barbed-end actin filament uncapping (GO:0051638)	1	1	.05	+	19.58	4.98E-02
positive regulation of norepinephrine uptake (GO:0051623)	1	1	.05	+	19.58	4.98E-02
negative regulation of deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0106289)	1	1	.05	+	19.58	4.98E-02
regulation of deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0106288)	1	1	.05	+	19.58	4.98E-02
cytosol to ERGIC protein transport (GO:0106273)	1	1	.05	+	19.58	4.98E-02
protein localization to ERGIC (GO:0106272)	1	1	.05	+	19.58	4.98E-02
suppression of host defenses by symbiont (GO:0044414)	1	1	.05	+	19.58	4.98E-02
nonfunctional rRNA decay (GO:0070651)	1	1	.05	+	19.58	4.98E-02
DNA excision (GO:0044349)	1	1	.05	+	19.58	4.98E-02
nucleotide-excision repair, DNA damage removal (GO:0000718)	1	1	.05	+	19.58	4.98E-02
monopolar spindle attachment to meiosis I kinetochore (GO:0051455)	1	1	.05	+	19.58	4.98E-02
regulation of mitochondrial ATP synthesis coupled proton transport (GO:1905706)	1	1	.05	+	19.58	4.98E-02
response to cytochalasin B (GO:1901328)	1	1	.05	+	19.58	4.98E-02
positive regulation of sterol regulatory element binding protein cleavage (GO:1901310)	1	1	.05	+	19.58	4.98E-02
regulation of sterol regulatory element binding protein cleavage (GO:1901308)	1	1	.05	+	19.58	4.98E-02
positive regulation of spermidine biosynthetic process (GO:1901307)	1	1	.05	+	19.58	4.98E-02
regulation of spermidine biosynthetic process (GO:1901304)	1	1	.05	+	19.58	4.98E-02
negative regulation of cargo loading into COPII-coated vesicle (GO:1901303)	1	1	.05	+	19.58	4.98E-02
regulation of cargo loading into COPII-coated vesicle (GO:1901301)	2	2	.10	+	19.58	4.87E-03
negative regulation of telomere maintenance via recombination (GO:0032208)	1	1	.05	+	19.58	4.98E-02
regulation of telomere maintenance via recombination (GO:0032207)	1	1	.05	+	19.58	4.98E-02
RNA localization to chromatin (GO:1990280)	1	1	.05	+	19.58	4.98E-02
negative regulation of protein localization to endosome (GO:1905667)	1	1	.05	+	19.58	4.98E-02
negative regulation of double-strand break repair via single-strand annealing (GO:1901291)	1	1	.05	+	19.58	4.98E-02
attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation (GO:0051316)	1	1	.05	+	19.58	4.98E-02
meiotic metaphase plate congression (GO:0051311)	1	1	.05	+	19.58	4.98E-02
nuclear-transcribed mRNA catabolic process, non-stop decay (GO:0070481)	1	1	.05	+	19.58	4.98E-02
negative regulation of oligodendrocyte progenitor proliferation (GO:0070446)	1	1	.05	+	19.58	4.98E-02
maintenance of ciliary planar beating movement pattern (GO:0120221)	1	1	.05	+	19.58	4.98E-02
blue light signaling pathway (GO:0009785)	2	2	.10	+	19.58	4.87E-03
regulation of translation in response to oxidative stress (GO:0043556)	1	1	.05	+	19.58	4.98E-02
response to low light intensity stimulus (GO:0009645)	1	1	.05	+	19.58	4.98E-02
subtelomeric heterochromatin assembly (GO:0031509)	1	1	.05	+	19.58	4.98E-02
negative regulation of leukocyte adhesion to arterial endothelial cell (GO:1904998)	1	1	.05	+	19.58	4.98E-02
oncosis (GO:0070267)	1	1	.05	+	19.58	4.98E-02
negative regulation of endosome organization (GO:1904979)	1	1	.05	+	19.58	4.98E-02
response to D-galactose (GO:1905377)	1	1	.05	+	19.58	4.98E-02
negative regulation of intralumenal vesicle formation (GO:1905366)	1	1	.05	+	19.58	4.98E-02
regulation of intralumenal vesicle formation (GO:1905365)	1	1	.05	+	19.58	4.98E-02
negative regulation of calcium-independent cell-cell adhesion (GO:0051042)	1	1	.05	+	19.58	4.98E-02
nucleologenesis (GO:0017126)	2	2	.10	+	19.58	4.87E-03
isotype switching to IgG isotypes (GO:0048291)	1	1	.05	+	19.58	4.98E-02
mitochondrial asparaginyl-tRNA aminoacylation (GO:0070145)	1	1	.05	+	19.58	4.98E-02
negative regulation of macroautophagy by TORC1 signaling (GO:1904766)	1	1	.05	+	19.58	4.98E-02
chaperone-mediated autophagy translocation complex disassembly (GO:1904764)	1	1	.05	+	19.58	4.98E-02
regulation of protein localization to adherens junction (GO:1904702)	1	1	.05	+	19.58	4.98E-02
manchette disassembly (GO:1905199)	1	1	.05	+	19.58	4.98E-02
actin rod assembly (GO:0031247)	1	1	.05	+	19.58	4.98E-02
circadian sleep/wake cycle, REM sleep (GO:0042747)	2	2	.10	+	19.58	4.87E-03
response to curcumin (GO:1904643)	1	1	.05	+	19.58	4.98E-02
regulation of embryonic cell shape (GO:0016476)	1	1	.05	+	19.58	4.98E-02
negative regulation of astrocyte activation (GO:0061889)	1	1	.05	+	19.58	4.98E-02
cardiac jelly development (GO:1905072)	1	1	.05	+	19.58	4.98E-02
positive regulation of myosin-light-chain-phosphatase activity (GO:0035508)	1	1	.05	+	19.58	4.98E-02
negative regulation of glucocorticoid mediated signaling pathway (GO:1900170)	1	1	.05	+	19.58	4.98E-02
calcium-dependent cell-matrix adhesion (GO:0016340)	2	2	.10	+	19.58	4.87E-03
pantothenate transmembrane transport (GO:0015887)	1	1	.05	+	19.58	4.98E-02
meiotic metaphase I plate congression (GO:0043060)	1	1	.05	+	19.58	4.98E-02
tyrosine transport (GO:0015828)	1	1	.05	+	19.58	4.98E-02
regulation of polyamine biosynthetic process (GO:0010967)	1	1	.05	+	19.58	4.98E-02
muscle attachment (GO:0016203)	1	1	.05	+	19.58	4.98E-02
methionine catabolic process (GO:0009087)	1	1	.05	+	19.58	4.98E-02
regulation of microtubule anchoring at centrosome (GO:0150101)	1	1	.05	+	19.58	4.98E-02
execution phase of necroptosis (GO:0097528)	2	2	.10	+	19.58	4.87E-03
negative regulation of telomere single strand break repair (GO:1903824)	1	1	.05	+	19.58	4.98E-02
positive regulation of polynucleotide adenylyltransferase activity (GO:1904247)	1	1	.05	+	19.58	4.98E-02
negative regulation of beta-galactosidase activity (GO:1903770)	1	1	.05	+	19.58	4.98E-02
cellular response to caloric restriction (GO:0061433)	1	1	.05	+	19.58	4.98E-02
response to tellurium ion (GO:0046690)	1	1	.05	+	19.58	4.98E-02
peptidyl-aspartic acid hydroxylation (GO:0042264)	1	1	.05	+	19.58	4.98E-02
positive regulation of otic vesicle morphogenesis (GO:1904120)	1	1	.05	+	19.58	4.98E-02
regulation of otic vesicle morphogenesis (GO:1904118)	1	1	.05	+	19.58	4.98E-02
positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance (GO:0061395)	1	1	.05	+	19.58	4.98E-02
positive regulation of protein insertion into mitochondrial outer membrane (GO:1903638)	1	1	.05	+	19.58	4.98E-02
regulation of protein insertion into mitochondrial outer membrane (GO:1903636)	1	1	.05	+	19.58	4.98E-02
venous endothelial cell differentiation (GO:0060843)	1	1	.05	+	19.58	4.98E-02
positive regulation of Wnt signaling pathway by BMP signaling pathway (GO:0060804)	1	1	.05	+	19.58	4.98E-02
negative regulation of cystathionine beta-synthase activity (GO:1904042)	1	1	.05	+	19.58	4.98E-02
regulation of cystathionine beta-synthase activity (GO:1904041)	1	1	.05	+	19.58	4.98E-02
mitochondrial unfolded protein response (GO:0034514)	1	1	.05	+	19.58	4.98E-02
nitrogen utilization (GO:0019740)	1	1	.05	+	19.58	4.98E-02
negative regulation of single strand break repair (GO:1903517)	1	1	.05	+	19.58	4.98E-02
cellular response to cytochalasin B (GO:0072749)	1	1	.05	+	19.58	4.98E-02
cellular response to anisomycin (GO:0072740)	1	1	.05	+	19.58	4.98E-02
response to anisomycin (GO:0072739)	1	1	.05	+	19.58	4.98E-02
regulation of eIF2 alpha phosphorylation by dsRNA (GO:0060735)	1	1	.05	+	19.58	4.98E-02
phosphatidylglycerol catabolic process (GO:0034478)	1	1	.05	+	19.58	4.98E-02
spongiotrophoblast layer development (GO:0060712)	1	1	.05	+	19.58	4.98E-02
epidermal cell division (GO:0010481)	1	1	.05	+	19.58	4.98E-02
myoblast differentiation involved in skeletal muscle regeneration (GO:0014835)	1	1	.05	+	19.58	4.98E-02
ammonia assimilation cycle (GO:0019676)	1	1	.05	+	19.58	4.98E-02
Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation (GO:0003270)	1	1	.05	+	19.58	4.98E-02
negative regulation of cell proliferation involved in heart valve morphogenesis (GO:0003252)	2	2	.10	+	19.58	4.87E-03
phosphatidylserine exposure on blood platelet (GO:0097045)	1	1	.05	+	19.58	4.98E-02
response to non-ionic osmotic stress (GO:0010335)	1	1	.05	+	19.58	4.98E-02
coronary sinus valve morphogenesis (GO:0003182)	1	1	.05	+	19.58	4.98E-02
coronary sinus valve development (GO:0003178)	1	1	.05	+	19.58	4.98E-02
formaldehyde biosynthetic process (GO:0046293)	1	1	.05	+	19.58	4.98E-02
protein localization to spindle microtubule (GO:1902889)	1	1	.05	+	19.58	4.98E-02
negative regulation of glucocorticoid receptor signaling pathway (GO:2000323)	6	5	.31	+	16.32	1.73E-05
circadian regulation of translation (GO:0097167)	4	3	.20	+	14.68	1.22E-03
pole plasm assembly (GO:0007315)	3	2	.15	+	13.05	1.06E-02
oocyte anterior/posterior axis specification (GO:0007314)	3	2	.15	+	13.05	1.06E-02
negative regulation of glucocorticoid secretion (GO:2000850)	3	2	.15	+	13.05	1.06E-02
oocyte axis specification (GO:0007309)	3	2	.15	+	13.05	1.06E-02
oocyte construction (GO:0007308)	3	2	.15	+	13.05	1.06E-02
negative regulation of corticosteroid hormone secretion (GO:2000847)	3	2	.15	+	13.05	1.06E-02
negative regulation of steroid hormone secretion (GO:2000832)	3	2	.15	+	13.05	1.06E-02
epithelial cell proliferation involved in renal tubule morphogenesis (GO:2001013)	3	2	.15	+	13.05	1.06E-02
positive regulation of apoptotic process involved in mammary gland involution (GO:0060058)	3	2	.15	+	13.05	1.06E-02
S-adenosylmethionine biosynthetic process (GO:0006556)	3	2	.15	+	13.05	1.06E-02
negative regulation of cell proliferation involved in heart morphogenesis (GO:2000137)	3	2	.15	+	13.05	1.06E-02
circadian sleep/wake cycle, sleep (GO:0050802)	3	2	.15	+	13.05	1.06E-02
negative regulation of phosphatidylinositol 3-kinase activity (GO:0043553)	3	2	.15	+	13.05	1.06E-02
positive regulation of transcription via serum response element binding (GO:0010735)	3	2	.15	+	13.05	1.06E-02
maternal determination of anterior/posterior axis, embryo (GO:0008358)	3	2	.15	+	13.05	1.06E-02
positive regulation of mitochondrial fusion (GO:0010636)	3	2	.15	+	13.05	1.06E-02
negative regulation of mitotic recombination (GO:0045950)	3	2	.15	+	13.05	1.06E-02
regulation of cell proliferation involved in heart valve morphogenesis (GO:0003250)	3	2	.15	+	13.05	1.06E-02
regulation of glucocorticoid receptor signaling pathway (GO:2000322)	8	5	.41	+	12.24	6.70E-05
farnesyl diphosphate metabolic process (GO:0045338)	5	3	.26	+	11.75	2.29E-03
positive regulation of attachment of spindle microtubules to kinetochore (GO:0051987)	5	3	.26	+	11.75	2.29E-03
sulfur oxidation (GO:0019417)	2	1	.10	+	9.79	9.71E-02
dolichol biosynthetic process (GO:0019408)	2	1	.10	+	9.79	9.71E-02
response to intra-S DNA damage checkpoint signaling (GO:0072429)	2	1	.10	+	9.79	9.71E-02
isoprenoid biosynthetic process via mevalonate (GO:1902767)	2	1	.10	+	9.79	9.71E-02
phthalate metabolic process (GO:0018963)	2	1	.10	+	9.79	9.71E-02
activation of blood coagulation via clotting cascade (GO:0002543)	2	1	.10	+	9.79	9.71E-02
farnesyl diphosphate biosynthetic process, mevalonate pathway (GO:0010142)	2	1	.10	+	9.79	9.71E-02
regulation of vascular permeability involved in acute inflammatory response (GO:0002528)	4	2	.20	+	9.79	1.82E-02
hypersensitivity (GO:0002524)	2	1	.10	+	9.79	9.71E-02
positive regulation of dipeptide transport (GO:2000880)	2	1	.10	+	9.79	9.71E-02
positive regulation of oligopeptide transport (GO:2000878)	2	1	.10	+	9.79	9.71E-02
negative regulation of leucine import (GO:0060358)	2	1	.10	+	9.79	9.71E-02
regulation of leucine import (GO:0060357)	2	1	.10	+	9.79	9.71E-02
inositol phosphorylation (GO:0052746)	2	1	.10	+	9.79	9.71E-02
arsonoacetate metabolic process (GO:0018872)	2	1	.10	+	9.79	9.71E-02
negative regulation of barbed-end actin filament capping (GO:2000813)	2	1	.10	+	9.79	9.71E-02
regulation of barbed-end actin filament capping (GO:2000812)	2	1	.10	+	9.79	9.71E-02
response to anoxia (GO:0034059)	2	1	.10	+	9.79	9.71E-02
malonyl-CoA biosynthetic process (GO:2001295)	2	1	.10	+	9.79	9.71E-02
protein glycosylation in Golgi (GO:0033578)	2	1	.10	+	9.79	9.71E-02
vitellogenesis (GO:0007296)	4	2	.20	+	9.79	1.82E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia (GO:2000777)	2	1	.10	+	9.79	9.71E-02
negative regulation of nuclear cell cycle DNA replication (GO:1902576)	2	1	.10	+	9.79	9.71E-02
cell-cell signaling involved in metanephros development (GO:0072204)	2	1	.10	+	9.79	9.71E-02
positive regulation of eosinophil activation (GO:1902568)	2	1	.10	+	9.79	9.71E-02
positive regulation of protein K48-linked ubiquitination (GO:1902524)	2	1	.10	+	9.79	9.71E-02
cap-independent translational initiation of linear mRNA (GO:0110017)	2	1	.10	+	9.79	9.71E-02
cholesterol biosynthetic process via lathosterol (GO:0033490)	4	2	.20	+	9.79	1.82E-02
cholesterol biosynthetic process via desmosterol (GO:0033489)	4	2	.20	+	9.79	1.82E-02
positive regulation of dipeptide transmembrane transport (GO:2001150)	2	1	.10	+	9.79	9.71E-02
regulation of dipeptide transmembrane transport (GO:2001148)	2	1	.10	+	9.79	9.71E-02
epidermal growth factor catabolic process (GO:0007174)	2	1	.10	+	9.79	9.71E-02
nephron tubule epithelial cell differentiation (GO:0072160)	2	1	.10	+	9.79	9.71E-02
type IV hypersensitivity (GO:0001806)	2	1	.10	+	9.79	9.71E-02
positive regulation of histone H4-K16 acetylation (GO:2000620)	2	1	.10	+	9.79	9.71E-02
corticotropin hormone secreting cell differentiation (GO:0060128)	2	1	.10	+	9.79	9.71E-02
positive regulation of male mating behavior (GO:1902437)	2	1	.10	+	9.79	9.71E-02
regulation of male mating behavior (GO:1902435)	2	1	.10	+	9.79	9.71E-02
sphinganine metabolic process (GO:0006667)	2	1	.10	+	9.79	9.71E-02
geranyl diphosphate biosynthetic process (GO:0033384)	2	1	.10	+	9.79	9.71E-02
geranyl diphosphate metabolic process (GO:0033383)	2	1	.10	+	9.79	9.71E-02
farnesyl diphosphate biosynthetic process (GO:0045337)	4	2	.20	+	9.79	1.82E-02
ethanolamine metabolic process (GO:0006580)	2	1	.10	+	9.79	9.71E-02
positive regulation of apoptotic process involved in morphogenesis (GO:1902339)	6	3	.31	+	9.79	3.81E-03
Kit signaling pathway (GO:0038109)	2	1	.10	+	9.79	9.71E-02
IRES-dependent translational initiation of linear mRNA (GO:0002192)	2	1	.10	+	9.79	9.71E-02
cap-independent translational initiation (GO:0002190)	2	1	.10	+	9.79	9.71E-02
glutamine biosynthetic process (GO:0006542)	2	1	.10	+	9.79	9.71E-02
negative regulation of hepatic stellate cell activation (GO:2000490)	2	1	.10	+	9.79	9.71E-02
regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation (GO:2000452)	2	1	.10	+	9.79	9.71E-02
DNA methylation on adenine (GO:0032775)	2	1	.10	+	9.79	9.71E-02
negative regulation of mast cell cytokine production (GO:0032764)	2	1	.10	+	9.79	9.71E-02
negative regulation of eosinophil migration (GO:2000417)	2	1	.10	+	9.79	9.71E-02
insulin receptor signaling pathway via phosphatidylinositol 3-kinase (GO:0038028)	2	1	.10	+	9.79	9.71E-02
Wnt receptor catabolic process (GO:0038018)	2	1	.10	+	9.79	9.71E-02
cellular response to cell-matrix adhesion (GO:0071460)	2	1	.10	+	9.79	9.71E-02
positive regulation of timing of anagen (GO:0051885)	2	1	.10	+	9.79	9.71E-02
phenylalanyl-tRNA aminoacylation (GO:0006432)	2	1	.10	+	9.79	9.71E-02
leucyl-tRNA aminoacylation (GO:0006429)	2	1	.10	+	9.79	9.71E-02
glutaminyl-tRNA aminoacylation (GO:0006425)	2	1	.10	+	9.79	9.71E-02
rRNA export from nucleus (GO:0006407)	2	1	.10	+	9.79	9.71E-02
desensitization of G protein-coupled receptor signaling pathway by arrestin (GO:0002032)	2	1	.10	+	9.79	9.71E-02
cellular response to cycloheximide (GO:0071409)	4	2	.20	+	9.79	1.82E-02
cellular response to high density lipoprotein particle stimulus (GO:0071403)	2	1	.10	+	9.79	9.71E-02
L-asparagine metabolic process (GO:0070982)	2	1	.10	+	9.79	9.71E-02
negative regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000342)	2	1	.10	+	9.79	9.71E-02
termination of mitochondrial transcription (GO:0006393)	2	1	.10	+	9.79	9.71E-02
interferon-beta production (GO:0032608)	2	1	.10	+	9.79	9.71E-02
positive regulation of presynaptic membrane organization (GO:1901631)	2	1	.10	+	9.79	9.71E-02
regulation of presynaptic membrane organization (GO:1901629)	2	1	.10	+	9.79	9.71E-02
positive regulation of postsynaptic membrane organization (GO:1901628)	2	1	.10	+	9.79	9.71E-02
positive regulation of bile acid biosynthetic process (GO:0070859)	2	1	.10	+	9.79	9.71E-02
dendritic cell proliferation (GO:0044565)	2	1	.10	+	9.79	9.71E-02
posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	2	1	.10	+	9.79	9.71E-02
actin filament uncapping (GO:0051695)	2	1	.10	+	9.79	9.71E-02
regulation of norepinephrine uptake (GO:0051621)	2	1	.10	+	9.79	9.71E-02
positive regulation of platelet-derived growth factor production (GO:0090362)	2	1	.10	+	9.79	9.71E-02
positive regulation of acylglycerol transport (GO:1901508)	2	1	.10	+	9.79	9.71E-02
regulation of acylglycerol transport (GO:1901506)	2	1	.10	+	9.79	9.71E-02
regulation of protein catabolic process at postsynapse, modulating synaptic transmission (GO:0099576)	2	1	.10	+	9.79	9.71E-02
positive regulation of ubiquitin-specific protease activity (GO:2000158)	2	1	.10	+	9.79	9.71E-02
Golgi calcium ion transport (GO:0032472)	2	1	.10	+	9.79	9.71E-02
peptidyl-aspartic acid modification (GO:0018197)	2	1	.10	+	9.79	9.71E-02
Golgi calcium ion homeostasis (GO:0032468)	2	1	.10	+	9.79	9.71E-02
positive regulation of triglyceride transport (GO:1905885)	2	1	.10	+	9.79	9.71E-02
regulation of triglyceride transport (GO:1905883)	2	1	.10	+	9.79	9.71E-02
negative regulation of keratinocyte migration (GO:0051548)	2	1	.10	+	9.79	9.71E-02
negative regulation of telomeric D-loop disassembly (GO:1905839)	2	1	.10	+	9.79	9.71E-02
regulation of telomeric D-loop disassembly (GO:1905838)	2	1	.10	+	9.79	9.71E-02
superior temporal gyrus development (GO:0071109)	2	1	.10	+	9.79	9.71E-02
negative regulation of lipid kinase activity (GO:0090219)	4	2	.20	+	9.79	1.82E-02
negative regulation of type B pancreatic cell development (GO:2000077)	2	1	.10	+	9.79	9.71E-02
N-acetylmannosamine metabolic process (GO:0006051)	2	1	.10	+	9.79	9.71E-02
mannosamine metabolic process (GO:0006050)	2	1	.10	+	9.79	9.71E-02
regulation of intraciliary retrograde transport (GO:1905799)	2	1	.10	+	9.79	9.71E-02
negative regulation of exonuclease activity (GO:1905778)	2	1	.10	+	9.79	9.71E-02
dendritic transport of messenger ribonucleoprotein complex (GO:0098963)	2	1	.10	+	9.79	9.71E-02
dendritic transport of ribonucleoprotein complex (GO:0098961)	2	1	.10	+	9.79	9.71E-02
positive regulation of inhibitory synapse assembly (GO:1905704)	2	1	.10	+	9.79	9.71E-02
dimethylallyl diphosphate metabolic process (GO:0050993)	2	1	.10	+	9.79	9.71E-02
dimethylallyl diphosphate biosynthetic process (GO:0050992)	2	1	.10	+	9.79	9.71E-02
negative regulation of synaptic transmission, dopaminergic (GO:0032227)	2	1	.10	+	9.79	9.71E-02
negative regulation of telomere maintenance via semi-conservative replication (GO:0032214)	2	1	.10	+	9.79	9.71E-02
regulation of telomere maintenance via semi-conservative replication (GO:0032213)	2	1	.10	+	9.79	9.71E-02
regulation of dipeptide transport (GO:0090089)	2	1	.10	+	9.79	9.71E-02
regulation of oligopeptide transport (GO:0090088)	2	1	.10	+	9.79	9.71E-02
meiotic spindle midzone assembly (GO:0051257)	2	1	.10	+	9.79	9.71E-02
negative regulation of leucine import across plasma membrane (GO:1905533)	2	1	.10	+	9.79	9.71E-02
regulation of leucine import across plasma membrane (GO:1905532)	2	1	.10	+	9.79	9.71E-02
telomeric loop formation (GO:0031627)	2	1	.10	+	9.79	9.71E-02
box H/ACA snoRNA 3'-end processing (GO:0000495)	2	1	.10	+	9.79	9.71E-02
negative regulation of autophagosome maturation (GO:1901097)	6	3	.31	+	9.79	3.81E-03
lymphatic endothelial cell migration (GO:1904977)	2	1	.10	+	9.79	9.71E-02
intestinal stem cell homeostasis (GO:0036335)	4	2	.20	+	9.79	1.82E-02
SREBP-SCAP complex retention in endoplasmic reticulum (GO:0036316)	2	1	.10	+	9.79	9.71E-02
mRNA 3'-splice site recognition (GO:0000389)	6	3	.31	+	9.79	3.81E-03
positive regulation of snRNA transcription by RNA polymerase II (GO:1905382)	4	2	.20	+	9.79	1.82E-02
'de novo' cotranslational protein folding (GO:0051083)	2	1	.10	+	9.79	9.71E-02
retrograde transport, vesicle recycling within Golgi (GO:0000301)	2	1	.10	+	9.79	9.71E-02
regulation of calcium-independent cell-cell adhesion (GO:0051040)	2	1	.10	+	9.79	9.71E-02
microtubule sliding (GO:0051012)	2	1	.10	+	9.79	9.71E-02
polynucleotide 3' dephosphorylation (GO:0098506)	2	1	.10	+	9.79	9.71E-02
insecticide metabolic process (GO:0017143)	2	1	.10	+	9.79	9.71E-02
vesicle targeting, trans-Golgi to endosome (GO:0048203)	2	1	.10	+	9.79	9.71E-02
cellular response to stem cell factor stimulus (GO:0036216)	2	1	.10	+	9.79	9.71E-02
response to stem cell factor (GO:0036215)	2	1	.10	+	9.79	9.71E-02
atrioventricular canal morphogenesis (GO:1905222)	2	1	.10	+	9.79	9.71E-02
positive regulation of eosinophil degranulation (GO:0043311)	2	1	.10	+	9.79	9.71E-02
positive regulation of apoptotic process involved in development (GO:1904747)	6	3	.31	+	9.79	3.81E-03
positive regulation of AMPA glutamate receptor clustering (GO:1904719)	2	1	.10	+	9.79	9.71E-02
positive regulation of protein localization to phagocytic vesicle (GO:1905171)	2	1	.10	+	9.79	9.71E-02
regulation of protein localization to phagocytic vesicle (GO:1905169)	2	1	.10	+	9.79	9.71E-02
histidine biosynthetic process (GO:0000105)	2	1	.10	+	9.79	9.71E-02
biotin import across plasma membrane (GO:1905135)	2	1	.10	+	9.79	9.71E-02
positive regulation of somatic stem cell population maintenance (GO:1904674)	2	1	.10	+	9.79	9.71E-02
P granule organization (GO:0030719)	2	1	.10	+	9.79	9.71E-02
regulation of astrocyte activation (GO:0061888)	2	1	.10	+	9.79	9.71E-02
positive regulation of mini excitatory postsynaptic potential (GO:0061885)	2	1	.10	+	9.79	9.71E-02
regulation of mini excitatory postsynaptic potential (GO:0061884)	2	1	.10	+	9.79	9.71E-02
semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis (GO:1900220)	2	1	.10	+	9.79	9.71E-02
maltose metabolic process (GO:0000023)	2	1	.10	+	9.79	9.71E-02
