




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_bg.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_bg.txt - REFLIST (18060)	upload_1 (421)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of glutamate receptor signaling pathway (GO:1900450)	1	1	.02	+	42.90	2.30E-02
fibroblast growth factor receptor signaling pathway involved in positive regulation of cell proliferation in bone marrow (GO:0035604)	1	1	.02	+	42.90	2.30E-02
fibroblast growth factor receptor signaling pathway involved in hemopoiesis (GO:0035603)	1	1	.02	+	42.90	2.30E-02
fibroblast growth factor receptor signaling pathway involved in negative regulation of apoptotic process in bone marrow cell (GO:0035602)	1	1	.02	+	42.90	2.30E-02
G protein-coupled purinergic nucleotide receptor signaling pathway (GO:0035589)	1	1	.02	+	42.90	2.30E-02
L-proline transmembrane transport (GO:1904555)	1	1	.02	+	42.90	2.30E-02
endosome membrane tubulation (GO:0097750)	2	2	.05	+	42.90	1.05E-03
negative regulation of lung blood pressure (GO:0061767)	1	1	.02	+	42.90	2.30E-02
endothelin maturation (GO:0034959)	1	1	.02	+	42.90	2.30E-02
negative regulation of arginine catabolic process (GO:1900082)	1	1	.02	+	42.90	2.30E-02
regulation of arginine catabolic process (GO:1900081)	1	1	.02	+	42.90	2.30E-02
regulation of phosphatidylserine metabolic process (GO:0150178)	1	1	.02	+	42.90	2.30E-02
regulation of phosphatidylethanolamine metabolic process (GO:0150175)	1	1	.02	+	42.90	2.30E-02
positive regulation of CD80 production (GO:0150145)	1	1	.02	+	42.90	2.30E-02
regulation of CD80 production (GO:0150143)	1	1	.02	+	42.90	2.30E-02
positive regulation of CD86 production (GO:0150142)	1	1	.02	+	42.90	2.30E-02
regulation of CD86 production (GO:0150140)	1	1	.02	+	42.90	2.30E-02
calcitonin catabolic process (GO:0010816)	1	1	.02	+	42.90	2.30E-02
substance P catabolic process (GO:0010814)	1	1	.02	+	42.90	2.30E-02
cellular response to arsenite(3-) (GO:1903841)	1	1	.02	+	42.90	2.30E-02
response to arsenite(3-) (GO:1903840)	1	1	.02	+	42.90	2.30E-02
multiple spine synapse organization, single dendrite (GO:0150090)	1	1	.02	+	42.90	2.30E-02
multiple spine synapse organization (GO:0150089)	1	1	.02	+	42.90	2.30E-02
L-proline import across plasma membrane (GO:1904271)	1	1	.02	+	42.90	2.30E-02
negative regulation of nitric oxide mediated signal transduction (GO:0010751)	2	2	.05	+	42.90	1.05E-03
positive regulation of transcription from RNA polymerase II promoter in response to heat stress (GO:0061408)	1	1	.02	+	42.90	2.30E-02
regulation of phosphatidate phosphatase activity (GO:1903730)	1	1	.02	+	42.90	2.30E-02
negative regulation of membrane tubulation (GO:1903526)	1	1	.02	+	42.90	2.30E-02
cellular response to methyl methanesulfonate (GO:0072703)	1	1	.02	+	42.90	2.30E-02
response to methyl methanesulfonate (GO:0072702)	1	1	.02	+	42.90	2.30E-02
negative regulation of chronic inflammatory response to non-antigenic stimulus (GO:0002881)	1	1	.02	+	42.90	2.30E-02
positive regulation of translation, ncRNA-mediated (GO:0045975)	1	1	.02	+	42.90	2.30E-02
adult somatic muscle development (GO:0007527)	1	1	.02	+	42.90	2.30E-02
regulation of retina development in camera-type eye (GO:1902866)	1	1	.02	+	42.90	2.30E-02
regulation of vasoconstriction by circulating norepinephrine (GO:0003117)	1	1	.02	+	42.90	2.30E-02
regulation of vasoconstriction by norepinephrine (GO:0003116)	1	1	.02	+	42.90	2.30E-02
negative regulation of hippocampal neuron apoptotic process (GO:0110091)	3	2	.07	+	28.60	2.33E-03
response to oleic acid (GO:0034201)	2	1	.05	+	21.45	4.56E-02
negative regulation of cellular amino acid metabolic process (GO:0045763)	2	1	.05	+	21.45	4.56E-02
orbitofrontal cortex development (GO:0021769)	2	1	.05	+	21.45	4.56E-02
mammillary body development (GO:0021767)	2	1	.05	+	21.45	4.56E-02
substantia nigra development (GO:0021762)	2	1	.05	+	21.45	4.56E-02
regulation of systemic arterial blood pressure by atrial natriuretic peptide (GO:0003050)	2	1	.05	+	21.45	4.56E-02
isoprenoid biosynthetic process via mevalonate (GO:1902767)	2	1	.05	+	21.45	4.56E-02
positive regulation of lens fiber cell differentiation (GO:1902748)	2	1	.05	+	21.45	4.56E-02
negative regulation of toll-like receptor 9 signaling pathway (GO:0034164)	2	1	.05	+	21.45	4.56E-02
pro-T cell differentiation (GO:0002572)	2	1	.05	+	21.45	4.56E-02
farnesyl diphosphate biosynthetic process, mevalonate pathway (GO:0010142)	2	1	.05	+	21.45	4.56E-02
peptide antigen assembly with MHC class I protein complex (GO:0002502)	2	1	.05	+	21.45	4.56E-02
negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071878)	4	2	.09	+	21.45	4.08E-03
negative regulation of B cell differentiation (GO:0045578)	4	2	.09	+	21.45	4.08E-03
regulation of melanosome organization (GO:1903056)	2	1	.05	+	21.45	4.56E-02
regulation of systemic arterial blood pressure by ischemic conditions (GO:0001980)	2	1	.05	+	21.45	4.56E-02
positive regulation of microtubule plus-end binding (GO:1903033)	2	1	.05	+	21.45	4.56E-02
regulation of microtubule plus-end binding (GO:1903031)	2	1	.05	+	21.45	4.56E-02
MHC class I protein complex assembly (GO:0002397)	2	1	.05	+	21.45	4.56E-02
progesterone biosynthetic process (GO:0006701)	2	1	.05	+	21.45	4.56E-02
positive regulation of transforming growth factor beta3 production (GO:0032916)	2	1	.05	+	21.45	4.56E-02
positive regulation of MHC class I biosynthetic process (GO:0045345)	4	2	.09	+	21.45	4.08E-03
interleukin-33-mediated signaling pathway (GO:0038172)	2	1	.05	+	21.45	4.56E-02
lysophospholipid transport (GO:0051977)	2	1	.05	+	21.45	4.56E-02
regulation of glutamate uptake involved in transmission of nerve impulse (GO:0051946)	2	1	.05	+	21.45	4.56E-02
regulation of amino acid uptake involved in synaptic transmission (GO:0051941)	2	1	.05	+	21.45	4.56E-02
regulation of glutamine transport (GO:2000485)	2	1	.05	+	21.45	4.56E-02
ovarian follicle atresia (GO:0001552)	2	1	.05	+	21.45	4.56E-02
negative regulation of lamellipodium morphogenesis (GO:2000393)	2	1	.05	+	21.45	4.56E-02
transepithelial L-ascorbic acid transport (GO:0070904)	2	1	.05	+	21.45	4.56E-02
interleukin-18 production (GO:0032621)	2	1	.05	+	21.45	4.56E-02
positive regulation of presynaptic membrane organization (GO:1901631)	2	1	.05	+	21.45	4.56E-02
Golgi calcium ion transport (GO:0032472)	2	1	.05	+	21.45	4.56E-02
Golgi calcium ion homeostasis (GO:0032468)	2	1	.05	+	21.45	4.56E-02
bombesin receptor signaling pathway (GO:0031989)	2	1	.05	+	21.45	4.56E-02
negative regulation of somatostatin secretion (GO:0090275)	2	1	.05	+	21.45	4.56E-02
NMDA selective glutamate receptor signaling pathway (GO:0098989)	4	2	.09	+	21.45	4.08E-03
negative regulation of transforming growth factor beta activation (GO:1901389)	2	1	.05	+	21.45	4.56E-02
negative regulation of sprouting of injured axon (GO:0048688)	2	1	.05	+	21.45	4.56E-02
vitamin D receptor signaling pathway (GO:0070561)	2	1	.05	+	21.45	4.56E-02
collateral sprouting in absence of injury (GO:0048669)	2	1	.05	+	21.45	4.56E-02
leukocyte adhesive activation (GO:0050902)	2	1	.05	+	21.45	4.56E-02
mRNA cleavage involved in gene silencing (GO:0098795)	2	1	.05	+	21.45	4.56E-02
intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:0036481)	2	1	.05	+	21.45	4.56E-02
cell death in response to hydrogen peroxide (GO:0036474)	4	2	.09	+	21.45	4.08E-03
regulation of myeloid progenitor cell differentiation (GO:1905453)	2	1	.05	+	21.45	4.56E-02
pore formation in membrane of other organism (GO:0035915)	2	1	.05	+	21.45	4.56E-02
regulation of myosin II filament organization (GO:0043519)	2	1	.05	+	21.45	4.56E-02
protein localization to T-tubule (GO:0036371)	2	1	.05	+	21.45	4.56E-02
vesicle tethering to endoplasmic reticulum (GO:0099044)	2	1	.05	+	21.45	4.56E-02
aortic smooth muscle cell differentiation (GO:0035887)	2	1	.05	+	21.45	4.56E-02
regulation of calcium-independent cell-cell adhesion (GO:0051040)	2	1	.05	+	21.45	4.56E-02
negative regulation of beta-catenin-TCF complex assembly (GO:1904864)	2	1	.05	+	21.45	4.56E-02
regulation of beta-catenin-TCF complex assembly (GO:1904863)	2	1	.05	+	21.45	4.56E-02
negative regulation of core promoter binding (GO:1904797)	2	1	.05	+	21.45	4.56E-02
dendritic cell homeostasis (GO:0036145)	2	1	.05	+	21.45	4.56E-02
very long-chain fatty-acyl-CoA metabolic process (GO:0036111)	2	1	.05	+	21.45	4.56E-02
fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development (GO:0035607)	2	1	.05	+	21.45	4.56E-02
progesterone secretion (GO:0042701)	2	1	.05	+	21.45	4.56E-02
negative regulation of astrocyte activation (GO:0061889)	2	1	.05	+	21.45	4.56E-02
regulation of astrocyte activation (GO:0061888)	2	1	.05	+	21.45	4.56E-02
positive regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry (GO:1900224)	2	1	.05	+	21.45	4.56E-02
membrane tubulation (GO:0097749)	4	2	.09	+	21.45	4.08E-03
L-ascorbic acid transmembrane transport (GO:0015882)	2	1	.05	+	21.45	4.56E-02
positive regulation of cardiac muscle tissue development (GO:0055025)	2	1	.05	+	21.45	4.56E-02
histidine transport (GO:0015817)	2	1	.05	+	21.45	4.56E-02
myo-inositol transport (GO:0015798)	2	1	.05	+	21.45	4.56E-02
neuropeptide catabolic process (GO:0010813)	2	1	.05	+	21.45	4.56E-02
mRNA cleavage involved in gene silencing by miRNA (GO:0035279)	2	1	.05	+	21.45	4.56E-02
positive regulation of transcription from RNA polymerase II promoter in response to acidic pH (GO:0061402)	2	1	.05	+	21.45	4.56E-02
response to luteinizing hormone (GO:0034699)	2	1	.05	+	21.45	4.56E-02
epicardium-derived cardiac fibroblast cell development (GO:0060939)	2	1	.05	+	21.45	4.56E-02
epicardium-derived cardiac fibroblast cell differentiation (GO:0060938)	2	1	.05	+	21.45	4.56E-02
cardiac fibroblast cell development (GO:0060936)	2	1	.05	+	21.45	4.56E-02
cardiac fibroblast cell differentiation (GO:0060935)	2	1	.05	+	21.45	4.56E-02
mesenchymal cell differentiation involved in lung development (GO:0060915)	2	1	.05	+	21.45	4.56E-02
melanocyte migration (GO:0097324)	2	1	.05	+	21.45	4.56E-02
closure of optic fissure (GO:0061386)	2	1	.05	+	21.45	4.56E-02
mammillary axonal complex development (GO:0061373)	2	1	.05	+	21.45	4.56E-02
positive regulation of extracellular exosome assembly (GO:1903553)	4	2	.09	+	21.45	4.08E-03
cellular response to diamide (GO:0072738)	2	1	.05	+	21.45	4.56E-02
response to diamide (GO:0072737)	2	1	.05	+	21.45	4.56E-02
transition between slow and fast fiber (GO:0014886)	2	1	.05	+	21.45	4.56E-02
regulation of chronic inflammatory response to non-antigenic stimulus (GO:0002880)	2	1	.05	+	21.45	4.56E-02
hydrogen peroxide-mediated programmed cell death (GO:0010421)	2	1	.05	+	21.45	4.56E-02
neural plate axis specification (GO:0021997)	2	1	.05	+	21.45	4.56E-02
positive regulation of sodium:potassium-exchanging ATPase activity (GO:1903408)	2	1	.05	+	21.45	4.56E-02
branch elongation involved in salivary gland morphogenesis (GO:0060667)	2	1	.05	+	21.45	4.56E-02
mammary gland bud formation (GO:0060615)	2	1	.05	+	21.45	4.56E-02
endodermal digestive tract morphogenesis (GO:0061031)	4	2	.09	+	21.45	4.08E-03
oxygen metabolic process (GO:0072592)	2	1	.05	+	21.45	4.56E-02
fibroblast growth factor receptor signaling pathway involved in mammary gland specification (GO:0060595)	2	1	.05	+	21.45	4.56E-02
squamous basal epithelial stem cell differentiation involved in prostate gland acinus development (GO:0060529)	2	1	.05	+	21.45	4.56E-02
miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280)	7	3	.16	+	18.38	6.37E-04
fat pad development (GO:0060613)	7	3	.16	+	18.38	6.37E-04
negative regulation of lamellipodium organization (GO:1902744)	5	2	.12	+	17.16	6.27E-03
definitive erythrocyte differentiation (GO:0060318)	5	2	.12	+	17.16	6.27E-03
anterior/posterior axon guidance (GO:0033564)	5	2	.12	+	17.16	6.27E-03
regulation of hippocampal neuron apoptotic process (GO:0110089)	5	2	.12	+	17.16	6.27E-03
maternal process involved in parturition (GO:0060137)	5	2	.12	+	17.16	6.27E-03
microglial cell activation involved in immune response (GO:0002282)	5	2	.12	+	17.16	6.27E-03
regulation of MHC class I biosynthetic process (GO:0045343)	5	2	.12	+	17.16	6.27E-03
dichotomous subdivision of terminal units involved in salivary gland branching (GO:0060666)	5	2	.12	+	17.16	6.27E-03
muscular septum morphogenesis (GO:0003150)	5	2	.12	+	17.16	6.27E-03
RNA secondary structure unwinding (GO:0010501)	8	3	.19	+	16.09	9.35E-04
small RNA loading onto RISC (GO:0070922)	9	3	.21	+	14.30	1.31E-03
nonassociative learning (GO:0046958)	9	3	.21	+	14.30	1.31E-03
negative regulation of dendritic cell antigen processing and presentation (GO:0002605)	3	1	.07	+	14.30	6.75E-02
negative regulation of cardiac muscle hypertrophy in response to stress (GO:1903243)	6	2	.14	+	14.30	8.90E-03
negative regulation of leukocyte tethering or rolling (GO:1903237)	3	1	.07	+	14.30	6.75E-02
glial cell fate determination (GO:0007403)	3	1	.07	+	14.30	6.75E-02
negative regulation of lens fiber cell differentiation (GO:1902747)	6	2	.14	+	14.30	8.90E-03
negative regulation of satellite cell differentiation (GO:1902725)	3	1	.07	+	14.30	6.75E-02
negative regulation of skeletal muscle satellite cell proliferation (GO:1902723)	3	1	.07	+	14.30	6.75E-02
negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002581)	3	1	.07	+	14.30	6.75E-02
wax metabolic process (GO:0010166)	3	1	.07	+	14.30	6.75E-02
neurofilament bundle assembly (GO:0033693)	3	1	.07	+	14.30	6.75E-02
peptide antigen assembly with MHC protein complex (GO:0002501)	3	1	.07	+	14.30	6.75E-02
positive regulation of dopamine biosynthetic process (GO:1903181)	3	1	.07	+	14.30	6.75E-02
regulation of dopamine biosynthetic process (GO:1903179)	3	1	.07	+	14.30	6.75E-02
positive regulation of glucose mediated signaling pathway (GO:1902661)	3	1	.07	+	14.30	6.75E-02
regulation of glucose mediated signaling pathway (GO:1902659)	3	1	.07	+	14.30	6.75E-02
glutamine transport (GO:0006868)	6	2	.14	+	14.30	8.90E-03
wax biosynthetic process (GO:0010025)	3	1	.07	+	14.30	6.75E-02
isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:0019287)	3	1	.07	+	14.30	6.75E-02
thigmotaxis (GO:0001966)	3	1	.07	+	14.30	6.75E-02
phospholipase C-activating serotonin receptor signaling pathway (GO:0007208)	3	1	.07	+	14.30	6.75E-02
formin-nucleated actin cable organization (GO:0110009)	3	1	.07	+	14.30	6.75E-02
B-1a B cell differentiation (GO:0002337)	3	1	.07	+	14.30	6.75E-02
transforming growth factor beta receptor complex assembly (GO:0007181)	3	1	.07	+	14.30	6.75E-02
negative regulation of integrin-mediated signaling pathway (GO:2001045)	3	1	.07	+	14.30	6.75E-02
farnesyl diphosphate biosynthetic process (GO:0045337)	3	1	.07	+	14.30	6.75E-02
negative regulation of endothelial cell chemotaxis (GO:2001027)	3	1	.07	+	14.30	6.75E-02
positive regulation of platelet-derived growth factor receptor-beta signaling pathway (GO:2000588)	3	1	.07	+	14.30	6.75E-02
circadian temperature homeostasis (GO:0060086)	3	1	.07	+	14.30	6.75E-02
synaptic transmission involved in micturition (GO:0060084)	3	1	.07	+	14.30	6.75E-02
bile acid signaling pathway (GO:0038183)	3	1	.07	+	14.30	6.75E-02
zonula adherens maintenance (GO:0045218)	3	1	.07	+	14.30	6.75E-02
peripheral nervous system axon regeneration (GO:0014012)	3	1	.07	+	14.30	6.75E-02
succinate transmembrane transport (GO:0071422)	6	2	.14	+	14.30	8.90E-03
negative regulation of interleukin-1 alpha production (GO:0032690)	3	1	.07	+	14.30	6.75E-02
regulation of presynaptic membrane organization (GO:1901629)	3	1	.07	+	14.30	6.75E-02
negative regulation of peptidyl-cysteine S-nitrosylation (GO:1902083)	6	2	.14	+	14.30	8.90E-03
negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process (GO:0140199)	3	1	.07	+	14.30	6.75E-02
stem cell fate specification (GO:0048866)	3	1	.07	+	14.30	6.75E-02
negative regulation of locomotion involved in locomotory behavior (GO:0090327)	3	1	.07	+	14.30	6.75E-02
regulation of arginine metabolic process (GO:0000821)	3	1	.07	+	14.30	6.75E-02
formin-nucleated actin cable assembly (GO:0070649)	3	1	.07	+	14.30	6.75E-02
negative regulation of planar cell polarity pathway involved in axis elongation (GO:2000041)	3	1	.07	+	14.30	6.75E-02
regulation of planar cell polarity pathway involved in axis elongation (GO:2000040)	3	1	.07	+	14.30	6.75E-02
N-terminal peptidyl-lysine acetylation (GO:0018076)	3	1	.07	+	14.30	6.75E-02
epidermal cell fate specification (GO:0009957)	3	1	.07	+	14.30	6.75E-02
regulation of SA node cell action potential (GO:0098907)	3	1	.07	+	14.30	6.75E-02
L-alanine metabolic process (GO:0042851)	3	1	.07	+	14.30	6.75E-02
fibroblast proliferation (GO:0048144)	3	1	.07	+	14.30	6.75E-02
positive regulation of protein localization to phagocytic vesicle (GO:1905171)	3	1	.07	+	14.30	6.75E-02
regulation of protein localization to phagocytic vesicle (GO:1905169)	3	1	.07	+	14.30	6.75E-02
negative regulation of vascular associated smooth muscle contraction (GO:1904694)	3	1	.07	+	14.30	6.75E-02
positive regulation of microtubule binding (GO:1904528)	6	2	.14	+	14.30	8.90E-03
creatine transmembrane transport (GO:0015881)	3	1	.07	+	14.30	6.75E-02
sensitization (GO:0046960)	3	1	.07	+	14.30	6.75E-02
habituation (GO:0046959)	6	2	.14	+	14.30	8.90E-03
positive regulation of vitamin D 24-hydroxylase activity (GO:0010980)	3	1	.07	+	14.30	6.75E-02
regulation of vitamin D 24-hydroxylase activity (GO:0010979)	3	1	.07	+	14.30	6.75E-02
positive regulation of TRAIL-activated apoptotic signaling pathway (GO:1903984)	3	1	.07	+	14.30	6.75E-02
response to sodium arsenite (GO:1903935)	6	2	.14	+	14.30	8.90E-03
negative regulation of protein ADP-ribosylation (GO:0010836)	3	1	.07	+	14.30	6.75E-02
programmed cell death in response to reactive oxygen species (GO:0097468)	3	1	.07	+	14.30	6.75E-02
positive regulation of serine C-palmitoyltransferase activity (GO:1904222)	3	1	.07	+	14.30	6.75E-02
positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904219)	3	1	.07	+	14.30	6.75E-02
regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904217)	3	1	.07	+	14.30	6.75E-02
positive regulation of I-kappaB phosphorylation (GO:1903721)	6	2	.14	+	14.30	8.90E-03
mesenchymal cell proliferation involved in lung development (GO:0060916)	3	1	.07	+	14.30	6.75E-02
positive regulation of mitotic centrosome separation (GO:0046604)	3	1	.07	+	14.30	6.75E-02
positive regulation of microglial cell migration (GO:1904141)	6	2	.14	+	14.30	8.90E-03
behavioral response to formalin induced pain (GO:0061368)	3	1	.07	+	14.30	6.75E-02
behavioral response to chemical pain (GO:0061366)	3	1	.07	+	14.30	6.75E-02
branching involved in lymph vessel morphogenesis (GO:0060854)	3	1	.07	+	14.30	6.75E-02
activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097296)	3	1	.07	+	14.30	6.75E-02
negative regulation of lamellipodium assembly (GO:0010593)	3	1	.07	+	14.30	6.75E-02
positive regulation of phosphatidylinositol biosynthetic process (GO:0010513)	3	1	.07	+	14.30	6.75E-02
regulation of extracellular exosome assembly (GO:1903551)	6	2	.14	+	14.30	8.90E-03
establishment of cell polarity involved in ameboidal cell migration (GO:0003365)	3	1	.07	+	14.30	6.75E-02
epicardial cell to mesenchymal cell transition (GO:0003347)	3	1	.07	+	14.30	6.75E-02
negative regulation of skeletal muscle cell proliferation (GO:0014859)	3	1	.07	+	14.30	6.75E-02
DNA methylation on cytosine within a CG sequence (GO:0010424)	3	1	.07	+	14.30	6.75E-02
alveolar secondary septum development (GO:0061144)	3	1	.07	+	14.30	6.75E-02
regulation of sodium:potassium-exchanging ATPase activity (GO:1903406)	3	1	.07	+	14.30	6.75E-02
ventricular zone neuroblast division (GO:0021847)	3	1	.07	+	14.30	6.75E-02
somatic muscle development (GO:0007525)	3	1	.07	+	14.30	6.75E-02
negative regulation of DNA-templated transcription, termination (GO:0060567)	3	1	.07	+	14.30	6.75E-02
negative regulation of non-motile cilium assembly (GO:1902856)	3	1	.07	+	14.30	6.75E-02
prostate epithelial cord elongation (GO:0060523)	3	1	.07	+	14.30	6.75E-02
regulation of systemic arterial blood pressure by endothelin (GO:0003100)	6	2	.14	+	14.30	8.90E-03
regulation of lens fiber cell differentiation (GO:1902746)	10	3	.23	+	12.87	1.76E-03
parturition (GO:0007567)	10	3	.23	+	12.87	1.76E-03
membranous septum morphogenesis (GO:0003149)	10	3	.23	+	12.87	1.76E-03
toll-like receptor 9 signaling pathway (GO:0034162)	7	2	.16	+	12.26	1.19E-02
protein retention in ER lumen (GO:0006621)	7	2	.16	+	12.26	1.19E-02
virion attachment to host cell (GO:0019062)	7	2	.16	+	12.26	1.19E-02
adhesion of symbiont to host cell (GO:0044650)	7	2	.16	+	12.26	1.19E-02
negative regulation of skeletal muscle tissue development (GO:0048642)	7	2	.16	+	12.26	1.19E-02
succinate transport (GO:0015744)	7	2	.16	+	12.26	1.19E-02
regulation of I-kappaB phosphorylation (GO:1903719)	7	2	.16	+	12.26	1.19E-02
regulation of microglial cell migration (GO:1904139)	7	2	.16	+	12.26	1.19E-02
negative regulation of cardiac muscle adaptation (GO:0010616)	7	2	.16	+	12.26	1.19E-02
mammary gland branching involved in pregnancy (GO:0060745)	7	2	.16	+	12.26	1.19E-02
positive regulation of dopamine metabolic process (GO:0045964)	7	2	.16	+	12.26	1.19E-02
positive regulation of catecholamine metabolic process (GO:0045915)	7	2	.16	+	12.26	1.19E-02
negative regulation of synaptic transmission, glutamatergic (GO:0051967)	11	3	.26	+	11.70	2.31E-03
negative regulation of translation, ncRNA-mediated (GO:0040033)	11	3	.26	+	11.70	2.31E-03
miRNA mediated inhibition of translation (GO:0035278)	11	3	.26	+	11.70	2.31E-03
regulation of translation, ncRNA-mediated (GO:0045974)	11	3	.26	+	11.70	2.31E-03
lens fiber cell development (GO:0070307)	15	4	.35	+	11.44	4.66E-04
striatal medium spiny neuron differentiation (GO:0021773)	4	1	.09	+	10.72	8.90E-02
toll-like receptor 2 signaling pathway (GO:0034134)	4	1	.09	+	10.72	8.90E-02
integrin activation (GO:0033622)	8	2	.19	+	10.72	1.53E-02
regulation of TRAIL-activated apoptotic signaling pathway (GO:1903121)	4	1	.09	+	10.72	8.90E-02
positive regulation of axon guidance (GO:1902669)	4	1	.09	+	10.72	8.90E-02
Wnt signaling pathway, calcium modulating pathway (GO:0007223)	4	1	.09	+	10.72	8.90E-02
positive regulation of ovulation (GO:0060279)	4	1	.09	+	10.72	8.90E-02
endocardium formation (GO:0060214)	4	1	.09	+	10.72	8.90E-02
MHC protein complex assembly (GO:0002396)	4	1	.09	+	10.72	8.90E-02
activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)	4	1	.09	+	10.72	8.90E-02
negative regulation of dendritic cell apoptotic process (GO:2000669)	4	1	.09	+	10.72	8.90E-02
regulation of protein autoubiquitination (GO:1902498)	4	1	.09	+	10.72	8.90E-02
negative regulation of growth hormone secretion (GO:0060125)	4	1	.09	+	10.72	8.90E-02
regulation of transforming growth factor beta3 production (GO:0032910)	4	1	.09	+	10.72	8.90E-02
