




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (1540)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of root hair elongation (GO:1902890)	1	1	.11	+	9.25	1.02E-01
specification of plant organ position (GO:0090706)	1	1	.11	+	9.25	1.02E-01
DNA replication, removal of RNA primer (GO:0043137)	1	1	.11	+	9.25	1.02E-01
NAD transport (GO:0043132)	3	3	.32	+	9.25	4.46E-03
chlorophyll cycle (GO:0033354)	1	1	.11	+	9.25	1.02E-01
guanosine tetraphosphate biosynthetic process (GO:0015970)	1	1	.11	+	9.25	1.02E-01
maltose catabolic process (GO:0000025)	2	2	.22	+	9.25	2.03E-02
maltose biosynthetic process (GO:0000024)	1	1	.11	+	9.25	1.02E-01
maltose metabolic process (GO:0000023)	3	3	.32	+	9.25	4.46E-03
formate metabolic process (GO:0015942)	1	1	.11	+	9.25	1.02E-01
cellular chloride ion homeostasis (GO:0030644)	1	1	.11	+	9.25	1.02E-01
tRNA re-export from nucleus (GO:0071528)	1	1	.11	+	9.25	1.02E-01
glutamate decarboxylation to succinate (GO:0006540)	2	2	.22	+	9.25	2.03E-02
translation reinitiation (GO:0002188)	1	1	.11	+	9.25	1.02E-01
tRNA 3'-terminal CCA addition (GO:0001680)	1	1	.11	+	9.25	1.02E-01
plant septum development (GO:1905328)	1	1	.11	+	9.25	1.02E-01
cellular response to redox state (GO:0071461)	2	2	.22	+	9.25	2.03E-02
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	1	1	.11	+	9.25	1.02E-01
magnesium ion homeostasis (GO:0010960)	1	1	.11	+	9.25	1.02E-01
tyrosyl-tRNA aminoacylation (GO:0006437)	1	1	.11	+	9.25	1.02E-01
tryptophanyl-tRNA aminoacylation (GO:0006436)	2	2	.22	+	9.25	2.03E-02
tRNA export from nucleus (GO:0006409)	1	1	.11	+	9.25	1.02E-01
NAD transmembrane transport (GO:0035352)	2	2	.22	+	9.25	2.03E-02
UDP-N-acetylgalactosamine transmembrane transport (GO:0015789)	1	1	.11	+	9.25	1.02E-01
glycogen catabolic process (GO:0005980)	2	2	.22	+	9.25	2.03E-02
quinolinate metabolic process (GO:0046874)	1	1	.11	+	9.25	1.02E-01
positive regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001108)	1	1	.11	+	9.25	1.02E-01
negative regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903070)	1	1	.11	+	9.25	1.02E-01
regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069)	1	1	.11	+	9.25	1.02E-01
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	2	2	.22	+	9.25	2.03E-02
choline biosynthetic process (GO:0042425)	1	1	.11	+	9.25	1.02E-01
peptide cross-linking via L-cystine (GO:0018316)	1	1	.11	+	9.25	1.02E-01
molybdate ion export from vacuole (GO:0090414)	1	1	.11	+	9.25	1.02E-01
vitamin K metabolic process (GO:0042373)	2	2	.22	+	9.25	2.03E-02
vitamin K biosynthetic process (GO:0042371)	2	2	.22	+	9.25	2.03E-02
cellular response to manganese ion (GO:0071287)	1	1	.11	+	9.25	1.02E-01
'de novo' L-methionine biosynthetic process (GO:0071266)	1	1	.11	+	9.25	1.02E-01
cellular response to gravity (GO:0071258)	1	1	.11	+	9.25	1.02E-01
cellular monovalent inorganic anion homeostasis (GO:0030320)	1	1	.11	+	9.25	1.02E-01
protein targeting to vacuole involved in autophagy (GO:0071211)	1	1	.11	+	9.25	1.02E-01
spindle localization (GO:0051653)	1	1	.11	+	9.25	1.02E-01
negative regulation of hydrogen peroxide biosynthetic process (GO:0010730)	1	1	.11	+	9.25	1.02E-01
peptidyl-glutamic acid modification (GO:0018200)	1	1	.11	+	9.25	1.02E-01
negative regulation of hydrogen peroxide metabolic process (GO:0010727)	1	1	.11	+	9.25	1.02E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	1	1	.11	+	9.25	1.02E-01
cAMP-mediated signaling (GO:0019933)	1	1	.11	+	9.25	1.02E-01
positive regulation of guanyl-nucleotide exchange factor activity (GO:1905099)	1	1	.11	+	9.25	1.02E-01
regulation of guanyl-nucleotide exchange factor activity (GO:1905097)	1	1	.11	+	9.25	1.02E-01
negative regulation of exoribonuclease activity (GO:1901918)	1	1	.11	+	9.25	1.02E-01
regulation of exoribonuclease activity (GO:1901917)	1	1	.11	+	9.25	1.02E-01
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	1	1	.11	+	9.25	1.02E-01
cellulose catabolic process (GO:0030245)	1	1	.11	+	9.25	1.02E-01
peptide cross-linking (GO:0018149)	1	1	.11	+	9.25	1.02E-01
nucleic acid-protein covalent cross-linking (GO:0018143)	1	1	.11	+	9.25	1.02E-01
protein-DNA covalent cross-linking (GO:0018142)	1	1	.11	+	9.25	1.02E-01
oxazole or thiazole biosynthetic process (GO:0018131)	1	1	.11	+	9.25	1.02E-01
apical cell fate commitment (GO:0010654)	1	1	.11	+	9.25	1.02E-01
peptidyl-cysteine S-nitrosylation (GO:0018119)	1	1	.11	+	9.25	1.02E-01
regulation of 1-aminocyclopropane-1-carboxylate metabolic process (GO:0010602)	1	1	.11	+	9.25	1.02E-01
glycerophosphate shuttle (GO:0006127)	1	1	.11	+	9.25	1.02E-01
succinate metabolic process (GO:0006105)	1	1	.11	+	9.25	1.02E-01
positive regulation of chromatin silencing (GO:0031937)	1	1	.11	+	9.25	1.02E-01
somatic stem cell population maintenance (GO:0035019)	1	1	.11	+	9.25	1.02E-01
formate catabolic process (GO:0042183)	1	1	.11	+	9.25	1.02E-01
positive regulation of lipid transport (GO:0032370)	2	2	.22	+	9.25	2.03E-02
uroporphyrinogen III metabolic process (GO:0046502)	1	1	.11	+	9.25	1.02E-01
regulation of lipid transport (GO:0032368)	2	2	.22	+	9.25	2.03E-02
positive regulation of GTP binding (GO:1904426)	1	1	.11	+	9.25	1.02E-01
regulation of GTP binding (GO:1904424)	1	1	.11	+	9.25	1.02E-01
N-terminal peptidyl-glutamic acid acetylation (GO:0018002)	1	1	.11	+	9.25	1.02E-01
mitochondrion morphogenesis (GO:0070584)	1	1	.11	+	9.25	1.02E-01
protection from non-homologous end joining at telomere (GO:0031848)	1	1	.11	+	9.25	1.02E-01
meiotic DNA recombinase assembly (GO:0000707)	1	1	.11	+	9.25	1.02E-01
negative regulation of proteasomal protein catabolic process (GO:1901799)	2	2	.22	+	9.25	2.03E-02
dorsal/ventral pattern formation (GO:0009953)	1	1	.11	+	9.25	1.02E-01
oxazole or thiazole metabolic process (GO:0046484)	1	1	.11	+	9.25	1.02E-01
negative regulation of ribonuclease activity (GO:0060701)	1	1	.11	+	9.25	1.02E-01
regulation of ribonuclease activity (GO:0060700)	1	1	.11	+	9.25	1.02E-01
histone H3-K36 methylation (GO:0010452)	1	1	.11	+	9.25	1.02E-01
negative regulation of oxidoreductase activity (GO:0051354)	1	1	.11	+	9.25	1.02E-01
regulation of lyase activity (GO:0051339)	1	1	.11	+	9.25	1.02E-01
negative regulation of translational elongation (GO:0045900)	1	1	.11	+	9.25	1.02E-01
tubulin deacetylation (GO:0090042)	1	1	.11	+	9.25	1.02E-01
jasmonic acid and ethylene-dependent systemic resistance, jasmonic acid mediated signaling pathway (GO:0009868)	1	1	.11	+	9.25	1.02E-01
negative regulation of cytokinin dehydrogenase activity (GO:1903857)	1	1	.11	+	9.25	1.02E-01
regulation of cytokinin dehydrogenase activity (GO:1903856)	1	1	.11	+	9.25	1.02E-01
fruit ripening (GO:0009835)	1	1	.11	+	9.25	1.02E-01
ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate (GO:0032194)	1	1	.11	+	9.25	1.02E-01
negative regulation of ERAD pathway (GO:1904293)	1	1	.11	+	9.25	1.02E-01
regulation of ERAD pathway (GO:1904292)	1	1	.11	+	9.25	1.02E-01
xylogalacturonan metabolic process (GO:0010398)	1	1	.11	+	9.25	1.02E-01
rhamnogalacturonan II metabolic process (GO:0010396)	1	1	.11	+	9.25	1.02E-01
establishment of meiotic spindle localization (GO:0051295)	1	1	.11	+	9.25	1.02E-01
establishment of spindle localization (GO:0051293)	1	1	.11	+	9.25	1.02E-01
co-translational protein modification (GO:0043686)	1	1	.11	+	9.25	1.02E-01
beta-glucan catabolic process (GO:0051275)	1	1	.11	+	9.25	1.02E-01
rhamnogalacturonan II biosynthetic process (GO:0010306)	1	1	.11	+	9.25	1.02E-01
regulation of carbohydrate utilization (GO:0043610)	2	2	.22	+	9.25	2.03E-02
sucrose induced translational repression (GO:0080149)	1	1	.11	+	9.25	1.02E-01
multicellular organismal iron ion homeostasis (GO:0060586)	1	1	.11	+	9.25	1.02E-01
positive regulation of lipid localization (GO:1905954)	2	2	.22	+	9.25	2.03E-02
fruit septum development (GO:0080127)	1	1	.11	+	9.25	1.02E-01
sepal formation (GO:0048453)	1	1	.11	+	9.25	1.02E-01
sepal morphogenesis (GO:0048447)	1	1	.11	+	9.25	1.02E-01
positive regulation of DNA demethylation (GO:1901537)	2	2	.22	+	9.25	2.03E-02
positive regulation of acylglycerol transport (GO:1901508)	2	2	.22	+	9.25	2.03E-02
regulation of acylglycerol transport (GO:1901506)	2	2	.22	+	9.25	2.03E-02
positive regulation of autophagy in response to ER overload (GO:0034263)	1	1	.11	+	9.25	1.02E-01
negative regulation of nuclease activity (GO:0032074)	1	1	.11	+	9.25	1.02E-01
regulation of nuclease activity (GO:0032069)	1	1	.11	+	9.25	1.02E-01
negative regulation of translation in response to stress (GO:0032055)	1	1	.11	+	9.25	1.02E-01
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	1	1	.11	+	9.25	1.02E-01
quinolinate catabolic process (GO:0034213)	1	1	.11	+	9.25	1.02E-01
regulation of stem cell division (GO:2000035)	1	1	.11	+	9.25	1.02E-01
regulation of adenylate cyclase activity (GO:0045761)	1	1	.11	+	9.25	1.02E-01
auxin conjugate metabolic process (GO:0010249)	1	1	.11	+	9.25	1.02E-01
regulation of translation in response to stress (GO:0043555)	1	1	.11	+	9.25	1.02E-01
beta-alanine catabolic process (GO:0019484)	1	1	.11	+	9.25	1.02E-01
L-alanine catabolic process, by transamination (GO:0019481)	1	1	.11	+	9.25	1.02E-01
positive regulation of triglyceride transport (GO:1905885)	2	2	.22	+	9.25	2.03E-02
regulation of triglyceride transport (GO:1905883)	2	2	.22	+	9.25	2.03E-02
sulfide oxidation, using siroheme sulfite reductase (GO:0019424)	1	1	.11	+	9.25	1.02E-01
photosystem stoichiometry adjustment (GO:0080005)	1	1	.11	+	9.25	1.02E-01
sulfide oxidation (GO:0019418)	1	1	.11	+	9.25	1.02E-01
NAD-cap decapping (GO:0110155)	1	1	.11	+	9.25	1.02E-01
ER-nucleus signaling pathway (GO:0006984)	2	2	.22	+	9.25	2.03E-02
ER overload response (GO:0006983)	2	2	.22	+	9.25	2.03E-02
cellular defense response (GO:0006968)	2	2	.22	+	9.25	2.03E-02
chloroplast elongation (GO:0010151)	2	2	.22	+	9.25	2.03E-02
N-terminal peptidyl-serine acetylation (GO:0017198)	1	1	.11	+	9.25	1.02E-01
negative regulation of exonuclease activity (GO:1905778)	1	1	.11	+	9.25	1.02E-01
regulation of exonuclease activity (GO:1905777)	1	1	.11	+	9.25	1.02E-01
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	1	1	.11	+	9.25	1.02E-01
determination of dorsal identity (GO:0048263)	1	1	.11	+	9.25	1.02E-01
determination of dorsal/ventral asymmetry (GO:0048262)	1	1	.11	+	9.25	1.02E-01
iron import into the mitochondrion (GO:0048250)	1	1	.11	+	9.25	1.02E-01
DNA rewinding (GO:0036292)	1	1	.11	+	9.25	1.02E-01
peptidyl-serine autophosphorylation (GO:0036289)	1	1	.11	+	9.25	1.02E-01
L-alanine catabolic process (GO:0042853)	4	3	.43	+	6.94	9.77E-03
L-alanine metabolic process (GO:0042851)	4	3	.43	+	6.94	9.77E-03
S-adenosylmethionine biosynthetic process (GO:0006556)	4	3	.43	+	6.94	9.77E-03
alanine catabolic process (GO:0006524)	4	3	.43	+	6.94	9.77E-03
alanine metabolic process (GO:0006522)	4	3	.43	+	6.94	9.77E-03
pyruvate family amino acid catabolic process (GO:0009080)	4	3	.43	+	6.94	9.77E-03
pyruvate family amino acid metabolic process (GO:0009078)	4	3	.43	+	6.94	9.77E-03
cellular polysaccharide catabolic process (GO:0044247)	19	14	2.05	+	6.82	3.88E-08
glucan catabolic process (GO:0009251)	21	15	2.27	+	6.61	1.92E-08
starch catabolic process (GO:0005983)	16	11	1.73	+	6.36	2.10E-06
proton-transporting two-sector ATPase complex assembly (GO:0070071)	3	2	.32	+	6.17	4.25E-02
proton-transporting V-type ATPase complex assembly (GO:0070070)	3	2	.32	+	6.17	4.25E-02
glycolate metabolic process (GO:0009441)	3	2	.32	+	6.17	4.25E-02
fat-soluble vitamin metabolic process (GO:0006775)	9	6	.97	+	6.17	5.12E-04
glyoxal metabolic process (GO:1903189)	3	2	.32	+	6.17	4.25E-02
fat-soluble vitamin biosynthetic process (GO:0042362)	9	6	.97	+	6.17	5.12E-04
positive regulation of chlorophyll biosynthetic process (GO:1902326)	3	2	.32	+	6.17	4.25E-02
positive regulation of unidimensional cell growth (GO:0051512)	3	2	.32	+	6.17	4.25E-02
negative regulation of protein catabolic process (GO:0042177)	3	2	.32	+	6.17	4.25E-02
guanine deglycation, glyoxal removal (GO:0106046)	3	2	.32	+	6.17	4.25E-02
guanine deglycation (GO:0106044)	3	2	.32	+	6.17	4.25E-02
uronic acid metabolic process (GO:0006063)	3	2	.32	+	6.17	4.25E-02
protein deglycation, glyoxal removal (GO:0036529)	3	2	.32	+	6.17	4.25E-02
protein deglycation (GO:0036525)	3	2	.32	+	6.17	4.25E-02
primary alcohol biosynthetic process (GO:0034309)	3	2	.32	+	6.17	4.25E-02
galacturonate metabolic process (GO:0019586)	3	2	.32	+	6.17	4.25E-02
regulation of lipid localization (GO:1905952)	3	2	.32	+	6.17	4.25E-02
glycolate biosynthetic process (GO:0046295)	3	2	.32	+	6.17	4.25E-02
regulation of DNA demethylation (GO:1901535)	3	2	.32	+	6.17	4.25E-02
positive regulation of tetrapyrrole biosynthetic process (GO:1901465)	3	2	.32	+	6.17	4.25E-02
cytokinin transport (GO:0010184)	3	2	.32	+	6.17	4.25E-02
tRNA transport (GO:0051031)	3	2	.32	+	6.17	4.25E-02
detection of gravity (GO:0009590)	3	2	.32	+	6.17	4.25E-02
photosynthesis, light harvesting in photosystem I (GO:0009768)	19	12	2.05	+	5.84	1.74E-06
vitamin E metabolic process (GO:0042360)	8	5	.86	+	5.78	1.97E-03
vitamin E biosynthetic process (GO:0010189)	8	5	.86	+	5.78	1.97E-03
acquisition of seed longevity (GO:0140547)	5	3	.54	+	5.55	1.76E-02
tyrosine catabolic process (GO:0006572)	5	3	.54	+	5.55	1.76E-02
homoserine biosynthetic process (GO:0009090)	5	3	.54	+	5.55	1.76E-02
CTP salvage (GO:0044211)	5	3	.54	+	5.55	1.76E-02
amylopectin biosynthetic process (GO:0010021)	7	4	.76	+	5.29	7.50E-03
amylopectin metabolic process (GO:2000896)	7	4	.76	+	5.29	7.50E-03
primary alcohol metabolic process (GO:0034308)	9	5	.97	+	5.14	3.25E-03
Golgi vesicle docking (GO:0048211)	2	1	.22	+	4.62	1.94E-01
endosomal vesicle fusion (GO:0034058)	2	1	.22	+	4.62	1.94E-01
purine ribonucleoside bisphosphate metabolic process (GO:0034035)	4	2	.43	+	4.62	7.04E-02
tricarboxylic acid transport (GO:0006842)	2	1	.22	+	4.62	1.94E-01
embryonic root morphogenesis (GO:0010086)	2	1	.22	+	4.62	1.94E-01
root meristem specification (GO:0010071)	4	2	.43	+	4.62	7.04E-02
xanthophyll cycle (GO:0010028)	2	1	.22	+	4.62	1.94E-01
vacuolar proton-transporting V-type ATPase complex assembly (GO:0070072)	2	1	.22	+	4.62	1.94E-01
Rho protein signal transduction (GO:0007266)	2	1	.22	+	4.62	1.94E-01
Ras protein signal transduction (GO:0007265)	2	1	.22	+	4.62	1.94E-01
regulation of reactive oxygen species biosynthetic process (GO:1903426)	8	4	.86	+	4.62	1.18E-02
pathogenesis (GO:0009405)	4	2	.43	+	4.62	7.04E-02
biotin metabolic process (GO:0006768)	4	2	.43	+	4.62	7.04E-02
glutathione biosynthetic process (GO:0006750)	2	1	.22	+	4.62	1.94E-01
FAD biosynthetic process (GO:0006747)	2	1	.22	+	4.62	1.94E-01
cuticle hydrocarbon biosynthetic process (GO:0006723)	2	1	.22	+	4.62	1.94E-01
histone H2B conserved C-terminal lysine deubiquitination (GO:0035616)	2	1	.22	+	4.62	1.94E-01
nonribosomal peptide biosynthetic process (GO:0019184)	2	1	.22	+	4.62	1.94E-01
tRNA transcription by RNA polymerase III (GO:0042797)	2	1	.22	+	4.62	1.94E-01
female meiotic nuclear division (GO:0007143)	4	2	.43	+	4.62	7.04E-02
tRNA transcription (GO:0009304)	2	1	.22	+	4.62	1.94E-01
thiamine-containing compound biosynthetic process (GO:0042724)	4	2	.43	+	4.62	7.04E-02
stomatal opening (GO:1990069)	4	2	.43	+	4.62	7.04E-02
vacuolar sequestering (GO:0043181)	2	1	.22	+	4.62	1.94E-01
cell wall mannoprotein biosynthetic process (GO:0000032)	2	1	.22	+	4.62	1.94E-01
guanosine tetraphosphate metabolic process (GO:0015969)	4	2	.43	+	4.62	7.04E-02
oxidative RNA demethylation (GO:0035513)	2	1	.22	+	4.62	1.94E-01
phytol metabolic process (GO:0033306)	2	1	.22	+	4.62	1.94E-01
thiamine biosynthetic process (GO:0009228)	4	2	.43	+	4.62	7.04E-02
vacuolar acidification (GO:0007035)	6	3	.65	+	4.62	2.82E-02
ubiquitin-dependent protein catabolic process via the N-end rule pathway (GO:0071596)	2	1	.22	+	4.62	1.94E-01
positive regulation of telomerase activity (GO:0051973)	2	1	.22	+	4.62	1.94E-01
isoprenoid biosynthetic process via mevalonate (GO:1902767)	2	1	.22	+	4.62	1.94E-01
monovalent inorganic anion homeostasis (GO:0055083)	2	1	.22	+	4.62	1.94E-01
chloride ion homeostasis (GO:0055064)	2	1	.22	+	4.62	1.94E-01
reticulophagy (GO:0061709)	2	1	.22	+	4.62	1.94E-01
SNARE complex disassembly (GO:0035494)	2	1	.22	+	4.62	1.94E-01
generative cell mitosis (GO:0055047)	2	1	.22	+	4.62	1.94E-01
tRNA wobble position uridine thiolation (GO:0002143)	4	2	.43	+	4.62	7.04E-02
plastid DNA replication (GO:0033259)	2	1	.22	+	4.62	1.94E-01
plastid DNA metabolic process (GO:0033258)	2	1	.22	+	4.62	1.94E-01
regulation of cation channel activity (GO:2001257)	2	1	.22	+	4.62	1.94E-01
regulation of histone deacetylation (GO:0031063)	2	1	.22	+	4.62	1.94E-01
cyclic nucleotide metabolic process (GO:0009187)	2	1	.22	+	4.62	1.94E-01
gamma-aminobutyric acid transport (GO:0015812)	2	1	.22	+	4.62	1.94E-01
aromatic amino acid transport (GO:0015801)	2	1	.22	+	4.62	1.94E-01
histone H3-R26 methylation (GO:0034972)	2	1	.22	+	4.62	1.94E-01
histone H3-R2 methylation (GO:0034970)	2	1	.22	+	4.62	1.94E-01
photosystem II stabilization (GO:0042549)	4	2	.43	+	4.62	7.04E-02
biotin biosynthetic process (GO:0009102)	4	2	.43	+	4.62	7.04E-02
hypotonic salinity response (GO:0042539)	2	1	.22	+	4.62	1.94E-01
cellular response to anoxia (GO:0071454)	2	1	.22	+	4.62	1.94E-01
threonyl-tRNA aminoacylation (GO:0006435)	2	1	.22	+	4.62	1.94E-01
regulation of glucose metabolic process (GO:0010906)	2	1	.22	+	4.62	1.94E-01
positive regulation of cellular response to oxidative stress (GO:1900409)	2	1	.22	+	4.62	1.94E-01
regulation of cellular response to phosphate starvation (GO:0140255)	2	1	.22	+	4.62	1.94E-01
azole transmembrane transport (GO:0045117)	2	1	.22	+	4.62	1.94E-01
response to cycloheximide (GO:0046898)	2	1	.22	+	4.62	1.94E-01
citrate transport (GO:0015746)	2	1	.22	+	4.62	1.94E-01
threonine biosynthetic process (GO:0009088)	8	4	.86	+	4.62	1.18E-02
cellular response to indolebutyric acid stimulus (GO:0071366)	2	1	.22	+	4.62	1.94E-01
medium-chain fatty acid metabolic process (GO:0051791)	2	1	.22	+	4.62	1.94E-01
cotyledon boundary formation (GO:0090451)	2	1	.22	+	4.62	1.94E-01
protein import into peroxisome membrane (GO:0045046)	4	2	.43	+	4.62	7.04E-02
molybdate ion transport (GO:0015689)	2	1	.22	+	4.62	1.94E-01
oxygen transport (GO:0015671)	2	1	.22	+	4.62	1.94E-01
positive regulation of cellular response to drug (GO:2001040)	6	3	.65	+	4.62	2.82E-02
regulation of cellular response to drug (GO:2001038)	6	3	.65	+	4.62	2.82E-02
positive regulation of urease activity (GO:1905182)	2	1	.22	+	4.62	1.94E-01
regulation of urease activity (GO:1905181)	2	1	.22	+	4.62	1.94E-01
positive regulation of response to drug (GO:2001025)	6	3	.65	+	4.62	2.82E-02
regulation of response to drug (GO:2001023)	6	3	.65	+	4.62	2.82E-02
[2Fe-2S] cluster assembly (GO:0044571)	2	1	.22	+	4.62	1.94E-01
cellular response to copper ion (GO:0071280)	2	1	.22	+	4.62	1.94E-01
cellular response to electrical stimulus (GO:0071257)	2	1	.22	+	4.62	1.94E-01
ATP generation from poly-ADP-D-ribose (GO:1990966)	2	1	.22	+	4.62	1.94E-01
cellular response to external biotic stimulus (GO:0071217)	2	1	.22	+	4.62	1.94E-01
rRNA 5'-end processing (GO:0000967)	2	1	.22	+	4.62	1.94E-01
positive regulation of shade avoidance (GO:1902448)	2	1	.22	+	4.62	1.94E-01
tRNA import into mitochondrion (GO:0016031)	2	1	.22	+	4.62	1.94E-01
(+)-abscisic acid D-glucopyranosyl ester transmembrane transport (GO:1902418)	2	1	.22	+	4.62	1.94E-01
response to electrical stimulus (GO:0051602)	2	1	.22	+	4.62	1.94E-01
regulation of protein deacetylation (GO:0090311)	2	1	.22	+	4.62	1.94E-01
regulation of inward rectifier potassium channel activity (GO:1901979)	2	1	.22	+	4.62	1.94E-01
sulfate transmembrane transport (GO:1902358)	4	2	.43	+	4.62	7.04E-02
regulation of peroxisome size (GO:0044375)	2	1	.22	+	4.62	1.94E-01
negative regulation of reactive oxygen species metabolic process (GO:2000378)	2	1	.22	+	4.62	1.94E-01
negative regulation of defense response to oomycetes (GO:1902289)	4	2	.43	+	4.62	7.04E-02
acropetal auxin transport (GO:0010541)	2	1	.22	+	4.62	1.94E-01
tRNA N2-guanine methylation (GO:0002940)	2	1	.22	+	4.62	1.94E-01
monopolar spindle attachment to meiosis I kinetochore (GO:0051455)	2	1	.22	+	4.62	1.94E-01
intracellular pH reduction (GO:0051452)	6	3	.65	+	4.62	2.82E-02
mannoprotein biosynthetic process (GO:0006057)	2	1	.22	+	4.62	1.94E-01
mannoprotein metabolic process (GO:0006056)	2	1	.22	+	4.62	1.94E-01
RNA secondary structure unwinding (GO:0010501)	2	1	.22	+	4.62	1.94E-01
membrane fission (GO:0090148)	2	1	.22	+	4.62	1.94E-01
glucose catabolic process (GO:0006007)	2	1	.22	+	4.62	1.94E-01
cadmium ion transmembrane transport (GO:0070574)	2	1	.22	+	4.62	1.94E-01
radial axis specification (GO:0009945)	2	1	.22	+	4.62	1.94E-01
longitudinal axis specification (GO:0009942)	8	4	.86	+	4.62	1.18E-02
phloem sucrose loading (GO:0009915)	2	1	.22	+	4.62	1.94E-01
positive regulation of developmental growth (GO:0048639)	4	2	.43	+	4.62	7.04E-02
pyrimidine nucleotide salvage (GO:0032262)	6	3	.65	+	4.62	2.82E-02
UMP salvage (GO:0044206)	6	3	.65	+	4.62	2.82E-02
microsporocyte differentiation (GO:0010480)	2	1	.22	+	4.62	1.94E-01
inflorescence meristem growth (GO:0010450)	2	1	.22	+	4.62	1.94E-01
guard cell morphogenesis (GO:0010442)	2	1	.22	+	4.62	1.94E-01
guard cell development (GO:0010441)	2	1	.22	+	4.62	1.94E-01
attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation (GO:0051316)	2	1	.22	+	4.62	1.94E-01
ncRNA export from nucleus (GO:0097064)	2	1	.22	+	4.62	1.94E-01
sequestering of zinc ion (GO:0032119)	2	1	.22	+	4.62	1.94E-01
positive regulation of response to nutrient levels (GO:0032109)	2	1	.22	+	4.62	1.94E-01
positive regulation of response to extracellular stimulus (GO:0032106)	2	1	.22	+	4.62	1.94E-01
UDP-N-acetylglucosamine transmembrane transport (GO:1990569)	2	1	.22	+	4.62	1.94E-01
lytic vacuole organization (GO:0080171)	2	1	.22	+	4.62	1.94E-01
arabinose biosynthetic process (GO:0019567)	2	1	.22	+	4.62	1.94E-01
positive regulation of salicylic acid mediated signaling pathway (GO:0080151)	6	3	.65	+	4.62	2.82E-02
