




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (1025)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
heme oxidation (GO:0006788)	1	1	.17	+	5.73	1.60E-01
porphyrin-containing compound catabolic process (GO:0006787)	1	1	.17	+	5.73	1.60E-01
regulation of mitochondrial electron transport, NADH to ubiquinone (GO:1902956)	1	1	.17	+	5.73	1.60E-01
intein-mediated protein splicing (GO:0016539)	1	1	.17	+	5.73	1.60E-01
NADH regeneration (GO:0006735)	1	1	.17	+	5.73	1.60E-01
protein K33-linked deubiquitination (GO:1990168)	1	1	.17	+	5.73	1.60E-01
positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900738)	2	2	.35	+	5.73	4.83E-02
regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900736)	2	2	.35	+	5.73	4.83E-02
inactivation of MAPK activity (GO:0000188)	2	2	.35	+	5.73	4.83E-02
juvenile hormone catabolic process (GO:0006719)	2	2	.35	+	5.73	4.83E-02
cholesterol catabolic process (GO:0006707)	1	1	.17	+	5.73	1.60E-01
steroid catabolic process (GO:0006706)	2	2	.35	+	5.73	4.83E-02
clathrin-coated vesicle cargo loading (GO:0035652)	1	1	.17	+	5.73	1.60E-01
messenger ribonucleoprotein complex assembly (GO:1990120)	1	1	.17	+	5.73	1.60E-01
sulfate assimilation (GO:0000103)	1	1	.17	+	5.73	1.60E-01
regulation of formation of translation initiation ternary complex (GO:1901190)	1	1	.17	+	5.73	1.60E-01
protein localization to basolateral plasma membrane (GO:1903361)	1	1	.17	+	5.73	1.60E-01
negative regulation of posttranscriptional gene silencing (GO:0060149)	1	1	.17	+	5.73	1.60E-01
positive regulation of protein folding (GO:1903334)	1	1	.17	+	5.73	1.60E-01
regulation of protein folding (GO:1903332)	1	1	.17	+	5.73	1.60E-01
R3/R4 development (GO:0048057)	1	1	.17	+	5.73	1.60E-01
drinking behavior (GO:0042756)	1	1	.17	+	5.73	1.60E-01
insulin catabolic process (GO:1901143)	1	1	.17	+	5.73	1.60E-01
insulin metabolic process (GO:1901142)	1	1	.17	+	5.73	1.60E-01
exogenous drug catabolic process (GO:0042738)	2	2	.35	+	5.73	4.83E-02
drug catabolic process (GO:0042737)	2	2	.35	+	5.73	4.83E-02
cytokine production (GO:0001816)	1	1	.17	+	5.73	1.60E-01
positive regulation of phagocytosis, engulfment (GO:0060100)	1	1	.17	+	5.73	1.60E-01
ocellus photoreceptor cell differentiation (GO:0042705)	2	2	.35	+	5.73	4.83E-02
negative regulation of activin receptor signaling pathway (GO:0032926)	1	1	.17	+	5.73	1.60E-01
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	1	1	.17	+	5.73	1.60E-01
negative regulation of neuronal signal transduction (GO:1902848)	1	1	.17	+	5.73	1.60E-01
regulation of neuronal signal transduction (GO:1902847)	1	1	.17	+	5.73	1.60E-01
positive regulation of mitotic spindle elongation (GO:1902846)	1	1	.17	+	5.73	1.60E-01
diacylglycerol biosynthetic process (GO:0006651)	1	1	.17	+	5.73	1.60E-01
myeloid leukocyte activation (GO:0002274)	1	1	.17	+	5.73	1.60E-01
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	1	.17	+	5.73	1.60E-01
sequestering of extracellular ligand from receptor (GO:0035581)	1	1	.17	+	5.73	1.60E-01
stress fiber assembly (GO:0043149)	1	1	.17	+	5.73	1.60E-01
negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)	1	1	.17	+	5.73	1.60E-01
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	1	1	.17	+	5.73	1.60E-01
protein K29-linked deubiquitination (GO:0035523)	1	1	.17	+	5.73	1.60E-01
negative regulation of myosin-light-chain-phosphatase activity (GO:0035509)	1	1	.17	+	5.73	1.60E-01
regulation of myosin-light-chain-phosphatase activity (GO:0035507)	1	1	.17	+	5.73	1.60E-01
regulation of glutamate secretion, neurotransmission (GO:1903294)	1	1	.17	+	5.73	1.60E-01
meiotic spindle assembly checkpoint (GO:0033316)	1	1	.17	+	5.73	1.60E-01
regulation of phagocytosis, engulfment (GO:0060099)	1	1	.17	+	5.73	1.60E-01
snRNA pseudouridine synthesis (GO:0031120)	2	2	.35	+	5.73	4.83E-02
neurofilament cytoskeleton organization (GO:0060052)	1	1	.17	+	5.73	1.60E-01
cardiac muscle contraction (GO:0060048)	1	1	.17	+	5.73	1.60E-01
regulation of organic acid transport (GO:0032890)	1	1	.17	+	5.73	1.60E-01
negative regulation of response to reactive oxygen species (GO:1901032)	1	1	.17	+	5.73	1.60E-01
negative regulation of hydrogen peroxide-induced cell death (GO:1903206)	1	1	.17	+	5.73	1.60E-01
regulation of hydrogen peroxide-induced cell death (GO:1903205)	1	1	.17	+	5.73	1.60E-01
outer mitochondrial membrane organization (GO:0007008)	1	1	.17	+	5.73	1.60E-01
histone H3-K27 demethylation (GO:0071557)	1	1	.17	+	5.73	1.60E-01
positive regulation of chromosome segregation (GO:0051984)	1	1	.17	+	5.73	1.60E-01
positive regulation of telomerase activity (GO:0051973)	1	1	.17	+	5.73	1.60E-01
regulation of telomerase activity (GO:0051972)	1	1	.17	+	5.73	1.60E-01
regulation of choline O-acetyltransferase activity (GO:1902769)	2	2	.35	+	5.73	4.83E-02
isoprenoid biosynthetic process via mevalonate (GO:1902767)	1	1	.17	+	5.73	1.60E-01
late endosomal microautophagy (GO:0061738)	1	1	.17	+	5.73	1.60E-01
calcium-dependent cell-matrix adhesion (GO:0016340)	1	1	.17	+	5.73	1.60E-01
regulation of amino acid transport (GO:0051955)	1	1	.17	+	5.73	1.60E-01
glucose catabolic process to pyruvate (GO:0061718)	1	1	.17	+	5.73	1.60E-01
histidine catabolic process (GO:0006548)	1	1	.17	+	5.73	1.60E-01
histidine metabolic process (GO:0006547)	1	1	.17	+	5.73	1.60E-01
glutamine catabolic process (GO:0006543)	1	1	.17	+	5.73	1.60E-01
cytoplasmic translational termination (GO:0002184)	1	1	.17	+	5.73	1.60E-01
SNARE complex assembly (GO:0035493)	2	2	.35	+	5.73	4.83E-02
establishment of pigment granule localization (GO:0051905)	1	1	.17	+	5.73	1.60E-01
pigment granule transport (GO:0051904)	1	1	.17	+	5.73	1.60E-01
meiotic metaphase I plate congression (GO:0043060)	1	1	.17	+	5.73	1.60E-01
mitochondrial mRNA 3'-end processing (GO:0090616)	1	1	.17	+	5.73	1.60E-01
mitochondrial mRNA processing (GO:0090615)	1	1	.17	+	5.73	1.60E-01
negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:2001271)	1	1	.17	+	5.73	1.60E-01
zonula adherens maintenance (GO:0045218)	1	1	.17	+	5.73	1.60E-01
ribonucleoside diphosphate biosynthetic process (GO:0009188)	1	1	.17	+	5.73	1.60E-01
purine ribonucleoside diphosphate biosynthetic process (GO:0009180)	1	1	.17	+	5.73	1.60E-01
histamine biosynthetic process (GO:0001694)	2	2	.35	+	5.73	4.83E-02
meiotic spindle checkpoint (GO:0044779)	1	1	.17	+	5.73	1.60E-01
microtubule organizing center attachment site organization (GO:0034994)	1	1	.17	+	5.73	1.60E-01
mitochondrial protein processing (GO:0034982)	1	1	.17	+	5.73	1.60E-01
retinol metabolic process (GO:0042572)	1	1	.17	+	5.73	1.60E-01
purine nucleoside diphosphate biosynthetic process (GO:0009136)	1	1	.17	+	5.73	1.60E-01
sequestering of BMP from receptor via BMP binding (GO:0038098)	1	1	.17	+	5.73	1.60E-01
nucleoside diphosphate biosynthetic process (GO:0009133)	1	1	.17	+	5.73	1.60E-01
box H/ACA snoRNA processing (GO:0034964)	1	1	.17	+	5.73	1.60E-01
positive regulation of cytoplasmic translation (GO:2000767)	1	1	.17	+	5.73	1.60E-01
regulation of mitochondrial transcription (GO:1903108)	3	3	.52	+	5.73	1.62E-02
cellular response to high light intensity (GO:0071486)	1	1	.17	+	5.73	1.60E-01
cellular response to light intensity (GO:0071484)	3	3	.52	+	5.73	1.62E-02
cellular response to blue light (GO:0071483)	1	1	.17	+	5.73	1.60E-01
negative regulation of SMAD protein complex assembly (GO:0010991)	1	1	.17	+	5.73	1.60E-01
cellular response to anoxia (GO:0071454)	2	2	.35	+	5.73	4.83E-02
mitochondrial outer membrane permeabilization involved in programmed cell death (GO:1902686)	1	1	.17	+	5.73	1.60E-01
gap junction assembly (GO:0016264)	1	1	.17	+	5.73	1.60E-01
magnesium ion homeostasis (GO:0010960)	1	1	.17	+	5.73	1.60E-01
pigment granule localization (GO:0051875)	1	1	.17	+	5.73	1.60E-01
canonical glycolysis (GO:0061621)	1	1	.17	+	5.73	1.60E-01
glycolytic process through glucose-6-phosphate (GO:0061620)	1	1	.17	+	5.73	1.60E-01
rRNA acetylation involved in maturation of SSU-rRNA (GO:1904812)	1	1	.17	+	5.73	1.60E-01
regulation of glutamate secretion (GO:0014048)	1	1	.17	+	5.73	1.60E-01
glutamate secretion (GO:0014047)	1	1	.17	+	5.73	1.60E-01
glycolytic process through fructose-6-phosphate (GO:0061615)	1	1	.17	+	5.73	1.60E-01
positive regulation of mitochondrial membrane potential (GO:0010918)	1	1	.17	+	5.73	1.60E-01
transepithelial water transport (GO:0035377)	1	1	.17	+	5.73	1.60E-01
response to hydroperoxide (GO:0033194)	1	1	.17	+	5.73	1.60E-01
snRNA export from nucleus (GO:0006408)	1	1	.17	+	5.73	1.60E-01
desensitization of G protein-coupled receptor signaling pathway by arrestin (GO:0002032)	2	2	.35	+	5.73	4.83E-02
regulation of histone H2B conserved C-terminal lysine ubiquitination (GO:2001173)	1	1	.17	+	5.73	1.60E-01
trehalose transport (GO:0015771)	1	1	.17	+	5.73	1.60E-01
positive regulation of protein dephosphorylation (GO:0035307)	1	1	.17	+	5.73	1.60E-01
positive regulation of dephosphorylation (GO:0035306)	1	1	.17	+	5.73	1.60E-01
positive regulation of proton-transporting ATP synthase activity, rotational mechanism (GO:1905273)	1	1	.17	+	5.73	1.60E-01
regulation of proton-transporting ATP synthase activity, rotational mechanism (GO:1905271)	1	1	.17	+	5.73	1.60E-01
positive regulation of mitotic sister chromatid segregation (GO:0062033)	1	1	.17	+	5.73	1.60E-01
positive regulation of stress granule assembly (GO:0062029)	1	1	.17	+	5.73	1.60E-01
regulation of stress granule assembly (GO:0062028)	1	1	.17	+	5.73	1.60E-01
ocellus photoreceptor cell development (GO:0042463)	2	2	.35	+	5.73	4.83E-02
positive regulation of transcription regulatory region DNA binding (GO:2000679)	1	1	.17	+	5.73	1.60E-01
hormone catabolic process (GO:0042447)	3	3	.52	+	5.73	1.62E-02
peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine (GO:0018395)	1	1	.17	+	5.73	1.60E-01
regulation of early endosome to late endosome transport (GO:2000641)	1	1	.17	+	5.73	1.60E-01
cellular response to corticotropin-releasing hormone stimulus (GO:0071376)	1	1	.17	+	5.73	1.60E-01
synaptic vesicle to endosome fusion (GO:0016189)	1	1	.17	+	5.73	1.60E-01
peristalsis (GO:0030432)	1	1	.17	+	5.73	1.60E-01
sterol catabolic process (GO:0016127)	1	1	.17	+	5.73	1.60E-01
centriole elongation (GO:0061511)	1	1	.17	+	5.73	1.60E-01
terpenoid catabolic process (GO:0016115)	2	2	.35	+	5.73	4.83E-02
sesquiterpenoid catabolic process (GO:0016107)	2	2	.35	+	5.73	4.83E-02
negative regulation of tumor necrosis factor-mediated signaling pathway (GO:0010804)	1	1	.17	+	5.73	1.60E-01
positive regulation of calcineurin-NFAT signaling cascade (GO:0070886)	1	1	.17	+	5.73	1.60E-01
protein import into peroxisome membrane (GO:0045046)	2	2	.35	+	5.73	4.83E-02
protein insertion into mitochondrial inner membrane (GO:0045039)	2	2	.35	+	5.73	4.83E-02
reactive nitrogen species metabolic process (GO:2001057)	1	1	.17	+	5.73	1.60E-01
tetrapyrrole catabolic process (GO:0033015)	1	1	.17	+	5.73	1.60E-01
positive regulation of membrane invagination (GO:1905155)	1	1	.17	+	5.73	1.60E-01
regulation of membrane invagination (GO:1905153)	1	1	.17	+	5.73	1.60E-01
negative regulation of meiotic chromosome separation (GO:1905133)	1	1	.17	+	5.73	1.60E-01
regulation of meiotic chromosome separation (GO:1905132)	1	1	.17	+	5.73	1.60E-01
regulation of mitochondrial mRNA stability (GO:0044528)	2	2	.35	+	5.73	4.83E-02
protein exit from endoplasmic reticulum (GO:0032527)	1	1	.17	+	5.73	1.60E-01
pointed-end actin filament capping (GO:0051694)	1	1	.17	+	5.73	1.60E-01
meiotic mismatch repair involved in reciprocal meiotic recombination (GO:0010777)	1	1	.17	+	5.73	1.60E-01
transepithelial chloride transport (GO:0030321)	1	1	.17	+	5.73	1.60E-01
negative regulation of histone H3-K27 trimethylation (GO:1902465)	1	1	.17	+	5.73	1.60E-01
regulation of histone H3-K27 trimethylation (GO:1902464)	1	1	.17	+	5.73	1.60E-01
connective tissue development (GO:0061448)	1	1	.17	+	5.73	1.60E-01
regulation of long-term synaptic potentiation (GO:1900271)	1	1	.17	+	5.73	1.60E-01
mitochondrial RNA 3'-end processing (GO:0000965)	1	1	.17	+	5.73	1.60E-01
absorption of UV light (GO:0016039)	1	1	.17	+	5.73	1.60E-01
absorption of visible light (GO:0016038)	1	1	.17	+	5.73	1.60E-01
light absorption (GO:0016037)	2	2	.35	+	5.73	4.83E-02
tRNA import into mitochondrion (GO:0016031)	1	1	.17	+	5.73	1.60E-01
negative regulation of extracellular matrix disassembly (GO:0010716)	1	1	.17	+	5.73	1.60E-01
regulation of extracellular matrix disassembly (GO:0010715)	1	1	.17	+	5.73	1.60E-01
negative regulation of meiotic cell cycle phase transition (GO:1901994)	1	1	.17	+	5.73	1.60E-01
negative regulation of gene silencing by miRNA (GO:0060965)	1	1	.17	+	5.73	1.60E-01
plus-end-directed endosome transport along mitotic spindle midzone microtubule (GO:0140024)	1	1	.17	+	5.73	1.60E-01
negative regulation of insulin secretion (GO:0046676)	1	1	.17	+	5.73	1.60E-01
mitochondrial outer membrane permeabilization (GO:0097345)	1	1	.17	+	5.73	1.60E-01
ocellus morphogenesis (GO:0048816)	1	1	.17	+	5.73	1.60E-01
peptidyl-aspartic acid hydroxylation (GO:0042264)	1	1	.17	+	5.73	1.60E-01
mature ribosome assembly (GO:0042256)	1	1	.17	+	5.73	1.60E-01
peptidyl-aspartic acid modification (GO:0018197)	1	1	.17	+	5.73	1.60E-01
polar body extrusion after meiotic divisions (GO:0040038)	1	1	.17	+	5.73	1.60E-01
RNA acetylation (GO:1990884)	1	1	.17	+	5.73	1.60E-01
rRNA acetylation (GO:1990882)	1	1	.17	+	5.73	1.60E-01
positive regulation of apoptotic cell clearance (GO:2000427)	2	2	.35	+	5.73	4.83E-02
regulation of apoptotic cell clearance (GO:2000425)	2	2	.35	+	5.73	4.83E-02
peptidyl-pyrromethane cofactor linkage (GO:0018160)	1	1	.17	+	5.73	1.60E-01
light-induced release of internally sequestered calcium ion (GO:0008377)	2	2	.35	+	5.73	4.83E-02
melanosome transport (GO:0032402)	1	1	.17	+	5.73	1.60E-01
establishment of melanosome localization (GO:0032401)	1	1	.17	+	5.73	1.60E-01
melanosome localization (GO:0032400)	1	1	.17	+	5.73	1.60E-01
chondroitin sulfate biosynthetic process (GO:0030206)	1	1	.17	+	5.73	1.60E-01
ADP biosynthetic process (GO:0006172)	1	1	.17	+	5.73	1.60E-01
cell communication by electrical coupling (GO:0010644)	1	1	.17	+	5.73	1.60E-01
cell morphogenesis involved in Malpighian tubule morphogenesis (GO:0061336)	1	1	.17	+	5.73	1.60E-01
regulation of actomyosin contractile ring contraction (GO:0031991)	1	1	.17	+	5.73	1.60E-01
ecdysone-mediated polytene chromosome puffing (GO:0035077)	1	1	.17	+	5.73	1.60E-01
extracellular negative regulation of signal transduction (GO:1900116)	1	1	.17	+	5.73	1.60E-01
extracellular regulation of signal transduction (GO:1900115)	1	1	.17	+	5.73	1.60E-01
fumarate metabolic process (GO:0006106)	1	1	.17	+	5.73	1.60E-01
isocitrate metabolic process (GO:0006102)	1	1	.17	+	5.73	1.60E-01
nuclear speck organization (GO:0035063)	1	1	.17	+	5.73	1.60E-01
negative regulation of endoplasmic reticulum unfolded protein response (GO:1900102)	1	1	.17	+	5.73	1.60E-01
regulation of endoplasmic reticulum unfolded protein response (GO:1900101)	1	1	.17	+	5.73	1.60E-01
protein localization to nuclear pore (GO:0090204)	1	1	.17	+	5.73	1.60E-01
ketone catabolic process (GO:0042182)	1	1	.17	+	5.73	1.60E-01
positive regulation of calcineurin-mediated signaling (GO:0106058)	1	1	.17	+	5.73	1.60E-01
mitochondrial mRNA polyadenylation (GO:0097222)	1	1	.17	+	5.73	1.60E-01
positive regulation of ubiquitin-dependent endocytosis (GO:2000397)	1	1	.17	+	5.73	1.60E-01
regulation of ubiquitin-dependent endocytosis (GO:2000395)	1	1	.17	+	5.73	1.60E-01
heme catabolic process (GO:0042167)	1	1	.17	+	5.73	1.60E-01
negative regulation of blood coagulation (GO:0030195)	1	1	.17	+	5.73	1.60E-01
regulation of blood coagulation (GO:0030193)	1	1	.17	+	5.73	1.60E-01
macrophage activation (GO:0042116)	1	1	.17	+	5.73	1.60E-01
cytochrome c-heme linkage (GO:0018063)	1	1	.17	+	5.73	1.60E-01
regulation of adenylate cyclase activity involved in G protein-coupled receptor signaling pathway (GO:0010578)	1	1	.17	+	5.73	1.60E-01
positive regulation of ceramide biosynthetic process (GO:2000304)	1	1	.17	+	5.73	1.60E-01
glycerol metabolic process (GO:0006071)	1	1	.17	+	5.73	1.60E-01
response to magnetism (GO:0071000)	1	1	.17	+	5.73	1.60E-01
N-terminal peptidyl-glutamic acid acetylation (GO:0018002)	1	1	.17	+	5.73	1.60E-01
negative regulation of hemostasis (GO:1900047)	1	1	.17	+	5.73	1.60E-01
regulation of hemostasis (GO:1900046)	1	1	.17	+	5.73	1.60E-01
negative regulation of cellular response to hypoxia (GO:1900038)	1	1	.17	+	5.73	1.60E-01
positive regulation of sphingolipid biosynthetic process (GO:0090154)	2	2	.35	+	5.73	4.83E-02
establishment of protein localization to mitochondrial membrane (GO:0090151)	2	2	.35	+	5.73	4.83E-02
positive regulation of ruffle assembly (GO:1900029)	1	1	.17	+	5.73	1.60E-01
regulation of ruffle assembly (GO:1900027)	1	1	.17	+	5.73	1.60E-01
regulation of actin cytoskeleton organization by cell-cell adhesion (GO:0090138)	1	1	.17	+	5.73	1.60E-01
cellular water homeostasis (GO:0009992)	1	1	.17	+	5.73	1.60E-01
fructose 2,6-bisphosphate metabolic process (GO:0006003)	1	1	.17	+	5.73	1.60E-01
positive regulation of synapse maturation (GO:0090129)	1	1	.17	+	5.73	1.60E-01
negative regulation of response to cytokine stimulus (GO:0060761)	1	1	.17	+	5.73	1.60E-01
detection of light stimulus involved in magnetoreception (GO:0050980)	1	1	.17	+	5.73	1.60E-01
negative regulation of histone H4-K20 methylation (GO:0070511)	1	1	.17	+	5.73	1.60E-01
regulation of histone H4-K20 methylation (GO:0070510)	1	1	.17	+	5.73	1.60E-01
magnetoreception (GO:0050958)	1	1	.17	+	5.73	1.60E-01
circadian regulation of translation (GO:0097167)	1	1	.17	+	5.73	1.60E-01
positive regulation of extracellular matrix constituent secretion (GO:0003331)	2	2	.35	+	5.73	4.83E-02
regulation of extracellular matrix constituent secretion (GO:0003330)	2	2	.35	+	5.73	4.83E-02
negative regulation of synaptic transmission, GABAergic (GO:0032229)	1	1	.17	+	5.73	1.60E-01
regulation of synaptic transmission, GABAergic (GO:0032228)	1	1	.17	+	5.73	1.60E-01
actin modification (GO:0030047)	1	1	.17	+	5.73	1.60E-01
contractile actin filament bundle assembly (GO:0030038)	2	2	.35	+	5.73	4.83E-02
microvillar actin bundle assembly (GO:0030034)	1	1	.17	+	5.73	1.60E-01
microvillus assembly (GO:0030033)	1	1	.17	+	5.73	1.60E-01
positive regulation of telomere maintenance (GO:0032206)	1	1	.17	+	5.73	1.60E-01
regulation of telomere maintenance (GO:0032204)	2	2	.35	+	5.73	4.83E-02
positive regulation of telomere capping (GO:1904355)	1	1	.17	+	5.73	1.60E-01
phasic smooth muscle contraction (GO:0014821)	1	1	.17	+	5.73	1.60E-01
regulation of telomere capping (GO:1904353)	1	1	.17	+	5.73	1.60E-01
positive regulation of calcium ion-dependent exocytosis (GO:0045956)	1	1	.17	+	5.73	1.60E-01
box H/ACA snoRNA metabolic process (GO:0033979)	1	1	.17	+	5.73	1.60E-01
negative regulation of translational elongation (GO:0045900)	1	1	.17	+	5.73	1.60E-01
positive regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902110)	1	1	.17	+	5.73	1.60E-01
regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902108)	1	1	.17	+	5.73	1.60E-01
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	1	1	.17	+	5.73	1.60E-01
negative regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902103)	1	1	.17	+	5.73	1.60E-01
regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902102)	1	1	.17	+	5.73	1.60E-01
nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	1	1	.17	+	5.73	1.60E-01
ecdysteroid catabolic process (GO:0046344)	1	1	.17	+	5.73	1.60E-01
negative regulation of coagulation (GO:0050819)	1	1	.17	+	5.73	1.60E-01
regulation of coagulation (GO:0050818)	1	1	.17	+	5.73	1.60E-01
regulation of timing of cell differentiation (GO:0048505)	1	1	.17	+	5.73	1.60E-01
negative regulation of antifungal peptide production (GO:0002789)	1	1	.17	+	5.73	1.60E-01
negative regulation of rhodopsin gene expression (GO:0045871)	1	1	.17	+	5.73	1.60E-01
establishment of blood-nerve barrier (GO:0008065)	1	1	.17	+	5.73	1.60E-01
regulation of transcription from RNA polymerase II promoter involved in spermatogenesis (GO:1902064)	1	1	.17	+	5.73	1.60E-01
MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	1	1	.17	+	5.73	1.60E-01
negative regulation of hematopoietic stem cell differentiation (GO:1902037)	1	1	.17	+	5.73	1.60E-01
regulation of hematopoietic stem cell differentiation (GO:1902036)	2	2	.35	+	5.73	4.83E-02
negative regulation of glycogen catabolic process (GO:0045818)	1	1	.17	+	5.73	1.60E-01
spindle disassembly (GO:0051230)	1	1	.17	+	5.73	1.60E-01
mitotic spindle disassembly (GO:0051228)	1	1	.17	+	5.73	1.60E-01
negative regulation of eclosion (GO:0045804)	1	1	.17	+	5.73	1.60E-01
cellular response to sucrose starvation (GO:0043617)	1	1	.17	+	5.73	1.60E-01
positive regulation of amyloid-beta formation (GO:1902004)	1	1	.17	+	5.73	1.60E-01
regulation of amyloid-beta formation (GO:1902003)	1	1	.17	+	5.73	1.60E-01
protein insertion into mitochondrial membrane (GO:0051204)	2	2	.35	+	5.73	4.83E-02
glycerol catabolic process (GO:0019563)	1	1	.17	+	5.73	1.60E-01
blue light signaling pathway (GO:0009785)	1	1	.17	+	5.73	1.60E-01
negative regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031631)	1	1	.17	+	5.73	1.60E-01
glutamate catabolic process to 2-oxoglutarate (GO:0019551)	1	1	.17	+	5.73	1.60E-01
carbohydrate utilization (GO:0009758)	1	1	.17	+	5.73	1.60E-01
response to paclitaxel (GO:1901555)	1	1	.17	+	5.73	1.60E-01
cellular response to hydrogen peroxide (GO:0070301)	1	1	.17	+	5.73	1.60E-01
IRE1-mediated unfolded protein response (GO:0036498)	1	1	.17	+	5.73	1.60E-01
negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)	1	1	.17	+	5.73	1.60E-01
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	2	2	.35	+	5.73	4.83E-02
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	1	1	.17	+	5.73	1.60E-01
regulation of anion transport (GO:0044070)	1	1	.17	+	5.73	1.60E-01
cell death in response to hydrogen peroxide (GO:0036474)	1	1	.17	+	5.73	1.60E-01
cell death in response to oxidative stress (GO:0036473)	1	1	.17	+	5.73	1.60E-01
response to food (GO:0032094)	1	1	.17	+	5.73	1.60E-01
positive regulation of protein binding (GO:0032092)	1	1	.17	+	5.73	1.60E-01
