




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
phospholipid catabolic process (GO:0009395)	6	1	.11	+	9.09	1.04E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	6	1	.11	+	9.09	1.04E-01
regulation of cellular pH (GO:0030641)	6	1	.11	+	9.09	1.04E-01
negative regulation of translation (GO:0017148)	6	1	.11	+	9.09	1.04E-01
glucose homeostasis (GO:0042593)	6	1	.11	+	9.09	1.04E-01
regulation of DNA replication (GO:0006275)	6	1	.11	+	9.09	1.04E-01
regulation of pH (GO:0006885)	6	1	.11	+	9.09	1.04E-01
iron import into cell (GO:0033212)	13	2	.24	+	8.39	2.42E-02
cell wall polysaccharide metabolic process (GO:0010383)	13	2	.24	+	8.39	2.42E-02
vacuole fusion, non-autophagic (GO:0042144)	7	1	.13	+	7.79	1.21E-01
positive regulation of signaling (GO:0023056)	7	1	.13	+	7.79	1.21E-01
positive regulation of intracellular signal transduction (GO:1902533)	7	1	.13	+	7.79	1.21E-01
positive regulation of signal transduction (GO:0009967)	7	1	.13	+	7.79	1.21E-01
monovalent inorganic cation homeostasis (GO:0055067)	7	1	.13	+	7.79	1.21E-01
cellular monovalent inorganic cation homeostasis (GO:0030004)	7	1	.13	+	7.79	1.21E-01
cellular developmental process (GO:0048869)	7	1	.13	+	7.79	1.21E-01
protein sumoylation (GO:0016925)	7	1	.13	+	7.79	1.21E-01
polysaccharide metabolic process (GO:0005976)	37	5	.68	+	7.37	6.55E-04
cell wall macromolecule metabolic process (GO:0044036)	23	3	.42	+	7.11	9.04E-03
nucleotide catabolic process (GO:0009166)	8	1	.15	+	6.81	1.37E-01
sphingolipid biosynthetic process (GO:0030148)	16	2	.29	+	6.81	3.54E-02
response to endogenous stimulus (GO:0009719)	8	1	.15	+	6.81	1.37E-01
response to oxygen-containing compound (GO:1901700)	16	2	.29	+	6.81	3.54E-02
regulation of autophagy (GO:0010506)	8	1	.15	+	6.81	1.37E-01
rRNA methylation (GO:0031167)	8	1	.15	+	6.81	1.37E-01
iron ion transmembrane transport (GO:0034755)	16	2	.29	+	6.81	3.54E-02
cellular response to nitrogen compound (GO:1901699)	8	1	.15	+	6.81	1.37E-01
cellular response to endogenous stimulus (GO:0071495)	8	1	.15	+	6.81	1.37E-01
negative regulation of catalytic activity (GO:0043086)	8	1	.15	+	6.81	1.37E-01
cellular response to organonitrogen compound (GO:0071417)	8	1	.15	+	6.81	1.37E-01
mannosylation (GO:0097502)	8	1	.15	+	6.81	1.37E-01
pyrimidine nucleotide biosynthetic process (GO:0006221)	8	1	.15	+	6.81	1.37E-01
pyrimidine nucleotide metabolic process (GO:0006220)	8	1	.15	+	6.81	1.37E-01
response to inorganic substance (GO:0010035)	8	1	.15	+	6.81	1.37E-01
carbohydrate catabolic process (GO:0016052)	59	7	1.08	+	6.47	1.23E-04
nucleobase-containing small molecule biosynthetic process (GO:0034404)	17	2	.31	+	6.41	3.95E-02
cellular component macromolecule biosynthetic process (GO:0070589)	18	2	.33	+	6.06	4.37E-02
positive regulation of cell communication (GO:0010647)	9	1	.17	+	6.06	1.52E-01
ceramide metabolic process (GO:0006672)	9	1	.17	+	6.06	1.52E-01
amino sugar catabolic process (GO:0046348)	9	1	.17	+	6.06	1.52E-01
nucleoside phosphate catabolic process (GO:1901292)	9	1	.17	+	6.06	1.52E-01
negative regulation of molecular function (GO:0044092)	9	1	.17	+	6.06	1.52E-01
cell wall macromolecule biosynthetic process (GO:0044038)	18	2	.33	+	6.06	4.37E-02
sphingolipid metabolic process (GO:0006665)	19	2	.35	+	5.74	4.81E-02
regulation of TOR signaling (GO:0032006)	10	1	.18	+	5.45	1.68E-01
fungal-type cell wall biogenesis (GO:0009272)	20	2	.37	+	5.45	5.27E-02
iron ion transport (GO:0006826)	20	2	.37	+	5.45	5.27E-02
organophosphate catabolic process (GO:0046434)	21	2	.39	+	5.19	5.74E-02
cell wall biogenesis (GO:0042546)	32	3	.59	+	5.11	2.16E-02
regulation of DNA metabolic process (GO:0051052)	11	1	.20	+	4.96	1.83E-01
fungal-type cell wall organization or biogenesis (GO:0071852)	44	4	.81	+	4.96	9.15E-03
amino sugar metabolic process (GO:0006040)	22	2	.40	+	4.96	6.23E-02
positive regulation of response to stimulus (GO:0048584)	11	1	.20	+	4.96	1.83E-01
glucan biosynthetic process (GO:0009250)	11	1	.20	+	4.96	1.83E-01
pyrimidine nucleobase metabolic process (GO:0006206)	11	1	.20	+	4.96	1.83E-01
glucan metabolic process (GO:0044042)	22	2	.40	+	4.96	6.23E-02
carbohydrate metabolic process (GO:0005975)	101	9	1.85	+	4.86	1.18E-04
calcium ion transmembrane transport (GO:0070588)	12	1	.22	+	4.54	1.98E-01
cellular polysaccharide metabolic process (GO:0044264)	24	2	.44	+	4.54	7.25E-02
nucleosome assembly (GO:0006334)	12	1	.22	+	4.54	1.98E-01
ribosomal subunit export from nucleus (GO:0000054)	12	1	.22	+	4.54	1.98E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	12	1	.22	+	4.54	1.98E-01
fatty acid metabolic process (GO:0006631)	37	3	.68	+	4.42	3.13E-02
cell wall organization or biogenesis (GO:0071554)	63	5	1.16	+	4.33	6.42E-03
metal ion transport (GO:0030001)	51	4	.94	+	4.28	1.50E-02
ribonucleoside diphosphate metabolic process (GO:0009185)	13	1	.24	+	4.19	2.12E-01
purine ribonucleoside diphosphate metabolic process (GO:0009179)	13	1	.24	+	4.19	2.12E-01
purine nucleoside diphosphate metabolic process (GO:0009135)	13	1	.24	+	4.19	2.12E-01
carbohydrate derivative catabolic process (GO:1901136)	26	2	.48	+	4.19	8.31E-02
ATP generation from ADP (GO:0006757)	13	1	.24	+	4.19	2.12E-01
cellular response to oxygen-containing compound (GO:1901701)	13	1	.24	+	4.19	2.12E-01
glycolytic process (GO:0006096)	13	1	.24	+	4.19	2.12E-01
autophagy of mitochondrion (GO:0000422)	13	1	.24	+	4.19	2.12E-01
developmental process (GO:0032502)	13	1	.24	+	4.19	2.12E-01
ADP metabolic process (GO:0046031)	13	1	.24	+	4.19	2.12E-01
monocarboxylic acid metabolic process (GO:0032787)	78	6	1.43	+	4.19	3.38E-03
calcium ion transport (GO:0006816)	13	1	.24	+	4.19	2.12E-01
nucleoside diphosphate phosphorylation (GO:0006165)	14	1	.26	+	3.89	2.27E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	28	2	.51	+	3.89	9.41E-02
cellular glucan metabolic process (GO:0006073)	14	1	.26	+	3.89	2.27E-01
autophagy of nucleus (GO:0044804)	14	1	.26	+	3.89	2.27E-01
calcium ion homeostasis (GO:0055074)	14	1	.26	+	3.89	2.27E-01
response to unfolded protein (GO:0006986)	14	1	.26	+	3.89	2.27E-01
nucleotide phosphorylation (GO:0046939)	14	1	.26	+	3.89	2.27E-01
cellular response to unfolded protein (GO:0034620)	14	1	.26	+	3.89	2.27E-01
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	14	1	.26	+	3.89	2.27E-01
cellular calcium ion homeostasis (GO:0006874)	14	1	.26	+	3.89	2.27E-01
alcohol metabolic process (GO:0006066)	43	3	.79	+	3.80	4.54E-02
iron ion homeostasis (GO:0055072)	29	2	.53	+	3.76	9.98E-02
amino acid transmembrane transport (GO:0003333)	29	2	.53	+	3.76	9.98E-02
vacuole organization (GO:0007033)	29	2	.53	+	3.76	9.98E-02
cellular iron ion homeostasis (GO:0006879)	29	2	.53	+	3.76	9.98E-02
inorganic ion homeostasis (GO:0098771)	60	4	1.10	+	3.63	2.53E-02
aspartate family amino acid biosynthetic process (GO:0009067)	15	1	.28	+	3.63	2.41E-01
rRNA modification (GO:0000154)	15	1	.28	+	3.63	2.41E-01
negative regulation of cellular protein metabolic process (GO:0032269)	15	1	.28	+	3.63	2.41E-01
aminoglycan metabolic process (GO:0006022)	15	1	.28	+	3.63	2.41E-01
cellular cation homeostasis (GO:0030003)	60	4	1.10	+	3.63	2.53E-02
transition metal ion transport (GO:0000041)	30	2	.55	+	3.63	1.06E-01
negative regulation of protein metabolic process (GO:0051248)	15	1	.28	+	3.63	2.41E-01
DNA replication initiation (GO:0006270)	15	1	.28	+	3.63	2.41E-01
cellular ion homeostasis (GO:0006873)	60	4	1.10	+	3.63	2.53E-02
chemical homeostasis (GO:0048878)	76	5	1.39	+	3.59	1.36E-02
cation homeostasis (GO:0055080)	61	4	1.12	+	3.57	2.67E-02
response to oxidative stress (GO:0006979)	31	2	.57	+	3.52	1.11E-01
ion homeostasis (GO:0050801)	63	4	1.16	+	3.46	2.95E-02
polysaccharide biosynthetic process (GO:0000271)	16	1	.29	+	3.41	2.55E-01
cellular polysaccharide biosynthetic process (GO:0033692)	16	1	.29	+	3.41	2.55E-01
cellular chemical homeostasis (GO:0055082)	66	4	1.21	+	3.30	3.41E-02
ribosomal small subunit biogenesis (GO:0042274)	50	3	.92	+	3.27	6.52E-02
nucleoside diphosphate metabolic process (GO:0009132)	17	1	.31	+	3.21	2.68E-01
NADP metabolic process (GO:0006739)	17	1	.31	+	3.21	2.68E-01
organic acid transmembrane transport (GO:1903825)	35	2	.64	+	3.12	1.36E-01
inorganic cation transmembrane transport (GO:0098662)	70	4	1.28	+	3.12	4.09E-02
carboxylic acid transmembrane transport (GO:1905039)	35	2	.64	+	3.12	1.36E-01
cellular transition metal ion homeostasis (GO:0046916)	35	2	.64	+	3.12	1.36E-01
cellular metal ion homeostasis (GO:0006875)	53	3	.97	+	3.09	7.47E-02
cellular response to organic substance (GO:0071310)	36	2	.66	+	3.03	1.42E-01
TOR signaling (GO:0031929)	18	1	.33	+	3.03	2.81E-01
membrane lipid biosynthetic process (GO:0046467)	36	2	.66	+	3.03	1.42E-01
transition metal ion homeostasis (GO:0055076)	36	2	.66	+	3.03	1.42E-01
metal ion homeostasis (GO:0055065)	54	3	.99	+	3.03	7.80E-02
pyrimidine-containing compound metabolic process (GO:0072527)	18	1	.33	+	3.03	2.81E-01
autophagosome assembly (GO:0000045)	18	1	.33	+	3.03	2.81E-01
divalent inorganic cation homeostasis (GO:0072507)	18	1	.33	+	3.03	2.81E-01
cellular divalent inorganic cation homeostasis (GO:0072503)	18	1	.33	+	3.03	2.81E-01
autophagosome organization (GO:1905037)	18	1	.33	+	3.03	2.81E-01
oxidation-reduction process (GO:0055114)	128	7	2.35	+	2.98	9.83E-03
maturation of SSU-rRNA (GO:0030490)	37	2	.68	+	2.95	1.48E-01
cellular homeostasis (GO:0019725)	74	4	1.36	+	2.95	4.83E-02
cation transmembrane transport (GO:0098655)	76	4	1.39	+	2.87	5.23E-02
regulation of cellular catabolic process (GO:0031329)	19	1	.35	+	2.87	2.95E-01
cellular carbohydrate metabolic process (GO:0044262)	58	3	1.06	+	2.82	9.18E-02
autophagy (GO:0006914)	39	2	.72	+	2.80	1.61E-01
process utilizing autophagic mechanism (GO:0061919)	39	2	.72	+	2.80	1.61E-01
amino acid transport (GO:0006865)	39	2	.72	+	2.80	1.61E-01
ion transmembrane transport (GO:0034220)	119	6	2.18	+	2.75	2.33E-02
cellular carbohydrate catabolic process (GO:0044275)	20	1	.37	+	2.73	3.07E-01
membrane lipid metabolic process (GO:0006643)	40	2	.73	+	2.73	1.67E-01
inorganic ion transmembrane transport (GO:0098660)	80	4	1.47	+	2.73	6.08E-02
homeostatic process (GO:0042592)	100	5	1.83	+	2.73	3.81E-02
nucleotide metabolic process (GO:0009117)	102	5	1.87	+	2.67	4.08E-02
cellular carbohydrate biosynthetic process (GO:0034637)	21	1	.39	+	2.60	3.20E-01
purine ribonucleotide metabolic process (GO:0009150)	63	3	1.16	+	2.60	1.10E-01
nucleoside phosphate metabolic process (GO:0006753)	106	5	1.94	+	2.57	4.68E-02
organic hydroxy compound metabolic process (GO:1901615)	65	3	1.19	+	2.52	1.18E-01
purine ribonucleotide biosynthetic process (GO:0009152)	44	2	.81	+	2.48	1.94E-01
cellular response to oxidative stress (GO:0034599)	22	1	.40	+	2.48	3.32E-01
nucleobase metabolic process (GO:0009112)	22	1	.40	+	2.48	3.32E-01
cellular response to topologically incorrect protein (GO:0035967)	22	1	.40	+	2.48	3.32E-01
response to topologically incorrect protein (GO:0035966)	22	1	.40	+	2.48	3.32E-01
regulation of catabolic process (GO:0009894)	22	1	.40	+	2.48	3.32E-01
lipid biosynthetic process (GO:0008610)	89	4	1.63	+	2.45	8.24E-02
carboxylic acid biosynthetic process (GO:0046394)	91	4	1.67	+	2.40	8.77E-02
organic acid biosynthetic process (GO:0016053)	91	4	1.67	+	2.40	8.77E-02
monosaccharide metabolic process (GO:0005996)	23	1	.42	+	2.37	3.45E-01
ribonucleotide metabolic process (GO:0009259)	69	3	1.27	+	2.37	1.34E-01
cation transport (GO:0006812)	92	4	1.69	+	2.37	9.04E-02
cellular lipid metabolic process (GO:0044255)	140	6	2.57	+	2.34	4.54E-02
nucleotide biosynthetic process (GO:0009165)	71	3	1.30	+	2.30	1.43E-01
cellular response to chemical stimulus (GO:0070887)	72	3	1.32	+	2.27	1.47E-01
nucleoside phosphate biosynthetic process (GO:1901293)	72	3	1.32	+	2.27	1.47E-01
RNA methylation (GO:0001510)	24	1	.44	+	2.27	3.56E-01
carboxylic acid transport (GO:0046942)	48	2	.88	+	2.27	2.20E-01
organic acid transport (GO:0015849)	48	2	.88	+	2.27	2.20E-01
purine nucleotide metabolic process (GO:0006163)	73	3	1.34	+	2.24	1.51E-01
anion transmembrane transport (GO:0098656)	49	2	.90	+	2.23	2.27E-01
ribonucleotide biosynthetic process (GO:0009260)	49	2	.90	+	2.23	2.27E-01
organelle disassembly (GO:1903008)	25	1	.46	+	2.18	3.68E-01
purine nucleotide biosynthetic process (GO:0006164)	50	2	.92	+	2.18	2.34E-01
small molecule biosynthetic process (GO:0044283)	150	6	2.75	+	2.18	5.94E-02
chromatin assembly (GO:0031497)	25	1	.46	+	2.18	3.68E-01
cellular response to chemical stress (GO:0062197)	25	1	.46	+	2.18	3.68E-01
ribosome biogenesis (GO:0042254)	150	6	2.75	+	2.18	5.94E-02
ribose phosphate metabolic process (GO:0019693)	76	3	1.39	+	2.15	1.64E-01
rRNA processing (GO:0006364)	102	4	1.87	+	2.14	1.19E-01
divalent metal ion transport (GO:0070838)	26	1	.48	+	2.10	3.80E-01
macroautophagy (GO:0016236)	26	1	.48	+	2.10	3.80E-01
regulation of intracellular signal transduction (GO:1902531)	26	1	.48	+	2.10	3.80E-01
divalent inorganic cation transport (GO:0072511)	26	1	.48	+	2.10	3.80E-01
response to organic substance (GO:0010033)	52	2	.95	+	2.10	2.47E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	131	5	2.40	+	2.08	9.48E-02
regulation of biological quality (GO:0065008)	158	6	2.90	+	2.07	7.23E-02
ion transport (GO:0006811)	158	6	2.90	+	2.07	7.23E-02
lipid metabolic process (GO:0006629)	159	6	2.92	+	2.06	7.40E-02
ribose phosphate biosynthetic process (GO:0046390)	53	2	.97	+	2.06	2.54E-01
carbohydrate derivative metabolic process (GO:1901135)	213	8	3.91	+	2.05	4.38E-02
regulation of signaling (GO:0023051)	27	1	.50	+	2.02	3.91E-01
fungal-type cell wall organization (GO:0031505)	27	1	.50	+	2.02	3.91E-01
regulation of signal transduction (GO:0009966)	27	1	.50	+	2.02	3.91E-01
chromatin assembly or disassembly (GO:0006333)	27	1	.50	+	2.02	3.91E-01
rRNA metabolic process (GO:0016072)	108	4	1.98	+	2.02	1.38E-01
cellular response to starvation (GO:0009267)	27	1	.50	+	2.02	3.91E-01
RNA modification (GO:0009451)	55	2	1.01	+	1.98	2.68E-01
purine-containing compound biosynthetic process (GO:0072522)	55	2	1.01	+	1.98	2.68E-01
small molecule metabolic process (GO:0044281)	416	15	7.63	+	1.97	1.01E-02
organophosphate metabolic process (GO:0019637)	195	7	3.58	+	1.96	6.93E-02
cellular lipid catabolic process (GO:0044242)	28	1	.51	+	1.95	4.02E-01
nucleosome organization (GO:0034728)	28	1	.51	+	1.95	4.02E-01
purine-containing compound metabolic process (GO:0072521)	84	3	1.54	+	1.95	2.01E-01
carbohydrate biosynthetic process (GO:0016051)	28	1	.51	+	1.95	4.02E-01
regulation of cell communication (GO:0010646)	29	1	.53	+	1.88	4.13E-01
lipid catabolic process (GO:0016042)	29	1	.53	+	1.88	4.13E-01
response to chemical (GO:0042221)	116	4	2.13	+	1.88	1.66E-01
ribonucleoprotein complex biogenesis (GO:0022613)	180	6	3.30	+	1.82	1.15E-01
carboxylic acid metabolic process (GO:0019752)	240	8	4.40	+	1.82	7.61E-02
response to starvation (GO:0042594)	30	1	.55	+	1.82	4.24E-01
cellular modified amino acid metabolic process (GO:0006575)	30	1	.55	+	1.82	4.24E-01
organic acid metabolic process (GO:0006082)	242	8	4.44	+	1.80	7.89E-02
oxoacid metabolic process (GO:0043436)	242	8	4.44	+	1.80	7.89E-02
cell wall organization (GO:0071555)	31	1	.57	+	1.76	4.34E-01
DNA packaging (GO:0006323)	31	1	.57	+	1.76	4.34E-01
external encapsulating structure organization (GO:0045229)	31	1	.57	+	1.76	4.34E-01
ncRNA processing (GO:0034470)	157	5	2.88	+	1.74	1.63E-01
organic anion transport (GO:0015711)	63	2	1.16	+	1.73	3.21E-01
lipoprotein biosynthetic process (GO:0042158)	32	1	.59	+	1.70	4.45E-01
protein lipidation (GO:0006497)	32	1	.59	+	1.70	4.45E-01
protein N-linked glycosylation (GO:0006487)	32	1	.59	+	1.70	4.45E-01
sulfur compound metabolic process (GO:0006790)	64	2	1.17	+	1.70	3.28E-01
organophosphate biosynthetic process (GO:0090407)	128	4	2.35	+	1.70	2.10E-01
catabolic process (GO:0009056)	417	13	7.65	+	1.70	4.44E-02
generation of precursor metabolites and energy (GO:0006091)	65	2	1.19	+	1.68	3.35E-01
lipoprotein metabolic process (GO:0042157)	33	1	.61	+	1.65	4.55E-01
response to organonitrogen compound (GO:0010243)	33	1	.61	+	1.65	4.55E-01
response to nitrogen compound (GO:1901698)	33	1	.61	+	1.65	4.55E-01
ribonucleoprotein complex localization (GO:0071166)	33	1	.61	+	1.65	4.55E-01
phospholipid metabolic process (GO:0006644)	66	2	1.21	+	1.65	3.42E-01
ribonucleoprotein complex export from nucleus (GO:0071426)	33	1	.61	+	1.65	4.55E-01
response to endoplasmic reticulum stress (GO:0034976)	33	1	.61	+	1.65	4.55E-01
protein polyubiquitination (GO:0000209)	34	1	.62	+	1.60	4.65E-01
cellular response to external stimulus (GO:0071496)	34	1	.62	+	1.60	4.65E-01
protein modification by small protein conjugation (GO:0032446)	68	2	1.25	+	1.60	3.55E-01
cellular response to nutrient levels (GO:0031669)	34	1	.62	+	1.60	4.65E-01
cellular response to extracellular stimulus (GO:0031668)	34	1	.62	+	1.60	4.65E-01
amide biosynthetic process (GO:0043604)	171	5	3.14	+	1.59	2.07E-01
carbohydrate derivative biosynthetic process (GO:1901137)	138	4	2.53	+	1.58	2.48E-01
protein export from nucleus (GO:0006611)	35	1	.64	+	1.56	4.74E-01
cellular component biogenesis (GO:0044085)	429	12	7.87	+	1.52	9.76E-02
tRNA modification (GO:0006400)	36	1	.66	+	1.51	4.84E-01
establishment of organelle localization (GO:0051656)	36	1	.66	+	1.51	4.84E-01
monovalent inorganic cation transport (GO:0015672)	36	1	.66	+	1.51	4.84E-01
organic substance catabolic process (GO:1901575)	368	10	6.75	+	1.48	1.41E-01
regulation of translation (GO:0006417)	37	1	.68	+	1.47	4.93E-01
protein-containing complex localization (GO:0031503)	37	1	.68	+	1.47	4.93E-01
transmembrane transport (GO:0055085)	226	6	4.15	+	1.45	2.36E-01
response to extracellular stimulus (GO:0009991)	38	1	.70	+	1.43	5.03E-01
response to external stimulus (GO:0009605)	38	1	.70	+	1.43	5.03E-01
regulation of response to stimulus (GO:0048583)	38	1	.70	+	1.43	5.03E-01
organelle assembly (GO:0070925)	76	2	1.39	+	1.43	4.07E-01
response to nutrient levels (GO:0031667)	38	1	.70	+	1.43	5.03E-01
anion transport (GO:0006820)	76	2	1.39	+	1.43	4.07E-01
ncRNA metabolic process (GO:0034660)	194	5	3.56	+	1.41	2.85E-01
regulation of cellular amide metabolic process (GO:0034248)	39	1	.72	+	1.40	5.12E-01
ATP metabolic process (GO:0046034)	39	1	.72	+	1.40	5.12E-01
organonitrogen compound biosynthetic process (GO:1901566)	429	11	7.87	+	1.40	1.66E-01
phosphate-containing compound metabolic process (GO:0006796)	319	8	5.85	+	1.37	2.33E-01
signaling (GO:0023052)	121	3	2.22	+	1.35	3.83E-01
signal transduction (GO:0007165)	121	3	2.22	+	1.35	3.83E-01
metabolic process (GO:0008152)	2020	50	37.05	+	1.35	1.22E-02
phosphorus metabolic process (GO:0006793)	326	8	5.98	+	1.34	2.51E-01
RNA export from nucleus (GO:0006405)	42	1	.77	+	1.30	5.38E-01
DNA conformation change (GO:0071103)	42	1	.77	+	1.30	5.38E-01
cellular amide metabolic process (GO:0043603)	210	5	3.85	+	1.30	3.42E-01
nuclear export (GO:0051168)	43	1	.79	+	1.27	5.46E-01
glycoprotein biosynthetic process (GO:0009101)	43	1	.79	+	1.27	5.46E-01
RNA transport (GO:0050658)	43	1	.79	+	1.27	5.46E-01
nucleic acid transport (GO:0050657)	43	1	.79	+	1.27	5.46E-01
protein glycosylation (GO:0006486)	43	1	.79	+	1.27	5.46E-01
macromolecule glycosylation (GO:0043413)	43	1	.79	+	1.27	5.46E-01
glycosylation (GO:0070085)	43	1	.79	+	1.27	5.46E-01
establishment of RNA localization (GO:0051236)	43	1	.79	+	1.27	5.46E-01
phospholipid biosynthetic process (GO:0008654)	45	1	.83	+	1.21	5.63E-01
cellular biosynthetic process (GO:0044249)	857	19	15.72	+	1.21	2.26E-01
organic substance metabolic process (GO:0071704)	1882	41	34.52	+	1.19	1.28E-01
organic substance biosynthetic process (GO:1901576)	874	19	16.03	+	1.19	2.52E-01
RNA processing (GO:0006396)	276	6	5.06	+	1.19	3.95E-01
protein modification by small protein conjugation or removal (GO:0070647)	92	2	1.69	+	1.19	5.04E-01
biosynthetic process (GO:0009058)	889	19	16.31	+	1.17	2.76E-01
biological_process (GO:0008150)	2953	63	54.17	+	1.16	8.60E-02
posttranscriptional regulation of gene expression (GO:0010608)	47	1	.86	+	1.16	5.79E-01
macromolecule methylation (GO:0043414)	47	1	.86	+	1.16	5.79E-01
methylation (GO:0032259)	47	1	.86	+	1.16	5.79E-01
organelle fusion (GO:0048284)	47	1	.86	+	1.16	5.79E-01
protein-DNA complex assembly (GO:0065004)	47	1	.86	+	1.16	5.79E-01
intracellular signal transduction (GO:0035556)	95	2	1.74	+	1.15	5.21E-01
RNA localization (GO:0006403)	48	1	.88	+	1.14	5.86E-01
nucleobase-containing compound transport (GO:0015931)	48	1	.88	+	1.14	5.86E-01
DNA-dependent DNA replication (GO:0006261)	49	1	.90	+	1.11	5.94E-01
cell communication (GO:0007154)	149	3	2.73	+	1.10	5.16E-01
cellular metabolic process (GO:0044237)	1840	37	33.75	+	1.10	2.94E-01
primary metabolic process (GO:0044238)	1750	35	32.10	+	1.09	3.13E-01
cellular component disassembly (GO:0022411)	50	1	.92	+	1.09	6.01E-01
peptidyl-lysine modification (GO:0018205)	50	1	.92	+	1.09	6.01E-01
glycerophospholipid metabolic process (GO:0006650)	51	1	.94	+	1.07	6.09E-01
cellular process (GO:0009987)	2733	53	50.13	+	1.06	3.42E-01
cellular catabolic process (GO:0044248)	362	7	6.64	+	1.05	4.97E-01
tRNA processing (GO:0008033)	53	1	.97	+	1.03	6.23E-01
DNA replication (GO:0006260)	53	1	.97	+	1.03	6.23E-01
biological regulation (GO:0065007)	746	14	13.68	+	1.02	5.05E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	642	12	11.78	+	1.02	5.16E-01
glycerolipid metabolic process (GO:0046486)	54	1	.99	+	1.01	6.30E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	436	8	8.00	+	1.00	5.50E-01
macromolecule catabolic process (GO:0009057)	225	4	4.13	-	.97	6.04E-01
protein ubiquitination (GO:0016567)	57	1	1.05	-	.96	7.19E-01
nuclear transport (GO:0051169)	58	1	1.06	-	.94	7.12E-01
nucleocytoplasmic transport (GO:0006913)	58	1	1.06	-	.94	7.12E-01
negative regulation of metabolic process (GO:0009892)	117	2	2.15	-	.93	6.37E-01
glycoprotein metabolic process (GO:0009100)	59	1	1.08	-	.92	7.05E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	59	1	1.08	-	.92	7.05E-01
organelle localization (GO:0051640)	59	1	1.08	-	.92	7.05E-01
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	59	1	1.08	-	.92	7.05E-01
Unclassified (UNCLASSIFIED)	6260	106	114.83	-	.92	8.60E-02
aromatic compound biosynthetic process (GO:0019438)	475	8	8.71	-	.92	4.91E-01
heterocycle biosynthetic process (GO:0018130)	477	8	8.75	-	.91	4.86E-01
organonitrogen compound metabolic process (GO:1901564)	959	16	17.59	-	.91	4.04E-01
negative regulation of biosynthetic process (GO:0009890)	60	1	1.10	-	.91	6.99E-01
negative regulation of cellular biosynthetic process (GO:0031327)	60	1	1.10	-	.91	6.99E-01
cellular nitrogen compound metabolic process (GO:0034641)	1085	18	19.90	-	.90	3.79E-01
response to stress (GO:0006950)	245	4	4.49	-	.89	5.32E-01
