




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (1652)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of protein dephosphorylation (GO:0035308)	3	1	.30	+	3.28	2.63E-01
mitochondrial respiratory chain complex III assembly (GO:0034551)	3	1	.30	+	3.28	2.63E-01
epithelial cell proliferation (GO:0050673)	15	5	1.52	+	3.28	1.97E-02
citrate transport (GO:0015746)	3	1	.30	+	3.28	2.63E-01
synaptic membrane adhesion (GO:0099560)	3	1	.30	+	3.28	2.63E-01
branched-chain amino acid biosynthetic process (GO:0009082)	3	1	.30	+	3.28	2.63E-01
rRNA base methylation (GO:0070475)	6	2	.61	+	3.28	1.25E-01
bone development (GO:0060348)	6	2	.61	+	3.28	1.25E-01
syncytium formation by plasma membrane fusion (GO:0000768)	3	1	.30	+	3.28	2.63E-01
insulin secretion (GO:0030073)	6	2	.61	+	3.28	1.25E-01
mitochondrial transcription (GO:0006390)	6	2	.61	+	3.28	1.25E-01
regulation of telomere maintenance via telomerase (GO:0032210)	3	1	.30	+	3.28	2.63E-01
negative regulation of cell motility (GO:2000146)	15	5	1.52	+	3.28	1.97E-02
syncytium formation (GO:0006949)	3	1	.30	+	3.28	2.63E-01
cell-cell fusion (GO:0140253)	3	1	.30	+	3.28	2.63E-01
acrosome reaction (GO:0007340)	6	2	.61	+	3.28	1.25E-01
regulation of multi-organism process (GO:0043900)	6	2	.61	+	3.28	1.25E-01
inner dynein arm assembly (GO:0036159)	3	1	.30	+	3.28	2.63E-01
regulation of reactive oxygen species metabolic process (GO:2000377)	3	1	.30	+	3.28	2.63E-01
positive chemotaxis (GO:0050918)	9	3	.91	+	3.28	6.53E-02
detection of mechanical stimulus (GO:0050982)	13	4	1.32	+	3.03	4.52E-02
TORC1 signaling (GO:0038202)	13	4	1.32	+	3.03	4.52E-02
rRNA methylation (GO:0031167)	13	4	1.32	+	3.03	4.52E-02
organic cation transport (GO:0015695)	13	4	1.32	+	3.03	4.52E-02
negative regulation of protein catabolic process (GO:0042177)	10	3	1.02	+	2.95	8.33E-02
telomere capping (GO:0016233)	10	3	1.02	+	2.95	8.33E-02
response to cadmium ion (GO:0046686)	10	3	1.02	+	2.95	8.33E-02
mitochondrial fusion (GO:0008053)	7	2	.71	+	2.81	1.60E-01
response to heat (GO:0009408)	7	2	.71	+	2.81	1.60E-01
tRNA wobble uridine modification (GO:0002098)	7	2	.71	+	2.81	1.60E-01
heterochromatin assembly (GO:0031507)	7	2	.71	+	2.81	1.60E-01
cognition (GO:0050890)	7	2	.71	+	2.81	1.60E-01
response to mechanical stimulus (GO:0009612)	14	4	1.42	+	2.81	5.63E-02
cellular response to heat (GO:0034605)	7	2	.71	+	2.81	1.60E-01
motor neuron axon guidance (GO:0008045)	11	3	1.12	+	2.68	1.03E-01
neuron apoptotic process (GO:0051402)	11	3	1.12	+	2.68	1.03E-01
cellular response to amino acid starvation (GO:0034198)	11	3	1.12	+	2.68	1.03E-01
negative regulation of neuron death (GO:1901215)	11	3	1.12	+	2.68	1.03E-01
monovalent inorganic cation homeostasis (GO:0055067)	42	11	4.27	+	2.58	4.53E-03
monocarboxylic acid transport (GO:0015718)	31	8	3.15	+	2.54	1.54E-02
regulation of mitochondrion organization (GO:0010821)	12	3	1.22	+	2.46	1.25E-01
double-strand break repair via nonhomologous end joining (GO:0006303)	12	3	1.22	+	2.46	1.25E-01
response to temperature stimulus (GO:0009266)	12	3	1.22	+	2.46	1.25E-01
vacuole fusion, non-autophagic (GO:0042144)	4	1	.41	+	2.46	3.34E-01
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	4	1	.41	+	2.46	3.34E-01
positive regulation of DNA replication (GO:0045740)	4	1	.41	+	2.46	3.34E-01
regulation of intracellular pH (GO:0051453)	20	5	2.03	+	2.46	5.56E-02
negative regulation of cellular protein catabolic process (GO:1903363)	4	1	.41	+	2.46	3.34E-01
heterochromatin organization (GO:0070828)	8	2	.81	+	2.46	1.96E-01
hormone biosynthetic process (GO:0042446)	4	1	.41	+	2.46	3.34E-01
positive regulation of cell division (GO:0051781)	4	1	.41	+	2.46	3.34E-01
response to estradiol (GO:0032355)	4	1	.41	+	2.46	3.34E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	8	2	.81	+	2.46	1.96E-01
negative regulation of proteasomal protein catabolic process (GO:1901799)	4	1	.41	+	2.46	3.34E-01
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	2	.81	+	2.46	1.96E-01
stress fiber assembly (GO:0043149)	8	2	.81	+	2.46	1.96E-01
peptidyl-lysine trimethylation (GO:0018023)	4	1	.41	+	2.46	3.34E-01
regulation of telomere maintenance via telomere lengthening (GO:1904356)	4	1	.41	+	2.46	3.34E-01
positive regulation of peptide hormone secretion (GO:0090277)	4	1	.41	+	2.46	3.34E-01
regulation of peptide hormone secretion (GO:0090276)	8	2	.81	+	2.46	1.96E-01
contractile actin filament bundle assembly (GO:0030038)	8	2	.81	+	2.46	1.96E-01
positive regulation of cell growth (GO:0030307)	8	2	.81	+	2.46	1.96E-01
response to osmotic stress (GO:0006970)	4	1	.41	+	2.46	3.34E-01
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	4	1	.41	+	2.46	3.34E-01
long-chain fatty acid transport (GO:0015909)	8	2	.81	+	2.46	1.96E-01
negative regulation of lymphocyte activation (GO:0051250)	20	5	2.03	+	2.46	5.56E-02
positive regulation of cytokinesis (GO:0032467)	4	1	.41	+	2.46	3.34E-01
endocytic recycling (GO:0032456)	16	4	1.63	+	2.46	8.24E-02
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	4	1	.41	+	2.46	3.34E-01
positive regulation of NIK/NF-kappaB signaling (GO:1901224)	4	1	.41	+	2.46	3.34E-01
choline transport (GO:0015871)	4	1	.41	+	2.46	3.34E-01
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	4	1	.41	+	2.46	3.34E-01
protein sumoylation (GO:0016925)	16	4	1.63	+	2.46	8.24E-02
negative regulation of leukocyte activation (GO:0002695)	21	5	2.13	+	2.34	6.55E-02
negative regulation of cell activation (GO:0050866)	21	5	2.13	+	2.34	6.55E-02
mitochondrial fission (GO:0000266)	17	4	1.73	+	2.31	9.74E-02
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	17	4	1.73	+	2.31	9.74E-02
actin cytoskeleton reorganization (GO:0031532)	17	4	1.73	+	2.31	9.74E-02
negative regulation of T cell activation (GO:0050868)	17	4	1.73	+	2.31	9.74E-02
negative regulation of cellular component movement (GO:0051271)	35	8	3.56	+	2.25	2.89E-02
negative regulation of locomotion (GO:0040013)	35	8	3.56	+	2.25	2.89E-02
ribonucleoside diphosphate metabolic process (GO:0009185)	22	5	2.24	+	2.24	7.64E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	22	5	2.24	+	2.24	7.64E-02
purine nucleoside diphosphate metabolic process (GO:0009135)	22	5	2.24	+	2.24	7.64E-02
ATP generation from ADP (GO:0006757)	22	5	2.24	+	2.24	7.64E-02
glycolytic process (GO:0006096)	22	5	2.24	+	2.24	7.64E-02
ADP metabolic process (GO:0046031)	22	5	2.24	+	2.24	7.64E-02
regulation of cellular pH (GO:0030641)	22	5	2.24	+	2.24	7.64E-02
regulation of pH (GO:0006885)	22	5	2.24	+	2.24	7.64E-02
urogenital system development (GO:0001655)	9	2	.91	+	2.19	2.33E-01
negative regulation of dephosphorylation (GO:0035305)	9	2	.91	+	2.19	2.33E-01
sprouting angiogenesis (GO:0002040)	9	2	.91	+	2.19	2.33E-01
aspartate family amino acid biosynthetic process (GO:0009067)	9	2	.91	+	2.19	2.33E-01
osteoclast differentiation (GO:0030316)	9	2	.91	+	2.19	2.33E-01
negative regulation of cell-cell adhesion (GO:0022408)	18	4	1.83	+	2.19	1.13E-01
interstrand cross-link repair (GO:0036297)	9	2	.91	+	2.19	2.33E-01
neuron death (GO:0070997)	18	4	1.83	+	2.19	1.13E-01
chondroitin sulfate metabolic process (GO:0030204)	9	2	.91	+	2.19	2.33E-01
tissue remodeling (GO:0048771)	9	2	.91	+	2.19	2.33E-01
fibroblast growth factor receptor signaling pathway (GO:0008543)	32	7	3.25	+	2.15	4.78E-02
RNA methylation (GO:0001510)	37	8	3.76	+	2.13	3.80E-02
negative regulation of TOR signaling (GO:0032007)	14	3	1.42	+	2.11	1.72E-01
synaptic vesicle transport (GO:0048489)	14	3	1.42	+	2.11	1.72E-01
regulation of neuron death (GO:1901214)	14	3	1.42	+	2.11	1.72E-01
T cell differentiation (GO:0030217)	14	3	1.42	+	2.11	1.72E-01
heparan sulfate proteoglycan metabolic process (GO:0030201)	14	3	1.42	+	2.11	1.72E-01
cellular amino acid biosynthetic process (GO:0008652)	33	7	3.35	+	2.09	5.45E-02
regulation of T cell activation (GO:0050863)	33	7	3.35	+	2.09	5.45E-02
cellular monovalent inorganic cation homeostasis (GO:0030004)	33	7	3.35	+	2.09	5.45E-02
rRNA modification (GO:0000154)	19	4	1.93	+	2.07	1.31E-01
positive regulation of autophagy (GO:0010508)	19	4	1.93	+	2.07	1.31E-01
regulation of synapse structure or activity (GO:0050803)	24	5	2.44	+	2.05	1.01E-01
T cell receptor signaling pathway (GO:0050852)	29	6	2.95	+	2.04	7.86E-02
hippo signaling (GO:0035329)	15	3	1.52	+	1.97	1.97E-01
ossification (GO:0001503)	15	3	1.52	+	1.97	1.97E-01
base-excision repair (GO:0006284)	15	3	1.52	+	1.97	1.97E-01
positive regulation of hormone secretion (GO:0046887)	5	1	.51	+	1.97	3.99E-01
positive regulation of peptide secretion (GO:0002793)	5	1	.51	+	1.97	3.99E-01
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	5	1	.51	+	1.97	3.99E-01
regulation of bone remodeling (GO:0046850)	5	1	.51	+	1.97	3.99E-01
C-terminal protein amino acid modification (GO:0018410)	5	1	.51	+	1.97	3.99E-01
nucleoside diphosphate phosphorylation (GO:0006165)	25	5	2.54	+	1.97	1.14E-01
response to cold (GO:0009409)	5	1	.51	+	1.97	3.99E-01
integrin-mediated signaling pathway (GO:0007229)	20	4	2.03	+	1.97	1.49E-01
platelet activation (GO:0030168)	10	2	1.02	+	1.97	2.70E-01
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	5	1	.51	+	1.97	3.99E-01
sphingolipid catabolic process (GO:0030149)	10	2	1.02	+	1.97	2.70E-01
positive regulation of wound healing (GO:0090303)	5	1	.51	+	1.97	3.99E-01
regulation of reproductive process (GO:2000241)	20	4	2.03	+	1.97	1.49E-01
regulation of double-strand break repair via homologous recombination (GO:0010569)	5	1	.51	+	1.97	3.99E-01
establishment of mitotic spindle orientation (GO:0000132)	5	1	.51	+	1.97	3.99E-01
kinetochore assembly (GO:0051382)	5	1	.51	+	1.97	3.99E-01
regulation of cytokine biosynthetic process (GO:0042035)	5	1	.51	+	1.97	3.99E-01
regulation of tissue remodeling (GO:0034103)	5	1	.51	+	1.97	3.99E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	1	.51	+	1.97	3.99E-01
male meiotic nuclear division (GO:0007140)	5	1	.51	+	1.97	3.99E-01
peptide hormone secretion (GO:0030072)	10	2	1.02	+	1.97	2.70E-01
chromatin silencing at telomere (GO:0006348)	5	1	.51	+	1.97	3.99E-01
B cell receptor signaling pathway (GO:0050853)	20	4	2.03	+	1.97	1.49E-01
positive regulation of cation channel activity (GO:2001259)	5	1	.51	+	1.97	3.99E-01
regulation of double-strand break repair (GO:2000779)	10	2	1.02	+	1.97	2.70E-01
nucleotide phosphorylation (GO:0046939)	25	5	2.54	+	1.97	1.14E-01
mitochondrial RNA metabolic process (GO:0000959)	10	2	1.02	+	1.97	2.70E-01
regulation of NIK/NF-kappaB signaling (GO:1901222)	5	1	.51	+	1.97	3.99E-01
axonemal dynein complex assembly (GO:0070286)	10	2	1.02	+	1.97	2.70E-01
regulation of bone resorption (GO:0045124)	5	1	.51	+	1.97	3.99E-01
cell growth (GO:0016049)	36	7	3.66	+	1.91	7.81E-02
regulation of leukocyte cell-cell adhesion (GO:1903037)	31	6	3.15	+	1.90	9.98E-02
regulation of cell growth (GO:0001558)	31	6	3.15	+	1.90	9.98E-02
developmental cell growth (GO:0048588)	31	6	3.15	+	1.90	9.98E-02
axon extension (GO:0048675)	26	5	2.64	+	1.89	1.29E-01
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	16	3	1.63	+	1.84	2.23E-01
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	16	3	1.63	+	1.84	2.23E-01
mitotic spindle assembly (GO:0090307)	16	3	1.63	+	1.84	2.23E-01
protein targeting to ER (GO:0045047)	16	3	1.63	+	1.84	2.23E-01
negative regulation of immune system process (GO:0002683)	32	6	3.25	+	1.84	1.11E-01
chloride transmembrane transport (GO:1902476)	32	6	3.25	+	1.84	1.11E-01
non-recombinational repair (GO:0000726)	16	3	1.63	+	1.84	2.23E-01
establishment of cell polarity (GO:0030010)	16	3	1.63	+	1.84	2.23E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	16	3	1.63	+	1.84	2.23E-01
activation of immune response (GO:0002253)	64	12	6.51	+	1.84	3.38E-02
developmental growth involved in morphogenesis (GO:0060560)	32	6	3.25	+	1.84	1.11E-01
alpha-amino acid metabolic process (GO:1901605)	86	16	8.74	+	1.83	1.72E-02
regulation of TOR signaling (GO:0032006)	27	5	2.74	+	1.82	1.44E-01
regulation of hormone levels (GO:0010817)	38	7	3.86	+	1.81	9.67E-02
apoptotic mitochondrial changes (GO:0008637)	11	2	1.12	+	1.79	3.08E-01
positive regulation of innate immune response (GO:0045089)	11	2	1.12	+	1.79	3.08E-01
negative regulation of neuron differentiation (GO:0045665)	22	4	2.24	+	1.79	1.88E-01
macromolecule methylation (GO:0043414)	66	12	6.71	+	1.79	4.10E-02
methylation (GO:0032259)	66	12	6.71	+	1.79	4.10E-02
fatty acid beta-oxidation (GO:0006635)	22	4	2.24	+	1.79	1.88E-01
protein localization to Golgi apparatus (GO:0034067)	11	2	1.12	+	1.79	3.08E-01
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	11	2	1.12	+	1.79	3.08E-01
mitotic spindle assembly checkpoint (GO:0007094)	11	2	1.12	+	1.79	3.08E-01
carbohydrate catabolic process (GO:0016052)	44	8	4.47	+	1.79	8.41E-02
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	11	2	1.12	+	1.79	3.08E-01
homologous chromosome segregation (GO:0045143)	11	2	1.12	+	1.79	3.08E-01
immune response-activating cell surface receptor signaling pathway (GO:0002429)	56	10	5.69	+	1.76	6.41E-02
immune response-activating signal transduction (GO:0002757)	56	10	5.69	+	1.76	6.41E-02
positive regulation of GTPase activity (GO:0043547)	79	14	8.03	+	1.74	3.48E-02
response to tumor necrosis factor (GO:0034612)	34	6	3.46	+	1.74	1.36E-01
glycosaminoglycan metabolic process (GO:0030203)	17	3	1.73	+	1.74	2.50E-01
cellular response to tumor necrosis factor (GO:0071356)	34	6	3.46	+	1.74	1.36E-01
protein autophosphorylation (GO:0046777)	40	7	4.07	+	1.72	1.17E-01
negative regulation of transferase activity (GO:0051348)	40	7	4.07	+	1.72	1.17E-01
DNA-templated transcription, initiation (GO:0006352)	40	7	4.07	+	1.72	1.17E-01
organic hydroxy compound transport (GO:0015850)	40	7	4.07	+	1.72	1.17E-01
glutathione metabolic process (GO:0006749)	23	4	2.34	+	1.71	2.08E-01
cellular amino acid catabolic process (GO:0009063)	46	8	4.68	+	1.71	1.02E-01
regulation of cyclin-dependent protein kinase activity (GO:1904029)	23	4	2.34	+	1.71	2.08E-01
response to toxic substance (GO:0009636)	23	4	2.34	+	1.71	2.08E-01
antigen receptor-mediated signaling pathway (GO:0050851)	46	8	4.68	+	1.71	1.02E-01
glycosylation (GO:0070085)	92	16	9.35	+	1.71	2.93E-02
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	23	4	2.34	+	1.71	2.08E-01
regulation of lymphocyte activation (GO:0051249)	46	8	4.68	+	1.71	1.02E-01
cytoplasmic translation (GO:0002181)	46	8	4.68	+	1.71	1.02E-01
regulation of cell population proliferation (GO:0042127)	150	26	15.25	+	1.71	7.27E-03
T cell activation (GO:0042110)	52	9	5.29	+	1.70	8.81E-02
regulated exocytosis (GO:0045055)	52	9	5.29	+	1.70	8.81E-02
establishment or maintenance of cell polarity (GO:0007163)	52	9	5.29	+	1.70	8.81E-02
regulation of cell migration (GO:0030334)	104	18	10.57	+	1.70	2.28E-02
nucleoside diphosphate metabolic process (GO:0009132)	29	5	2.95	+	1.70	1.76E-01
neuron projection extension (GO:1990138)	29	5	2.95	+	1.70	1.76E-01
negative regulation of cell population proliferation (GO:0008285)	29	5	2.95	+	1.70	1.76E-01
lipid oxidation (GO:0034440)	29	5	2.95	+	1.70	1.76E-01
positive regulation of cytokine production (GO:0001819)	29	5	2.95	+	1.70	1.76E-01
ceramide metabolic process (GO:0006672)	29	5	2.95	+	1.70	1.76E-01
regulation of protein transport (GO:0051223)	29	5	2.95	+	1.70	1.76E-01
leukocyte cell-cell adhesion (GO:0007159)	35	6	3.56	+	1.69	1.50E-01
spindle assembly (GO:0051225)	35	6	3.56	+	1.69	1.50E-01
regulation of cell motility (GO:2000145)	111	19	11.28	+	1.68	2.18E-02
RNA modification (GO:0009451)	83	14	8.44	+	1.66	4.86E-02
bone resorption (GO:0045453)	6	1	.61	+	1.64	4.57E-01
regulation of establishment of protein localization (GO:0070201)	30	5	3.05	+	1.64	1.93E-01
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	60	10	6.10	+	1.64	9.06E-02
immune response-regulating signaling pathway (GO:0002764)	60	10	6.10	+	1.64	9.06E-02
bone remodeling (GO:0046849)	6	1	.61	+	1.64	4.57E-01
negative regulation of DNA repair (GO:0045738)	6	1	.61	+	1.64	4.57E-01
neuromuscular synaptic transmission (GO:0007274)	6	1	.61	+	1.64	4.57E-01
synaptic transmission, cholinergic (GO:0007271)	6	1	.61	+	1.64	4.57E-01
immunoglobulin production (GO:0002377)	6	1	.61	+	1.64	4.57E-01
regulation of leukocyte activation (GO:0002694)	54	9	5.49	+	1.64	1.04E-01
kinetochore organization (GO:0051383)	6	1	.61	+	1.64	4.57E-01
regulation of protein localization to membrane (GO:1905475)	12	2	1.22	+	1.64	3.45E-01
negative regulation of mitotic sister chromatid segregation (GO:0033048)	12	2	1.22	+	1.64	3.45E-01
negative regulation of sister chromatid segregation (GO:0033046)	12	2	1.22	+	1.64	3.45E-01
cell-matrix adhesion (GO:0007160)	24	4	2.44	+	1.64	2.30E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	12	2	1.22	+	1.64	3.45E-01
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	6	1	.61	+	1.64	4.57E-01
glycosaminoglycan biosynthetic process (GO:0006024)	12	2	1.22	+	1.64	3.45E-01
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	12	2	1.22	+	1.64	3.45E-01
sperm capacitation (GO:0048240)	6	1	.61	+	1.64	4.57E-01
DNA catabolic process (GO:0006308)	12	2	1.22	+	1.64	3.45E-01
ATP metabolic process (GO:0046034)	54	9	5.49	+	1.64	1.04E-01
AMP metabolic process (GO:0046033)	6	1	.61	+	1.64	4.57E-01
alpha-beta T cell differentiation (GO:0046632)	6	1	.61	+	1.64	4.57E-01
negative regulation of double-strand break repair (GO:2000780)	6	1	.61	+	1.64	4.57E-01
negative regulation of multicellular organismal process (GO:0051241)	60	10	6.10	+	1.64	9.06E-02
negative regulation of mitotic nuclear division (GO:0045839)	12	2	1.22	+	1.64	3.45E-01
regulation of histone modification (GO:0031056)	12	2	1.22	+	1.64	3.45E-01
tumor necrosis factor-mediated signaling pathway (GO:0033209)	12	2	1.22	+	1.64	3.45E-01
establishment of mitotic spindle localization (GO:0040001)	6	1	.61	+	1.64	4.57E-01
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	6	1	.61	+	1.64	4.57E-01
regulation of protein secretion (GO:0050708)	12	2	1.22	+	1.64	3.45E-01
cytoplasmic translational initiation (GO:0002183)	12	2	1.22	+	1.64	3.45E-01
arginine catabolic process (GO:0006527)	6	1	.61	+	1.64	4.57E-01
meiotic sister chromatid segregation (GO:0045144)	6	1	.61	+	1.64	4.57E-01
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	6	1	.61	+	1.64	4.57E-01
actin-mediated cell contraction (GO:0070252)	6	1	.61	+	1.64	4.57E-01
gland development (GO:0048732)	6	1	.61	+	1.64	4.57E-01
organelle transport along microtubule (GO:0072384)	18	3	1.83	+	1.64	2.77E-01
histone lysine methylation (GO:0034968)	18	3	1.83	+	1.64	2.77E-01
chloride transport (GO:0006821)	36	6	3.66	+	1.64	1.64E-01
regulation of cellular component movement (GO:0051270)	115	19	11.69	+	1.63	2.96E-02
regulation of locomotion (GO:0040012)	115	19	11.69	+	1.63	2.96E-02
regulation of cell activation (GO:0050865)	55	9	5.59	+	1.61	1.13E-01
developmental growth (GO:0048589)	43	7	4.37	+	1.60	1.53E-01
protein N-linked glycosylation (GO:0006487)	31	5	3.15	+	1.59	2.11E-01
chromatin assembly or disassembly (GO:0006333)	31	5	3.15	+	1.59	2.11E-01
ATP synthesis coupled proton transport (GO:0015986)	31	5	3.15	+	1.59	2.11E-01
energy coupled proton transport, down electrochemical gradient (GO:0015985)	31	5	3.15	+	1.59	2.11E-01
response to abiotic stimulus (GO:0009628)	87	14	8.84	+	1.58	6.58E-02
protein-DNA complex assembly (GO:0065004)	56	9	5.69	+	1.58	1.22E-01
potassium ion transmembrane transport (GO:0071805)	106	17	10.78	+	1.58	4.76E-02
protein-DNA complex subunit organization (GO:0071824)	75	12	7.62	+	1.57	8.63E-02
chromatin assembly (GO:0031497)	25	4	2.54	+	1.57	2.51E-01
peptidyl-tyrosine modification (GO:0018212)	50	8	5.08	+	1.57	1.42E-01
cellular zinc ion homeostasis (GO:0006882)	25	4	2.54	+	1.57	2.51E-01
cell population proliferation (GO:0008283)	169	27	17.18	+	1.57	1.66E-02
double-strand break repair (GO:0006302)	88	14	8.95	+	1.56	7.06E-02
potassium ion transport (GO:0006813)	107	17	10.88	+	1.56	5.10E-02
positive regulation of peptidase activity (GO:0010952)	19	3	1.93	+	1.55	3.05E-01
positive regulation of endopeptidase activity (GO:0010950)	19	3	1.93	+	1.55	3.05E-01
negative regulation of protein kinase activity (GO:0006469)	38	6	3.86	+	1.55	1.94E-01
non-canonical Wnt signaling pathway (GO:0035567)	19	3	1.93	+	1.55	3.05E-01
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	38	6	3.86	+	1.55	1.94E-01
cell activation (GO:0001775)	95	15	9.66	+	1.55	6.63E-02
rRNA metabolic process (GO:0016072)	108	17	10.98	+	1.55	5.46E-02
rRNA processing (GO:0006364)	102	16	10.37	+	1.54	6.22E-02
ATP biosynthetic process (GO:0006754)	32	5	3.25	+	1.54	2.29E-01
nucleosome organization (GO:0034728)	32	5	3.25	+	1.54	2.29E-01
synaptic vesicle exocytosis (GO:0016079)	32	5	3.25	+	1.54	2.29E-01
dendrite development (GO:0016358)	32	5	3.25	+	1.54	2.29E-01
Rho protein signal transduction (GO:0007266)	45	7	4.57	+	1.53	1.78E-01
tRNA modification (GO:0006400)	39	6	3.96	+	1.51	2.09E-01
negative regulation of kinase activity (GO:0033673)	39	6	3.96	+	1.51	2.09E-01
regulation of cell-cell adhesion (GO:0022407)	39	6	3.96	+	1.51	2.09E-01
regulation of growth (GO:0040008)	39	6	3.96	+	1.51	2.09E-01
regulation of hormone secretion (GO:0046883)	13	2	1.32	+	1.51	3.81E-01
endothelial cell migration (GO:0043542)	13	2	1.32	+	1.51	3.81E-01
negative regulation of chromosome separation (GO:1905819)	13	2	1.32	+	1.51	3.81E-01
regulation of innate immune response (GO:0045088)	13	2	1.32	+	1.51	3.81E-01
acylglycerol catabolic process (GO:0046464)	13	2	1.32	+	1.51	3.81E-01
neutral lipid catabolic process (GO:0046461)	13	2	1.32	+	1.51	3.81E-01
positive regulation of growth (GO:0045927)	13	2	1.32	+	1.51	3.81E-01
negative regulation of chromosome segregation (GO:0051985)	13	2	1.32	+	1.51	3.81E-01
cell adhesion mediated by integrin (GO:0033627)	13	2	1.32	+	1.51	3.81E-01
positive regulation of response to biotic stimulus (GO:0002833)	13	2	1.32	+	1.51	3.81E-01
growth (GO:0040007)	52	8	5.29	+	1.51	1.65E-01
membrane protein ectodomain proteolysis (GO:0006509)	13	2	1.32	+	1.51	3.81E-01
regulation of Rho protein signal transduction (GO:0035023)	33	5	3.35	+	1.49	2.47E-01
spermatogenesis (GO:0007283)	33	5	3.35	+	1.49	2.47E-01
regulation of peptide transport (GO:0090087)	33	5	3.35	+	1.49	2.47E-01
inositol lipid-mediated signaling (GO:0048017)	33	5	3.35	+	1.49	2.47E-01
phosphatidylinositol-mediated signaling (GO:0048015)	33	5	3.35	+	1.49	2.47E-01
chromatin organization involved in regulation of transcription (GO:0034401)	33	5	3.35	+	1.49	2.47E-01
protein targeting to mitochondrion (GO:0006626)	33	5	3.35	+	1.49	2.47E-01
carboxylic acid catabolic process (GO:0046395)	93	14	9.45	+	1.48	9.85E-02
organic acid catabolic process (GO:0016054)	93	14	9.45	+	1.48	9.85E-02
ceramide biosynthetic process (GO:0046513)	20	3	2.03	+	1.48	3.32E-01
