




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
glycogen biosynthetic process (GO:0005978)	10	2	.51	+	3.92	9.34E-02
kinetochore assembly (GO:0051382)	5	1	.26	+	3.92	2.25E-01
type I interferon signaling pathway (GO:0060337)	5	1	.26	+	3.92	2.25E-01
transcription by RNA polymerase III (GO:0006383)	10	2	.51	+	3.92	9.34E-02
cholesterol biosynthetic process (GO:0006695)	5	1	.26	+	3.92	2.25E-01
cytoplasmic mRNA processing body assembly (GO:0033962)	10	2	.51	+	3.92	9.34E-02
glucan biosynthetic process (GO:0009250)	10	2	.51	+	3.92	9.34E-02
response to type I interferon (GO:0034340)	5	1	.26	+	3.92	2.25E-01
histone H3-K4 methylation (GO:0051568)	10	2	.51	+	3.92	9.34E-02
negative regulation of protein ubiquitination (GO:0031397)	5	1	.26	+	3.92	2.25E-01
mitochondrial RNA metabolic process (GO:0000959)	10	2	.51	+	3.92	9.34E-02
secondary alcohol biosynthetic process (GO:1902653)	5	1	.26	+	3.92	2.25E-01
regulation of epithelial cell differentiation (GO:0030856)	5	1	.26	+	3.92	2.25E-01
protein stabilization (GO:0050821)	15	3	.77	+	3.92	4.26E-02
glucose homeostasis (GO:0042593)	15	3	.77	+	3.92	4.26E-02
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	15	3	.77	+	3.92	4.26E-02
establishment or maintenance of bipolar cell polarity (GO:0061245)	16	3	.82	+	3.67	4.98E-02
'de novo' protein folding (GO:0006458)	16	3	.82	+	3.67	4.98E-02
mitotic spindle assembly (GO:0090307)	16	3	.82	+	3.67	4.98E-02
regulation of protein stability (GO:0031647)	16	3	.82	+	3.67	4.98E-02
establishment or maintenance of apical/basal cell polarity (GO:0035088)	16	3	.82	+	3.67	4.98E-02
mRNA export from nucleus (GO:0006406)	27	5	1.38	+	3.63	1.34E-02
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	27	5	1.38	+	3.63	1.34E-02
negative regulation of autophagy (GO:0010507)	11	2	.56	+	3.56	1.09E-01
telomere maintenance via telomere lengthening (GO:0010833)	11	2	.56	+	3.56	1.09E-01
mRNA transport (GO:0051028)	28	5	1.43	+	3.50	1.54E-02
phosphatidylinositol phosphorylation (GO:0046854)	34	6	1.74	+	3.45	8.74E-03
RNA export from nucleus (GO:0006405)	52	9	2.66	+	3.39	1.68E-03
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	29	5	1.48	+	3.38	1.76E-02
response to radiation (GO:0009314)	35	6	1.79	+	3.36	9.97E-03
RNA localization (GO:0006403)	59	10	3.01	+	3.32	1.11E-03
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	12	2	.61	+	3.26	1.26E-01
positive regulation of proteasomal protein catabolic process (GO:1901800)	24	4	1.23	+	3.26	3.59E-02
collagen fibril organization (GO:0030199)	6	1	.31	+	3.26	2.64E-01
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	6	1	.31	+	3.26	2.64E-01
C4-dicarboxylate transport (GO:0015740)	6	1	.31	+	3.26	2.64E-01
rRNA base methylation (GO:0070475)	6	1	.31	+	3.26	2.64E-01
kinetochore organization (GO:0051383)	6	1	.31	+	3.26	2.64E-01
negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)	6	1	.31	+	3.26	2.64E-01
bone development (GO:0060348)	6	1	.31	+	3.26	2.64E-01
regulation of centrosome duplication (GO:0010824)	6	1	.31	+	3.26	2.64E-01
positive regulation of cell-substrate adhesion (GO:0010811)	6	1	.31	+	3.26	2.64E-01
mitochondrial transcription (GO:0006390)	6	1	.31	+	3.26	2.64E-01
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	6	1	.31	+	3.26	2.64E-01
IMP metabolic process (GO:0046040)	6	1	.31	+	3.26	2.64E-01
AMP metabolic process (GO:0046033)	6	1	.31	+	3.26	2.64E-01
response to temperature stimulus (GO:0009266)	12	2	.61	+	3.26	1.26E-01
intracellular steroid hormone receptor signaling pathway (GO:0030518)	6	1	.31	+	3.26	2.64E-01
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	6	1	.31	+	3.26	2.64E-01
actin filament depolymerization (GO:0030042)	18	3	.92	+	3.26	6.60E-02
regulation of RNA splicing (GO:0043484)	67	11	3.42	+	3.21	8.27E-04
RNA transport (GO:0050658)	55	9	2.81	+	3.20	2.44E-03
nucleic acid transport (GO:0050657)	55	9	2.81	+	3.20	2.44E-03
establishment of RNA localization (GO:0051236)	55	9	2.81	+	3.20	2.44E-03
protein export from nucleus (GO:0006611)	49	8	2.50	+	3.20	4.21E-03
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	25	4	1.28	+	3.13	4.07E-02
positive regulation of cellular protein catabolic process (GO:1903364)	25	4	1.28	+	3.13	4.07E-02
regulation of chromatin organization (GO:1902275)	25	4	1.28	+	3.13	4.07E-02
steroid metabolic process (GO:0008202)	44	7	2.25	+	3.11	8.23E-03
chromosome localization (GO:0050000)	13	2	.66	+	3.01	1.43E-01
establishment of chromosome localization (GO:0051303)	13	2	.66	+	3.01	1.43E-01
histone H2A ubiquitination (GO:0033522)	13	2	.66	+	3.01	1.43E-01
regulation of proteasomal protein catabolic process (GO:0061136)	33	5	1.69	+	2.97	2.86E-02
alternative mRNA splicing, via spliceosome (GO:0000380)	33	5	1.69	+	2.97	2.86E-02
chaperone-mediated protein folding (GO:0061077)	20	3	1.02	+	2.94	8.42E-02
negative regulation of actin filament polymerization (GO:0030837)	27	4	1.38	+	2.90	5.12E-02
regulation of mRNA processing (GO:0050684)	54	8	2.76	+	2.90	7.36E-03
establishment of protein localization to extracellular region (GO:0035592)	34	5	1.74	+	2.88	3.18E-02
protein secretion (GO:0009306)	34	5	1.74	+	2.88	3.18E-02
nuclear export (GO:0051168)	62	9	3.17	+	2.84	5.26E-03
proteasome assembly (GO:0043248)	7	1	.36	+	2.80	3.01E-01
negative regulation of blood pressure (GO:0045776)	7	1	.36	+	2.80	3.01E-01
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	35	5	1.79	+	2.80	3.54E-02
response to hypoxia (GO:0001666)	21	3	1.07	+	2.80	9.40E-02
regulation of cellular protein catabolic process (GO:1903362)	35	5	1.79	+	2.80	3.54E-02
negative regulation of phosphatase activity (GO:0010923)	7	1	.36	+	2.80	3.01E-01
regulation of glucose metabolic process (GO:0010906)	7	1	.36	+	2.80	3.01E-01
energy reserve metabolic process (GO:0006112)	14	2	.72	+	2.80	1.61E-01
signal peptide processing (GO:0006465)	7	1	.36	+	2.80	3.01E-01
response to oxygen levels (GO:0070482)	21	3	1.07	+	2.80	9.40E-02
glycogen metabolic process (GO:0005977)	14	2	.72	+	2.80	1.61E-01
cellular glucan metabolic process (GO:0006073)	14	2	.72	+	2.80	1.61E-01
steroid hormone mediated signaling pathway (GO:0043401)	7	1	.36	+	2.80	3.01E-01
positive regulation of canonical Wnt signaling pathway (GO:0090263)	21	3	1.07	+	2.80	9.40E-02
mRNA stabilization (GO:0048255)	7	1	.36	+	2.80	3.01E-01
epidermal cell differentiation (GO:0009913)	7	1	.36	+	2.80	3.01E-01
response to decreased oxygen levels (GO:0036293)	21	3	1.07	+	2.80	9.40E-02
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	7	1	.36	+	2.80	3.01E-01
mitotic sister chromatid cohesion (GO:0007064)	7	1	.36	+	2.80	3.01E-01
mismatch repair (GO:0006298)	14	2	.72	+	2.80	1.61E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	28	4	1.43	+	2.80	5.70E-02
negative regulation of inflammatory response (GO:0050728)	14	2	.72	+	2.80	1.61E-01
Golgi to plasma membrane transport (GO:0006893)	21	3	1.07	+	2.80	9.40E-02
mitotic DNA replication (GO:1902969)	7	1	.36	+	2.80	3.01E-01
dicarboxylic acid transport (GO:0006835)	7	1	.36	+	2.80	3.01E-01
glucan metabolic process (GO:0044042)	14	2	.72	+	2.80	1.61E-01
protein localization to extracellular region (GO:0071692)	35	5	1.79	+	2.80	3.54E-02
organic hydroxy compound biosynthetic process (GO:1901617)	49	7	2.50	+	2.80	1.41E-02
nucleobase-containing compound transport (GO:0015931)	64	9	3.27	+	2.75	6.41E-03
hormone-mediated signaling pathway (GO:0009755)	36	5	1.84	+	2.72	3.91E-02
response to unfolded protein (GO:0006986)	36	5	1.84	+	2.72	3.91E-02
cellular response to unfolded protein (GO:0034620)	36	5	1.84	+	2.72	3.91E-02
neuron projection extension (GO:1990138)	29	4	1.48	+	2.70	6.31E-02
ribonucleoside diphosphate metabolic process (GO:0009185)	22	3	1.12	+	2.67	1.04E-01
purine ribonucleoside diphosphate metabolic process (GO:0009179)	22	3	1.12	+	2.67	1.04E-01
purine nucleoside diphosphate metabolic process (GO:0009135)	22	3	1.12	+	2.67	1.04E-01
ATP generation from ADP (GO:0006757)	22	3	1.12	+	2.67	1.04E-01
glycolytic process (GO:0006096)	22	3	1.12	+	2.67	1.04E-01
ADP metabolic process (GO:0046031)	22	3	1.12	+	2.67	1.04E-01
nucleus organization (GO:0006997)	22	3	1.12	+	2.67	1.04E-01
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	22	3	1.12	+	2.67	1.04E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	45	6	2.30	+	2.61	2.97E-02
glucose 6-phosphate metabolic process (GO:0051156)	15	2	.77	+	2.61	1.79E-01
epithelial cell proliferation (GO:0050673)	15	2	.77	+	2.61	1.79E-01
regulation of translational initiation (GO:0006446)	15	2	.77	+	2.61	1.79E-01
insulin receptor signaling pathway (GO:0008286)	15	2	.77	+	2.61	1.79E-01
demethylation (GO:0070988)	30	4	1.53	+	2.61	6.96E-02
protein monoubiquitination (GO:0006513)	15	2	.77	+	2.61	1.79E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	30	4	1.53	+	2.61	6.96E-02
peptide secretion (GO:0002790)	38	5	1.94	+	2.58	4.73E-02
nuclear transport (GO:0051169)	92	12	4.70	+	2.55	3.28E-03
nucleocytoplasmic transport (GO:0006913)	92	12	4.70	+	2.55	3.28E-03
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	23	3	1.17	+	2.55	1.15E-01
telomere maintenance (GO:0000723)	31	4	1.58	+	2.53	7.64E-02
telomere organization (GO:0032200)	31	4	1.58	+	2.53	7.64E-02
chromatin assembly or disassembly (GO:0006333)	31	4	1.58	+	2.53	7.64E-02
developmental cell growth (GO:0048588)	31	4	1.58	+	2.53	7.64E-02
mitotic spindle organization (GO:0007052)	31	4	1.58	+	2.53	7.64E-02
negative regulation of catabolic process (GO:0009895)	31	4	1.58	+	2.53	7.64E-02
response to abiotic stimulus (GO:0009628)	87	11	4.44	+	2.48	5.96E-03
cyclic nucleotide metabolic process (GO:0009187)	16	2	.82	+	2.45	1.97E-01
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	16	2	.82	+	2.45	1.97E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	32	4	1.63	+	2.45	8.34E-02
tRNA processing (GO:0008033)	56	7	2.86	+	2.45	2.67E-02
regulation of meiotic cell cycle (GO:0051445)	8	1	.41	+	2.45	3.35E-01
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	16	2	.82	+	2.45	1.97E-01
translational termination (GO:0006415)	8	1	.41	+	2.45	3.35E-01
ubiquinone biosynthetic process (GO:0006744)	8	1	.41	+	2.45	3.35E-01
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	8	1	.41	+	2.45	3.35E-01
retrograde transport, endosome to plasma membrane (GO:1990126)	8	1	.41	+	2.45	3.35E-01
cholesterol metabolic process (GO:0008203)	16	2	.82	+	2.45	1.97E-01
positive regulation of cell growth (GO:0030307)	8	1	.41	+	2.45	3.35E-01
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	8	1	.41	+	2.45	3.35E-01
protein K48-linked deubiquitination (GO:0071108)	8	1	.41	+	2.45	3.35E-01
smooth muscle contraction (GO:0006939)	8	1	.41	+	2.45	3.35E-01
developmental growth involved in morphogenesis (GO:0060560)	32	4	1.63	+	2.45	8.34E-02
positive regulation of proteolysis (GO:0045862)	48	6	2.45	+	2.45	3.86E-02
endosome organization (GO:0007032)	8	1	.41	+	2.45	3.35E-01
histone H3 acetylation (GO:0043966)	16	2	.82	+	2.45	1.97E-01
NIK/NF-kappaB signaling (GO:0038061)	8	1	.41	+	2.45	3.35E-01
protein sumoylation (GO:0016925)	16	2	.82	+	2.45	1.97E-01
alcohol biosynthetic process (GO:0046165)	33	4	1.69	+	2.37	9.08E-02
nucleoside diphosphate phosphorylation (GO:0006165)	25	3	1.28	+	2.35	1.37E-01
nucleotide phosphorylation (GO:0046939)	25	3	1.28	+	2.35	1.37E-01
epithelial cell differentiation (GO:0030855)	25	3	1.28	+	2.35	1.37E-01
regulation of mRNA metabolic process (GO:1903311)	75	9	3.83	+	2.35	1.65E-02
protein folding (GO:0006457)	75	9	3.83	+	2.35	1.65E-02
protein K63-linked ubiquitination (GO:0070534)	17	2	.87	+	2.30	2.16E-01
histone ubiquitination (GO:0016574)	17	2	.87	+	2.30	2.16E-01
tRNA methylation (GO:0030488)	17	2	.87	+	2.30	2.16E-01
glycosaminoglycan metabolic process (GO:0030203)	17	2	.87	+	2.30	2.16E-01
phosphatidylinositol metabolic process (GO:0046488)	77	9	3.93	+	2.29	1.92E-02
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	26	3	1.33	+	2.26	1.49E-01
polysaccharide biosynthetic process (GO:0000271)	26	3	1.33	+	2.26	1.49E-01
positive regulation of Wnt signaling pathway (GO:0030177)	26	3	1.33	+	2.26	1.49E-01
regulation of endocytosis (GO:0030100)	26	3	1.33	+	2.26	1.49E-01
axon extension (GO:0048675)	26	3	1.33	+	2.26	1.49E-01
activation of MAPK activity (GO:0000187)	26	3	1.33	+	2.26	1.49E-01
cellular polysaccharide biosynthetic process (GO:0033692)	26	3	1.33	+	2.26	1.49E-01
plasma membrane organization (GO:0007009)	26	3	1.33	+	2.26	1.49E-01
spindle assembly (GO:0051225)	35	4	1.79	+	2.24	1.07E-01
intrinsic apoptotic signaling pathway (GO:0097193)	35	4	1.79	+	2.24	1.07E-01
RNA splicing (GO:0008380)	185	21	9.45	+	2.22	7.44E-04
purine ribonucleoside monophosphate metabolic process (GO:0009167)	9	1	.46	+	2.18	3.69E-01
protein K63-linked deubiquitination (GO:0070536)	9	1	.46	+	2.18	3.69E-01
long-chain fatty acid metabolic process (GO:0001676)	18	2	.92	+	2.18	2.35E-01
positive regulation of angiogenesis (GO:0045766)	9	1	.46	+	2.18	3.69E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	9	1	.46	+	2.18	3.69E-01
urogenital system development (GO:0001655)	9	1	.46	+	2.18	3.69E-01
negative regulation of dephosphorylation (GO:0035305)	9	1	.46	+	2.18	3.69E-01
intra-S DNA damage checkpoint (GO:0031573)	9	1	.46	+	2.18	3.69E-01
dendritic spine organization (GO:0097061)	9	1	.46	+	2.18	3.69E-01
protein-containing complex disassembly (GO:0032984)	63	7	3.22	+	2.18	4.54E-02
positive chemotaxis (GO:0050918)	9	1	.46	+	2.18	3.69E-01
sprouting angiogenesis (GO:0002040)	9	1	.46	+	2.18	3.69E-01
reproductive structure development (GO:0048608)	9	1	.46	+	2.18	3.69E-01
microtubule polymerization (GO:0046785)	18	2	.92	+	2.18	2.35E-01
reproductive system development (GO:0061458)	9	1	.46	+	2.18	3.69E-01
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	9	1	.46	+	2.18	3.69E-01
epidermis development (GO:0008544)	9	1	.46	+	2.18	3.69E-01
cellular response to insulin stimulus (GO:0032869)	27	3	1.38	+	2.18	1.61E-01
cholesterol transport (GO:0030301)	9	1	.46	+	2.18	3.69E-01
regulation of muscle contraction (GO:0006937)	9	1	.46	+	2.18	3.69E-01
cell growth (GO:0016049)	36	4	1.84	+	2.18	1.15E-01
RNA-dependent DNA biosynthetic process (GO:0006278)	18	2	.92	+	2.18	2.35E-01
histone lysine methylation (GO:0034968)	18	2	.92	+	2.18	2.35E-01
negative regulation of cellular catabolic process (GO:0031330)	27	3	1.38	+	2.18	1.61E-01
chondroitin sulfate metabolic process (GO:0030204)	9	1	.46	+	2.18	3.69E-01
phospholipid metabolic process (GO:0006644)	136	15	6.95	+	2.16	5.15E-03
positive regulation of cellular catabolic process (GO:0031331)	55	6	2.81	+	2.14	6.56E-02
cellular response to topologically incorrect protein (GO:0035967)	46	5	2.35	+	2.13	8.94E-02
response to topologically incorrect protein (GO:0035966)	46	5	2.35	+	2.13	8.94E-02
regulation of microtubule cytoskeleton organization (GO:0070507)	37	4	1.89	+	2.12	1.23E-01
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	37	4	1.89	+	2.12	1.23E-01
lipid modification (GO:0030258)	111	12	5.67	+	2.12	1.33E-02
cellular carbohydrate metabolic process (GO:0044262)	65	7	3.32	+	2.11	5.19E-02
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	28	3	1.43	+	2.10	1.74E-01
response to insulin (GO:0032868)	28	3	1.43	+	2.10	1.74E-01
ERAD pathway (GO:0036503)	47	5	2.40	+	2.08	9.57E-02
positive regulation of peptidase activity (GO:0010952)	19	2	.97	+	2.06	2.53E-01
positive regulation of endopeptidase activity (GO:0010950)	19	2	.97	+	2.06	2.53E-01
positive regulation of autophagy (GO:0010508)	19	2	.97	+	2.06	2.53E-01
dendrite morphogenesis (GO:0048813)	19	2	.97	+	2.06	2.53E-01
post-Golgi vesicle-mediated transport (GO:0006892)	38	4	1.94	+	2.06	1.32E-01
glycerophospholipid metabolic process (GO:0006650)	105	11	5.36	+	2.05	2.12E-02
tRNA metabolic process (GO:0006399)	96	10	4.90	+	2.04	2.81E-02
secretion (GO:0046903)	144	15	7.36	+	2.04	8.43E-03
nucleoside diphosphate metabolic process (GO:0009132)	29	3	1.48	+	2.03	1.86E-01
phospholipid dephosphorylation (GO:0046839)	29	3	1.48	+	2.03	1.86E-01
cellular response to starvation (GO:0009267)	39	4	1.99	+	2.01	1.41E-01
negative regulation of cellular component organization (GO:0051129)	98	10	5.01	+	2.00	3.16E-02
protein localization to nucleus (GO:0034504)	49	5	2.50	+	2.00	1.09E-01
anatomical structure homeostasis (GO:0060249)	49	5	2.50	+	2.00	1.09E-01
negative regulation of organelle organization (GO:0010639)	69	7	3.52	+	1.99	6.68E-02
negative regulation of protein catabolic process (GO:0042177)	10	1	.51	+	1.96	4.00E-01
regulation of intracellular pH (GO:0051453)	20	2	1.02	+	1.96	2.72E-01
positive regulation of epithelial cell proliferation (GO:0050679)	10	1	.51	+	1.96	4.00E-01
endothelial cell proliferation (GO:0001935)	10	1	.51	+	1.96	4.00E-01
ubiquitin-dependent ERAD pathway (GO:0030433)	40	4	2.04	+	1.96	1.51E-01
signal transduction by p53 class mediator (GO:0072331)	10	1	.51	+	1.96	4.00E-01
regulation of reproductive process (GO:2000241)	20	2	1.02	+	1.96	2.72E-01
vesicle fusion to plasma membrane (GO:0099500)	100	10	5.11	+	1.96	3.54E-02
exocytic process (GO:0140029)	100	10	5.11	+	1.96	3.54E-02
receptor clustering (GO:0043113)	10	1	.51	+	1.96	4.00E-01
positive regulation of mitotic cell cycle (GO:0045931)	20	2	1.02	+	1.96	2.72E-01
positive regulation of ion transmembrane transport (GO:0034767)	10	1	.51	+	1.96	4.00E-01
cholesterol homeostasis (GO:0042632)	10	1	.51	+	1.96	4.00E-01
mitochondrial cytochrome c oxidase assembly (GO:0033617)	10	1	.51	+	1.96	4.00E-01
defense response to Gram-positive bacterium (GO:0050830)	20	2	1.02	+	1.96	2.72E-01
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	10	1	.51	+	1.96	4.00E-01
centrosome duplication (GO:0051298)	20	2	1.02	+	1.96	2.72E-01
snRNA metabolic process (GO:0016073)	20	2	1.02	+	1.96	2.72E-01
regulation of double-strand break repair (GO:2000779)	10	1	.51	+	1.96	4.00E-01
forebrain development (GO:0030900)	10	1	.51	+	1.96	4.00E-01
sister chromatid cohesion (GO:0007062)	20	2	1.02	+	1.96	2.72E-01
spindle organization (GO:0007051)	50	5	2.55	+	1.96	1.16E-01
lysosome localization (GO:0032418)	10	1	.51	+	1.96	4.00E-01
positive regulation of ion transmembrane transporter activity (GO:0032414)	10	1	.51	+	1.96	4.00E-01
positive regulation of transporter activity (GO:0032411)	10	1	.51	+	1.96	4.00E-01
Golgi to vacuole transport (GO:0006896)	10	1	.51	+	1.96	4.00E-01
exocytosis (GO:0006887)	100	10	5.11	+	1.96	3.54E-02
regulation of establishment of protein localization (GO:0070201)	30	3	1.53	+	1.96	1.99E-01
secretion by cell (GO:0032940)	140	14	7.15	+	1.96	1.47E-02
cytoplasmic microtubule organization (GO:0031122)	30	3	1.53	+	1.96	1.99E-01
protein localization to cell junction (GO:1902414)	30	3	1.53	+	1.96	1.99E-01
ncRNA metabolic process (GO:0034660)	220	22	11.24	+	1.96	2.70E-03
regulation of cellular catabolic process (GO:0031329)	120	12	6.13	+	1.96	2.27E-02
cellular response to hormone stimulus (GO:0032870)	91	9	4.65	+	1.94	4.70E-02
vesicle fusion (GO:0006906)	132	13	6.74	+	1.93	2.03E-02
macroautophagy (GO:0016236)	61	6	3.12	+	1.93	9.56E-02
histone modification (GO:0016570)	112	11	5.72	+	1.92	3.16E-02
regulation of autophagy (GO:0010506)	51	5	2.60	+	1.92	1.23E-01
organelle membrane fusion (GO:0090174)	133	13	6.79	+	1.91	2.15E-02
autophagosome assembly (GO:0000045)	41	4	2.09	+	1.91	1.60E-01
autophagosome organization (GO:1905037)	41	4	2.09	+	1.91	1.60E-01
covalent chromatin modification (GO:0016569)	113	11	5.77	+	1.91	3.34E-02
organic hydroxy compound metabolic process (GO:1901615)	113	11	5.77	+	1.91	3.34E-02
RNA processing (GO:0006396)	403	39	20.58	+	1.89	1.55E-04
