




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_background.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	arabidopsis_background.txt - REFLIST (14244)	upload_1 (1970)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	3	1	.41	+	2.41	3.40E-01
secondary alcohol metabolic process (GO:1902652)	9	3	1.24	+	2.41	1.30E-01
cell morphogenesis involved in differentiation (GO:0000904)	3	1	.41	+	2.41	3.40E-01
circadian rhythm (GO:0007623)	12	4	1.66	+	2.41	8.72E-02
RNA localization (GO:0006403)	42	14	5.81	+	2.41	2.70E-03
response to radiation (GO:0009314)	70	23	9.68	+	2.38	1.81E-04
regulation of reproductive process (GO:2000241)	22	7	3.04	+	2.30	3.56E-02
cell division (GO:0051301)	44	14	6.09	+	2.30	4.03E-03
regulation of transport (GO:0051049)	16	5	2.21	+	2.26	7.38E-02
monocarboxylic acid metabolic process (GO:0032787)	139	43	19.22	+	2.24	1.81E-06
generation of precursor metabolites and energy (GO:0006091)	133	41	18.39	+	2.23	3.37E-06
RNA transport (GO:0050658)	39	12	5.39	+	2.22	9.45E-03
nucleic acid transport (GO:0050657)	39	12	5.39	+	2.22	9.45E-03
RNA export from nucleus (GO:0006405)	39	12	5.39	+	2.22	9.45E-03
establishment of RNA localization (GO:0051236)	39	12	5.39	+	2.22	9.45E-03
regulation of nuclear division (GO:0051783)	13	4	1.80	+	2.22	1.08E-01
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	13	4	1.80	+	2.22	1.08E-01
nucleobase-containing compound transport (GO:0015931)	46	14	6.36	+	2.20	5.87E-03
ribonucleoprotein complex localization (GO:0071166)	33	10	4.56	+	2.19	1.85E-02
ribonucleoprotein complex export from nucleus (GO:0071426)	33	10	4.56	+	2.19	1.85E-02
nuclear export (GO:0051168)	40	12	5.53	+	2.17	1.13E-02
multi-organism process (GO:0051704)	10	3	1.38	+	2.17	1.62E-01
inner mitochondrial membrane organization (GO:0007007)	10	3	1.38	+	2.17	1.62E-01
cytosolic transport (GO:0016482)	27	8	3.73	+	2.14	3.67E-02
cell differentiation (GO:0030154)	17	5	2.35	+	2.13	8.97E-02
pigment biosynthetic process (GO:0046148)	17	5	2.35	+	2.13	8.97E-02
monocarboxylic acid biosynthetic process (GO:0072330)	34	10	4.70	+	2.13	2.21E-02
vesicle cytoskeletal trafficking (GO:0099518)	17	5	2.35	+	2.13	8.97E-02
cellular developmental process (GO:0048869)	17	5	2.35	+	2.13	8.97E-02
membrane fission (GO:0090148)	34	10	4.70	+	2.13	2.21E-02
positive regulation of protein-containing complex assembly (GO:0031334)	17	5	2.35	+	2.13	8.97E-02
cytokinesis (GO:0000910)	34	10	4.70	+	2.13	2.21E-02
positive regulation of cellular component biogenesis (GO:0044089)	17	5	2.35	+	2.13	8.97E-02
membrane lipid biosynthetic process (GO:0046467)	24	7	3.32	+	2.11	5.21E-02
maturation of LSU-rRNA (GO:0000470)	24	7	3.32	+	2.11	5.21E-02
establishment of vesicle localization (GO:0051650)	24	7	3.32	+	2.11	5.21E-02
vesicle localization (GO:0051648)	24	7	3.32	+	2.11	5.21E-02
post-Golgi vesicle-mediated transport (GO:0006892)	31	9	4.29	+	2.10	3.10E-02
inositol lipid-mediated signaling (GO:0048017)	14	4	1.94	+	2.07	1.31E-01
phosphatidylinositol-mediated signaling (GO:0048015)	14	4	1.94	+	2.07	1.31E-01
establishment of protein localization to vacuole (GO:0072666)	28	8	3.87	+	2.07	4.37E-02
protein localization to vacuole (GO:0072665)	28	8	3.87	+	2.07	4.37E-02
protein localization to plasma membrane (GO:0072659)	7	2	.97	+	2.07	2.53E-01
multicellular organismal reproductive process (GO:0048609)	7	2	.97	+	2.07	2.53E-01
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	7	2	.97	+	2.07	2.53E-01
protein localization to cell periphery (GO:1990778)	7	2	.97	+	2.07	2.53E-01
transition metal ion homeostasis (GO:0055076)	28	8	3.87	+	2.07	4.37E-02
iron ion homeostasis (GO:0055072)	21	6	2.90	+	2.07	7.44E-02
multicellular organism reproduction (GO:0032504)	7	2	.97	+	2.07	2.53E-01
membrane lipid metabolic process (GO:0006643)	28	8	3.87	+	2.07	4.37E-02
protein export from nucleus (GO:0006611)	35	10	4.84	+	2.07	2.62E-02
ATP-dependent chromatin remodeling (GO:0043044)	14	4	1.94	+	2.07	1.31E-01
vesicle targeting (GO:0006903)	7	2	.97	+	2.07	2.53E-01
morphogenesis of a branching structure (GO:0001763)	7	2	.97	+	2.07	2.53E-01
protein insertion into membrane (GO:0051205)	14	4	1.94	+	2.07	1.31E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	7	2	.97	+	2.07	2.53E-01
regulation of protein stability (GO:0031647)	14	4	1.94	+	2.07	1.31E-01
cell fate commitment (GO:0045165)	7	2	.97	+	2.07	2.53E-01
histone acetylation (GO:0016573)	18	5	2.49	+	2.01	1.07E-01
internal protein amino acid acetylation (GO:0006475)	18	5	2.49	+	2.01	1.07E-01
protein-containing complex localization (GO:0031503)	36	10	4.98	+	2.01	3.09E-02
NADP metabolic process (GO:0006739)	18	5	2.49	+	2.01	1.07E-01
peptidyl-lysine acetylation (GO:0018394)	18	5	2.49	+	2.01	1.07E-01
internal peptidyl-lysine acetylation (GO:0018393)	18	5	2.49	+	2.01	1.07E-01
regulation of localization (GO:0032879)	18	5	2.49	+	2.01	1.07E-01
fatty acid metabolic process (GO:0006631)	47	13	6.50	+	2.00	1.59E-02
import into nucleus (GO:0051170)	29	8	4.01	+	1.99	5.16E-02
protein localization to nucleus (GO:0034504)	29	8	4.01	+	1.99	5.16E-02
protein import into nucleus (GO:0006606)	29	8	4.01	+	1.99	5.16E-02
microtubule cytoskeleton organization (GO:0000226)	84	23	11.62	+	1.98	2.00E-03
mitochondrial respiratory chain complex assembly (GO:0033108)	11	3	1.52	+	1.97	1.96E-01
protein acetylation (GO:0006473)	22	6	3.04	+	1.97	8.81E-02
cellular response to misfolded protein (GO:0071218)	11	3	1.52	+	1.97	1.96E-01
cleavage involved in rRNA processing (GO:0000469)	11	3	1.52	+	1.97	1.96E-01
fatty acid biosynthetic process (GO:0006633)	11	3	1.52	+	1.97	1.96E-01
positive regulation of DNA-templated transcription, initiation (GO:2000144)	11	3	1.52	+	1.97	1.96E-01
regulation of DNA-templated transcription, initiation (GO:2000142)	11	3	1.52	+	1.97	1.96E-01
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	11	3	1.52	+	1.97	1.96E-01
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	11	3	1.52	+	1.97	1.96E-01
retrograde transport, endosome to Golgi (GO:0042147)	26	7	3.60	+	1.95	7.28E-02
cellular transition metal ion homeostasis (GO:0046916)	26	7	3.60	+	1.95	7.28E-02
rRNA methylation (GO:0031167)	15	4	2.07	+	1.93	1.56E-01
transcription initiation from RNA polymerase II promoter (GO:0006367)	30	8	4.15	+	1.93	6.03E-02
beta-glucan biosynthetic process (GO:0051274)	15	4	2.07	+	1.93	1.56E-01
pigment metabolic process (GO:0042440)	19	5	2.63	+	1.90	1.26E-01
cellular iron ion homeostasis (GO:0006879)	19	5	2.63	+	1.90	1.26E-01
cellular amino acid catabolic process (GO:0009063)	46	12	6.36	+	1.89	2.93E-02
protein targeting to vacuole (GO:0006623)	23	6	3.18	+	1.89	1.03E-01
response to extracellular stimulus (GO:0009991)	27	7	3.73	+	1.87	8.47E-02
response to nutrient levels (GO:0031667)	27	7	3.73	+	1.87	8.47E-02
microtubule-based process (GO:0007017)	112	29	15.49	+	1.87	1.32E-03
nuclear transport (GO:0051169)	58	15	8.02	+	1.87	1.74E-02
nucleocytoplasmic transport (GO:0006913)	58	15	8.02	+	1.87	1.74E-02
glycoprotein biosynthetic process (GO:0009101)	31	8	4.29	+	1.87	6.99E-02
protein glycosylation (GO:0006486)	31	8	4.29	+	1.87	6.99E-02
regulation of cell cycle process (GO:0010564)	31	8	4.29	+	1.87	6.99E-02
macromolecule glycosylation (GO:0043413)	31	8	4.29	+	1.87	6.99E-02
cellular glucan metabolic process (GO:0006073)	39	10	5.39	+	1.85	4.82E-02
carbohydrate catabolic process (GO:0016052)	78	20	10.79	+	1.85	7.48E-03
movement of cell or subcellular component (GO:0006928)	47	12	6.50	+	1.85	3.36E-02
carbohydrate metabolic process (GO:0005975)	215	54	29.74	+	1.82	3.48E-05
immune system process (GO:0002376)	12	3	1.66	+	1.81	2.32E-01
regulation of cellular localization (GO:0060341)	12	3	1.66	+	1.81	2.32E-01
maturation of 5.8S rRNA (GO:0000460)	12	3	1.66	+	1.81	2.32E-01
immune response (GO:0006955)	12	3	1.66	+	1.81	2.32E-01
regulation of anatomical structure morphogenesis (GO:0022603)	12	3	1.66	+	1.81	2.32E-01
positive regulation of supramolecular fiber organization (GO:1902905)	8	2	1.11	+	1.81	3.03E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	4	1	.55	+	1.81	4.25E-01
nucleotide catabolic process (GO:0009166)	4	1	.55	+	1.81	4.25E-01
positive regulation of cytoskeleton organization (GO:0051495)	8	2	1.11	+	1.81	3.03E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	4	1	.55	+	1.81	4.25E-01
cytochrome complex assembly (GO:0017004)	8	2	1.11	+	1.81	3.03E-01
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	4	1	.55	+	1.81	4.25E-01
response to gibberellin (GO:0009739)	8	2	1.11	+	1.81	3.03E-01
protein targeting to ER (GO:0045047)	16	4	2.21	+	1.81	1.83E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	8	2	1.11	+	1.81	3.03E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	8	2	1.11	+	1.81	3.03E-01
autophagosome maturation (GO:0097352)	4	1	.55	+	1.81	4.25E-01
cellular response to abiotic stimulus (GO:0071214)	4	1	.55	+	1.81	4.25E-01
cellular carbohydrate catabolic process (GO:0044275)	16	4	2.21	+	1.81	1.83E-01
regulation of secretion (GO:0051046)	4	1	.55	+	1.81	4.25E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	8	2	1.11	+	1.81	3.03E-01
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	8	2	1.11	+	1.81	3.03E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	4	1	.55	+	1.81	4.25E-01
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	4	1	.55	+	1.81	4.25E-01
G protein-coupled receptor signaling pathway (GO:0007186)	4	1	.55	+	1.81	4.25E-01
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	4	1	.55	+	1.81	4.25E-01
positive regulation of protein polymerization (GO:0032273)	8	2	1.11	+	1.81	3.03E-01
cellular response to environmental stimulus (GO:0104004)	4	1	.55	+	1.81	4.25E-01
glucose metabolic process (GO:0006006)	16	4	2.21	+	1.81	1.83E-01
response to mechanical stimulus (GO:0009612)	4	1	.55	+	1.81	4.25E-01
regulation of secretion by cell (GO:1903530)	4	1	.55	+	1.81	4.25E-01
DNA replication-independent nucleosome organization (GO:0034724)	4	1	.55	+	1.81	4.25E-01
cellular response to nitrogen compound (GO:1901699)	8	2	1.11	+	1.81	3.03E-01
defense response to fungus (GO:0050832)	8	2	1.11	+	1.81	3.03E-01
developmental cell growth (GO:0048588)	8	2	1.11	+	1.81	3.03E-01
glycosylation (GO:0070085)	32	8	4.43	+	1.81	8.04E-02
IMP metabolic process (GO:0046040)	4	1	.55	+	1.81	4.25E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	16	4	2.21	+	1.81	1.83E-01
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	4	1	.55	+	1.81	4.25E-01
centrosome duplication (GO:0051298)	4	1	.55	+	1.81	4.25E-01
regulation of exocytosis (GO:0017157)	4	1	.55	+	1.81	4.25E-01
regulation of multicellular organismal process (GO:0051239)	32	8	4.43	+	1.81	8.04E-02
protein catabolic process in the vacuole (GO:0007039)	8	2	1.11	+	1.81	3.03E-01
sexual reproduction (GO:0019953)	4	1	.55	+	1.81	4.25E-01
cell fate specification (GO:0001708)	4	1	.55	+	1.81	4.25E-01
multi-organism reproductive process (GO:0044703)	4	1	.55	+	1.81	4.25E-01
regulation of cAMP-mediated signaling (GO:0043949)	4	1	.55	+	1.81	4.25E-01
cell development (GO:0048468)	8	2	1.11	+	1.81	3.03E-01
amino acid transport (GO:0006865)	20	5	2.77	+	1.81	1.47E-01
nucleotide transport (GO:0006862)	4	1	.55	+	1.81	4.25E-01
response to metal ion (GO:0010038)	8	2	1.11	+	1.81	3.03E-01
regulation of multicellular organismal development (GO:2000026)	32	8	4.43	+	1.81	8.04E-02
thylakoid membrane organization (GO:0010027)	4	1	.55	+	1.81	4.25E-01
L-amino acid transport (GO:0015807)	4	1	.55	+	1.81	4.25E-01
phospholipid biosynthetic process (GO:0008654)	28	7	3.87	+	1.81	9.76E-02
alcohol biosynthetic process (GO:0046165)	28	7	3.87	+	1.81	9.76E-02
post-embryonic development (GO:0009791)	53	13	7.33	+	1.77	3.65E-02
vacuolar transport (GO:0007034)	53	13	7.33	+	1.77	3.65E-02
glucan metabolic process (GO:0044042)	41	10	5.67	+	1.76	6.28E-02
nucleotide metabolic process (GO:0009117)	145	35	20.05	+	1.75	1.47E-03
microtubule-based movement (GO:0007018)	29	7	4.01	+	1.75	1.12E-01
carboxylic acid metabolic process (GO:0019752)	386	93	53.39	+	1.74	3.80E-07
alcohol metabolic process (GO:0006066)	54	13	7.47	+	1.74	4.12E-02
carboxylic acid catabolic process (GO:0046395)	79	19	10.93	+	1.74	1.64E-02
organic acid catabolic process (GO:0016054)	79	19	10.93	+	1.74	1.64E-02
mitotic cytokinesis (GO:0000281)	25	6	3.46	+	1.74	1.37E-01
tricarboxylic acid cycle (GO:0006099)	25	6	3.46	+	1.74	1.37E-01
cellular response to external stimulus (GO:0071496)	25	6	3.46	+	1.74	1.37E-01
cellular response to starvation (GO:0009267)	25	6	3.46	+	1.74	1.37E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	25	6	3.46	+	1.74	1.37E-01
response to starvation (GO:0042594)	25	6	3.46	+	1.74	1.37E-01
cellular response to nutrient levels (GO:0031669)	25	6	3.46	+	1.74	1.37E-01
cellular response to extracellular stimulus (GO:0031668)	25	6	3.46	+	1.74	1.37E-01
nucleoside phosphate metabolic process (GO:0006753)	150	36	20.75	+	1.74	1.40E-03
organophosphate metabolic process (GO:0019637)	256	61	35.41	+	1.72	4.94E-05
translational initiation (GO:0006413)	21	5	2.90	+	1.72	1.69E-01
fatty acid beta-oxidation (GO:0006635)	21	5	2.90	+	1.72	1.69E-01
protein localization to membrane (GO:0072657)	76	18	10.51	+	1.71	2.18E-02
regulation of developmental process (GO:0050793)	38	9	5.26	+	1.71	8.58E-02
lipoprotein biosynthetic process (GO:0042158)	34	8	4.70	+	1.70	1.04E-01
protein lipidation (GO:0006497)	34	8	4.70	+	1.70	1.04E-01
