




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
cristae formation (GO:0042407)	3	3	2.43	+	1.23	4.38E-01
regulation of glucose metabolic process (GO:0010906)	6	6	4.86	+	1.23	3.60E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	4	4	3.24	+	1.23	4.07E-01
energy reserve metabolic process (GO:0006112)	10	10	8.10	+	1.23	2.96E-01
N-terminal protein amino acid acetylation (GO:0006474)	5	5	4.05	+	1.23	3.81E-01
sphingolipid catabolic process (GO:0030149)	1	1	.81	+	1.23	5.55E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	2	2	1.62	+	1.23	4.82E-01
negative regulation of protein kinase activity (GO:0006469)	2	2	1.62	+	1.23	4.82E-01
inositol phosphate-mediated signaling (GO:0048016)	1	1	.81	+	1.23	5.55E-01
response to endogenous stimulus (GO:0009719)	4	4	3.24	+	1.23	4.07E-01
multi-organism process (GO:0051704)	8	8	6.48	+	1.23	3.24E-01
G2 DNA damage checkpoint (GO:0031572)	1	1	.81	+	1.23	5.55E-01
tRNA methylation (GO:0030488)	15	15	12.15	+	1.23	2.42E-01
nucleotide-sugar transmembrane transport (GO:0015780)	2	2	1.62	+	1.23	4.82E-01
tRNA wobble uridine modification (GO:0002098)	8	8	6.48	+	1.23	3.24E-01
regulation of endocytosis (GO:0030100)	2	2	1.62	+	1.23	4.82E-01
cell part morphogenesis (GO:0032990)	1	1	.81	+	1.23	5.55E-01
cellular component morphogenesis (GO:0032989)	1	1	.81	+	1.23	5.55E-01
translational termination (GO:0006415)	7	7	5.67	+	1.23	3.41E-01
citrate transport (GO:0015746)	3	3	2.43	+	1.23	4.38E-01
C4-dicarboxylate transport (GO:0015740)	3	3	2.43	+	1.23	4.38E-01
mitotic spindle assembly (GO:0090307)	1	1	.81	+	1.23	5.55E-01
positive regulation of response to DNA damage stimulus (GO:2001022)	2	2	1.62	+	1.23	4.82E-01
regulation of response to DNA damage stimulus (GO:2001020)	5	5	4.05	+	1.23	3.81E-01
ubiquinone biosynthetic process (GO:0006744)	3	3	2.43	+	1.23	4.38E-01
monocarboxylic acid transport (GO:0015718)	2	2	1.62	+	1.23	4.82E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	5	5	4.05	+	1.23	3.81E-01
plasma membrane fusion (GO:0045026)	7	7	5.67	+	1.23	3.41E-01
positive regulation of cell cycle G1/S phase transition (GO:1902808)	1	1	.81	+	1.23	5.55E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	1	1	.81	+	1.23	5.55E-01
response to oxygen levels (GO:0070482)	2	2	1.62	+	1.23	4.82E-01
glycogen biosynthetic process (GO:0005978)	8	8	6.48	+	1.23	3.24E-01
glycogen metabolic process (GO:0005977)	10	10	8.10	+	1.23	2.96E-01
rRNA base methylation (GO:0070475)	5	5	4.05	+	1.23	3.81E-01
aromatic amino acid family catabolic process (GO:0009074)	3	3	2.43	+	1.23	4.38E-01
microtubule polymerization (GO:0046785)	6	6	4.86	+	1.23	3.60E-01
negative regulation of DNA metabolic process (GO:0051053)	3	3	2.43	+	1.23	4.38E-01
fatty acid catabolic process (GO:0009062)	10	10	8.10	+	1.23	2.96E-01
positive regulation of transport (GO:0051050)	3	3	2.43	+	1.23	4.38E-01
rRNA modification (GO:0000154)	16	16	12.96	+	1.23	2.33E-01
peptidyl-lysine trimethylation (GO:0018023)	2	2	1.62	+	1.23	4.82E-01
peptidyl-lysine methylation (GO:0018022)	14	14	11.34	+	1.23	2.51E-01
establishment of mitotic spindle orientation (GO:0000132)	1	1	.81	+	1.23	5.55E-01
kinetochore assembly (GO:0051382)	2	2	1.62	+	1.23	4.82E-01
histone exchange (GO:0043486)	7	7	5.67	+	1.23	3.41E-01
regulation of RNA splicing (GO:0043484)	2	2	1.62	+	1.23	4.82E-01
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	11	11	8.91	+	1.23	2.83E-01
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	11	11	8.91	+	1.23	2.83E-01
regulation of membrane potential (GO:0042391)	1	1	.81	+	1.23	5.55E-01
maturation of LSU-rRNA (GO:0000470)	27	27	21.87	+	1.23	1.60E-01
snRNA processing (GO:0016180)	7	7	5.67	+	1.23	3.41E-01
regulation of cell growth (GO:0001558)	1	1	.81	+	1.23	5.55E-01
cleavage involved in rRNA processing (GO:0000469)	17	17	13.77	+	1.23	2.24E-01
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	12	12	9.72	+	1.23	2.72E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	32	32	25.92	+	1.23	1.37E-01
maturation of 5.8S rRNA (GO:0000460)	20	20	16.20	+	1.23	2.02E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	2	2	1.62	+	1.23	4.82E-01
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	2	2	1.62	+	1.23	4.82E-01
G protein-coupled receptor signaling pathway (GO:0007186)	3	3	2.43	+	1.23	4.38E-01
negative regulation of transferase activity (GO:0051348)	3	3	2.43	+	1.23	4.38E-01
tricarboxylic acid cycle (GO:0006099)	15	15	12.15	+	1.23	2.42E-01
negative regulation of hydrolase activity (GO:0051346)	1	1	.81	+	1.23	5.55E-01
snRNA 3'-end processing (GO:0034472)	7	7	5.67	+	1.23	3.41E-01
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	6	6	4.86	+	1.23	3.60E-01
positive regulation of autophagy (GO:0010508)	1	1	.81	+	1.23	5.55E-01
regulation of lyase activity (GO:0051339)	3	3	2.43	+	1.23	4.38E-01
regulation of telomere maintenance via telomere lengthening (GO:1904356)	1	1	.81	+	1.23	5.55E-01
pseudouridine synthesis (GO:0001522)	12	12	9.72	+	1.23	2.72E-01
establishment or maintenance of cell polarity (GO:0007163)	12	12	9.72	+	1.23	2.72E-01
cell adhesion (GO:0007155)	1	1	.81	+	1.23	5.55E-01
regulation of chromatin assembly (GO:0010847)	1	1	.81	+	1.23	5.55E-01
potassium ion transmembrane transport (GO:0071805)	1	1	.81	+	1.23	5.55E-01
lipid oxidation (GO:0034440)	6	6	4.86	+	1.23	3.60E-01
phytosteroid metabolic process (GO:0016128)	3	3	2.43	+	1.23	4.38E-01
negative regulation of phosphorylation (GO:0042326)	4	4	3.24	+	1.23	4.07E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	5	4.05	+	1.23	3.81E-01
rRNA methylation (GO:0031167)	8	8	6.48	+	1.23	3.24E-01
spindle localization (GO:0051653)	3	3	2.43	+	1.23	4.38E-01
homologous chromosome pairing at meiosis (GO:0007129)	3	3	2.43	+	1.23	4.38E-01
regulation of hormone levels (GO:0010817)	1	1	.81	+	1.23	5.55E-01
positive regulation of growth (GO:0045927)	1	1	.81	+	1.23	5.55E-01
mitochondrial transcription (GO:0006390)	2	2	1.62	+	1.23	4.82E-01
conjugation with cellular fusion (GO:0000747)	7	7	5.67	+	1.23	3.41E-01
ergosterol metabolic process (GO:0008204)	3	3	2.43	+	1.23	4.38E-01
conjugation (GO:0000746)	7	7	5.67	+	1.23	3.41E-01
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	5	5	4.05	+	1.23	3.81E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	5	5	4.05	+	1.23	3.81E-01
aminoglycan biosynthetic process (GO:0006023)	1	1	.81	+	1.23	5.55E-01
aminoglycan metabolic process (GO:0006022)	3	3	2.43	+	1.23	4.38E-01
negative regulation of DNA recombination (GO:0045910)	2	2	1.62	+	1.23	4.82E-01
negative regulation of kinase activity (GO:0033673)	2	2	1.62	+	1.23	4.82E-01
posttranscriptional gene silencing (GO:0016441)	1	1	.81	+	1.23	5.55E-01
chloride transmembrane transport (GO:1902476)	1	1	.81	+	1.23	5.55E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	5	5	4.05	+	1.23	3.81E-01
positive regulation of conjugation with cellular fusion (GO:0031139)	3	3	2.43	+	1.23	4.38E-01
mRNA splice site selection (GO:0006376)	5	5	4.05	+	1.23	3.81E-01
DNA double-strand break processing (GO:0000729)	1	1	.81	+	1.23	5.55E-01
regulation of telomere maintenance via telomerase (GO:0032210)	1	1	.81	+	1.23	5.55E-01
rRNA processing (GO:0006364)	117	117	94.78	+	1.23	1.40E-02
cytoplasmic microtubule organization (GO:0031122)	6	6	4.86	+	1.23	3.60E-01
cell projection assembly (GO:0030031)	3	3	2.43	+	1.23	4.38E-01
cell projection organization (GO:0030030)	3	3	2.43	+	1.23	4.38E-01
regulation of telomere maintenance (GO:0032204)	1	1	.81	+	1.23	5.55E-01
organic cation transport (GO:0015695)	2	2	1.62	+	1.23	4.82E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	3	3	2.43	+	1.23	4.38E-01
copper ion homeostasis (GO:0055070)	4	4	3.24	+	1.23	4.07E-01
microtubule polymerization or depolymerization (GO:0031109)	8	8	6.48	+	1.23	3.24E-01
chromatin silencing at telomere (GO:0006348)	7	7	5.67	+	1.23	3.41E-01
septin ring organization (GO:0031106)	4	4	3.24	+	1.23	4.07E-01
DNA replication-independent nucleosome organization (GO:0034724)	5	5	4.05	+	1.23	3.81E-01
establishment of cell polarity (GO:0030010)	5	5	4.05	+	1.23	3.81E-01
regulation of receptor-mediated endocytosis (GO:0048259)	1	1	.81	+	1.23	5.55E-01
mRNA stabilization (GO:0048255)	1	1	.81	+	1.23	5.55E-01
ergosterol biosynthetic process (GO:0006696)	3	3	2.43	+	1.23	4.38E-01
cellular response to nitrogen compound (GO:1901699)	4	4	3.24	+	1.23	4.07E-01
mitochondrial cytochrome c oxidase assembly (GO:0033617)	11	11	8.91	+	1.23	2.83E-01
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	4	4	3.24	+	1.23	4.07E-01
regulation of microtubule-based process (GO:0032886)	3	3	2.43	+	1.23	4.38E-01
nucleotide transmembrane transport (GO:1901679)	3	3	2.43	+	1.23	4.38E-01
vesicle transport along microtubule (GO:0047496)	2	2	1.62	+	1.23	4.82E-01
acyl-CoA metabolic process (GO:0006637)	5	5	4.05	+	1.23	3.81E-01
fatty acid beta-oxidation (GO:0006635)	5	5	4.05	+	1.23	3.81E-01
positive regulation of cell growth (GO:0030307)	1	1	.81	+	1.23	5.55E-01
cellular response to endogenous stimulus (GO:0071495)	4	4	3.24	+	1.23	4.07E-01
developmental process involved in reproduction (GO:0003006)	1	1	.81	+	1.23	5.55E-01
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	6	6	4.86	+	1.23	3.60E-01
response to decreased oxygen levels (GO:0036293)	2	2	1.62	+	1.23	4.82E-01
amino sugar catabolic process (GO:0046348)	1	1	.81	+	1.23	5.55E-01
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	1	1	.81	+	1.23	5.55E-01
gene silencing by miRNA (GO:0035195)	1	1	.81	+	1.23	5.55E-01
post-transcriptional gene silencing by RNA (GO:0035194)	1	1	.81	+	1.23	5.55E-01
rhythmic process (GO:0048511)	1	1	.81	+	1.23	5.55E-01
cellular response to hypoxia (GO:0071456)	1	1	.81	+	1.23	5.55E-01
ribosomal subunit export from nucleus (GO:0000054)	14	14	11.34	+	1.23	2.51E-01
long-chain fatty acid transport (GO:0015909)	1	1	.81	+	1.23	5.55E-01
regulation of signaling receptor activity (GO:0010469)	1	1	.81	+	1.23	5.55E-01
centrosome duplication (GO:0051298)	1	1	.81	+	1.23	5.55E-01
establishment of spindle orientation (GO:0051294)	1	1	.81	+	1.23	5.55E-01
establishment of spindle localization (GO:0051293)	3	3	2.43	+	1.23	4.38E-01
protein N-linked glycosylation via asparagine (GO:0018279)	5	5	4.05	+	1.23	3.81E-01
cellular response to organonitrogen compound (GO:0071417)	4	4	3.24	+	1.23	4.07E-01
ribosomal large subunit assembly (GO:0000027)	24	24	19.44	+	1.23	1.76E-01
vesicle targeting (GO:0006903)	7	7	5.67	+	1.23	3.41E-01
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	2	2	1.62	+	1.23	4.82E-01
alternative mRNA splicing, via spliceosome (GO:0000380)	2	2	1.62	+	1.23	4.82E-01
regulation of DNA recombination (GO:0000018)	3	3	2.43	+	1.23	4.38E-01
cellular alcohol metabolic process (GO:0044107)	3	3	2.43	+	1.23	4.38E-01
regulation of conjugation (GO:0046999)	3	3	2.43	+	1.23	4.38E-01
protein localization to cell surface (GO:0034394)	3	3	2.43	+	1.23	4.38E-01
snRNA metabolic process (GO:0016073)	10	10	8.10	+	1.23	2.96E-01
centrosome cycle (GO:0007098)	1	1	.81	+	1.23	5.55E-01
mitotic G2 DNA damage checkpoint (GO:0007095)	1	1	.81	+	1.23	5.55E-01
cell-cell adhesion (GO:0098609)	1	1	.81	+	1.23	5.55E-01
ribosomal small subunit biogenesis (GO:0042274)	60	60	48.61	+	1.23	6.15E-02
cell-cell fusion (GO:0140253)	7	7	5.67	+	1.23	3.41E-01
vitamin transmembrane transport (GO:0035461)	1	1	.81	+	1.23	5.55E-01
negative regulation of DNA replication (GO:0008156)	3	3	2.43	+	1.23	4.38E-01
cell growth (GO:0016049)	1	1	.81	+	1.23	5.55E-01
cell cycle DNA replication (GO:0044786)	10	10	8.10	+	1.23	2.96E-01
mitotic sister chromatid cohesion (GO:0007064)	5	5	4.05	+	1.23	3.81E-01
peptidyl-arginine methylation (GO:0018216)	2	2	1.62	+	1.23	4.82E-01
septin cytoskeleton organization (GO:0032185)	7	7	5.67	+	1.23	3.41E-01
spindle assembly (GO:0051225)	4	4	3.24	+	1.23	4.07E-01
plasma membrane phospholipid scrambling (GO:0017121)	1	1	.81	+	1.23	5.55E-01
nuclear DNA replication (GO:0033260)	10	10	8.10	+	1.23	2.96E-01
cell cycle arrest (GO:0007050)	1	1	.81	+	1.23	5.55E-01
nucleotide-sugar metabolic process (GO:0009225)	6	6	4.86	+	1.23	3.60E-01
multi-organism cellular process (GO:0044764)	7	7	5.67	+	1.23	3.41E-01
histone H3-K4 methylation (GO:0051568)	4	4	3.24	+	1.23	4.07E-01
regulation of histone modification (GO:0031056)	6	6	4.86	+	1.23	3.60E-01
mitotic actomyosin contractile ring assembly (GO:1903475)	1	1	.81	+	1.23	5.55E-01
microtubule depolymerization (GO:0007019)	1	1	.81	+	1.23	5.55E-01
gene silencing by RNA (GO:0031047)	1	1	.81	+	1.23	5.55E-01
regulation of DNA repair (GO:0006282)	2	2	1.62	+	1.23	4.82E-01
inner mitochondrial membrane organization (GO:0007007)	10	10	8.10	+	1.23	2.96E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	7	7	5.67	+	1.23	3.41E-01
regulation of DNA replication (GO:0006275)	7	7	5.67	+	1.23	3.41E-01
DNA strand elongation involved in DNA replication (GO:0006271)	10	10	8.10	+	1.23	2.96E-01
regulation of developmental process (GO:0050793)	2	2	1.62	+	1.23	4.82E-01
plasma membrane bounded cell projection organization (GO:0120036)	3	3	2.43	+	1.23	4.38E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	3	3	2.43	+	1.23	4.38E-01
sexual reproduction (GO:0019953)	8	8	6.48	+	1.23	3.24E-01
plasma membrane bounded cell projection assembly (GO:0120031)	3	3	2.43	+	1.23	4.38E-01
regulation of growth (GO:0040008)	1	1	.81	+	1.23	5.55E-01
DNA unwinding involved in DNA replication (GO:0006268)	4	4	3.24	+	1.23	4.07E-01
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	6	6	4.86	+	1.23	3.60E-01
establishment of mitotic spindle localization (GO:0040001)	1	1	.81	+	1.23	5.55E-01
multi-organism reproductive process (GO:0044703)	8	8	6.48	+	1.23	3.24E-01
carbohydrate derivative transport (GO:1901264)	6	6	4.86	+	1.23	3.60E-01
histone lysine methylation (GO:0034968)	6	6	4.86	+	1.23	3.60E-01
regulation of cell projection organization (GO:0031344)	3	3	2.43	+	1.23	4.38E-01
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	2	2	1.62	+	1.23	4.82E-01
tyrosine metabolic process (GO:0006570)	2	2	1.62	+	1.23	4.82E-01
actomyosin contractile ring assembly (GO:0000915)	3	3	2.43	+	1.23	4.38E-01
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	3	3	2.43	+	1.23	4.38E-01
secondary alcohol biosynthetic process (GO:1902653)	5	5	4.05	+	1.23	3.81E-01
secondary alcohol metabolic process (GO:1902652)	11	11	8.91	+	1.23	2.83E-01
regulation of multi-organism process (GO:0043900)	3	3	2.43	+	1.23	4.38E-01
circadian rhythm (GO:0007623)	1	1	.81	+	1.23	5.55E-01
cytoplasmic translational initiation (GO:0002183)	10	10	8.10	+	1.23	2.96E-01
purine nucleotide transport (GO:0015865)	1	1	.81	+	1.23	5.55E-01
cellular copper ion homeostasis (GO:0006878)	4	4	3.24	+	1.23	4.07E-01
mitotic DNA replication (GO:1902969)	6	6	4.86	+	1.23	3.60E-01
nucleotide transport (GO:0006862)	4	4	3.24	+	1.23	4.07E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	1	1	.81	+	1.23	5.55E-01
response to inorganic substance (GO:0010035)	5	5	4.05	+	1.23	3.81E-01
homologous chromosome segregation (GO:0045143)	4	4	3.24	+	1.23	4.07E-01
cell wall polysaccharide metabolic process (GO:0010383)	8	8	6.48	+	1.23	3.24E-01
dicarboxylic acid transport (GO:0006835)	4	4	3.24	+	1.23	4.07E-01
biological adhesion (GO:0022610)	1	1	.81	+	1.23	5.55E-01
L-amino acid transport (GO:0015807)	6	6	4.86	+	1.23	3.60E-01
neutral amino acid transport (GO:0015804)	3	3	2.43	+	1.23	4.38E-01
chloride transport (GO:0006821)	1	1	.81	+	1.23	5.55E-01
regulation of cell morphogenesis (GO:0022604)	2	2	1.62	+	1.23	4.82E-01
regulation of anatomical structure morphogenesis (GO:0022603)	2	2	1.62	+	1.23	4.82E-01
potassium ion transport (GO:0006813)	2	2	1.62	+	1.23	4.82E-01
protein localization to cytoskeleton (GO:0044380)	1	1	.81	+	1.23	5.55E-01
spliceosomal complex assembly (GO:0000245)	9	9	7.29	+	1.23	3.09E-01
iron-sulfur cluster assembly (GO:0016226)	9	9	7.29	+	1.23	3.09E-01
protein methylation (GO:0006479)	18	18	14.58	+	1.23	2.16E-01
regulation of DNA metabolic process (GO:0051052)	9	9	7.29	+	1.23	3.09E-01
protein mannosylation (GO:0035268)	9	9	7.29	+	1.23	3.09E-01
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	13	13	10.53	+	1.23	2.61E-01
amino sugar metabolic process (GO:0006040)	9	9	7.29	+	1.23	3.09E-01
protein alkylation (GO:0008213)	18	18	14.58	+	1.23	2.16E-01
mitochondrial translation (GO:0032543)	13	13	10.53	+	1.23	2.61E-01
cytoplasmic translation (GO:0002181)	49	49	39.70	+	1.23	8.34E-02
ribosome biogenesis (GO:0042254)	181	180	146.63	+	1.23	3.57E-03
ncRNA processing (GO:0034470)	171	169	138.53	+	1.22	5.79E-03
ribosomal large subunit biogenesis (GO:0042273)	67	66	54.28	+	1.22	6.58E-02
rRNA metabolic process (GO:0016072)	125	123	101.27	+	1.21	1.84E-02
ribonucleoprotein complex biogenesis (GO:0022613)	214	210	173.37	+	1.21	3.12E-03
macromolecule methylation (GO:0043414)	45	44	36.46	+	1.21	1.22E-01
methylation (GO:0032259)	45	44	36.46	+	1.21	1.22E-01
ncRNA metabolic process (GO:0034660)	210	205	170.13	+	1.20	4.29E-03
tRNA modification (GO:0006400)	38	37	30.78	+	1.20	1.51E-01
cell wall organization (GO:0071555)	35	34	28.35	+	1.20	1.65E-01
external encapsulating structure organization (GO:0045229)	35	34	28.35	+	1.20	1.65E-01
fungal-type cell wall organization (GO:0031505)	31	30	25.11	+	1.19	1.88E-01
RNA modification (GO:0009451)	60	58	48.61	+	1.19	1.02E-01
tRNA metabolic process (GO:0006399)	90	87	72.91	+	1.19	5.71E-02
peptide biosynthetic process (GO:0043043)	169	163	136.91	+	1.19	1.47E-02
translational elongation (GO:0006414)	168	162	136.10	+	1.19	1.50E-02
translation (GO:0006412)	168	162	136.10	+	1.19	1.50E-02
RNA methylation (GO:0001510)	28	27	22.68	+	1.19	2.07E-01
protein localization to endoplasmic reticulum (GO:0070972)	28	27	22.68	+	1.19	2.07E-01
ribonucleoprotein complex subunit organization (GO:0071826)	83	80	67.24	+	1.19	6.87E-02
ribonucleoprotein complex assembly (GO:0022618)	81	78	65.62	+	1.19	7.24E-02
tRNA processing (GO:0008033)	52	50	42.13	+	1.19	1.28E-01
RNA phosphodiester bond hydrolysis (GO:0090501)	25	24	20.25	+	1.19	2.29E-01
fatty acid metabolic process (GO:0006631)	21	20	17.01	+	1.18	2.64E-01
amide biosynthetic process (GO:0043604)	188	179	152.30	+	1.18	1.69E-02
cellular component macromolecule biosynthetic process (GO:0070589)	20	19	16.20	+	1.17	2.74E-01
monocarboxylic acid biosynthetic process (GO:0072330)	20	19	16.20	+	1.17	2.74E-01
cell wall macromolecule biosynthetic process (GO:0044038)	20	19	16.20	+	1.17	2.74E-01
cell wall macromolecule metabolic process (GO:0044036)	20	19	16.20	+	1.17	2.74E-01
polysaccharide biosynthetic process (GO:0000271)	19	18	15.39	+	1.17	2.85E-01
nucleoside diphosphate metabolic process (GO:0009132)	19	18	15.39	+	1.17	2.85E-01
translational initiation (GO:0006413)	19	18	15.39	+	1.17	2.85E-01
cellular polysaccharide biosynthetic process (GO:0033692)	19	18	15.39	+	1.17	2.85E-01
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	19	18	15.39	+	1.17	2.85E-01
import into nucleus (GO:0051170)	37	35	29.97	+	1.17	2.01E-01
protein localization to nucleus (GO:0034504)	37	35	29.97	+	1.17	2.01E-01
protein import into nucleus (GO:0006606)	37	35	29.97	+	1.17	2.01E-01
protein targeting to ER (GO:0045047)	18	17	14.58	+	1.17	2.96E-01
gene silencing (GO:0016458)	18	17	14.58	+	1.17	2.96E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	18	17	14.58	+	1.17	2.96E-01
mannosylation (GO:0097502)	18	17	14.58	+	1.17	2.96E-01
regulation of gene expression, epigenetic (GO:0040029)	18	17	14.58	+	1.17	2.96E-01
carbohydrate biosynthetic process (GO:0016051)	35	33	28.35	+	1.16	2.14E-01
glucan biosynthetic process (GO:0009250)	17	16	13.77	+	1.16	3.08E-01
ribonucleoside diphosphate metabolic process (GO:0009185)	16	15	12.96	+	1.16	3.21E-01
purine ribonucleoside diphosphate metabolic process (GO:0009179)	16	15	12.96	+	1.16	3.21E-01
purine nucleoside diphosphate metabolic process (GO:0009135)	16	15	12.96	+	1.16	3.21E-01
nucleoside diphosphate phosphorylation (GO:0006165)	16	15	12.96	+	1.16	3.21E-01
ATP generation from ADP (GO:0006757)	16	15	12.96	+	1.16	3.21E-01
glycolytic process (GO:0006096)	16	15	12.96	+	1.16	3.21E-01
glucose metabolic process (GO:0006006)	16	15	12.96	+	1.16	3.21E-01
chromatin silencing (GO:0006342)	16	15	12.96	+	1.16	3.21E-01
ADP metabolic process (GO:0046031)	16	15	12.96	+	1.16	3.21E-01
nucleotide phosphorylation (GO:0046939)	16	15	12.96	+	1.16	3.21E-01
negative regulation of gene expression, epigenetic (GO:0045814)	16	15	12.96	+	1.16	3.21E-01
peptide metabolic process (GO:0006518)	183	171	148.25	+	1.15	3.33E-02
'de novo' protein folding (GO:0006458)	15	14	12.15	+	1.15	3.34E-01
aspartate family amino acid biosynthetic process (GO:0009067)	15	14	12.15	+	1.15	3.34E-01
chaperone-mediated protein folding (GO:0061077)	15	14	12.15	+	1.15	3.34E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	14	13	11.34	+	1.15	3.49E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	14	13	11.34	+	1.15	3.49E-01
sulfur compound metabolic process (GO:0006790)	56	52	45.37	+	1.15	1.79E-01
protein folding (GO:0006457)	55	51	44.56	+	1.14	1.84E-01
monocarboxylic acid metabolic process (GO:0032787)	66	61	53.47	+	1.14	1.66E-01
pigment metabolic process (GO:0042440)	13	12	10.53	+	1.14	3.65E-01
pigment biosynthetic process (GO:0046148)	13	12	10.53	+	1.14	3.65E-01
