NCU05782	CG7878
NCU00478	Pde1c
NCU00478	Pde8
NCU16442	CG31371
NCU00207	CG31371
NCU16442	CG34041
NCU00207	CG34041
NCU16442	CG31021
NCU00207	CG31021
NCU16442	CG4174
NCU00207	CG4174
NCU16442	CG32201
NCU00207	CG32201
NCU16442	CG18231
NCU00207	CG18231
NCU16442	CG18233
NCU00207	CG18233
NCU16442	CG32199
NCU00207	CG32199
NCU16442	CG34345
NCU00207	CG34345
NCU16442	CG18234
NCU00207	CG18234
NCU16442	CG11828
NCU00207	CG11828
NCU16442	CG18749
NCU00207	CG18749
NCU16442	CG15864
NCU00207	CG15864
NCU16442	PH4alphaNE3
NCU00207	PH4alphaNE3
NCU16442	CG31016
NCU00207	CG31016
NCU16442	PH4alphaPV
NCU00207	PH4alphaPV
NCU16442	CG31013
NCU00207	CG31013
NCU16442	CG15539
NCU00207	CG15539
NCU16442	CG31524
NCU00207	CG31524
NCU16442	PH4alphaNE2
NCU00207	PH4alphaNE2
NCU16442	CG9698
NCU00207	CG9698
NCU16442	PH4alphaSG2
NCU00207	PH4alphaSG2
NCU16442	PH4alphaSG1
NCU00207	PH4alphaSG1
NCU16442	PH4alphaMP
NCU00207	PH4alphaMP
NCU16442	PH4alphaNE1
NCU00207	PH4alphaNE1
NCU16442	PH4alphaEFB
NCU00207	PH4alphaEFB
NCU00108	aurA
NCU00108	aurB
NCU02885	S6KL
NCU06240	Pka-C3
NCU00682	Pka-C3
NCU06240	CG12069
NCU00682	CG12069
NCU06240	Pka-C2
NCU00682	Pka-C2
NCU06240	Pka-C1
NCU00682	Pka-C1
NCU00130	CG9701
NCU01200	ninaA
NCU01200	CG2852
NCU00726	Cyp1
NCU00726	CG7768
NCU00726	CG5071
NCU08052	bib
NCU08052	Drip
NCU08052	Prip
NCU02558	Mef2
NCU06382	CG7806
NCU07276	CG7806
NCU08358	CG7806
NCU09820	CG7806
NCU03591	CG7806
NCU09012	MRP
NCU02470	CG32313
NCU05618	CG32313
NCU04471	CG32313
NCU02470	CG31286
NCU05618	CG31286
NCU04471	CG31286
NCU05731	CG13473
NCU00598	CG13473
NCU06556	CG13473
NCU05731	TrxT
NCU00598	TrxT
NCU06556	TrxT
NCU05731	Trx-2
NCU00598	Trx-2
NCU06556	Trx-2
NCU05731	dhd
NCU00598	dhd
NCU06556	dhd
NCU01612	Dhx15
NCU06735	CG4901
NCU06735	CG3225
NCU08928	l(2)37Cb
NCU02728	l(1)G0007
NCU06318	pea
NCU04021	CG31213
NCU04021	CG42816
NCU04021	CG8908
NCU04021	CG1494
NCU04021	CG43672
NCU04021	CG1801
NCU04021	CG6052
NCU04021	ABCA
NCU04021	Eato
NCU01312	Myb
NCU09197	Pbp95
NCU04247	Arp1
NCU04173	Act5C
NCU04173	Act42A
NCU04173	Act79B
NCU04173	Act88F
NCU04173	Act87E
NCU04173	Act57B
NCU08297	2-Sep
NCU08297	5-Sep
NCU08297	4-Sep
NCU08297	1-Sep
NCU08297	pnut
NCU02736	SLIRP2
NCU07735	SLIRP2
NCU04164	tra2
NCU05653	CG9235
NCU05653	CG12309
NCU05653	CG15227
NCU05653	CG11284
NCU05653	CAH1
NCU05653	CG18672
NCU05653	CG3669
NCU05653	CG5379
NCU05653	CG10899
NCU05653	CG18673
NCU05653	caix
NCU05653	CG3940
NCU05653	CAH2
NCU03755	Fmo-1
NCU09456	Fmo-1
NCU07821	Fmo-1
NCU03755	Fmo-2
NCU09456	Fmo-2
NCU07821	Fmo-2
NCU07443	CG33298
NCU00352	CG42321
NCU02148	Lip2
NCU02148	Lip1
NCU02148	CG17097
NCU02148	CG31872
NCU02148	CG18284
NCU02148	CG18301
NCU02148	Lip4
NCU02148	CG18302
NCU02148	CG31871
NCU02148	CG7329
NCU02148	CG11406
NCU02148	CG3635
NCU02148	Lip3
NCU02148	CG8093
NCU02148	CG6753
NCU02148	CG31091
NCU02148	CG31089
NCU02148	CG2772
NCU02148	mag
NCU02148	CG11598
NCU02148	CG18530
NCU02148	CG11608
NCU02148	CG11600
NCU02319	Psa
NCU09228	Psa
NCU08439	CG10226
NCU09975	CG10226
NCU06011	CG10226
NCU07546	CG10226
NCU16398	CG10226
NCU09443	CG10226
NCU08439	Mdr65
NCU09975	Mdr65
NCU06011	Mdr65
NCU07546	Mdr65
NCU16398	Mdr65
NCU09443	Mdr65
NCU08439	Mdr49
NCU09975	Mdr49
NCU06011	Mdr49
NCU07546	Mdr49
NCU16398	Mdr49
NCU09443	Mdr49
NCU08439	Mdr50
NCU09975	Mdr50
NCU06011	Mdr50
NCU07546	Mdr50
NCU16398	Mdr50
NCU09443	Mdr50
NCU04433	Prestin
NCU03235	Prestin
NCU04433	CG5002
NCU03235	CG5002
NCU04433	CG7912
NCU03235	CG7912
NCU04433	Esp
NCU03235	Esp
NCU04433	CG9717
NCU03235	CG9717
NCU04433	CG9702
NCU03235	CG9702
NCU04433	CG6928
NCU03235	CG6928
NCU04433	CG5404
NCU03235	CG5404
NCU04433	CG6125
NCU03235	CG6125
NCU04054	betaTub60D
NCU04054	betaTub97EF
NCU04054	betaTub56D
NCU04054	betaTub85D
NCU07536	CG43235
NCU01464	CG43235
NCU07536	CG8564
NCU01464	CG8564
NCU07536	CG8560
NCU01464	CG8560
NCU07536	CG18417
NCU01464	CG18417
NCU07536	CG8562
NCU01464	CG8562
NCU07536	CG32379
NCU01464	CG32379
NCU07536	CG8539
NCU01464	CG8539
NCU07536	CG8563
NCU01464	CG8563
NCU07536	CG3097
NCU01464	CG3097
NCU07536	CG3108
NCU01464	CG3108
NCU07536	CG42264
NCU01464	CG42264
NCU07536	CG8945
NCU01464	CG8945
NCU07536	CG14820
NCU01464	CG14820
NCU07536	CG12374
NCU01464	CG12374
NCU07536	CG18585
NCU01464	CG18585
NCU07536	CG7025
NCU01464	CG7025
NCU07536	CG4408
NCU01464	CG4408
NCU07536	CG2915
NCU01464	CG2915
NCU07536	CG4017
NCU01464	CG4017
NCU07536	CG17633
NCU01464	CG17633
NCU06493	Galphao
NCU06493	Galphai
NCU06729	cta
NCU05206	cta
NCU06729	CG17760
NCU05206	CG17760
NCU06729	CG30054
NCU05206	CG30054
NCU06729	Galphaq
NCU05206	Galphaq
NCU03026	Cht7
NCU04554	Cht7
NCU04883	Cht7
NCU03209	Cht7
NCU03026	Cht10
NCU04554	Cht10
NCU04883	Cht10
NCU03209	Cht10
NCU03026	Cht5
NCU04554	Cht5
NCU04883	Cht5
NCU03209	Cht5
NCU03026	Cht2
NCU04554	Cht2
NCU04883	Cht2
NCU03209	Cht2
NCU03026	Cht9
NCU04554	Cht9
NCU04883	Cht9
NCU03209	Cht9
NCU03026	Cht4
NCU04554	Cht4
NCU04883	Cht4
NCU03209	Cht4
NCU03026	Cht12
NCU04554	Cht12
NCU04883	Cht12
NCU03209	Cht12
NCU03026	Cht8
NCU04554	Cht8
NCU04883	Cht8
NCU03209	Cht8
NCU03026	Cht11
NCU04554	Cht11
NCU04883	Cht11
NCU03209	Cht11
NCU03026	Cht6
NCU04554	Cht6
NCU04883	Cht6
NCU03209	Cht6
NCU04005	gish
NCU00685	CG2577
NCU00685	CG7094
NCU00685	CkIalpha
NCU00587	Dsor1
NCU00587	lic
NCU00587	Mkk4
NCU02689	CG31624
NCU02689	CG31988
NCU02689	CG34325
NCU02689	CG30178
NCU09812	stck
NCU06668	Zasp67
NCU00018	TER94
NCU01809	smid
NCU08373	Pex6
NCU08118	Pex1
NCU00043	Pp1alpha-96A
NCU00043	Pp1-13C
NCU00043	Pp1-87B
NCU00043	flw
NCU07489	PpY-55A
NCU07489	PpD5
NCU01047	Ocrl
NCU01047	CG6805
NCU01047	CG9784
NCU03792	Synj
NCU03298	Synj
NCU10907	CG5863
NCU10907	CG17283
NCU10907	CG6508
NCU10907	CG17134
NCU10907	CG31926
NCU10907	CG31928
NCU10907	Pgcl
NCU10907	Bace
NCU10907	CG33128
NCU10907	CG5860
NCU08512	Hsf
NCU03947	Smurf
NCU03947	Su(dx)
NCU03947	CG42797
NCU03947	Nedd4
NCU08501	CG8184
NCU02114	CycB3
NCU01242	CycB
NCU02758	CycB
NCU01242	CycA
NCU02758	CycA
NCU04421	AnxB11
NCU02139	AnxB11
NCU04421	AnxB9
NCU02139	AnxB9
NCU04421	AnxB10
NCU02139	AnxB10
NCU11415	Plc21C
NCU02175	Plc21C
NCU06245	Plc21C
NCU01266	Plc21C
NCU11415	norpA
NCU02175	norpA
NCU06245	norpA
NCU01266	norpA
NCU06630	mts
NCU03436	PpV
NCU08301	Pp4-19C
NCU06694	Elo68alpha
NCU06694	Elo68beta
NCU06694	CG30008
NCU06694	CG16904
NCU06694	CG31141
NCU06694	CG9458
NCU06694	CG9459
NCU06694	eloF
NCU06694	CG8534
NCU06694	CG18609
NCU06694	CG17821
NCU06694	CG6660
NCU06694	bond
NCU06694	sit
NCU06694	CG5326
NCU06694	CG33110
NCU06694	CG2781
NCU06694	CG31523
NCU06694	CG31522
NCU09132	alphaTub67C
NCU09468	alphaTub67C
NCU03929	Acsl
NCU04380	Acsl
NCU01654	CG3961
NCU03241	Fkbp39
NCU04140	Fkbp14
NCU02455	Fkbp14
NCU04140	CG14715
NCU02455	CG14715
NCU04371	Fkbp12
NCU00121	ClC-c
NCU06444	ClC-c
NCU06624	ClC-a
NCU09842	Erk7
NCU02393	rl
NCU01249	Pen
NCU01249	alphaKap4
NCU01249	Kap-alpha3
NCU01249	Kap-alpha1
NCU07053	Aldh
NCU00378	Aldh
NCU03415	Aldh
NCU07053	CG31075
NCU00378	CG31075
NCU03415	CG31075
NCU08991	SkpE
NCU08991	SkpC
NCU08991	SkpD
NCU08991	SkpF
NCU08991	SkpB
NCU08991	SkpA
NCU00171	Eip63F-1
NCU00171	CG30378
NCU00171	CG13898
NCU00171	Acam
NCU04120	Cam
NCU02122	CG8177
NCU01480	CG8177
NCU02122	Ndae1
NCU01480	Ndae1
NCU03295	CG6178
NCU00677	CG6178
NCU05851	CG6178
NCU10546	CG6178
NCU02485	CG6178
NCU03295	pdgy
NCU00677	pdgy
NCU05851	pdgy
NCU10546	pdgy
NCU02485	pdgy
NCU06063	CG12512
NCU00608	CG12512
NCU02107	CG18155
NCU04117	CG3156
NCU04426	CG6800
NCU07580	Cdk5
NCU04379	CG44422
NCU04379	CG5890
NCU04379	Nca
NCU02115	Frq1
NCU02115	Frq2
NCU02115	CG7646
NCU08477	Rab1
NCU06404	Rab8
NCU06404	Rab10
NCU05259	CG15531
NCU05259	CG9743
NCU05259	CG9747
NCU05259	CG8630
NCU05259	Desat2
NCU05259	Desat1
NCU05259	Fad2
NCU08423	tbrd-3
NCU08809	tbrd-1
NCU08809	tbrd-2
NCU08809	fs(1)h
NCU04244	Syx1A
NCU02460	Syx1A
NCU04244	Syx4
NCU02460	Syx4
NCU08989	Arl1
NCU08340	Arf79F
NCU08340	Arf102F
NCU01965	ValRS-m
NCU01965	ValRS
NCU00097	hth
NCU00097	mirr
NCU00097	Six4
NCU06454	Cdc42
NCU02160	Mtl
NCU02160	Rac2
NCU02160	Rac1
NCU02542	Hex-t1
NCU04728	Hex-t1
NCU06996	Hex-t1
NCU00575	Hex-t1
NCU02542	Hex-t2
NCU04728	Hex-t2
NCU06996	Hex-t2
NCU00575	Hex-t2
NCU02542	Hex-A
NCU04728	Hex-A
NCU06996	Hex-A
NCU00575	Hex-A
NCU02542	Hex-C
NCU04728	Hex-C
NCU06996	Hex-C
NCU00575	Hex-C
NCU08012	Exo70
NCU00453	Nhe1
NCU00453	Nhe3
NCU10732	CG1907
NCU10732	CG18418
NCU10732	CG7514
NCU01514	CG16736
NCU01514	Dic2
NCU01514	Dic4
NCU01514	Dic3
NCU01514	Dic1
NCU06111	Ras64B
NCU03616	Ras64B
NCU06111	Ras85D
NCU03616	Ras85D
NCU02167	Rap1
NCU02167	Rap2l
NCU08733	CG32732
NCU02158	CG33230
NCU03650	CG10445
NCU04445	CG10445
NCU04786	CG10445
NCU00631	CG10445
NCU03650	lds
NCU04445	lds
NCU04786	lds
NCU00631	lds
NCU05204	Cul2
NCU05204	Cul1
NCU00272	Cul4
NCU02498	Cul3
NCU01523	Rab11
NCU07697	CG32026
NCU02954	CG32026
NCU07697	l(1)G0156
NCU02954	l(1)G0156
NCU00775	CG5028
NCU00775	CG7755
NCU00775	Idh3b
NCU02962	Smyd3
NCU07459	CG32152
NCU07459	Art2
NCU07459	Art6
NCU07459	Art9
NCU07459	Art1
NCU01669	Art8
NCU01669	Art4
NCU01525	HDAC6
NCU07728	GATAd
NCU09068	GATAd
NCU15829	GATAd
NCU07728	srp
NCU09068	srp
NCU15829	srp
NCU07728	GATAe
NCU09068	GATAe
NCU15829	GATAe
NCU07728	grn
NCU09068	grn
NCU15829	grn
NCU07728	pnr
NCU09068	pnr
NCU15829	pnr
NCU03732	CG7130
NCU03732	CG2887
NCU03732	DnaJ-1
NCU03732	CG5001
NCU00477	CG4572
NCU05980	CG4572
NCU00275	CG8141
NCU00275	CG34308
NCU05154	PMCA
NCU04736	PMCA
NCU06518	CG7914
NCU03112	CG7914
NCU08060	CG5946
NCU01151	CalpB
NCU00251	CalpB
NCU03355	CalpB
NCU01151	CalpA
NCU00251	CalpA
NCU03355	CalpA
NCU01151	CalpC
NCU00251	CalpC
NCU03355	CalpC
NCU08216	Cbs
NCU04051	CG9330
NCU08920	CG1703
NCU08920	CG9281
NCU05364	CG42327
NCU03651	Men
NCU02906	Men
NCU03651	Men-b
NCU02906	Men-b
NCU03651	Menl-2
NCU02906	Menl-2
NCU03651	Menl-1
NCU02906	Menl-1
NCU03783	CG43693
NCU05775	CG43693
NCU03783	CG8785
NCU05775	CG8785
NCU03783	path
NCU05775	path
NCU03783	CG32081
NCU05775	CG32081
NCU03783	polyph
NCU05775	polyph
NCU03783	CG32079
NCU05775	CG32079
NCU03783	CG1139
NCU05775	CG1139
NCU03783	CG7888
NCU05775	CG7888
NCU03783	CG13384
NCU05775	CG13384
NCU03783	CG4991
NCU05775	CG4991
NCU03783	CG16700
NCU05775	CG16700
NCU02463	CG30379
NCU02463	CG33673
NCU02463	Lfg
NCU02463	Nmda1
NCU02463	CG9722
NCU02463	CG34430
NCU03071	Mekk1
NCU07437	eIF1A
NCU02289	eff
NCU03481	Sox100B
NCU03481	Sox14
NCU03481	Sox21b
NCU03481	D
NCU03481	Sox21a
NCU03481	SoxN
NCU07069	SF2
NCU00579	CG3860
NCU01772	RpIII128
NCU05120	RpII140
NCU08616	RpI135
NCU04130	CG17636
NCU01753	CG17636
NCU04130	Ggt-1
NCU01753	Ggt-1
NCU04130	CG4829
NCU01753	CG4829
NCU04130	CG1492
NCU01753	CG1492
NCU04142	Gp93
NCU04142	Trap1
