NCU05782	Ddx43
NCU09419	Cyp4a10
NCU08062	Cyp4a31
NCU02031	Cyp4a31
NCU09636	Cyp4a31
NCU09419	Cyp4a31
NCU08062	Cyp4a12a
NCU02031	Cyp4a12a
NCU09636	Cyp4a12a
NCU09419	Cyp4a12a
NCU08062	Cyp4a12b
NCU02031	Cyp4a12b
NCU09636	Cyp4a12b
NCU09419	Cyp4a12b
NCU08062	Cyp4a29
NCU02031	Cyp4a29
NCU09636	Cyp4a29
NCU09419	Cyp4a29
NCU08062	Cyp4b1
NCU02031	Cyp4b1
NCU09636	Cyp4b1
NCU09419	Cyp4b1
NCU01634	Hist1h4n
NCU00212	Hist1h4n
NCU04338	Hist1h4n
NCU01634	Hist1h4k
NCU00212	Hist1h4k
NCU04338	Hist1h4k
NCU01634	Hist2h4
NCU00212	Hist2h4
NCU04338	Hist2h4
NCU01634	Hist1h4f
NCU00212	Hist1h4f
NCU04338	Hist1h4f
NCU01634	Hist1h4i
NCU00212	Hist1h4i
NCU04338	Hist1h4i
NCU01634	Hist1h4b
NCU00212	Hist1h4b
NCU04338	Hist1h4b
NCU01634	Hist1h4c
NCU00212	Hist1h4c
NCU04338	Hist1h4c
NCU01634	Hist1h4h
NCU00212	Hist1h4h
NCU04338	Hist1h4h
NCU01634	Hist4h4
NCU00212	Hist4h4
NCU04338	Hist4h4
NCU01634	Hist1h4d
NCU00212	Hist1h4d
NCU04338	Hist1h4d
NCU01634	Hist1h4a
NCU00212	Hist1h4a
NCU04338	Hist1h4a
NCU01634	Hist1h4j
NCU00212	Hist1h4j
NCU04338	Hist1h4j
NCU01634	Hist1h4m
NCU00212	Hist1h4m
NCU04338	Hist1h4m
NCU07964	H2-Ke6
NCU02018	Hsd17b14
NCU00606	Hsd17b14
NCU02920	Bdh2
NCU16454	Bdh2
NCU02480	Bdh2
NCU09977	Ugt3a1
NCU09977	Ugt3a2
NCU09977	Gm43638
NCU09977	Ugt2a2
NCU09977	Ugt2a1
NCU09977	Ugt2a3
NCU09977	Ugt2b1
NCU09977	Ugt2b34
NCU09977	Ugt2b37
NCU09977	Ugt2b38
NCU09977	Ugt2b5
NCU09977	Ugt2b36
NCU09977	Ugt2b35
NCU09977	Ugt1a7c
NCU09977	Ugt1a8
NCU09977	Ugt1a9
NCU09977	Ugt1a10
NCU09977	Ugt1a6a
NCU09977	Ugt1a6b
NCU09977	Ugt1a2
NCU09977	Ugt1a5
NCU09977	Ugt1a1
NCU09977	Ugt8a
NCU09106	Smarcad1
NCU06306	Hells
NCU10337	Chd3
NCU10337	Chd5
NCU10337	Chd4
NCU03060	Chd2
NCU03060	Chd1
NCU03875	Smarca5
NCU03875	Smarca1
NCU06488	Smarca2
NCU06488	Smarca4
NCU03200	Rps6ka3
NCU07280	Rps6ka3
NCU03200	Rps6ka6
NCU07280	Rps6ka6
NCU03200	Rps6ka6
NCU07280	Rps6ka6
NCU03200	Rps6ka2
NCU07280	Rps6ka2
NCU03200	Rps6ka1
NCU07280	Rps6ka1
NCU03200	Rps6ka5
NCU07280	Rps6ka5
NCU03200	Rps6kb2
NCU07280	Rps6kb2
NCU03200	Rps6kb2
NCU07280	Rps6kb2
NCU03200	Rps6kb1
NCU07280	Rps6kb1
NCU03200	Akt1
NCU07280	Akt1
NCU03200	Akt2
NCU07280	Akt2
NCU03200	Akt3
NCU07280	Akt3
NCU03200	Sgk1
NCU07280	Sgk1
NCU03200	Sgk2
NCU07280	Sgk2
NCU08693	Hspa9
NCU03982	Hspa5
NCU09602	Hspa8
NCU09602	Hspa2
NCU09602	Hspa1a
NCU09602	Hspa1b
NCU09602	Hspa1l
NCU00290	Abcg8
NCU00290	Abcg5
NCU02544	Abcg3
NCU02544	Abcg2
NCU01440	Myo5c
NCU01440	Myo5a
NCU01440	Myo5b
NCU00551	Myh10
NCU00551	Myh9
NCU00551	Myh11
NCU00551	Myh14
NCU00551	Myh15
NCU00551	Myh7b
NCU00551	Myh6
NCU00551	Myh7
NCU00551	Myh3
NCU00551	Myh13
NCU00551	Myh8
NCU00551	Myh2
NCU00551	Myh1
NCU00551	Myh4
NCU01107	CAAA01118383.1
NCU08699	CAAA01118383.1
NCU09278	CAAA01118383.1
NCU09579	CAAA01118383.1
NCU03978	Cel
NCU08752	Cel
NCU02679	Cel
NCU00761	Cel
NCU03978	Ache
NCU08752	Ache
NCU02679	Ache
NCU00761	Ache
NCU03978	Bche
NCU08752	Bche
NCU02679	Bche
NCU00761	Bche
NCU03978	Ces4a
NCU08752	Ces4a
NCU02679	Ces4a
NCU00761	Ces4a
NCU03978	Ces3b
NCU08752	Ces3b
NCU02679	Ces3b
NCU00761	Ces3b
NCU03978	Ces3a
NCU08752	Ces3a
NCU02679	Ces3a
NCU00761	Ces3a
NCU03978	Ces5a
NCU08752	Ces5a
NCU02679	Ces5a
NCU00761	Ces5a
NCU03978	Ces2f
NCU08752	Ces2f
NCU02679	Ces2f
NCU00761	Ces2f
NCU03978	Ces2b
NCU08752	Ces2b
NCU02679	Ces2b
NCU00761	Ces2b
NCU03978	Ces2c
NCU08752	Ces2c
NCU02679	Ces2c
NCU00761	Ces2c
NCU03978	Ces2g
NCU08752	Ces2g
NCU02679	Ces2g
NCU00761	Ces2g
NCU03978	Ces2e
NCU08752	Ces2e
NCU02679	Ces2e
NCU00761	Ces2e
NCU03978	Ces2a
NCU08752	Ces2a
NCU02679	Ces2a
NCU00761	Ces2a
NCU03978	Ces2h
NCU08752	Ces2h
NCU02679	Ces2h
NCU00761	Ces2h
NCU03978	Ces1c
NCU08752	Ces1c
NCU02679	Ces1c
NCU00761	Ces1c
NCU03978	Ces1b
NCU08752	Ces1b
NCU02679	Ces1b
NCU00761	Ces1b
NCU03978	Ces1f
NCU08752	Ces1f
NCU02679	Ces1f
NCU00761	Ces1f
NCU03978	Ces1h
NCU08752	Ces1h
NCU02679	Ces1h
NCU00761	Ces1h
NCU03978	Ces1e
NCU08752	Ces1e
NCU02679	Ces1e
NCU00761	Ces1e
NCU03978	Ces1d
NCU08752	Ces1d
NCU02679	Ces1d
NCU00761	Ces1d
NCU03978	Ces1a
NCU08752	Ces1a
NCU02679	Ces1a
NCU00761	Ces1a
NCU03978	Ces1g
NCU08752	Ces1g
NCU02679	Ces1g
NCU00761	Ces1g
NCU06976	Dync1h1
NCU01703	LT629149.2
NCU01906	Akr1b3
NCU04510	Akr1b3
NCU09519	Akr1b3
NCU01233	Akr1b3
NCU01759	Akr1b3
NCU04923	Akr1b3
NCU01906	Akr1b7
NCU04510	Akr1b7
NCU09519	Akr1b7
NCU01233	Akr1b7
NCU01759	Akr1b7
NCU04923	Akr1b7
NCU01906	Akr1b10
NCU04510	Akr1b10
NCU09519	Akr1b10
NCU01233	Akr1b10
NCU01759	Akr1b10
NCU04923	Akr1b10
NCU01906	Akr1b8
NCU04510	Akr1b8
NCU09519	Akr1b8
NCU01233	Akr1b8
NCU01759	Akr1b8
NCU04923	Akr1b8
NCU01906	Akr1e1
NCU04510	Akr1e1
NCU09519	Akr1e1
NCU01233	Akr1e1
NCU01759	Akr1e1
NCU04923	Akr1e1
NCU01906	Akr1d1
NCU04510	Akr1d1
NCU09519	Akr1d1
NCU01233	Akr1d1
NCU01759	Akr1d1
NCU04923	Akr1d1
NCU01906	Akr1c20
NCU04510	Akr1c20
NCU09519	Akr1c20
NCU01233	Akr1c20
NCU01759	Akr1c20
NCU04923	Akr1c20
NCU01906	Akr1c6
NCU04510	Akr1c6
NCU09519	Akr1c6
NCU01233	Akr1c6
NCU01759	Akr1c6
NCU04923	Akr1c6
NCU01906	Akr1c21
NCU04510	Akr1c21
NCU09519	Akr1c21
NCU01233	Akr1c21
NCU01759	Akr1c21
NCU04923	Akr1c21
NCU01906	Akr1c14
NCU04510	Akr1c14
NCU09519	Akr1c14
NCU01233	Akr1c14
NCU01759	Akr1c14
NCU04923	Akr1c14
NCU01906	Akr1cl
NCU04510	Akr1cl
NCU09519	Akr1cl
NCU01233	Akr1cl
NCU01759	Akr1cl
NCU04923	Akr1cl
NCU01906	Akr1c18
NCU04510	Akr1c18
NCU09519	Akr1c18
NCU01233	Akr1c18
NCU01759	Akr1c18
NCU04923	Akr1c18
NCU01906	Akr1c13
NCU04510	Akr1c13
NCU09519	Akr1c13
NCU01233	Akr1c13
NCU01759	Akr1c13
NCU04923	Akr1c13
NCU01906	Akr1c12
NCU04510	Akr1c12
NCU09519	Akr1c12
NCU01233	Akr1c12
NCU01759	Akr1c12
NCU04923	Akr1c12
NCU01906	Akr1c19
NCU04510	Akr1c19
NCU09519	Akr1c19
NCU01233	Akr1c19
NCU01759	Akr1c19
NCU04923	Akr1c19
NCU01906	Akr1a1
NCU04510	Akr1a1
NCU09519	Akr1a1
NCU01233	Akr1a1
NCU01759	Akr1a1
NCU04923	Akr1a1
NCU00478	Pde9a
NCU00478	Pde7b
NCU00478	Pde7a
NCU00478	Pde4a
NCU00478	Pde4d
NCU00478	Pde4b
NCU00478	Pde4c
NCU00478	Pde4c
NCU00478	Pde1c
NCU00478	Pde1a
NCU00478	Pde1b
NCU00478	Pde8a
NCU00478	Pde8b
NCU16442	P4ha1
NCU00207	P4ha1
NCU16442	P4ha2
NCU00207	P4ha2
NCU16442	P4ha3
NCU00207	P4ha3
NCU00108	Aurkc
NCU00108	Aurkb
NCU00108	Aurka
NCU06240	Prkx
NCU00682	Prkx
NCU06240	Prkacb
NCU00682	Prkacb
NCU06240	Prkaca
NCU00682	Prkaca
NCU00130	Lct
NCU00130	Klb
NCU00130	Kl
NCU00130	Lctl
NCU01200	Ppib
NCU01200	Ppic
NCU03853	Ppid
NCU00726	Ppia
NCU00726	Ppif
NCU08052	Aqp1
NCU08052	Aqp4
NCU08052	Aqp2
NCU08052	Aqp5
NCU08052	Aqp6
NCU08052	Mip
NCU02558	Mef2b
NCU02558	Mef2c
NCU02558	Mef2a
NCU02558	Mef2d
NCU06382	Abcc10
NCU07276	Abcc10
NCU08358	Abcc10
NCU09820	Abcc10
NCU03591	Abcc10
NCU09012	Abcc2
NCU09012	Abcc6
NCU09012	Abcc1
NCU09012	Abcc3
NCU04161	Abcc12
NCU04161	Abcc5
NCU05731	Txndc2
NCU00598	Txndc2
NCU06556	Txndc2
NCU05731	Txn1
NCU00598	Txn1
NCU06556	Txn1
NCU01612	Dhx15
NCU06735	Dhx33
NCU06735	Dhx35
NCU08928	Dhx16
NCU02728	Dhx38
NCU06318	Dhx8
NCU04021	Abca16
NCU04021	Abca15
NCU04021	Abca14
NCU04021	Abca17
NCU04021	Abca3
NCU04021	Abca9
NCU04021	Abca8a
NCU04021	Abca8b
NCU04021	Abca6
NCU04672	Slc47a1
NCU00755	Slc47a1
NCU07720	Slc47a1
NCU04672	Slc47a2
NCU00755	Slc47a2
NCU07720	Slc47a2
NCU01312	Myb
NCU01312	Mybl1
NCU01312	Mybl2
NCU09197	Snapc4
NCU04247	Actr1a
NCU04247	Actr1b
NCU04247	Actrt2
NCU04247	Actrt3
NCU04173	Actg2
NCU04173	Acta2
NCU04173	Acta1
NCU04173	Actc1
NCU04173	Actbl2
NCU04173	Actb
NCU04173	Actg1
NCU03515	9-Sep
NCU03515	12-Sep
NCU03515	3-Sep
NCU08297	6-Sep
NCU08297	11-Sep
NCU08297	8-Sep
NCU08297	10-Sep
NCU08297	14-Sep
NCU08297	1-Sep
NCU08297	4-Sep
NCU08297	5-Sep
NCU08297	Gm49601
NCU08297	2-Sep
NCU08297	2-Sep
NCU08297	7-Sep
NCU02736	Cirbp
NCU07735	Cirbp
NCU02736	Rbm3
NCU07735	Rbm3
NCU04164	Tra2a
NCU04164	Tra2b
NCU05653	Car8
NCU05653	Car7
NCU05653	Car5a
NCU05653	Car5b
NCU05653	Car3
NCU05653	Car1
NCU05653	Car13
NCU05653	Car2
NCU05653	Car6
NCU05653	Car9
NCU05653	Car15
NCU05653	Car4
NCU07332	Fmo4
NCU10387	Fmo4
NCU03755	Fmo4
NCU09456	Fmo4
NCU07821	Fmo4
NCU07332	Fmo1
NCU10387	Fmo1
NCU03755	Fmo1
NCU09456	Fmo1
NCU07821	Fmo1
NCU07332	Fmo6
NCU10387	Fmo6
NCU03755	Fmo6
NCU09456	Fmo6
NCU07821	Fmo6
NCU07332	Fmo3
NCU10387	Fmo3
NCU03755	Fmo3
NCU09456	Fmo3
NCU07821	Fmo3
NCU07332	Fmo2
NCU10387	Fmo2
NCU03755	Fmo2
NCU09456	Fmo2
NCU07821	Fmo2
NCU07332	Gm4846
NCU10387	Gm4846
NCU03755	Gm4846
NCU09456	Gm4846
NCU07821	Gm4846
NCU07332	Gm4847
NCU10387	Gm4847
NCU03755	Gm4847
NCU09456	Gm4847
NCU07821	Gm4847
NCU07332	Fmo9
NCU10387	Fmo9
NCU03755	Fmo9
NCU09456	Fmo9
NCU07821	Fmo9
NCU07332	Fmo5
NCU10387	Fmo5
NCU03755	Fmo5
NCU09456	Fmo5
NCU07821	Fmo5
NCU07443	Atp10b
NCU07443	Atp10d
NCU07443	Atp10a
NCU00352	Atp8a1
NCU00352	Atp8a2
NCU02148	Lipn
NCU02148	Lipm
NCU02148	Lipa
NCU02148	Lipf
NCU02148	Lipk
NCU02148	Lipo3
NCU02148	Lipo2
NCU02148	Lipo4
NCU02148	Gm8978
NCU02148	Lipo1
NCU02319	Npepps
NCU09228	Npepps
NCU08439	Abcb4
NCU09975	Abcb4
NCU06011	Abcb4
NCU07546	Abcb4
NCU16398	Abcb4
NCU09443	Abcb4
NCU08439	Abcb1a
NCU09975	Abcb1a
NCU06011	Abcb1a
NCU07546	Abcb1a
NCU16398	Abcb1a
NCU09443	Abcb1a
NCU08439	Abcb1b
NCU09975	Abcb1b
NCU06011	Abcb1b
NCU07546	Abcb1b
NCU16398	Abcb1b
NCU09443	Abcb1b
NCU08439	Abcb5
NCU09975	Abcb5
NCU06011	Abcb5
NCU07546	Abcb5
NCU16398	Abcb5
NCU09443	Abcb5
NCU08439	Abcb11
NCU09975	Abcb11
NCU06011	Abcb11
NCU07546	Abcb11
NCU16398	Abcb11
NCU09443	Abcb11
NCU04433	Slc26a10
NCU03235	Slc26a10
NCU04433	Slc26a6
NCU03235	Slc26a6
NCU04433	Slc26a6
NCU03235	Slc26a6
NCU04433	Slc26a5
NCU03235	Slc26a5
NCU04433	Slc26a2
NCU03235	Slc26a2
NCU04433	Slc26a1
NCU03235	Slc26a1
NCU04433	Slc26a11
NCU03235	Slc26a11
NCU03593	Rhox12
NCU09556	Sebox
NCU04054	Tubb6
NCU04054	Tubb3
NCU04054	Tubb1
NCU04054	Tubb4b
NCU04054	Tubb4a
NCU04054	Tubb5
NCU04054	Tubb2b
NCU04054	Tubb2a
NCU07536	Cpa4
NCU01464	Cpa4
NCU07536	Cpa2
NCU01464	Cpa2
NCU07536	Cpa1
NCU01464	Cpa1
NCU07536	Cpa5
NCU01464	Cpa5
NCU07536	Cpa6
NCU01464	Cpa6
NCU07536	Cpb2
NCU01464	Cpb2
NCU07536	Cpa3
NCU01464	Cpa3
NCU07536	Cpb1
NCU01464	Cpb1
NCU06493	Gnao1
NCU06493	Gnat3
NCU06493	Gnat2
NCU06493	Gnat1
NCU06493	Gnaz
NCU06493	Gnai2
NCU06493	Gnai3
NCU06493	Gnai1
NCU06729	Gna12
NCU05206	Gna12
NCU06729	Gna13
NCU05206	Gna13
NCU06729	Gna15
NCU05206	Gna15
NCU06729	Gna11
NCU05206	Gna11
NCU06729	Gnaq
NCU05206	Gnaq
NCU06729	Gna14
NCU05206	Gna14
NCU03026	Chit1
NCU04554	Chit1
NCU04883	Chit1
NCU03209	Chit1
NCU03026	Ovgp1
NCU04554	Ovgp1
NCU04883	Ovgp1
NCU03209	Ovgp1
NCU03026	Chil6
NCU04554	Chil6
NCU04883	Chil6
NCU03209	Chil6
NCU03026	Chil5
NCU04554	Chil5
NCU04883	Chil5
NCU03209	Chil5
NCU03026	Chil4
NCU04554	Chil4
NCU04883	Chil4
NCU03209	Chil4
NCU03026	Chil3
NCU04554	Chil3
NCU04883	Chil3
NCU03209	Chil3
NCU03026	Chia1
NCU04554	Chia1
NCU04883	Chia1
NCU03209	Chia1
NCU03026	Chil1
NCU04554	Chil1
NCU04883	Chil1
NCU03209	Chil1
NCU04005	Csnk1g2
NCU04005	Csnk1g3
NCU04005	Csnk1g1
NCU00685	Csnk1a1
NCU00587	Map2k1
NCU00587	Map2k2
NCU00587	Map2k3
NCU00587	Map2k6
NCU00587	Map2k4
NCU04612	Map2k5
NCU02689	Tgfb1i1
NCU09812	Lims1
NCU09812	Lims2
NCU06668	Fhl3
NCU06668	Fhl2
NCU06668	Fhl5
NCU00018	Vcp
NCU01809	Nvl
NCU08373	Pex6
NCU08118	Pex1
NCU01154	Zglp1
NCU00043	Ppp1ca
NCU00043	Ppp1ca
NCU00043	Ppp1cc
NCU00043	Ppp1cb
NCU01047	Inpp5b
NCU01047	Ocrl
NCU01047	Inpp5j
NCU01047	Inpp5k
NCU03792	Synj2
NCU03298	Synj2
NCU03792	Synj1
NCU03298	Synj1
NCU02273	Pgc
NCU02273	Ctse
NCU02273	Cym
NCU02273	Pga5
NCU08512	Hsf3
NCU08512	Hsf2
NCU08512	Hsf4
NCU08512	Hsf1
NCU03947	Smurf1
NCU03947	Smurf2
NCU03947	Wwp2
NCU03947	Wwp1
NCU03947	Itch
NCU03947	Hecw2
NCU03947	Hecw1
NCU03947	Nedd4l
NCU03947	Nedd4
NCU08501	Huwe1
NCU02114	Ccnb3
NCU02114	Ccnb3
NCU01242	Ccnb1
NCU02758	Ccnb1
NCU01242	Ccnb2
NCU02758	Ccnb2
NCU01242	Ccna2
NCU02758	Ccna2
NCU01242	Ccna1
NCU02758	Ccna1
NCU04421	Anxa5
NCU02139	Anxa5
NCU04421	Anxa6
NCU02139	Anxa6
NCU04421	Anxa8
NCU02139	Anxa8
NCU04421	Anxa4
NCU02139	Anxa4
NCU04421	Anxa11
NCU02139	Anxa11
NCU04421	Anxa10
NCU02139	Anxa10
NCU04421	Anxa3
NCU02139	Anxa3
NCU04421	Anxa2
NCU02139	Anxa2
NCU04421	Anxa1
NCU02139	Anxa1
NCU04421	Anxa7
NCU02139	Anxa7
NCU11415	Plcb2
NCU02175	Plcb2
NCU06245	Plcb2
NCU01266	Plcb2
NCU11415	Plcb1
NCU02175	Plcb1
NCU06245	Plcb1
NCU01266	Plcb1
NCU11415	Plcb3
NCU02175	Plcb3
NCU06245	Plcb3
NCU01266	Plcb3
NCU11415	Plcb4
NCU02175	Plcb4
NCU06245	Plcb4
NCU01266	Plcb4
NCU11415	Plcd1
NCU02175	Plcd1
NCU06245	Plcd1
NCU01266	Plcd1
NCU11415	Plcd3
NCU02175	Plcd3
NCU06245	Plcd3
NCU01266	Plcd3
NCU11415	Plcd4
NCU02175	Plcd4
NCU06245	Plcd4
NCU01266	Plcd4
NCU11415	Plcz1
NCU02175	Plcz1
NCU06245	Plcz1
NCU01266	Plcz1
NCU11415	Plcl1
NCU02175	Plcl1
NCU06245	Plcl1
NCU01266	Plcl1
NCU06630	Ppp2cb
NCU06630	Ppp2ca
NCU03436	Ppp6c
NCU08301	Ppp4c
NCU06694	Elovl5
NCU06694	Elovl2
NCU06694	Elovl4
NCU06694	Elovl7
NCU06694	Elovl1
NCU09132	Tuba8
NCU09468	Tuba8
NCU09132	Tubal3
NCU09468	Tubal3
NCU03929	Acsl3
NCU04380	Acsl3
NCU03929	Acsl4
NCU04380	Acsl4
NCU01654	Acsl5
NCU01654	Acsl6
NCU01654	Acsl1
NCU04140	Fkbp14
NCU02455	Fkbp14
NCU04140	Fkbp11
NCU02455	Fkbp11
NCU04371	Fkbp1b
NCU04371	Fkbp1a
NCU00121	Clcn5
NCU06444	Clcn5
NCU00121	Clcn4
NCU06444	Clcn4
NCU00121	Clcn3
NCU06444	Clcn3
NCU06624	Clcn1
NCU06624	Clcn2
NCU09842	Mapk15
NCU02393	Mapk7
NCU02393	Mapk1
NCU02393	Mapk3
NCU01249	Kpna7
NCU01249	Kpna2
NCU01249	Gm10184
NCU01249	Kpna4
NCU01249	Kpna3
NCU01249	Kpna1
NCU01249	Kpna6
NCU07053	Aldh1b1
NCU00378	Aldh1b1
NCU03415	Aldh1b1
NCU07053	Aldh2
NCU00378	Aldh2
NCU03415	Aldh2
NCU07053	Aldh1a1
NCU00378	Aldh1a1
NCU03415	Aldh1a1
NCU07053	Aldh1a7
NCU00378	Aldh1a7
NCU03415	Aldh1a7
NCU07053	Aldh1a2
NCU00378	Aldh1a2
NCU03415	Aldh1a2
NCU07053	Aldh1a3
NCU00378	Aldh1a3
NCU03415	Aldh1a3
NCU08991	Skp1a
NCU00171	Tnnc2
NCU04120	Calm2
NCU04120	Calm3
NCU04120	Calml3
NCU02122	Slc4a2
NCU01480	Slc4a2
NCU02122	Slc4a3
NCU01480	Slc4a3
NCU02122	Slc4a1
NCU01480	Slc4a1
NCU02122	Slc4a4
NCU01480	Slc4a4
NCU02122	Slc4a5
NCU01480	Slc4a5
NCU02122	Slc4a9
NCU01480	Slc4a9
NCU02122	Slc4a7
NCU01480	Slc4a7
NCU02122	Slc4a8
NCU01480	Slc4a8
NCU02122	Slc4a10
NCU01480	Slc4a10
NCU06063	Acsf2
NCU00608	Acsf2
NCU02107	Acsf3
NCU04117	Abcb10
NCU04426	Cdk20
NCU07580	Cdk18
NCU07580	Cdk5
NCU04379	Kcnip4
NCU04379	Kcnip3
NCU04379	Kcnip1
NCU04379	Rcvrn
NCU04379	Hpcal4
NCU04379	Vsnl1
NCU04379	Hpcal1
NCU04379	Hpca
NCU04379	Ncald
NCU02115	Ncs1
NCU08477	Rab1b
NCU08477	Rab1a
NCU06404	Rab8b
NCU06404	Rab8a
NCU06404	Rab10
NCU06404	Rab13
NCU05259	Scd1
NCU05259	Scd3
NCU05259	Scd2
NCU05259	Scd4
NCU08423	Brd3
NCU08809	Brd3
NCU08423	Brd4
NCU08809	Brd4
NCU08423	Brdt
NCU08809	Brdt
NCU08423	Brd2
NCU08809	Brd2
NCU04244	Stx11
NCU02460	Stx11
NCU04244	Stx19
NCU02460	Stx19
NCU04244	Stx2
NCU02460	Stx2
NCU04244	Stx3
NCU02460	Stx3
NCU04244	Stx1b
NCU02460	Stx1b
NCU04244	Stx1a
NCU02460	Stx1a
NCU04244	Stx4a
NCU02460	Stx4a
NCU08989	Arl1
NCU08340	Arf2
NCU08340	Arf1
NCU08340	Arf3
NCU08340	Arf4
NCU08340	Arf4
NCU08340	Arf5
NCU01965	Vars2
NCU01965	Vars
NCU00097	Pknox1
NCU00097	Pknox2
NCU00097	Meis3
NCU00097	Meis1
NCU00097	Meis2
NCU06454	Cdc42
NCU02160	Rhog
NCU02160	Rac2
NCU02160	Rac3
NCU02160	Rac1
NCU02693	Nsdhl
NCU02542	Hk3
NCU04728	Hk3
NCU06996	Hk3
NCU00575	Hk3
NCU02542	Hk2
NCU04728	Hk2
NCU06996	Hk2
NCU00575	Hk2
NCU02542	Hk1
NCU04728	Hk1
NCU06996	Hk1
NCU00575	Hk1
NCU02542	Hkdc1
NCU04728	Hkdc1
NCU06996	Hkdc1
NCU00575	Hkdc1
NCU02542	Gck
NCU04728	Gck
NCU06996	Gck
NCU00575	Gck
NCU08012	Exoc7
NCU00453	Slc9a8
NCU00453	Slc9a9
NCU00453	Slc9a6
NCU00453	Slc9a7
NCU10732	Slc25a11
NCU01514	Ucp2
NCU01514	Ucp3
NCU01514	Ucp1
NCU01514	Slc25a10
NCU06111	Rras2
NCU03616	Rras2
NCU06111	Nras
NCU03616	Nras
NCU06111	Kras
NCU03616	Kras
NCU06111	Hras
NCU03616	Hras
