YGL078C	Ddx43
YBR010W	Hist2h3b
YNL031C	Hist2h3b
YBR010W	Hist1h3e
YNL031C	Hist1h3e
YBR010W	Hist1h3d
YNL031C	Hist1h3d
YBR010W	Hist2h3c2
YNL031C	Hist2h3c2
YBR010W	H3f3b
YNL031C	H3f3b
YBR010W	H3f3a
YNL031C	H3f3a
YDR402C	Gm45753
YDR402C	Cyp4v3
YDR402C	Cyp4f40
YDR402C	Cyp4f15
YDR402C	Cyp4f14
YDR402C	Cyp4f18
YDR402C	Cyp4f13
YDR402C	Cyp4f17
YDR402C	Cyp4f37
YDR402C	Cyp4f16
YDR402C	Cyp4f39
YDR402C	Cyp4x1
YDR402C	Cyp4a14
YDR402C	Cyp4a30b
YDR402C	Cyp4a32
YDR402C	Cyp4a10
YDR402C	Cyp4a31
YDR402C	Cyp4a12a
YDR402C	Cyp4a12b
YDR402C	Cyp4a29
YDR402C	Cyp4b1
YBR009C	Hist1h4n
YNL030W	Hist1h4n
YBR009C	Hist1h4k
YNL030W	Hist1h4k
YBR009C	Hist2h4
YNL030W	Hist2h4
YBR009C	Hist1h4f
YNL030W	Hist1h4f
YBR009C	Hist1h4i
YNL030W	Hist1h4i
YBR009C	Hist1h4b
YNL030W	Hist1h4b
YBR009C	Hist1h4c
YNL030W	Hist1h4c
YBR009C	Hist1h4h
YNL030W	Hist1h4h
YBR009C	Hist4h4
YNL030W	Hist4h4
YBR009C	Hist1h4d
YNL030W	Hist1h4d
YBR009C	Hist1h4a
YNL030W	Hist1h4a
YBR009C	Hist1h4j
YNL030W	Hist1h4j
YBR009C	Hist1h4m
YNL030W	Hist1h4m
YIR035C	Hsd17b14
YIR036C	Hsd17b14
YKL055C	Hsd17b14
YAL019W	Smarcad1
YFR038W	Hells
YER164W	Chd2
YER164W	Chd1
YOR304W	Smarca5
YBR245C	Smarca5
YOR304W	Smarca1
YBR245C	Smarca1
YOR290C	Smarca2
YIL126W	Smarca2
YOR290C	Smarca4
YIL126W	Smarca4
YHR205W	Rps6ka3
YMR104C	Rps6ka3
YKL126W	Rps6ka3
YHR205W	Rps6ka6
YMR104C	Rps6ka6
YKL126W	Rps6ka6
YHR205W	Rps6ka6
YMR104C	Rps6ka6
YKL126W	Rps6ka6
YHR205W	Rps6ka2
YMR104C	Rps6ka2
YKL126W	Rps6ka2
YHR205W	Rps6ka1
YMR104C	Rps6ka1
YKL126W	Rps6ka1
YHR205W	Rps6ka5
YMR104C	Rps6ka5
YKL126W	Rps6ka5
YHR205W	Rps6kb2
YMR104C	Rps6kb2
YKL126W	Rps6kb2
YHR205W	Rps6kb2
YMR104C	Rps6kb2
YKL126W	Rps6kb2
YHR205W	Rps6kb1
YMR104C	Rps6kb1
YKL126W	Rps6kb1
YHR205W	Akt1
YMR104C	Akt1
YKL126W	Akt1
YHR205W	Akt2
YMR104C	Akt2
YKL126W	Akt2
YHR205W	Akt3
YMR104C	Akt3
YKL126W	Akt3
YHR205W	Sgk1
YMR104C	Sgk1
YKL126W	Sgk1
YHR205W	Sgk2
YMR104C	Sgk2
YKL126W	Sgk2
YOL113W	Prkg1
YOL113W	Prkg2
YEL030W	Hspa9
YJR045C	Hspa9
YJL034W	Hspa5
YAL005C	Hspa8
YLL024C	Hspa8
YER103W	Hspa8
YBL075C	Hspa8
YAL005C	Hspa2
YLL024C	Hspa2
YER103W	Hspa2
YBL075C	Hspa2
YAL005C	Hspa1a
YLL024C	Hspa1a
YER103W	Hspa1a
YBL075C	Hspa1a
YAL005C	Hspa1b
YLL024C	Hspa1b
YER103W	Hspa1b
YBL075C	Hspa1b
YAL005C	Hspa1l
YLL024C	Hspa1l
YER103W	Hspa1l
YBL075C	Hspa1l
YOL075C	Abcg8
YOL075C	Abcg5
YCR011C	Abcg3
YCR011C	Abcg2
YAL029C	Myo5c
YOR326W	Myo5c
YAL029C	Myo5a
YOR326W	Myo5a
YAL029C	Myo5b
YOR326W	Myo5b
YHR023W	Myh10
YHR023W	Myh9
YHR023W	Myh11
YHR023W	Myh14
YHR023W	Myh15
YHR023W	Myh7b
YHR023W	Myh6
YHR023W	Myh7
YHR023W	Myh3
YHR023W	Myh13
YHR023W	Myh8
YHR023W	Myh2
YHR023W	Myh1
YHR023W	Myh4
YOR246C	CAAA01118383.1
YKR054C	Dync2h1
YKR054C	Dync1h1
YBR149W	Akr1b3
YDR368W	Akr1b3
YOR120W	Akr1b3
YJR096W	Akr1b3
YDL124W	Akr1b3
YBR149W	Akr1b7
YDR368W	Akr1b7
YOR120W	Akr1b7
YJR096W	Akr1b7
YDL124W	Akr1b7
YBR149W	Akr1b10
YDR368W	Akr1b10
YOR120W	Akr1b10
YJR096W	Akr1b10
YDL124W	Akr1b10
YBR149W	Akr1b8
YDR368W	Akr1b8
YOR120W	Akr1b8
YJR096W	Akr1b8
YDL124W	Akr1b8
YBR149W	Akr1e1
YDR368W	Akr1e1
YOR120W	Akr1e1
YJR096W	Akr1e1
YDL124W	Akr1e1
YBR149W	Akr1d1
YDR368W	Akr1d1
YOR120W	Akr1d1
YJR096W	Akr1d1
YDL124W	Akr1d1
YBR149W	Akr1c20
YDR368W	Akr1c20
YOR120W	Akr1c20
YJR096W	Akr1c20
YDL124W	Akr1c20
YBR149W	Akr1c6
YDR368W	Akr1c6
YOR120W	Akr1c6
YJR096W	Akr1c6
YDL124W	Akr1c6
YBR149W	Akr1c21
YDR368W	Akr1c21
YOR120W	Akr1c21
YJR096W	Akr1c21
YDL124W	Akr1c21
YBR149W	Akr1c14
YDR368W	Akr1c14
YOR120W	Akr1c14
YJR096W	Akr1c14
YDL124W	Akr1c14
YBR149W	Akr1cl
YDR368W	Akr1cl
YOR120W	Akr1cl
YJR096W	Akr1cl
YDL124W	Akr1cl
YBR149W	Akr1c18
YDR368W	Akr1c18
YOR120W	Akr1c18
YJR096W	Akr1c18
YDL124W	Akr1c18
YBR149W	Akr1c13
YDR368W	Akr1c13
YOR120W	Akr1c13
YJR096W	Akr1c13
YDL124W	Akr1c13
YBR149W	Akr1c12
YDR368W	Akr1c12
YOR120W	Akr1c12
YJR096W	Akr1c12
YDL124W	Akr1c12
YBR149W	Akr1c19
YDR368W	Akr1c19
YOR120W	Akr1c19
YJR096W	Akr1c19
YDL124W	Akr1c19
YBR149W	Akr1a1
YDR368W	Akr1a1
YOR120W	Akr1a1
YJR096W	Akr1a1
YDL124W	Akr1a1
YOR360C	Pde9a
YOR360C	Pde7b
YOR360C	Pde7a
YOR360C	Pde4a
YOR360C	Pde4d
YOR360C	Pde4b
YOR360C	Pde4c
YOR360C	Pde4c
YOR360C	Pde1c
YOR360C	Pde1a
YOR360C	Pde1b
YOR360C	Pde8a
YOR360C	Pde8b
YPL209C	Aurkc
YPL209C	Aurkb
YPL209C	Aurka
YJL164C	Prkx
YKL166C	Prkx
YPL203W	Prkx
YJL164C	Prkacb
YKL166C	Prkacb
YPL203W	Prkacb
YJL164C	Prkaca
YKL166C	Prkaca
YPL203W	Prkaca
YHR057C	Ppib
YDR304C	Ppib
YHR057C	Ppic
YDR304C	Ppic
YLR216C	Ppid
YML078W	Ppia
YDR155C	Ppia
YML078W	Ppif
YDR155C	Ppif
YLL053C	Aqp1
YPR192W	Aqp1
YLL052C	Aqp1
YLL053C	Aqp4
YPR192W	Aqp4
YLL052C	Aqp4
YLL053C	Aqp2
YPR192W	Aqp2
YLL052C	Aqp2
YLL053C	Aqp5
YPR192W	Aqp5
YLL052C	Aqp5
YLL053C	Aqp6
YPR192W	Aqp6
YLL052C	Aqp6
YLL053C	Mip
YPR192W	Mip
YLL052C	Mip
YPL089C	Mef2b
YBR182C	Mef2b
YPL089C	Mef2c
YBR182C	Mef2c
YPL089C	Mef2a
YBR182C	Mef2a
YPL089C	Mef2d
YBR182C	Mef2d
YHL035C	Abcc10
YLL048C	Abcc10
YLL015W	Abcc2
YDR135C	Abcc2
YLL015W	Abcc6
YDR135C	Abcc6
YLL015W	Abcc1
YDR135C	Abcc1
YLL015W	Abcc3
YDR135C	Abcc3
YGR281W	Abcc12
YGR281W	Abcc5
YCR083W	Txndc2
YGR209C	Txndc2
YLR043C	Txndc2
YCR083W	Txn1
YGR209C	Txn1
YLR043C	Txn1
YGL120C	Dhx15
YNR011C	Dhx33
YNR011C	Dhx35
YNR011C	Dhx16
YKR086W	Dhx38
YER013W	Dhx8
YHR032W	Slc47a1
YDR338C	Slc47a1
YHR032W	Slc47a2
YDR338C	Slc47a2
YKR099W	Snapc4
YFL039C	Actg2
YFL039C	Acta2
YFL039C	Acta1
YFL039C	Actc1
YFL039C	Actbl2
YFL039C	Actb
YFL039C	Actg1
YCR002C	9-Sep
YCR002C	12-Sep
YCR002C	3-Sep
YLR314C	6-Sep
YLR314C	11-Sep
YLR314C	8-Sep
YLR314C	10-Sep
YLR314C	14-Sep
YLR314C	1-Sep
YLR314C	4-Sep
YLR314C	5-Sep
YLR314C	Gm49601
YLR314C	2-Sep
YLR314C	2-Sep
YLR314C	7-Sep
YHR176W	Fmo4
YHR176W	Fmo1
YHR176W	Fmo6
YHR176W	Fmo3
YHR176W	Fmo2
YHR176W	Gm4846
YHR176W	Gm4847
YHR176W	Fmo9
YHR176W	Fmo5
YER166W	Atp10b
YDR093W	Atp10b
YER166W	Atp10d
YDR093W	Atp10d
YER166W	Atp10a
YDR093W	Atp10a
YAL026C	Atp8a1
YAL026C	Atp8a2
YNL186W	Usp36
YNL186W	Usp17la
YNL186W	Usp17lc
YNL186W	Usp17ld
YNL186W	Usp17le
YNL186W	Usp17lb
YKL140W	Lipn
YKL140W	Lipm
YKL140W	Lipa
YKL140W	Lipf
YKL140W	Lipk
YKL140W	Lipo3
YKL140W	Lipo2
YKL140W	Lipo4
YKL140W	Gm8978
YKL140W	Lipo1
YKL157W	Npepps
YHR047C	Npepps
YIL137C	Lnpep
YIL137C	Erap1
YIL137C	Enpep
YIL137C	Trhde
YIL137C	Lvrn
YIL137C	Anpep
YKL209C	Abcb4
YKL209C	Abcb1a
YKL209C	Abcb1b
YKL209C	Abcb5
YKL209C	Abcb11
YBR294W	Slc26a10
YLR092W	Slc26a10
YBR294W	Slc26a6
YLR092W	Slc26a6
YBR294W	Slc26a6
YLR092W	Slc26a6
YBR294W	Slc26a5
YLR092W	Slc26a5
YBR294W	Slc26a2
YLR092W	Slc26a2
YBR294W	Slc26a1
YLR092W	Slc26a1
YBR294W	Slc26a11
YLR092W	Slc26a11
YFL037W	Tubb6
YFL037W	Tubb3
YFL037W	Tubb1
YFL037W	Tubb4b
YFL037W	Tubb4a
YFL037W	Tubb5
YFL037W	Tubb2b
YFL037W	Tubb2a
YHR132C	Cpa4
YHR132C	Cpa2
YHR132C	Cpa1
YHR132C	Cpa5
YHR132C	Cpa6
YHR132C	Cpb2
YHR132C	Cpa3
YHR132C	Cpb1
YHR005C	Gnao1
YHR005C	Gnat3
YHR005C	Gnat2
YHR005C	Gnat1
YHR005C	Gnaz
YHR005C	Gnai2
YHR005C	Gnai3
YHR005C	Gnai1
YER020W	Gna12
YER020W	Gna13
YER020W	Gna15
YER020W	Gna11
YER020W	Gnaq
YER020W	Gna14
YDR371W	Chit1
YDR371W	Ovgp1
YDR371W	Chil6
YDR371W	Chil5
YDR371W	Chil4
YDR371W	Chil3
YDR371W	Chia1
YDR371W	Chil1
YPL127C	H1f0
YPL127C	Hist1h1a
YPL127C	Hist1h1d
YPL127C	Hist1h1e
YPL127C	Hist1h1c
YPL127C	Hist1h1b
YPL127C	Hist1h1t
YNL154C	Csnk1g2
YHR135C	Csnk1g2
YNL154C	Csnk1g3
YHR135C	Csnk1g3
YNL154C	Csnk1g1
YHR135C	Csnk1g1
YPL204W	Csnk1a1
YJL128C	Map2k1
YJL128C	Map2k2
YJL128C	Map2k3
YJL128C	Map2k6
YJL128C	Map2k4
YDL159W	Map2k5
YDL240W	Tgfb1i1
YKR090W	Fhl3
YKR090W	Fhl2
YKR090W	Fhl5
YDL126C	Vcp
YLR397C	Spata5
YLL034C	Nvl
YNL329C	Pex6
YKL197C	Pex1
YIR013C	Zglp1
YLR013W	Zglp1
YMR136W	Zglp1
YER133W	Ppp1ca
YER133W	Ppp1ca
YER133W	Ppp1cc
YER133W	Ppp1cb
YOL065C	Inpp5b
YOL065C	Ocrl
YOL065C	Inpp5j
YOL065C	Inpp5k
YIL002C	Synj2
YNL106C	Synj2
YOR109W	Synj2
YIL002C	Synj1
YNL106C	Synj1
YOR109W	Synj1
YPL154C	Pgc
YPL154C	Ctse
YPL154C	Cym
YPL154C	Pga5
YGL073W	Hsf3
YGL073W	Hsf2
YGL073W	Hsf4
YGL073W	Hsf1
YER125W	Smurf1
YER125W	Smurf2
YER125W	Wwp2
YER125W	Wwp1
YER125W	Itch
YER125W	Hecw2
YER125W	Hecw1
YER125W	Nedd4l
YER125W	Nedd4
YDR457W	Huwe1
YDL155W	Ccnb1
YLR210W	Ccnb1
YGR109C	Ccnb1
YPR120C	Ccnb1
YGR108W	Ccnb1
YPR119W	Ccnb1
YDL155W	Ccnb2
YLR210W	Ccnb2
YGR109C	Ccnb2
YPR120C	Ccnb2
YGR108W	Ccnb2
YPR119W	Ccnb2
YDL155W	Ccna2
YLR210W	Ccna2
YGR109C	Ccna2
YPR120C	Ccna2
YGR108W	Ccna2
YPR119W	Ccna2
YDL155W	Ccna1
YLR210W	Ccna1
YGR109C	Ccna1
YPR120C	Ccna1
YGR108W	Ccna1
YPR119W	Ccna1
YPL268W	Plcb2
YPL268W	Plcb1
YPL268W	Plcb3
YPL268W	Plcb4
YPL268W	Plcd1
YPL268W	Plcd3
YPL268W	Plcd4
YPL268W	Plcz1
YPL268W	Plcl1
YDL134C	Ppp2cb
YDL188C	Ppp2cb
YDL134C	Ppp2ca
YDL188C	Ppp2ca
YDL047W	Ppp6c
YDR075W	Ppp4c
YLR372W	Elovl5
YCR034W	Elovl5
YLR372W	Elovl2
YCR034W	Elovl2
YLR372W	Elovl4
YCR034W	Elovl4
YLR372W	Elovl7
YCR034W	Elovl7
YLR372W	Elovl1
YCR034W	Elovl1
YML085C	Tuba8
YML124C	Tuba8
YML085C	Tubal3
YML124C	Tubal3
YOR317W	Acsl3
YMR246W	Acsl3
YIL009W	Acsl3
YOR317W	Acsl4
YMR246W	Acsl4
YIL009W	Acsl4
YER015W	Acsl5
YER015W	Acsl6
YER015W	Acsl1
YDR519W	Fkbp14
YDR519W	Fkbp11
YNL135C	Fkbp1b
YNL135C	Fkbp1a
YJR040W	Clcn5
YJR040W	Clcn4
YJR040W	Clcn3
YJR040W	Clcn1
YJR040W	Clcn2
YHR030C	Mapk15
YBL016W	Mapk7
YGR040W	Mapk7
YBL016W	Mapk1
YGR040W	Mapk1
YBL016W	Mapk3
YGR040W	Mapk3
YNL189W	Kpna7
YNL189W	Kpna2
YNL189W	Gm10184
YNL189W	Kpna4
YNL189W	Kpna3
YNL189W	Kpna1
YNL189W	Kpna6
YMR170C	Aldh1b1
YMR169C	Aldh1b1
YOR374W	Aldh1b1
YER073W	Aldh1b1
YPL061W	Aldh1b1
YMR170C	Aldh2
YMR169C	Aldh2
YOR374W	Aldh2
YER073W	Aldh2
YPL061W	Aldh2
YMR170C	Aldh1a1
YMR169C	Aldh1a1
YOR374W	Aldh1a1
YER073W	Aldh1a1
YPL061W	Aldh1a1
YMR170C	Aldh1a7
YMR169C	Aldh1a7
YOR374W	Aldh1a7
YER073W	Aldh1a7
YPL061W	Aldh1a7
YMR170C	Aldh1a2
YMR169C	Aldh1a2
YOR374W	Aldh1a2
YER073W	Aldh1a2
YPL061W	Aldh1a2
YMR170C	Aldh1a3
YMR169C	Aldh1a3
YOR374W	Aldh1a3
YER073W	Aldh1a3
YPL061W	Aldh1a3
YDR328C	Skp1a
YBR109C	Tnnc2
YNL275W	Slc4a2
YNL275W	Slc4a3
YNL275W	Slc4a1
YNL275W	Slc4a4
YNL275W	Slc4a5
YNL275W	Slc4a9
YNL275W	Slc4a7
YNL275W	Slc4a8
YNL275W	Slc4a10
YPL270W	Abcb10
YLR188W	Abcb10
YFL029C	Cdk20
YPL031C	Cdk18
YPL031C	Cdk5
YDR373W	Ncs1
YFL038C	Rab1b
YFL038C	Rab1a
YFL005W	Rab8b
YFL005W	Rab8a
YFL005W	Rab10
YFL005W	Rab13
YGL055W	Scd1
YGL055W	Scd3
YGL055W	Scd2
YGL055W	Scd4
YDL070W	Brd3
YLR399C	Brd3
YDL070W	Brd4
YLR399C	Brd4
YDL070W	Brdt
YLR399C	Brdt
YDL070W	Brd2
YLR399C	Brd2
YPL232W	Stx11
YMR183C	Stx11
YPL232W	Stx19
YMR183C	Stx19
YPL232W	Stx2
YMR183C	Stx2
YPL232W	Stx3
YMR183C	Stx3
YPL232W	Stx1b
YMR183C	Stx1b
YPL232W	Stx1a
YMR183C	Stx1a
YPL232W	Stx4a
YMR183C	Stx4a
YBR164C	Arl1
YDL137W	Arf2
YDL192W	Arf2
YDL137W	Arf1
YDL192W	Arf1
YDL137W	Arf3
YDL192W	Arf3
YDL137W	Arf4
YDL192W	Arf4
YDL137W	Arf4
YDL192W	Arf4
YDL137W	Arf5
YDL192W	Arf5
YGR094W	Vars2
YGR094W	Vars
YPL177C	Pknox1
YGL096W	Pknox1
YPL177C	Pknox2
YGL096W	Pknox2
YPL177C	Meis3
YGL096W	Meis3
YPL177C	Meis1
YGL096W	Meis1
YPL177C	Meis2
YGL096W	Meis2
YLR229C	Cdc42
YGL001C	Nsdhl
YFR053C	Hk3
YGL253W	Hk3
YDR516C	Hk3
YCL040W	Hk3
YFR053C	Hk2
YGL253W	Hk2
YDR516C	Hk2
YCL040W	Hk2
YFR053C	Hk1
YGL253W	Hk1
YDR516C	Hk1
YCL040W	Hk1
YFR053C	Hkdc1
YGL253W	Hkdc1
YDR516C	Hkdc1
YCL040W	Hkdc1
YFR053C	Gck
YGL253W	Gck
YDR516C	Gck
YCL040W	Gck
YJL085W	Exoc7
YDR456W	Slc9a8
YDR456W	Slc9a9
YDR456W	Slc9a6
YDR456W	Slc9a7
YLR348C	Ucp2
YLR348C	Ucp3
YLR348C	Ucp1
YLR348C	Slc25a10
YOR101W	Rras2
YOR101W	Nras
YOR101W	Kras
YOR101W	Hras
YGR152C	Rap1a
YGR152C	Rap1b
YGR152C	Rap2a
YGR152C	Rap2c
YGR152C	Rap2b
YDR198C	Setd4
YBR114W	Ttf2
YOR191W	Ttf2
YDL132W	Cul2
YDL132W	Cul1
YGR003W	Cul3
YER031C	Rab11a
YGL210W	Rab11a
YER031C	Rab11b
YGL210W	Rab11b
YOR136W	Idh3a
YIL094C	Idh3a
YNL037C	4933405O20Rik
YNL037C	Idh3g
YNL037C	Idh3b
YBR034C	Prmt1
YBR034C	Prmt8
YNL021W	Hdac10
YNL021W	Hdac6
YER040W	Gata5
YFL021W	Gata5
YKR034W	Gata5
YJL110C	Gata5
YER040W	Gata4
YFL021W	Gata4
YKR034W	Gata4
YJL110C	Gata4
YER040W	Gata6
YFL021W	Gata6
YKR034W	Gata6
YJL110C	Gata6
YER040W	Gata3
YFL021W	Gata3
YKR034W	Gata3
YJL110C	Gata3
YER040W	Gata2
YFL021W	Gata2
YKR034W	Gata2
YJL110C	Gata2
YER040W	Gata1
YFL021W	Gata1
YKR034W	Gata1
YJL110C	Gata1
YNL007C	Dnajb13
YNL007C	Dnajb1
YNL007C	Dnajb4
YNL007C	Dnajb5
YMR297W	Cpvl
YBR139W	Cpvl
YGL203C	Ctsa
YGL006W	Atp2b1
YGL006W	Atp2b3
YGL006W	Atp2b2
YGL006W	Atp2b4
YKL150W	Cyb5rl
YGR155W	Cbs
YFR009W	Abcf3
YER036C	Abcf1
YER036C	Abcf2
YDL230W	Ptpn2
YDL230W	Ptpn1
YDL230W	Ptprg
YDL230W	Ptprf
YDL230W	Ptprd
YDL230W	Ptprs
YKL029C	Me2
YKL029C	Me3
YKL029C	Me1
YNL101W	Slc36a4
YKL146W	Slc36a4
YNL101W	Slc36a3
YKL146W	Slc36a3
YNL101W	Slc36a1
YKL146W	Slc36a1
YNL101W	Slc36a2
YKL146W	Slc36a2
YNL305C	Tmbim7
YNL305C	Grina
YNL305C	Tmbim1
YNL305C	Faim2
YNL305C	Tmbim4
YNL024C	Vcpkmt
YNL024C	Mettl21a
YNL024C	Eef1akmt3
YNL024C	Mettl21e
YNL024C	Mettl21c
YNR031C	Map3k4
YCR073C	Map3k4
YJL095W	Map3k3
YLR362W	Map3k3
YJL095W	Map3k2
YLR362W	Map3k2
YKL094W	Mgll
YMR260C	Gm21319
YMR260C	Gm2035
YMR260C	Gm5039
YMR260C	Gm21936
YMR260C	Gm5788
YMR260C	Gm8332
YMR260C	Gm8300
YMR260C	Gm2056
YMR260C	Gm6803
YMR260C	Gm2075
YMR260C	Gm4027
YMR260C	BB287469
YMR260C	Gm2022
YMR260C	Gm16368
YMR260C	Gm2016
YMR260C	Gm5662
YMR260C	Eif1a
YMR260C	Eif1ax
YDR059C	Ube2dnl1
YBR082C	Ube2dnl1
YDR059C	Ube2dnl2
YBR082C	Ube2dnl2
YDR059C	Ube2d1
YBR082C	Ube2d1
YDR059C	Ube2d3
YBR082C	Ube2d3
YDR059C	Ube2d2b
YBR082C	Ube2d2b
YDR059C	Ube2d2a
YBR082C	Ube2d2a
YPR065W	Sry
YPR065W	Sox11
YPR065W	Sox4
YPR065W	Sox12
YPR065W	Sox14
YPR065W	Sox21
YPR065W	Sox3
YPR065W	Sox1
YPR065W	Sox15
YPL190C	Srsf5
YPL190C	Srsf6
YPL190C	Srsf4
YDR432W	Srsf9
YDR432W	Srsf1
YDR432W	Srsf1
YGL205W	Acoxl
YGL205W	Acox3
YGL205W	Acox2
YGL205W	Acox1
YAR042W	Osbpl3
YDL019C	Osbpl3
YAR042W	Osbpl6
YDL019C	Osbpl6
YAR042W	Osbpl7
YDL019C	Osbpl7
YAR042W	Osbpl2
YDL019C	Osbpl2
YAR042W	Osbpl1a
YDL019C	Osbpl1a
YOR207C	Polr3b
YOR151C	Polr2b
YPR010C	Polr1b
YIR037W	Gpx8
YBR244W	Gpx8
YKL026C	Gpx8
YIR037W	Gpx7
YBR244W	Gpx7
YKL026C	Gpx7
YLR299W	Ggt1
YDR258C	Clpb
YLL026W	Clpb
YMR186W	Hsp90b1
YPL240C	Hsp90b1
YMR186W	Trap1
YPL240C	Trap1
YMR186W	Hsp90aa1
YPL240C	Hsp90aa1
YMR186W	Hsp90ab1
YPL240C	Hsp90ab1
YFR030W	Mtrr
YHR042W	Por
YPR048W	Ndor1
YPR048W	Ndor1
YHL036W	Slc7a11
YHL036W	Slc7a5
YHL036W	Slc7a8
YHL036W	Slc7a10
YHL036W	Slc7a7
YHL036W	Slc7a6
YHL036W	Slc7a15
YHL036W	Slc7a12
YHL036W	Slc7a13
YHL036W	Slc7a9
YOR163W	Nudt10
YOR163W	Nudt11
YOR163W	Nudt4
YOR163W	Gm49804
YOR163W	Nudt3
YIL047C	Xpr1
YDL002C	Hmgb4
YPR052C	Hmgb4
YBR089C-A	Hmgb4
YDL002C	Hmgb1
YPR052C	Hmgb1
YBR089C-A	Hmgb1
YDL002C	Hmgb2
YPR052C	Hmgb2
YBR089C-A	Hmgb2
YDL002C	Hmgb3
YPR052C	Hmgb3
YBR089C-A	Hmgb3
YOL094C	Rfc2
YNL290W	Rfc5
YJR068W	Rfc4
YLR398C	Skiv2l
YJL050W	Mtrex
YOR341W	Polr1a
YOR116C	Polr3a
YDL140C	Polr2a
YGL003C	Fzr1
YIL131C	Foxi3
YIL131C	Gm5294
YIL131C	Foxl1
YIL131C	Foxl2
YIL131C	Foxd4
YIL131C	Foxd1
YDR481C	Alpl
YDR481C	Alppl2
YDR481C	Akp3
YDR481C	Alpi
YLL050C	Cfl1
YLL050C	Cfl2
YLL050C	Dstn
YOL060C	Cnnm4
YOL060C	Cnnm1
YOL060C	Cnnm3
YOL060C	Cnnm2
YOR014W	Ppp2r5b
YOR014W	Ppp2r5b
YOR014W	Ppp2r5e
