YGL078C	CG7878
YBR009C	His4:CG33869
YNL030W	His4:CG33869
YBR009C	His4:CG33881
YNL030W	His4:CG33881
YBR009C	His4:CG33877
YNL030W	His4:CG33877
YBR009C	His4:CG33879
YNL030W	His4:CG33879
YBR009C	His4:CG33889
YNL030W	His4:CG33889
YBR009C	His4:CG33885
YNL030W	His4:CG33885
YBR009C	His4:CG33887
YNL030W	His4:CG33887
YBR009C	His4:CG33883
YNL030W	His4:CG33883
YBR009C	His4:CG33871
YNL030W	His4:CG33871
YBR009C	His4:CG33873
YNL030W	His4:CG33873
YBR009C	His4:CG33875
YNL030W	His4:CG33875
YBR009C	His4:CG33909
YNL030W	His4:CG33909
YBR009C	His4:CG33905
YNL030W	His4:CG33905
YBR009C	His4:CG33907
YNL030W	His4:CG33907
YBR009C	His4:CG33901
YNL030W	His4:CG33901
YBR009C	His4:CG33903
YNL030W	His4:CG33903
YBR009C	His4r
YNL030W	His4r
YBR009C	His4:CG31611
YNL030W	His4:CG31611
YBR009C	His4:CG33899
YNL030W	His4:CG33899
YBR009C	His4:CG33897
YNL030W	His4:CG33897
YBR009C	His4:CG33895
YNL030W	His4:CG33895
YBR009C	His4:CG33893
YNL030W	His4:CG33893
YBR009C	His4:CG33891
YNL030W	His4:CG33891
YIR035C	CG3699
YIR036C	CG3699
YKL055C	CG3699
YIR035C	CG31548
YIR036C	CG31548
YKL055C	CG31548
YIR035C	CG31549
YIR036C	CG31549
YKL055C	CG31549
YIR035C	CG12171
YIR036C	CG12171
YKL055C	CG12171
YIR035C	CG31546
YIR036C	CG31546
YKL055C	CG31546
YAL019W	Etl1
YER164W	Chd1
YOR304W	Iswi
YBR245C	Iswi
YOR290C	brm
YIL126W	brm
YHR205W	S6kII
YMR104C	S6kII
YKL126W	S6kII
YHR205W	JIL-1
YMR104C	JIL-1
YKL126W	JIL-1
YHR205W	S6k
YMR104C	S6k
YKL126W	S6k
YHR205W	Akt1
YMR104C	Akt1
YKL126W	Akt1
YHR205W	Pkcdelta
YMR104C	Pkcdelta
YKL126W	Pkcdelta
YOL113W	for
YOL113W	Pkg21D
YOL113W	CG4839
YDR466W	sti
YEL030W	Hsc70-5
YJR045C	Hsc70-5
YJL034W	Hsc70-3
YAL005C	Hsc70-1
YLL024C	Hsc70-1
YER103W	Hsc70-1
YBL075C	Hsc70-1
YAL005C	Hsc70-4
YLL024C	Hsc70-4
YER103W	Hsc70-4
YBL075C	Hsc70-4
YAL005C	Hsc70-2
YLL024C	Hsc70-2
YER103W	Hsc70-2
YBL075C	Hsc70-2
YAL005C	Hsp70Bc
YLL024C	Hsp70Bc
YER103W	Hsp70Bc
YBL075C	Hsp70Bc
YAL005C	Hsp70Bb
YLL024C	Hsp70Bb
YER103W	Hsp70Bb
YBL075C	Hsp70Bb
YAL005C	Hsp70Bbb
YLL024C	Hsp70Bbb
YER103W	Hsp70Bbb
YBL075C	Hsp70Bbb
YAL005C	Hsp70Ba
YLL024C	Hsp70Ba
YER103W	Hsp70Ba
YBL075C	Hsp70Ba
YAL005C	Hsp70Ab
YLL024C	Hsp70Ab
YER103W	Hsp70Ab
YBL075C	Hsp70Ab
YAL005C	Hsp70Aa
YLL024C	Hsp70Aa
YER103W	Hsp70Aa
YBL075C	Hsp70Aa
YAL005C	Hsp68
YLL024C	Hsp68
YER103W	Hsp68
YBL075C	Hsp68
YOL075C	CG11069
YCR011C	st
YCR011C	bw
YCR011C	w
YPR089W	Myo10A
YAL029C	didum
YOR326W	didum
YHR023W	zip
YHR023W	Mhc
YOR246C	CG11200
YKR054C	btv
YKR054C	Dhc64C
YHR104W	CG2767
YBR149W	ARY
YDR368W	ARY
YOR120W	ARY
YJR096W	ARY
YDL124W	ARY
YBR149W	CG9436
YDR368W	CG9436
YOR120W	CG9436
YJR096W	CG9436
YDL124W	CG9436
YBR149W	CG10638
YDR368W	CG10638
YOR120W	CG10638
YJR096W	CG10638
YDL124W	CG10638
YBR149W	CG10863
YDR368W	CG10863
YOR120W	CG10863
YJR096W	CG10863
YDL124W	CG10863
YBR149W	CG12766
YDR368W	CG12766
YOR120W	CG12766
YJR096W	CG12766
YDL124W	CG12766
YBR149W	CG6084
YDR368W	CG6084
YOR120W	CG6084
YJR096W	CG6084
YDL124W	CG6084
YBR149W	CG6083
YDR368W	CG6083
YOR120W	CG6083
YJR096W	CG6083
YDL124W	CG6083
YOR360C	Pde9
YOR360C	dnc
YOR360C	Pde1c
YOR360C	Pde8
YPL209C	aurA
YPL209C	aurB
YJL164C	S6KL
YKL166C	S6KL
YPL203W	S6KL
YJL164C	Pka-C3
YKL166C	Pka-C3
YPL203W	Pka-C3
YJL164C	CG12069
YKL166C	CG12069
YPL203W	CG12069
YJL164C	Pka-C2
YKL166C	Pka-C2
YPL203W	Pka-C2
YJL164C	Pka-C1
YKL166C	Pka-C1
YPL203W	Pka-C1
YHR057C	ninaA
YDR304C	ninaA
YHR057C	CG2852
YDR304C	CG2852
YML078W	Cyp1
YDR155C	Cyp1
YML078W	CG7768
YDR155C	CG7768
YML078W	CG5071
YDR155C	CG5071
YLL053C	bib
YPR192W	bib
YLL052C	bib
YLL053C	Drip
YPR192W	Drip
YLL052C	Drip
YLL053C	Prip
YPR192W	Prip
YLL052C	Prip
YPL089C	Mef2
YBR182C	Mef2
YHL035C	CG7806
YLL048C	CG7806
YLL015W	MRP
YDR135C	MRP
YKR013W	CG32313
YJL079C	CG32313
YJL078C	CG32313
YKR013W	CG31286
YJL079C	CG31286
YJL078C	CG31286
YCR083W	CG13473
YGR209C	CG13473
YLR043C	CG13473
YCR083W	TrxT
YGR209C	TrxT
YLR043C	TrxT
YCR083W	Trx-2
YGR209C	Trx-2
YLR043C	Trx-2
YCR083W	dhd
YGR209C	dhd
YLR043C	dhd
YGL120C	Dhx15
YNR011C	CG4901
YNR011C	CG3225
YNR011C	l(2)37Cb
YKR086W	l(1)G0007
YER013W	pea
YKR099W	Pbp95
YFL039C	Act5C
YFL039C	Act42A
YFL039C	Act79B
YFL039C	Act88F
YFL039C	Act87E
YFL039C	Act57B
YLR314C	2-Sep
YLR314C	5-Sep
YLR314C	4-Sep
YLR314C	1-Sep
YLR314C	pnut
YHR176W	Fmo-1
YHR176W	Fmo-2
YER166W	CG33298
YDR093W	CG33298
YAL026C	CG42321
YNL186W	scny
YKL140W	Lip2
YKL140W	Lip1
YKL140W	CG17097
YKL140W	CG31872
YKL140W	CG18284
YKL140W	CG18301
YKL140W	Lip4
YKL140W	CG18302
YKL140W	CG31871
YKL140W	CG7329
YKL140W	CG11406
YKL140W	CG3635
YKL140W	Lip3
YKL140W	CG8093
YKL140W	CG6753
YKL140W	CG31091
YKL140W	CG31089
YKL140W	CG2772
YKL140W	mag
YKL140W	CG11598
YKL140W	CG18530
YKL140W	CG11608
YKL140W	CG11600
YKL157W	Psa
YHR047C	Psa
YIL137C	CG4467
YIL137C	CG32473
YIL137C	CG8773
YIL137C	CG8774
YIL137C	CG40470
YIL137C	CG14516
YIL137C	CG46339
YIL137C	CG7653
YIL137C	CG3502
YIL137C	CG2111
YIL137C	CG6071
YIL137C	CG9806
YIL137C	CG11951
YIL137C	CG31445
YIL137C	SP1029
YIL137C	CG31343
YIL137C	CG31233
YIL137C	CG5849
YIL137C	CG42335
YIL137C	CG31198
YKL209C	CG10226
YKL209C	Mdr65
YKL209C	Mdr49
YKL209C	Mdr50
YBR294W	Prestin
YLR092W	Prestin
YBR294W	CG5002
YLR092W	CG5002
YBR294W	CG7912
YLR092W	CG7912
YBR294W	Esp
YLR092W	Esp
YBR294W	CG9717
YLR092W	CG9717
YBR294W	CG9702
YLR092W	CG9702
YBR294W	CG6928
YLR092W	CG6928
YBR294W	CG5404
YLR092W	CG5404
YBR294W	CG6125
YLR092W	CG6125
YFL037W	betaTub60D
YFL037W	betaTub97EF
YFL037W	betaTub56D
YFL037W	betaTub85D
YHR132C	CG43235
YHR132C	CG8564
YHR132C	CG8560
YHR132C	CG18417
YHR132C	CG8562
YHR132C	CG32379
YHR132C	CG8539
YHR132C	CG8563
YHR132C	CG3097
YHR132C	CG3108
YHR132C	CG42264
YHR132C	CG8945
YHR132C	CG14820
YHR132C	CG12374
YHR132C	CG18585
YHR132C	CG7025
YHR132C	CG4408
YHR132C	CG2915
YHR132C	CG4017
YHR132C	CG17633
YHR005C	Galphao
YHR005C	Galphai
YER020W	cta
YER020W	CG17760
YER020W	CG30054
YER020W	Galphaq
YDR371W	Cht7
YDR371W	Cht10
YDR371W	Cht5
YDR371W	Cht2
YDR371W	Cht9
YDR371W	Cht4
YDR371W	Cht12
YDR371W	Cht8
YDR371W	Cht11
YDR371W	Cht6
YPL127C	His1:CG33834
YPL127C	His1:CG33807
YPL127C	His1:CG33837
YPL127C	His1:CG33831
YPL127C	His1:CG33855
YPL127C	His1:CG33819
YPL127C	His1:CG33852
YPL127C	His1:CG33810
YPL127C	His1:CG33813
YPL127C	His1:CG33858
YPL127C	His1:CG31617
YPL127C	His1:CG33816
YPL127C	His1:CG33825
YPL127C	His1:CG33822
YPL127C	His1:CG33828
YPL127C	His1:CG33861
YPL127C	His1:CG33846
YPL127C	His1:CG33843
YPL127C	His1:CG33864
YPL127C	His1:CG33840
YPL127C	His1:CG33804
YPL127C	His1:CG33849
YPL127C	His1:CG33801
YNL154C	gish
YHR135C	gish
YPL204W	CG2577
YPL204W	CG7094
YPL204W	CkIalpha
YJL128C	Dsor1
YJL128C	lic
YJL128C	Mkk4
YDL240W	CG31624
YDL240W	CG31988
YDL240W	CG34325
YDL240W	CG30178
YKR090W	Zasp67
YDL126C	TER94
YLL034C	smid
YNL329C	Pex6
YKL197C	Pex1
YER133W	Pp1alpha-96A
YER133W	Pp1-13C
YER133W	Pp1-87B
YER133W	flw
YPL179W	PpY-55A
YDR436W	PpY-55A
YML016C	PpY-55A
YPL179W	PpD5
YDR436W	PpD5
YML016C	PpD5
YOL065C	Ocrl
YOL065C	CG6805
YOL065C	CG9784
YIL002C	Synj
YNL106C	Synj
YOR109W	Synj
YIL015W	CG5863
YIL015W	CG17283
YIL015W	CG6508
YIL015W	CG17134
YIL015W	CG31926
YIL015W	CG31928
YIL015W	Pgcl
YIL015W	Bace
YIL015W	CG33128
YIL015W	CG5860
YGL073W	Hsf
YER125W	Smurf
YER125W	Su(dx)
YER125W	CG42797
YER125W	Nedd4
YDR457W	CG8184
YLL060C	GstD2
YLL060C	GstD5
YLL060C	GstD4
YLL060C	GstD3
YLL060C	GstD7
YLL060C	GstD6
YLL060C	GstD9
YLL060C	GstD1
YLL060C	GstD10
YLL060C	GstD8
YLL060C	GstD11
YLL060C	GstE12
YLL060C	GstE11
YLL060C	GstE14
YLL060C	GstE13
YLL060C	GstE3
YLL060C	GstE8
YLL060C	GstE6
YLL060C	GstE5
YLL060C	GstE7
YLL060C	GstE4
YLL060C	GstE10
YLL060C	GstE9
YLL060C	GstE1
YLL060C	GstE2
YLL060C	gfzf
YDL155W	CycB
YLR210W	CycB
YGR109C	CycB
YPR120C	CycB
YGR108W	CycB
YPR119W	CycB
YDL155W	CycA
YLR210W	CycA
YGR109C	CycA
YPR120C	CycA
YGR108W	CycA
YPR119W	CycA
YPL268W	Plc21C
YPL268W	norpA
YDL134C	mts
YDL188C	mts
YDL047W	PpV
YDR075W	Pp4-19C
YLR372W	Elo68alpha
YCR034W	Elo68alpha
YLR372W	Elo68beta
YCR034W	Elo68beta
YLR372W	CG30008
YCR034W	CG30008
YLR372W	CG16904
YCR034W	CG16904
YLR372W	CG31141
YCR034W	CG31141
YLR372W	CG9458
YCR034W	CG9458
YLR372W	CG9459
YCR034W	CG9459
YLR372W	eloF
YCR034W	eloF
YLR372W	CG8534
YCR034W	CG8534
YLR372W	CG18609
YCR034W	CG18609
YLR372W	CG17821
YCR034W	CG17821
YLR372W	CG6660
YCR034W	CG6660
YLR372W	bond
YCR034W	bond
YLR372W	sit
YCR034W	sit
YLR372W	CG5326
YCR034W	CG5326
YLR372W	CG33110
YCR034W	CG33110
YLR372W	CG2781
YCR034W	CG2781
YLR372W	CG31523
YCR034W	CG31523
YLR372W	CG31522
YCR034W	CG31522
YML085C	alphaTub67C
YML124C	alphaTub67C
YOR317W	Acsl
YMR246W	Acsl
YIL009W	Acsl
YER015W	CG3961
YDR519W	Fkbp39
YDR519W	Fkbp14
YDR519W	CG14715
YNL135C	Fkbp12
YJR040W	ClC-c
YJR040W	ClC-a
YHR030C	Erk7
YBL016W	rl
YGR040W	rl
YNL189W	Pen
YNL189W	alphaKap4
YNL189W	Kap-alpha3
YNL189W	Kap-alpha1
YMR170C	Aldh
YMR169C	Aldh
YOR374W	Aldh
YER073W	Aldh
YPL061W	Aldh
YMR170C	CG31075
YMR169C	CG31075
YOR374W	CG31075
YER073W	CG31075
YPL061W	CG31075
YDR328C	SkpE
YDR328C	SkpC
YDR328C	SkpD
YDR328C	SkpF
YDR328C	SkpB
YDR328C	SkpA
YBR109C	Acam
YNL275W	CG8177
YNL275W	Ndae1
YPL270W	CG3156
YLR188W	CG3156
YFL029C	CG6800
YPL031C	Cdk5
YDR373W	Frq1
YDR373W	Frq2
YDR373W	CG7646
YFL038C	Rab1
YFL005W	Rab8
YFL005W	Rab10
YGL055W	CG15531
YGL055W	CG9743
YGL055W	CG9747
YGL055W	CG8630
YGL055W	Desat2
YGL055W	Desat1
YGL055W	Fad2
YDL070W	tbrd-3
YLR399C	tbrd-3
YPL232W	Syx1A
YMR183C	Syx1A
YPL232W	Syx4
YMR183C	Syx4
YBR164C	Arl1
YDL137W	Arf79F
YDL192W	Arf79F
YDL137W	Arf102F
YDL192W	Arf102F
YGR094W	ValRS-m
YGR094W	ValRS
YPL177C	hth
YGL096W	hth
YPL177C	mirr
YGL096W	mirr
YPL177C	Six4
YGL096W	Six4
YLR229C	Cdc42
YFR053C	Hex-t1
YGL253W	Hex-t1
YDR516C	Hex-t1
YCL040W	Hex-t1
YFR053C	Hex-t2
YGL253W	Hex-t2
YDR516C	Hex-t2
YCL040W	Hex-t2
YFR053C	Hex-A
YGL253W	Hex-A
YDR516C	Hex-A
YCL040W	Hex-A
YFR053C	Hex-C
YGL253W	Hex-C
YDR516C	Hex-C
YCL040W	Hex-C
YJL085W	Exo70
YDR456W	Nhe1
YDR456W	Nhe3
YLR348C	CG16736
YLR348C	Dic2
YLR348C	Dic4
YLR348C	Dic3
YLR348C	Dic1
YOR101W	Ras64B
YOR101W	Ras85D
YGR152C	Rap1
YGR152C	Rap2l
YDR198C	CG33230
YBR114W	CG10445
YOR191W	CG10445
YBR114W	lds
YOR191W	lds
YDL132W	Cul2
YDL132W	Cul1
YGR003W	Cul3
YER031C	Rab11
YGL210W	Rab11
YOR136W	CG32026
YIL094C	CG32026
YOR136W	l(1)G0156
YIL094C	l(1)G0156
YNL037C	CG5028
YNL037C	CG7755
YNL037C	Idh3b
YPL165C	CG18213
YBR034C	CG32152
YBR034C	Art2
YBR034C	Art6
YBR034C	Art9
YBR034C	Art1
YNL021W	HDAC6
YER040W	GATAd
YFL021W	GATAd
YKR034W	GATAd
YJL110C	GATAd
YER040W	srp
YFL021W	srp
YKR034W	srp
YJL110C	srp
YER040W	GATAe
YFL021W	GATAe
YKR034W	GATAe
YJL110C	GATAe
YER040W	grn
YFL021W	grn
YKR034W	grn
YJL110C	grn
YER040W	pnr
YFL021W	pnr
YKR034W	pnr
YJL110C	pnr
YNL007C	CG7130
YNL007C	CG2887
YNL007C	DnaJ-1
YNL007C	CG5001
YMR297W	CG4572
YBR139W	CG4572
YER116C	CG8141
YER116C	CG34308
YGL006W	PMCA
YKL150W	CG7914
YGR155W	Cbs
YFR009W	CG9330
YER036C	CG1703
YER036C	CG9281
YOR208W	CG42327
YDL230W	Ptp61F
YDL230W	Ptp69D
YDL230W	Ptp99A
YDL230W	Lar
YKL029C	Men
YKL029C	Men-b
YKL029C	Menl-2
YKL029C	Menl-1
YNL101W	CG43693
YKL146W	CG43693
YNL101W	CG8785
YKL146W	CG8785
YNL101W	path
YKL146W	path
YNL101W	CG32081
YKL146W	CG32081
YNL101W	polyph
YKL146W	polyph
YNL101W	CG32079
YKL146W	CG32079
YNL101W	CG1139
YKL146W	CG1139
YNL101W	CG7888
YKL146W	CG7888
YNL101W	CG13384
YKL146W	CG13384
YNL101W	CG4991
YKL146W	CG4991
YNL101W	CG16700
YKL146W	CG16700
YNL305C	CG30379
YNL305C	CG33673
YNL305C	Lfg
YNL305C	Nmda1
YNL305C	CG9722
YNL305C	CG34430
YNR031C	Mekk1
YCR073C	Mekk1
YMR260C	eIF1A
YDR059C	eff
YBR082C	eff
YPR065W	Sox100B
YPR065W	Sox14
YPR065W	Sox21b
YPR065W	D
YPR065W	Sox21a
YPR065W	SoxN
YPL190C	B52
YDR432W	SF2
YGL205W	CG17544
YGL205W	CG9527
YGL205W	CG4586
YGL205W	Acox57D-p
YGL205W	Acox57D-d
YGL205W	CG5009
YAR042W	CG3860
YDL019C	CG3860
YOR207C	RpIII128
YOR151C	RpII140
YPR010C	RpI135
YLR299W	CG17636
YLR299W	Ggt-1
YLR299W	CG4829
YLR299W	CG1492
YMR186W	Gp93
YPL240C	Gp93
YMR186W	Trap1
YPL240C	Trap1
YMR186W	Hsp83
YPL240C	Hsp83
YFR030W	CG14882
YHR042W	Cpr
YPR048W	CG13667
YHL036W	gb
YHL036W	mnd
YHL036W	JhI-21
YHL036W	CG1607
YHL036W	CG9413
YOR163W	Aps
YIL047C	CG2901
YIL047C	CG10481
YIL047C	CG10483
YIL047C	CG7536
YDL002C	Dsp1
YPR052C	Dsp1
YBR089C-A	Dsp1
YOL094C	RfC4
YNL290W	RfC3
YJR068W	CG8142
YLR398C	tst
YJL050W	Mtr4
YPR138C	Amt
YGR121C	Amt
YNL142W	Amt
YOR341W	RpI1
YOR116C	CG17209
YDL140C	RpII215
YGL003C	fzr2
YGL003C	fzr
YCR065W	fd19B
YIL131C	slp1
YIL131C	FoxL1
YIL131C	fd59A
YDR481C	CG5361
YDR481C	CG16771
YDR481C	Alp4
YDR481C	phu
YDR481C	CG10827
YDR481C	CG5150
YDR481C	CG10592
YDR481C	CG1809
YDR481C	Alp1
YDR481C	CG3264
YDR481C	Alp2
YDR481C	CG3292
YDR481C	CG8105
YLL050C	CG6873
YLL050C	tsr
YOL060C	uex
YOR014W	wdb
YOR014W	wrd
YLR128W	SCCRO3
YLR128W	SCCRO
YLR128W	SCCRO4
YDR510W	smt3
YBL049W	CG15309
YBL049W	Yippee
YFL034C-B	Mob3
YIL106W	mats
YIL106W	Mob2
YOL123W	CG14506
YOL123W	Hrb27C
YOL123W	msi
YOL123W	Rbp6
YLR178C	CG7054
YLR179C	CG7054
YLR178C	Pebp1
YLR179C	Pebp1
YLR178C	CG30060
YLR179C	CG30060
YLR178C	CG17917
YLR179C	CG17917
YLR178C	a5
YLR179C	a5
YLR178C	CG17919
YLR179C	CG17919
YLR178C	CG6180
YLR179C	CG6180
YLR178C	CG10298
YLR179C	CG10298
YJR010W	Papss
YML015C	Taf11
YLR419W	CG8915
YLR419W	Rhau
YGR204W	pug
YBR084W	pug
YGR204W	Nmdmc
YBR084W	Nmdmc
YHR102W	GckIII
YDR523C	hpo
YAR019C	hpo
YCL033C	SelR
YHR128W	kri
YNR012W	l(2)k01209
YNR012W	Uck
YEL064C	CG13743
YAL038W	CG7069
YOR347C	CG7069
YAL038W	CG7362
YOR347C	CG7362
YAL038W	CG2964
YOR347C	CG2964
YAL038W	PyK
YOR347C	PyK
YPR031W	rno
YPR031W	Br140
YHR001W	CG42668
YKR003W	CG42668
YKL129C	Myo61F
YMR109W	Myo61F
YKL129C	Myo31DF
YMR109W	Myo31DF
YKR017C	ari-2
YKR017C	CG12362
YKR017C	ari-1
YBR118W	eEF1alpha2
YPR080W	eEF1alpha2
YBR118W	eEF1alpha1
YPR080W	eEF1alpha1
YAL058W	Cnx14D
YAL058W	Cnx99A
YAL058W	CG1924
YAL058W	Calr
YDR208W	sktl
YDR208W	PIP5K59B
YGR192C	Gapdh2
YJR009C	Gapdh2
YJL052W	Gapdh2
YGR192C	Gapdh1
YJR009C	Gapdh1
YJL052W	Gapdh1
YGR192C	CG9010
YJR009C	CG9010
YJL052W	CG9010
YDR099W	14-3-3epsilon
YER177W	14-3-3epsilon
YER165W	CG4612
YER165W	pAbp
YOR161C	Ctl1
YDR147W	CG2201
YLR133W	CG2201
YOR100C	colt
YBR104W	colt
YPR058W	colt
YOR100C	MME1
YBR104W	MME1
YPR058W	MME1
YPR141C	ncd
YBR296C	NaPi-III
YNL330C	HDAC1
YGL194C	HDAC3
YOR245C	CG1946
YOR245C	CG1942
YOR245C	CG1941
YJR036C	Ube3a
YJL216C	Mal-A3
YBR299W	Mal-A3
YGR292W	Mal-A3
YGR287C	Mal-A3
YOL157C	Mal-A3
YJL221C	Mal-A3
YIL172C	Mal-A3
YJL216C	Mal-A4
YBR299W	Mal-A4
YGR292W	Mal-A4
YGR287C	Mal-A4
YOL157C	Mal-A4
YJL221C	Mal-A4
YIL172C	Mal-A4
YJL216C	Mal-A5
YBR299W	Mal-A5
YGR292W	Mal-A5
YGR287C	Mal-A5
YOL157C	Mal-A5
YJL221C	Mal-A5
YIL172C	Mal-A5
YJL216C	Mal-A1
YBR299W	Mal-A1
YGR292W	Mal-A1
YGR287C	Mal-A1
YOL157C	Mal-A1
YJL221C	Mal-A1
YIL172C	Mal-A1
YJL216C	Mal-A6
YBR299W	Mal-A6
YGR292W	Mal-A6
YGR287C	Mal-A6
YOL157C	Mal-A6
YJL221C	Mal-A6
YIL172C	Mal-A6
YJL216C	Mal-A7
YBR299W	Mal-A7
YGR292W	Mal-A7
YGR287C	Mal-A7
YOL157C	Mal-A7
YJL221C	Mal-A7
YIL172C	Mal-A7
YJL216C	Mal-A8
YBR299W	Mal-A8
YGR292W	Mal-A8
YGR287C	Mal-A8
YOL157C	Mal-A8
YJL221C	Mal-A8
YIL172C	Mal-A8
YJL216C	Mal-A2
YBR299W	Mal-A2
YGR292W	Mal-A2
YGR287C	Mal-A2
YOL157C	Mal-A2
YJL221C	Mal-A2
YIL172C	Mal-A2
YJL216C	Mal-B1
YBR299W	Mal-B1
YGR292W	Mal-B1
YGR287C	Mal-B1
YOL157C	Mal-B1
YJL221C	Mal-B1
YIL172C	Mal-B1
YJL216C	Mal-B2
YBR299W	Mal-B2
YGR292W	Mal-B2
YGR287C	Mal-B2
YOL157C	Mal-B2
YJL221C	Mal-B2
