NCU05782	YGL078C
NCU01633	YJR158W
NCU01633	YDL245C
NCU01633	YFL011W
NCU01633	YMR011W
NCU01633	YJL219W
NCU01633	YOL156W
NCU01633	YDR343C
NCU01633	YDR342C
NCU01633	YHR092C
NCU01633	YLR081W
NCU01633	YJL214W
NCU01633	YHR096C
NCU01633	YDR345C
NCU01633	YHR094C
NCU06026	YDR536W
NCU00988	YDR536W
NCU05585	YDR536W
NCU06138	YDR536W
NCU06384	YDR536W
NCU05853	YDR536W
NCU07199	YDR536W
NCU08114	YDR536W
NCU11342	YDR536W
NCU00801	YDR536W
NCU00809	YDR536W
NCU05350	YDR536W
NCU05597	YDR536W
NCU08152	YDR536W
NCU02188	YDR536W
NCU01813	YDR536W
NCU01132	YDR536W
NCU09358	YDR536W
NCU00821	YDR536W
NCU01200	YHR057C
NCU01200	YDR304C
NCU03853	YLR216C
NCU00726	YML078W
NCU00726	YDR155C
NCU08052	YLL053C
NCU08052	YPR192W
NCU08052	YLL052C
NCU02558	YPL089C
NCU02558	YBR182C
NCU06382	YHL035C
NCU06382	YLL048C
NCU07276	YHL035C
NCU07276	YLL048C
NCU08358	YHL035C
NCU08358	YLL048C
NCU09820	YHL035C
NCU09820	YLL048C
NCU03591	YHL035C
NCU03591	YLL048C
NCU09012	YLL015W
NCU09012	YDR135C
NCU04161	YGR281W
NCU01431	YIL159W
NCU01431	YNL271C
NCU05618	YKR013W
NCU05618	YJL079C
NCU05618	YJL078C
NCU05731	YCR083W
NCU05731	YGR209C
NCU05731	YLR043C
NCU00598	YCR083W
NCU00598	YGR209C
NCU00598	YLR043C
NCU06556	YCR083W
NCU06556	YGR209C
NCU06556	YLR043C
NCU01612	YGL120C
NCU06735	YNR011C
NCU08928	YNR011C
NCU02728	YKR086W
NCU06318	YER013W
NCU04672	YHR032W
NCU04672	YDR338C
NCU00755	YHR032W
NCU00755	YDR338C
NCU07720	YHR032W
NCU07720	YDR338C
NCU09197	YKR099W
NCU04173	YFL039C
NCU02464	YDL225W
NCU02464	YDR218C
NCU02464	YJR076C
NCU03515	YCR002C
NCU08297	YLR314C
NCU03795	YGR059W
NCU03795	YHR107C
NCU03755	YHR176W
NCU09456	YHR176W
NCU07821	YHR176W
NCU07443	YER166W
NCU07443	YDR093W
NCU00352	YAL026C
NCU02148	YKL140W
NCU02319	YKL157W
NCU02319	YHR047C
NCU09228	YKL157W
NCU09228	YHR047C
NCU08439	YKL209C
NCU09975	YKL209C
NCU06011	YKL209C
NCU07546	YKL209C
NCU16398	YKL209C
NCU09443	YKL209C
NCU04433	YBR294W
NCU04433	YLR092W
NCU03235	YBR294W
NCU03235	YLR092W
NCU09642	YPR003C
NCU04054	YFL037W
NCU07536	YHR132C
NCU01464	YHR132C
NCU06493	YHR005C
NCU06729	YER020W
NCU05206	YER020W
NCU03026	YDR371W
NCU04554	YDR371W
NCU04883	YDR371W
NCU03209	YDR371W
NCU03498	YMR058W
NCU03498	YFL041W
NCU04593	YDR506C
NCU04005	YNL154C
NCU04005	YHR135C
NCU00685	YPL204W
NCU00587	YJL128C
NCU04612	YDL159W
NCU06419	YOR231W
NCU06419	YPL140C
NCU02689	YDL240W
NCU06668	YKR090W
NCU00018	YDL126C
NCU01809	YLL034C
NCU08373	YNL329C
NCU08118	YKL197C
NCU01154	YIR013C
NCU01154	YLR013W
NCU01154	YMR136W
NCU06305	YGR260W
NCU04568	YGR260W
NCU08428	YGR260W
NCU04374	YGR260W
NCU09027	YGR260W
NCU02238	YGR260W
NCU00803	YGR260W
NCU00782	YGR260W
NCU09698	YGR260W
NCU00195	YGR260W
NCU09678	YGR260W
NCU08715	YGR260W
NCU05519	YGR260W
NCU06159	YGR260W
NCU08407	YGR260W
NCU09654	YLL055W
NCU09654	YLR004C
NCU09654	YJR152W
NCU02653	YLL055W
NCU02653	YLR004C
NCU02653	YJR152W
NCU07620	YCR028C
NCU07820	YAL067C
NCU07820	YGR065C
NCU05884	YAL067C
NCU05884	YGR065C
NCU09039	YIL166C
NCU09831	YIL166C
NCU07609	YOL162W
NCU00043	YER133W
NCU07489	YPL179W
NCU07489	YDR436W
NCU07489	YML016C
NCU01047	YOL065C
NCU03298	YIL002C
NCU03298	YNL106C
NCU03298	YOR109W
NCU10907	YIL015W
NCU02273	YPL154C
NCU02626	YPL155C
NCU08512	YGL073W
NCU08480	YOR140W
NCU03947	YER125W
NCU08501	YDR457W
NCU01895	YLR006C
NCU05780	YNL229C
NCU04109	YNL229C
NCU01242	YDL155W
NCU01242	YLR210W
NCU02758	YGR109C
NCU02758	YPR120C
NCU02758	YGR108W
NCU02758	YPR119W
NCU11415	YPL268W
NCU02175	YPL268W
NCU06245	YPL268W
NCU01266	YPL268W
NCU06630	YDL134C
NCU06630	YDL188C
NCU06563	YNR032W
NCU03436	YDL047W
NCU08301	YDR075W
NCU06694	YLR372W
NCU06694	YCR034W
NCU09132	YML085C
NCU09132	YML124C
NCU09468	YML085C
NCU09468	YML124C
NCU03929	YOR317W
NCU03929	YMR246W
NCU03929	YIL009W
NCU04380	YOR317W
NCU04380	YMR246W
NCU04380	YIL009W
NCU01654	YER015W
NCU03241	YDR519W
NCU04140	YDR519W
NCU02455	YDR519W
NCU04371	YNL135C
NCU00121	YJR040W
NCU06444	YJR040W
NCU06624	YJR040W
NCU09842	YHR030C
NCU02393	YBL016W
NCU02393	YGR040W
NCU01249	YNL189W
NCU00378	YMR170C
NCU00378	YMR169C
NCU03415	YOR374W
NCU03415	YER073W
NCU03415	YPL061W
NCU08991	YDR328C
NCU00171	YBR109C
NCU02122	YNL275W
NCU01480	YNL275W
NCU08935	YBR222C
NCU04117	YPL270W
NCU04117	YLR188W
NCU04426	YFL029C
NCU07580	YPL031C
NCU09778	YBR160W
NCU02115	YDR373W
NCU08477	YFL038C
NCU06404	YFL005W
NCU05259	YGL055W
NCU08423	YDL070W
NCU08423	YLR399C
NCU04244	YPL232W
NCU04244	YMR183C
NCU02460	YPL232W
NCU02460	YMR183C
NCU08989	YBR164C
NCU08340	YDL137W
NCU08340	YDL192W
NCU01965	YGR094W
NCU00097	YPL177C
NCU00097	YGL096W
NCU06454	YLR229C
NCU02693	YGL001C
NCU02542	YFR053C
NCU02542	YGL253W
NCU04728	YDR516C
NCU04728	YCL040W
NCU06996	YDR516C
NCU06996	YCL040W
NCU00575	YDR516C
NCU00575	YCL040W
NCU08012	YJL085W
NCU00453	YDR456W
NCU01514	YLR348C
NCU06111	YOR101W
NCU03616	YOR101W
NCU02167	YGR152C
NCU09581	YHL039W
NCU02158	YDR198C
NCU09516	YLR032W
NCU03650	YBR114W
NCU04445	YOR191W
NCU04786	YOR191W
NCU00631	YOR191W
NCU05204	YDL132W
NCU02498	YGR003W
NCU01523	YER031C
NCU01523	YGL210W
NCU08776	YMR266W
NCU08776	YOL084W
NCU06986	YMR266W
NCU06986	YOL084W
NCU08316	YLL005C
NCU07971	YLR241W
NCU00789	YLR241W
NCU00434	YDL006W
NCU07697	YOR136W
NCU02954	YIL094C
NCU00775	YNL037C
NCU07459	YBR034C
NCU01525	YNL021W
NCU09068	YFL021W
NCU15829	YKR034W
NCU15829	YJL110C
NCU02783	YOL020W
NCU02783	YBR069C
NCU02783	YBR068C
NCU02783	YDR046C
NCU02783	YDR508C
NCU02783	YCL025C
NCU02783	YGR191W
NCU02783	YKR039W
NCU02783	YLL061W
NCU02783	YPL274W
NCU05830	YOL020W
NCU05830	YBR069C
NCU05830	YBR068C
NCU05830	YDR046C
NCU05830	YDR508C
NCU05830	YCL025C
NCU05830	YGR191W
NCU05830	YKR039W
NCU05830	YLL061W
NCU05830	YPL274W
NCU03509	YOL020W
NCU03509	YBR069C
NCU03509	YBR068C
NCU03509	YDR046C
NCU03509	YDR508C
NCU03509	YCL025C
NCU03509	YGR191W
NCU03509	YKR039W
NCU03509	YLL061W
NCU03509	YPL274W
NCU04435	YFL055W
NCU05168	YNL270C
NCU05168	YEL063C
NCU05168	YNL268W
NCU10276	YPL265W
NCU00721	YOR348C
NCU07129	YDR160W
NCU05198	YBR132C
NCU03732	YNL007C
NCU00477	YMR297W
NCU05980	YBR139W
NCU06720	YGL203C
NCU04316	YGL203C
NCU00275	YER116C
NCU05154	YGL006W
NCU04736	YGL006W
NCU06518	YKL150W
NCU03112	YKL150W
NCU00216	YIL043C
NCU02564	YGR012W
NCU08216	YGR155W
NCU04051	YFR009W
NCU08920	YER036C
NCU05364	YOR208W
NCU03651	YKL029C
NCU02906	YKL029C
NCU03783	YNL101W
NCU03783	YKL146W
NCU05775	YNL101W
NCU05775	YKL146W
NCU02463	YNL305C
NCU02608	YBR271W
NCU04602	YNL024C
NCU03071	YNR031C
NCU03071	YCR073C
NCU02234	YJL095W
NCU06182	YLR362W
NCU06700	YKL094W
NCU07437	YMR260C
NCU02289	YDR059C
NCU02289	YBR082C
NCU02636	YGR133W
NCU03481	YPR065W
NCU07392	YDR207C
NCU05767	YDR207C
NCU05414	YML099C
NCU05414	YBR240C
NCU03728	YDL170W
NCU00017	YDL170W
NCU09739	YDL170W
NCU05294	YDL170W
NCU02307	YDL170W
NCU07575	YDL170W
NCU09615	YDL170W
NCU02386	YDL170W
NCU00180	YDL170W
NCU06443	YDL170W
NCU09529	YDL170W
NCU07675	YDR034C
NCU12126	YDR034C
NCU07069	YDR432W
NCU00579	YAR042W
NCU00579	YDL019C
NCU04610	YHR073W
NCU01772	YOR207C
NCU05120	YOR151C
NCU08616	YPR010C
NCU09534	YIR037W
NCU09534	YBR244W
NCU09534	YKL026C
NCU01753	YLR299W
NCU02630	YDR258C
NCU00104	YLL026W
NCU04142	YMR186W
NCU04142	YPL240C
NCU03697	YFR030W
NCU04077	YFR030W
NCU09741	YHR042W
NCU09727	YPR048W
NCU05580	YNR055C
NCU06077	YNR055C
NCU17257	YNR055C
NCU09156	YNR055C
NCU11347	YNR055C
NCU08887	YNR055C
NCU00728	YNR055C
NCU07960	YNR055C
NCU01968	YNR055C
NCU07740	YBR008C
NCU07740	YOR273C
NCU03402	YBR008C
NCU03402	YOR273C
NCU09580	YLL028W
NCU06847	YLL028W
NCU09444	YHR048W
NCU10314	YHR048W
NCU03815	YHL036W
NCU07621	YGL255W
NCU04819	YLR130C
NCU11414	YLR130C
NCU00860	YLR130C
NCU01804	YOR163W
NCU04201	YIL047C
NCU07320	YMR079W
NCU07320	YKL091C
NCU02263	YMR079W
NCU02263	YKL091C
NCU02695	YDL002C
NCU02819	YPR052C
NCU02819	YBR089C-A
NCU09995	YPR052C
NCU09995	YBR089C-A
NCU10467	YOL094C
NCU08427	YNL290W
NCU02687	YJR068W
NCU01857	YLR398C
NCU03363	YJL050W
NCU03257	YPR138C
NCU03257	YGR121C
NCU01065	YNL142W
NCU01638	YOR341W
NCU03986	YOR116C
NCU02103	YDL140C
NCU01572	YGL116W
NCU01269	YGL003C
NCU06173	YCR065W
NCU00019	YIL131C
NCU01376	YDR481C
NCU08997	YDR481C
NCU01587	YLL050C
NCU04814	YOL060C
NCU03786	YOR014W
NCU05716	YLR128W
NCU09813	YDR510W
NCU00024	YBL049W
NCU01605	YIL106W
NCU17030	YOL123W
NCU01112	YLR178C
NCU01112	YLR179C
NCU09896	YKL001C
NCU01985	YJR010W
NCU07775	YML015C
NCU01143	YLR419W
NCU03877	YGR204W
NCU03877	YBR084W
NCU04096	YHR102W
NCU00772	YHR102W
NCU03891	YCL033C
NCU01446	YHR128W
NCU05224	YNR012W
NCU01481	YEL064C
NCU06075	YAL038W
NCU06075	YOR347C
NCU00045	YPR031W
NCU03258	YHR001W
NCU03258	YKR003W
NCU02111	YKL129C
NCU02111	YMR109W
NCU06882	YKR017C
NCU02003	YBR118W
NCU02003	YPR080W
NCU09265	YAL058W
NCU16699	YDR208W
NCU02295	YDR208W
NCU01528	YGR192C
NCU01528	YJR009C
NCU01528	YJL052W
NCU03300	YDR099W
NCU03300	YER177W
NCU02806	YDR099W
NCU02806	YER177W
NCU04799	YER165W
NCU08895	YOR161C
NCU03176	YDR147W
NCU03176	YLR133W
NCU07263	YOR100C
NCU02269	YBR104W
NCU02269	YPR058W
NCU04581	YPR141C
NCU09564	YBR296C
NCU00824	YNL330C
NCU02795	YGL194C
NCU02665	YOR245C
NCU04443	YBR046C
NCU06756	YJR036C
NCU06523	YJL216C
NCU06523	YBR299W
NCU06523	YGR292W
NCU06523	YGR287C
NCU06523	YOL157C
NCU06523	YJL221C
NCU06523	YIL172C
NCU07860	YJL216C
NCU07860	YBR299W
NCU07860	YGR292W
NCU07860	YGR287C
NCU07860	YOL157C
NCU07860	YJL221C
NCU07860	YIL172C
NCU07169	YGL104C
NCU07169	YBR241C
NCU01728	YIL107C
NCU01178	YLR345W
NCU09347	YJL155C
NCU00443	YDR002W
NCU06644	YDR002W
NCU08598	YMR190C
NCU07530	YLR034C
NCU07530	YOL122C
NCU07530	YHR050W
NCU08489	YLR034C
NCU08489	YOL122C
NCU08489	YHR050W
NCU03117	YLR432W
NCU03117	YAR073W
NCU03117	YHR216W
NCU03117	YML056C
NCU06970	YER099C
NCU06970	YBL068W
NCU06970	YHL011C
NCU01270	YOL061W
NCU01786	YOL061W
NCU00480	YJL197W
NCU09251	YJR085C
NCU08382	YPL147W
NCU01751	YKL188C
NCU08341	YDR270W
NCU06652	YDL168W
NCU10042	YMR323W
NCU10042	YPL281C
NCU10042	YOR393W
NCU10042	YHR174W
NCU10042	YGR254W
NCU03463	YOR270C
NCU04600	YER089C
NCU04600	YBL056W
NCU04600	YBR125C
NCU05049	YNL053W
NCU05049	YIL113W
NCU06252	YNL053W
NCU06252	YIL113W
NCU03796	YGL059W
NCU06760	YIL042C
NCU16821	YIL042C
NCU09477	YMR056C
NCU09477	YBR085W
NCU09477	YBL030C
NCU05862	YBR293W
NCU01095	YBR293W
NCU09551	YMR088C
NCU07918	YMR088C
NCU06040	YMR088C
NCU04322	YMR088C
NCU06544	YBL105C
NCU03749	YDR272W
NCU03749	YOR040W
NCU04185	YMR139W
NCU09715	YBR126C
NCU00793	YDR074W
NCU05041	YDR074W
NCU01238	YJR119C
NCU04292	YHR208W
NCU04292	YJR148W
NCU04754	YHR208W
NCU04754	YJR148W
NCU09309	YPR103W
NCU09091	YOR334W
NCU09091	YPL060W
NCU09223	YDR518W
NCU09223	YCL043C
NCU03837	YER027C
NCU03837	YGL208W
NCU03870	YHR146W
NCU03870	YNL173C
NCU04615	YIL147C
NCU02227	YJL172W
NCU11129	YJL172W
NCU07989	YJR058C
NCU10618	YLR170C
NCU05995	YLL039C
NCU07330	YLR083C
NCU07330	YDR107C
NCU07868	YGL049C
NCU07868	YGR162W
NCU08925	YMR020W
NCU10029	YER042W
NCU02015	YLR246W
NCU04783	YLR206W
NCU04783	YDL161W
NCU00725	YJR125C
NCU04098	YPL059W
NCU09803	YDR098C
NCU09803	YER174C
NCU09384	YDL154W
NCU02796	YNL097C
NCU02796	YOR064C
NCU02796	YHR090C
NCU03339	YPL091W
NCU03989	YPR011C
NCU01564	YNL083W
NCU02274	YLR058C
NCU05805	YBR263W
NCU00632	YEL016C
NCU00632	YCR026C
NCU04859	YOR025W
NCU03059	YDR191W
NCU00523	YPL015C
NCU04737	YDL042C
NCU04737	YOL068C
NCU01479	YER017C
NCU01479	YMR089C
NCU15835	YKR028W
NCU15835	YJL098W
NCU15835	YFR040W
NCU15835	YGL229C
NCU07723	YDL243C
NCU07723	YNL331C
NCU07723	YJR155W
NCU07723	YOL165C
NCU07723	YCR107W
NCU09141	YPR127W
NCU02930	YPR127W
NCU07402	YPR127W
NCU07701	YKR051W
NCU09040	YML131W
NCU02299	YML131W
NCU07755	YGR185C
NCU06307	YGL105W
NCU04319	YNL126W
NCU05296	YHR172W
NCU05453	YOR307C
NCU05453	YJL193W
NCU03846	YOL066C
NCU03846	YDL036C
NCU07337	YDR276C
NCU06317	YDL123W
NCU06317	YDR525W-A
NCU06317	YJL151C
NCU01545	YBL078C
NCU04133	YBR074W
NCU08402	YMR318C
NCU08402	YCR105W
NCU04823	YMR318C
NCU04823	YCR105W
NCU00260	YMR318C
NCU00260	YCR105W
NCU00269	YJL168C
NCU01219	YCL035C
NCU01219	YDR513W
NCU01197	YDR293C
NCU03065	YOL021C
NCU03460	YMR101C
NCU03460	YBR002C
NCU02738	YGR058W
NCU00742	YDL022W
NCU00742	YOL059W
NCU02549	YLR163C
NCU02549	YBL045C
NCU06270	YHR024C
NCU06022	YDR287W
NCU06022	YHR046C
NCU06348	YDR287W
NCU06348	YHR046C
NCU01337	YKL132C
NCU01337	YMR113W
NCU00893	YOR241W
NCU00892	YOR241W
NCU09560	YHR008C
NCU03187	YAR018C
NCU11278	YML054C
NCU07362	YML054C
NCU08272	YML054C
NCU04539	YML054C
NCU06171	YIR006C
NCU05029	YMR301C
NCU00168	YDL052C
NCU01949	YBR189W
NCU01949	YPL081W
NCU00028	YAL060W
NCU00028	YAL061W
NCU00891	YLR070C
NCU00891	YDL246C
NCU00891	YJR159W
NCU03505	YER169W
NCU03505	YDR096W
NCU03242	YNL161W
NCU07296	YNL161W
NCU08552	YKL170W
NCU02905	YBL087C
NCU02905	YER117W
NCU05225	YMR145C
NCU05225	YDL085W
NCU05225	YML120C
NCU08980	YMR145C
NCU08980	YDL085W
NCU08980	YML120C
NCU02826	YJR106W
NCU02826	YDL206W
NCU10763	YJL212C
NCU03171	YJL212C
NCU06352	YJL212C
NCU08397	YPR194C
NCU07894	YPR194C
NCU17261	YPR194C
NCU09688	YPL259C
NCU09673	YOL062C
NCU11371	YNR029C
NCU00424	YMR076C
NCU00667	YPL234C
NCU01332	YEL027W
NCU07742	YPL188W
NCU03741	YJR049C
NCU03741	YEL041W
NCU03267	YJR049C
NCU03267	YEL041W
NCU09270	YDR006C
NCU03466	YDR006C
NCU10477	YGL087C
NCU02076	YOL139C
NCU02778	YJR131W
NCU03784	YBR235W
NCU01302	YMR210W
NCU01302	YPL095C
NCU01302	YBR177C
NCU00230	YLL019C
NCU06211	YKL085W
NCU04899	YKL085W
NCU07941	YLR027C
NCU03124	YOR061W
NCU03124	YIL035C
NCU04289	YGR007W
NCU03880	YGR202C
NCU02433	YNL223W
NCU02741	YER095W
NCU08339	YGL200C
NCU03800	YOR016C
NCU03800	YAL007C
NCU03800	YDL018C
NCU11185	YJR110W
NCU03833	YKL190W
NCU06854	YPL235W
NCU03482	YDR190C
NCU00146	YBR201W
NCU00146	YDR411C
NCU04202	YKL067W
NCU03855	YPR072W
NCU03855	YIL038C
NCU03219	YNL238W
NCU06845	YDL114W
NCU03596	YNL231C
NCU03596	YNL264C
NCU08956	YER120W
NCU08956	YBL091C-A
NCU00116	YOR358W
NCU09111	YNL241C
NCU01342	YML012W
NCU09692	YDR284C
NCU02755	YDR284C
NCU05941	YDR284C
NCU01165	YCR094W
NCU01165	YNR048W
NCU01165	YNL323W
NCU07068	YJL094C
NCU05623	YJL143W
NCU00475	YML026C
NCU00475	YDR450W
NCU04462	YBR159W
NCU10185	YOR274W
NCU01763	YGR037C
NCU06346	YGR037C
NCU07659	YNL071W
NCU04013	YMR110C
NCU02955	YLR069C
NCU07021	YJL102W
NCU04856	YPR035W
NCU06724	YPR035W
NCU09162	YKL121W
NCU09162	YMR102C
NCU01779	YKL040C
NCU04647	YOR239W
NCU02716	YGR091W
NCU03154	YDR531W
NCU06469	YGL068W
NCU03129	YKL194C
NCU02380	YIL078W
NCU16019	Q0255
NCU16014	Q0110
NCU16014	Q0115
NCU16015	Q0110
NCU16015	Q0115
NCU16013	Q0120
NCU16013	Q0105
NCU10352	YDR378C
NCU01614	YPR182W
NCU00218	YMR138W
NCU07173	YOR094W
NCU01438	YKR048C
NCU05234	YLR262C
NCU04987	YDR492W
NCU04987	YOL002C
NCU07286	YPL170W
NCU00303	YPL199C
NCU01589	YLR259C
NCU06231	YJR001W
NCU07915	YOR292C
NCU04566	YDR477W
NCU05389	YPL020C
NCU07930	YER043C
NCU00465	YMR214W
NCU11102	YMR214W
NCU07414	YNL064C
NCU03623	YMR022W
NCU07264	YDR054C
NCU01188	YDR054C
NCU00895	YOR089C
NCU06410	YOR089C
NCU08309	YMR167W
NCU08020	YNL082W
NCU00440	YOR212W
NCU09076	YDL084W
NCU08269	YBR035C
NCU08070	YNL200C
NCU00202	YLR429W
NCU06999	YLR072W
NCU06999	YFL042C
NCU06999	YHR080C
NCU06999	YDR326C
NCU09882	YOR197W
NCU02400	YOR197W
NCU02657	YDR502C
NCU02657	YLR180W
NCU08626	YOR386W
NCU01409	YGL227W
NCU06994	YMR213W
NCU02578	YOL004W
NCU02830	YDR524C
NCU00768	YHR086W
NCU00768	YBR212W
NCU05269	YPL106C
NCU05269	YBR169C
NCU06922	YBR210W
NCU06922	YGL054C
NCU07931	YNL274C
NCU06923	YLR244C
NCU03769	YNL246W
NCU05251	YJR063W
NCU08941	YIL006W
NCU08941	YEL006W
NCU04180	YIL134W
NCU03910	YNL111C
NCU02677	YJR109C
NCU08287	YJL130C
NCU00261	YBL039C
NCU00261	YJR103W
NCU04118	YER052C
NCU03935	YJR139C
NCU02204	YOR295W
NCU02204	YMR233W
NCU00635	YHR193C
NCU07987	YGL184C
NCU09230	YAL012W
NCU01652	YLR303W
NCU01888	YJL035C
NCU07413	YPR062W
NCU07741	YDR018C
NCU07741	YBR042C
NCU06047	YGL123W
NCU06702	YPR028W
NCU01957	YPL036W
NCU01957	YGL008C
NCU01680	YPL036W
NCU01680	YGL008C
NCU03992	YDR129C
NCU09202	YMR216C
NCU05642	YNL247W
NCU05275	YIL148W
NCU05275	YKR094C
NCU02754	YOR039W
NCU05485	YGL019W
NCU01738	YOL001W
NCU08772	YIL050W
NCU08772	YER059W
NCU09288	YIL050W
NCU09288	YER059W
NCU01328	YPR074C
NCU01328	YBR117C
NCU00618	YKL156W
NCU00618	YHR021C
NCU05645	YDL087C
NCU08018	YNL168C
NCU07506	YNL168C
NCU03283	YNL168C
NCU01459	YNL167C
NCU01345	YNL167C
NCU00799	YMR321C
NCU00799	YLL062C
NCU00799	YPL273W
NCU07027	YPR160W
NCU00243	YER016W
NCU05425	YIL125W
NCU04209	YDL003W
NCU12069	YKL024C
NCU02812	YKL024C
NCU08026	YGR158C
NCU00812	YGR195W
NCU06189	YDR232W
NCU06107	YGL220W
NCU00264	YAL046C
NCU03946	YIR001C
NCU06471	YER023W
NCU00088	YDL236W
NCU08044	YMR226C
NCU00428	YHR031C
NCU00428	YML061C
NCU08032	YAR008W
NCU00277	YOR367W
NCU09332	YJR143C
NCU01912	YDL093W
NCU01912	YDL095W
NCU01648	YGR199W
NCU01648	YAL023C
NCU01648	YOR321W
NCU06617	YGL106W
NCU03407	YPR165W
NCU01484	YNL090W
NCU08683	YNL090W
NCU16559	YNL090W
NCU06482	YER178W
NCU11109	YGR038W
NCU11109	YLR350W
NCU02347	YDR170C
NCU07658	YDR170C
NCU06257	YJL044C
NCU03892	YML127W
NCU01318	YPR181C
NCU03777	YDR036C
NCU06402	YGR060W
NCU05302	YHR168W
NCU06213	YDR409W
NCU06213	YOR156C
NCU09248	YBL021C
NCU04442	YBR019C
NCU01913	YJL203W
NCU02586	YHR161C
NCU02586	YGR241C
NCU09696	YPR088C
NCU09001	YNR052C
NCU07542	YEL037C
NCU03973	YDR111C
NCU03973	YLR089C
NCU03033	YGL237C
NCU06144	YGL216W
NCU08791	YGR088W
NCU08791	YDR256C
NCU00355	YGR088W
NCU00355	YDR256C
NCU05169	YGR088W
NCU05169	YDR256C
NCU08325	YML123C
NCU08267	YGR271W
NCU02685	YER172C
NCU10058	YKL127W
NCU10058	YMR105C
NCU00469	YAL020C
NCU02090	YDR441C
NCU02090	YML022W
NCU05837	YLL040C
NCU01333	YGL012W
NCU08762	YNL280C
NCU01195	YAL062W
NCU01195	YOR375C
NCU02786	YMR099C
NCU03151	YLR109W
NCU04720	YNR074C
NCU01119	YHR072W
NCU06380	YIL023C
NCU05273	YDR484W
NCU07719	YPL117C
NCU00066	YGR278W
NCU00648	YGL077C
NCU00648	YNR056C
NCU05776	YKL174C
NCU07175	YDL210W
NCU02250	Q0130
NCU16027	Q0130
NCU02514	YBL099W
NCU01692	YNR001C
NCU01692	YCR005C
NCU02482	YPR001W
NCU08336	YJL045W
NCU08336	YKL148C
NCU04370	YKL210W
NCU00958	YHR076W
NCU02563	YGL043W
NCU02563	YKL005C
NCU06586	YNL155W
NCU00706	YNL162W
NCU00706	YHR141C
NCU08135	YDR097C
NCU08115	YCR092C
NCU03523	YGL179C
NCU03523	YER129W
NCU06177	YGL179C
NCU06177	YER129W
NCU09871	YOR257W
NCU00148	YIL124W
NCU06716	YIL124W
NCU16596	YIL124W
NCU04592	YIL124W
NCU02922	YIL124W
NCU07904	YIL124W
NCU07872	YJL141C
NCU09264	YJR024C
NCU06228	YEL038W
NCU07558	YDL001W
NCU08370	YFR048W
NCU02271	YDR282C
NCU09237	YBR233W
