CG7878	Ddx43
His2B:CG33868	Hist2h2bb
His2B:CG33868	Hist1h2bp
His2B:CG33868	Hist1h2bm
His2B:CG33868	Hist1h2be
His2B:CG33868	Hist1h2bg
His2B:CG33868	Hist1h2bh
His2B:CG33868	Hist1h2bc
His2B:CG33868	Hist1h2bb
His2B:CG33868	Hist1h2bq
His2B:CG33868	Hist1h2br
His2B:CG33868	Hist1h2bl
His2B:CG33868	Hist1h2bf
His2B:CG33868	Hist1h2bj
His2B:CG33868	Hist1h2bn
His2B:CG33868	Hist1h2bk
His2B:CG33868	Hist2h2be
His2B:CG33894	Hist1h2ba
His2B:CG33894	Hist3h2ba
His2B:CG33894	Hist2h2bb
His2B:CG33894	Hist1h2bp
His2B:CG33894	Hist1h2bm
His2B:CG33894	Hist1h2be
His2B:CG33894	Hist1h2bg
His2B:CG33894	Hist1h2bh
His2B:CG33894	Hist1h2bc
His2B:CG33894	Hist1h2bb
His2B:CG33894	Hist1h2bq
His2B:CG33894	Hist1h2br
His2B:CG33894	Hist1h2bl
His2B:CG33894	Hist1h2bf
His2B:CG33894	Hist1h2bj
His2B:CG33894	Hist1h2bn
His2B:CG33894	Hist1h2bk
His2B:CG33894	Hist2h2be
His2B:CG33906	Hist1h2ba
His2B:CG33906	Hist3h2ba
His2B:CG33906	Hist2h2bb
His2B:CG33906	Hist1h2bp
His2B:CG33906	Hist1h2bm
His2B:CG33906	Hist1h2be
His2B:CG33906	Hist1h2bg
His2B:CG33906	Hist1h2bh
His2B:CG33906	Hist1h2bc
His2B:CG33906	Hist1h2bb
His2B:CG33906	Hist1h2bq
His2B:CG33906	Hist1h2br
His2B:CG33906	Hist1h2bl
His2B:CG33906	Hist1h2bf
His2B:CG33906	Hist1h2bj
His2B:CG33906	Hist1h2bn
His2B:CG33906	Hist1h2bk
His2B:CG33906	Hist2h2be
His2B:CG33908	Hist1h2ba
His2B:CG33908	Hist3h2ba
His2B:CG33908	Hist2h2bb
His2B:CG33908	Hist1h2bp
His2B:CG33908	Hist1h2bm
His2B:CG33908	Hist1h2be
His2B:CG33908	Hist1h2bg
His2B:CG33908	Hist1h2bh
His2B:CG33908	Hist1h2bc
His2B:CG33908	Hist1h2bb
His2B:CG33908	Hist1h2bq
His2B:CG33908	Hist1h2br
His2B:CG33908	Hist1h2bl
His2B:CG33908	Hist1h2bf
His2B:CG33908	Hist1h2bj
His2B:CG33908	Hist1h2bn
His2B:CG33908	Hist1h2bk
His2B:CG33908	Hist2h2be
His2B:CG33902	Hist1h2ba
His2B:CG33902	Hist3h2ba
His2B:CG33902	Hist2h2bb
His2B:CG33902	Hist1h2bp
His2B:CG33902	Hist1h2bm
His2B:CG33902	Hist1h2be
His2B:CG33902	Hist1h2bg
His2B:CG33902	Hist1h2bh
His2B:CG33902	Hist1h2bc
His2B:CG33902	Hist1h2bb
His2B:CG33902	Hist1h2bq
His2B:CG33902	Hist1h2br
His2B:CG33902	Hist1h2bl
His2B:CG33902	Hist1h2bf
His2B:CG33902	Hist1h2bj
His2B:CG33902	Hist1h2bn
His2B:CG33902	Hist1h2bk
His2B:CG33902	Hist2h2be
His2B:CG33904	Hist1h2ba
His2B:CG33904	Hist3h2ba
His2B:CG33904	Hist2h2bb
His2B:CG33904	Hist1h2bp
His2B:CG33904	Hist1h2bm
His2B:CG33904	Hist1h2be
His2B:CG33904	Hist1h2bg
His2B:CG33904	Hist1h2bh
His2B:CG33904	Hist1h2bc
His2B:CG33904	Hist1h2bb
His2B:CG33904	Hist1h2bq
His2B:CG33904	Hist1h2br
His2B:CG33904	Hist1h2bl
His2B:CG33904	Hist1h2bf
His2B:CG33904	Hist1h2bj
His2B:CG33904	Hist1h2bn
His2B:CG33904	Hist1h2bk
His2B:CG33904	Hist2h2be
His2B:CG17949	Hist1h2ba
His2B:CG17949	Hist3h2ba
His2B:CG17949	Hist2h2bb
His2B:CG17949	Hist1h2bp
His2B:CG17949	Hist1h2bm
His2B:CG17949	Hist1h2be
His2B:CG17949	Hist1h2bg
His2B:CG17949	Hist1h2bh
His2B:CG17949	Hist1h2bc
His2B:CG17949	Hist1h2bb
His2B:CG17949	Hist1h2bq
His2B:CG17949	Hist1h2br
His2B:CG17949	Hist1h2bl
His2B:CG17949	Hist1h2bf
His2B:CG17949	Hist1h2bj
His2B:CG17949	Hist1h2bn
His2B:CG17949	Hist1h2bk
His2B:CG17949	Hist2h2be
His2B:CG33900	Hist1h2ba
His2B:CG33900	Hist3h2ba
His2B:CG33900	Hist2h2bb
His2B:CG33900	Hist1h2bp
His2B:CG33900	Hist1h2bm
His2B:CG33900	Hist1h2be
His2B:CG33900	Hist1h2bg
His2B:CG33900	Hist1h2bh
His2B:CG33900	Hist1h2bc
His2B:CG33900	Hist1h2bb
His2B:CG33900	Hist1h2bq
His2B:CG33900	Hist1h2br
His2B:CG33900	Hist1h2bl
His2B:CG33900	Hist1h2bf
His2B:CG33900	Hist1h2bj
His2B:CG33900	Hist1h2bn
His2B:CG33900	Hist1h2bk
His2B:CG33900	Hist2h2be
His2B:CG33898	Hist1h2ba
His2B:CG33898	Hist3h2ba
His2B:CG33898	Hist2h2bb
His2B:CG33898	Hist1h2bp
His2B:CG33898	Hist1h2bm
His2B:CG33898	Hist1h2be
His2B:CG33898	Hist1h2bg
His2B:CG33898	Hist1h2bh
His2B:CG33898	Hist1h2bc
His2B:CG33898	Hist1h2bb
His2B:CG33898	Hist1h2bq
His2B:CG33898	Hist1h2br
His2B:CG33898	Hist1h2bl
His2B:CG33898	Hist1h2bf
His2B:CG33898	Hist1h2bj
His2B:CG33898	Hist1h2bn
His2B:CG33898	Hist1h2bk
His2B:CG33898	Hist2h2be
His2B:CG33896	Hist1h2ba
His2B:CG33896	Hist3h2ba
His2B:CG33896	Hist2h2bb
His2B:CG33896	Hist1h2bp
His2B:CG33896	Hist1h2bm
His2B:CG33896	Hist1h2be
His2B:CG33896	Hist1h2bg
His2B:CG33896	Hist1h2bh
His2B:CG33896	Hist1h2bc
His2B:CG33896	Hist1h2bb
His2B:CG33896	Hist1h2bq
His2B:CG33896	Hist1h2br
His2B:CG33896	Hist1h2bl
His2B:CG33896	Hist1h2bf
His2B:CG33896	Hist1h2bj
His2B:CG33896	Hist1h2bn
His2B:CG33896	Hist1h2bk
His2B:CG33896	Hist2h2be
His2B:CG33892	Hist1h2ba
His2B:CG33892	Hist3h2ba
His2B:CG33892	Hist2h2bb
His2B:CG33892	Hist1h2bp
His2B:CG33892	Hist1h2bm
His2B:CG33892	Hist1h2be
His2B:CG33892	Hist1h2bg
His2B:CG33892	Hist1h2bh
His2B:CG33892	Hist1h2bc
His2B:CG33892	Hist1h2bb
His2B:CG33892	Hist1h2bq
His2B:CG33892	Hist1h2br
His2B:CG33892	Hist1h2bl
His2B:CG33892	Hist1h2bf
His2B:CG33892	Hist1h2bj
His2B:CG33892	Hist1h2bn
His2B:CG33892	Hist1h2bk
His2B:CG33892	Hist2h2be
His2A:CG33841	H2afx
His2A:CG33841	Hist2h2ab
His2A:CG33841	H2afj
His2A:CG33841	Hist2h2ac
His2A:CG33841	Hist1h2aa
His2A:CG33841	Hist2h2aa1
His2A:CG33841	Hist2h2aa2
His2A:CG33841	Hist1h2af
His2A:CG33841	Hist1h2ag
His2A:CG33841	Hist1h2ap
His2A:CG33841	Hist1h2ao
His2A:CG33841	Hist1h2ad
His2A:CG33841	Hist1h2ac
His2A:CG33841	Hist1h2ai
His2A:CG33841	Hist1h2ab
His2A:CG33841	Hist1h2an
His2A:CG33841	Hist1h2ae
His2A:CG33841	Hist1h2ak
His2A:CG33841	Hist1h2ah
His2A:CG33841	Hist3h2a
His2A:CG33844	H2afx
His2A:CG33844	Hist2h2ab
His2A:CG33844	H2afj
His2A:CG33844	Hist2h2ac
His2A:CG33844	Hist1h2aa
His2A:CG33844	Hist2h2aa1
His2A:CG33844	Hist2h2aa2
His2A:CG33844	Hist1h2af
His2A:CG33844	Hist1h2ag
His2A:CG33844	Hist1h2ap
His2A:CG33844	Hist1h2ao
His2A:CG33844	Hist1h2ad
His2A:CG33844	Hist1h2ac
His2A:CG33844	Hist1h2ai
His2A:CG33844	Hist1h2ab
His2A:CG33844	Hist1h2an
His2A:CG33844	Hist1h2ae
His2A:CG33844	Hist1h2ak
His2A:CG33844	Hist1h2ah
His2A:CG33844	Hist3h2a
His2A:CG33808	H2afx
His2A:CG33808	Hist2h2ab
His2A:CG33808	H2afj
His2A:CG33808	Hist2h2ac
His2A:CG33808	Hist1h2aa
His2A:CG33808	Hist2h2aa1
His2A:CG33808	Hist2h2aa2
His2A:CG33808	Hist1h2af
His2A:CG33808	Hist1h2ag
His2A:CG33808	Hist1h2ap
His2A:CG33808	Hist1h2ao
His2A:CG33808	Hist1h2ad
His2A:CG33808	Hist1h2ac
His2A:CG33808	Hist1h2ai
His2A:CG33808	Hist1h2ab
His2A:CG33808	Hist1h2an
His2A:CG33808	Hist1h2ae
His2A:CG33808	Hist1h2ak
His2A:CG33808	Hist1h2ah
His2A:CG33808	Hist3h2a
His2A:CG33847	H2afx
His2A:CG33847	Hist2h2ab
His2A:CG33847	H2afj
His2A:CG33847	Hist2h2ac
His2A:CG33847	Hist1h2aa
His2A:CG33847	Hist2h2aa1
His2A:CG33847	Hist2h2aa2
His2A:CG33847	Hist1h2af
His2A:CG33847	Hist1h2ag
His2A:CG33847	Hist1h2ap
His2A:CG33847	Hist1h2ao
His2A:CG33847	Hist1h2ad
His2A:CG33847	Hist1h2ac
His2A:CG33847	Hist1h2ai
His2A:CG33847	Hist1h2ab
His2A:CG33847	Hist1h2an
His2A:CG33847	Hist1h2ae
His2A:CG33847	Hist1h2ak
His2A:CG33847	Hist1h2ah
His2A:CG33847	Hist3h2a
His2A:CG33838	H2afx
His2A:CG33838	Hist2h2ab
His2A:CG33838	H2afj
His2A:CG33838	Hist2h2ac
His2A:CG33838	Hist1h2aa
His2A:CG33838	Hist2h2aa1
His2A:CG33838	Hist2h2aa2
His2A:CG33838	Hist1h2af
His2A:CG33838	Hist1h2ag
His2A:CG33838	Hist1h2ap
His2A:CG33838	Hist1h2ao
His2A:CG33838	Hist1h2ad
His2A:CG33838	Hist1h2ac
His2A:CG33838	Hist1h2ai
His2A:CG33838	Hist1h2ab
His2A:CG33838	Hist1h2an
His2A:CG33838	Hist1h2ae
His2A:CG33838	Hist1h2ak
His2A:CG33838	Hist1h2ah
His2A:CG33838	Hist3h2a
His2A:CG33835	H2afx
His2A:CG33835	Hist2h2ab
His2A:CG33835	H2afj
His2A:CG33835	Hist2h2ac
His2A:CG33835	Hist1h2aa
His2A:CG33835	Hist2h2aa1
His2A:CG33835	Hist2h2aa2
His2A:CG33835	Hist1h2af
His2A:CG33835	Hist1h2ag
His2A:CG33835	Hist1h2ap
His2A:CG33835	Hist1h2ao
His2A:CG33835	Hist1h2ad
His2A:CG33835	Hist1h2ac
His2A:CG33835	Hist1h2ai
His2A:CG33835	Hist1h2ab
His2A:CG33835	Hist1h2an
His2A:CG33835	Hist1h2ae
His2A:CG33835	Hist1h2ak
His2A:CG33835	Hist1h2ah
His2A:CG33835	Hist3h2a
His2A:CG33832	H2afx
His2A:CG33832	Hist2h2ab
His2A:CG33832	H2afj
His2A:CG33832	Hist2h2ac
His2A:CG33832	Hist1h2aa
His2A:CG33832	Hist2h2aa1
His2A:CG33832	Hist2h2aa2
His2A:CG33832	Hist1h2af
His2A:CG33832	Hist1h2ag
His2A:CG33832	Hist1h2ap
His2A:CG33832	Hist1h2ao
His2A:CG33832	Hist1h2ad
His2A:CG33832	Hist1h2ac
His2A:CG33832	Hist1h2ai
His2A:CG33832	Hist1h2ab
His2A:CG33832	Hist1h2an
His2A:CG33832	Hist1h2ae
His2A:CG33832	Hist1h2ak
His2A:CG33832	Hist1h2ah
His2A:CG33832	Hist3h2a
His2A:CG31618	H2afx
His2A:CG31618	Hist2h2ab
His2A:CG31618	H2afj
His2A:CG31618	Hist2h2ac
His2A:CG31618	Hist1h2aa
His2A:CG31618	Hist2h2aa1
His2A:CG31618	Hist2h2aa2
His2A:CG31618	Hist1h2af
His2A:CG31618	Hist1h2ag
His2A:CG31618	Hist1h2ap
His2A:CG31618	Hist1h2ao
His2A:CG31618	Hist1h2ad
His2A:CG31618	Hist1h2ac
His2A:CG31618	Hist1h2ai
His2A:CG31618	Hist1h2ab
His2A:CG31618	Hist1h2an
His2A:CG31618	Hist1h2ae
His2A:CG31618	Hist1h2ak
His2A:CG31618	Hist1h2ah
His2A:CG31618	Hist3h2a
His2A:CG33865	H2afx
His2A:CG33865	Hist2h2ab
His2A:CG33865	H2afj
His2A:CG33865	Hist2h2ac
His2A:CG33865	Hist1h2aa
His2A:CG33865	Hist2h2aa1
His2A:CG33865	Hist2h2aa2
His2A:CG33865	Hist1h2af
His2A:CG33865	Hist1h2ag
His2A:CG33865	Hist1h2ap
His2A:CG33865	Hist1h2ao
His2A:CG33865	Hist1h2ad
His2A:CG33865	Hist1h2ac
His2A:CG33865	Hist1h2ai
His2A:CG33865	Hist1h2ab
His2A:CG33865	Hist1h2an
His2A:CG33865	Hist1h2ae
His2A:CG33865	Hist1h2ak
His2A:CG33865	Hist1h2ah
His2A:CG33865	Hist3h2a
His2A:CG33862	H2afx
His2A:CG33862	Hist2h2ab
His2A:CG33862	H2afj
His2A:CG33862	Hist2h2ac
His2A:CG33862	Hist1h2aa
His2A:CG33862	Hist2h2aa1
His2A:CG33862	Hist2h2aa2
His2A:CG33862	Hist1h2af
His2A:CG33862	Hist1h2ag
His2A:CG33862	Hist1h2ap
His2A:CG33862	Hist1h2ao
His2A:CG33862	Hist1h2ad
His2A:CG33862	Hist1h2ac
His2A:CG33862	Hist1h2ai
His2A:CG33862	Hist1h2ab
His2A:CG33862	Hist1h2an
His2A:CG33862	Hist1h2ae
His2A:CG33862	Hist1h2ak
His2A:CG33862	Hist1h2ah
His2A:CG33862	Hist3h2a
His2A:CG33829	H2afx
His2A:CG33829	Hist2h2ab
His2A:CG33829	H2afj
His2A:CG33829	Hist2h2ac
His2A:CG33829	Hist1h2aa
His2A:CG33829	Hist2h2aa1
His2A:CG33829	Hist2h2aa2
His2A:CG33829	Hist1h2af
His2A:CG33829	Hist1h2ag
His2A:CG33829	Hist1h2ap
His2A:CG33829	Hist1h2ao
His2A:CG33829	Hist1h2ad
His2A:CG33829	Hist1h2ac
His2A:CG33829	Hist1h2ai
His2A:CG33829	Hist1h2ab
His2A:CG33829	Hist1h2an
His2A:CG33829	Hist1h2ae
His2A:CG33829	Hist1h2ak
His2A:CG33829	Hist1h2ah
His2A:CG33829	Hist3h2a
His2A:CG33823	H2afx
His2A:CG33823	Hist2h2ab
His2A:CG33823	H2afj
His2A:CG33823	Hist2h2ac
His2A:CG33823	Hist1h2aa
His2A:CG33823	Hist2h2aa1
His2A:CG33823	Hist2h2aa2
His2A:CG33823	Hist1h2af
His2A:CG33823	Hist1h2ag
His2A:CG33823	Hist1h2ap
His2A:CG33823	Hist1h2ao
His2A:CG33823	Hist1h2ad
His2A:CG33823	Hist1h2ac
His2A:CG33823	Hist1h2ai
His2A:CG33823	Hist1h2ab
His2A:CG33823	Hist1h2an
His2A:CG33823	Hist1h2ae
His2A:CG33823	Hist1h2ak
His2A:CG33823	Hist1h2ah
His2A:CG33823	Hist3h2a
His2A:CG33820	H2afx
His2A:CG33820	Hist2h2ab
His2A:CG33820	H2afj
His2A:CG33820	Hist2h2ac
His2A:CG33820	Hist1h2aa
His2A:CG33820	Hist2h2aa1
His2A:CG33820	Hist2h2aa2
His2A:CG33820	Hist1h2af
His2A:CG33820	Hist1h2ag
His2A:CG33820	Hist1h2ap
His2A:CG33820	Hist1h2ao
His2A:CG33820	Hist1h2ad
His2A:CG33820	Hist1h2ac
His2A:CG33820	Hist1h2ai
His2A:CG33820	Hist1h2ab
His2A:CG33820	Hist1h2an
His2A:CG33820	Hist1h2ae
His2A:CG33820	Hist1h2ak
His2A:CG33820	Hist1h2ah
His2A:CG33820	Hist3h2a
His2A:CG33826	H2afx
His2A:CG33826	Hist2h2ab
His2A:CG33826	H2afj
His2A:CG33826	Hist2h2ac
His2A:CG33826	Hist1h2aa
His2A:CG33826	Hist2h2aa1
His2A:CG33826	Hist2h2aa2
His2A:CG33826	Hist1h2af
His2A:CG33826	Hist1h2ag
His2A:CG33826	Hist1h2ap
His2A:CG33826	Hist1h2ao
His2A:CG33826	Hist1h2ad
His2A:CG33826	Hist1h2ac
His2A:CG33826	Hist1h2ai
His2A:CG33826	Hist1h2ab
His2A:CG33826	Hist1h2an
His2A:CG33826	Hist1h2ae
His2A:CG33826	Hist1h2ak
His2A:CG33826	Hist1h2ah
His2A:CG33826	Hist3h2a
His2A:CG33817	H2afx
His2A:CG33817	Hist2h2ab
His2A:CG33817	H2afj
His2A:CG33817	Hist2h2ac
His2A:CG33817	Hist1h2aa
His2A:CG33817	Hist2h2aa1
His2A:CG33817	Hist2h2aa2
His2A:CG33817	Hist1h2af
His2A:CG33817	Hist1h2ag
His2A:CG33817	Hist1h2ap
His2A:CG33817	Hist1h2ao
His2A:CG33817	Hist1h2ad
His2A:CG33817	Hist1h2ac
His2A:CG33817	Hist1h2ai
His2A:CG33817	Hist1h2ab
His2A:CG33817	Hist1h2an
His2A:CG33817	Hist1h2ae
His2A:CG33817	Hist1h2ak
His2A:CG33817	Hist1h2ah
His2A:CG33817	Hist3h2a
His2A:CG33814	H2afx
His2A:CG33814	Hist2h2ab
His2A:CG33814	H2afj
His2A:CG33814	Hist2h2ac
His2A:CG33814	Hist1h2aa
His2A:CG33814	Hist2h2aa1
His2A:CG33814	Hist2h2aa2
His2A:CG33814	Hist1h2af
His2A:CG33814	Hist1h2ag
His2A:CG33814	Hist1h2ap
His2A:CG33814	Hist1h2ao
His2A:CG33814	Hist1h2ad
His2A:CG33814	Hist1h2ac
His2A:CG33814	Hist1h2ai
His2A:CG33814	Hist1h2ab
His2A:CG33814	Hist1h2an
His2A:CG33814	Hist1h2ae
His2A:CG33814	Hist1h2ak
His2A:CG33814	Hist1h2ah
His2A:CG33814	Hist3h2a
His2A:CG33850	H2afx
His2A:CG33850	Hist2h2ab
His2A:CG33850	H2afj
His2A:CG33850	Hist2h2ac
His2A:CG33850	Hist1h2aa
His2A:CG33850	Hist2h2aa1
His2A:CG33850	Hist2h2aa2
His2A:CG33850	Hist1h2af
His2A:CG33850	Hist1h2ag
His2A:CG33850	Hist1h2ap
His2A:CG33850	Hist1h2ao
His2A:CG33850	Hist1h2ad
His2A:CG33850	Hist1h2ac
His2A:CG33850	Hist1h2ai
His2A:CG33850	Hist1h2ab
His2A:CG33850	Hist1h2an
His2A:CG33850	Hist1h2ae
His2A:CG33850	Hist1h2ak
His2A:CG33850	Hist1h2ah
His2A:CG33850	Hist3h2a
His2A:CG33859	H2afx
His2A:CG33859	Hist2h2ab
His2A:CG33859	H2afj
His2A:CG33859	Hist2h2ac
His2A:CG33859	Hist1h2aa
