Synpcc7942_1294	CHLRE16g665364v5
Synpcc7942_1324	CHLRE02g117900v5
Synpcc7942_1324	CHLRE01g027150v5
Synpcc7942_0442	CHLRE12g531000v5
Synpcc7942_2279	CHLRE12g531000v5
Synpcc7942_0442	CHLRE02g111050v5
Synpcc7942_2279	CHLRE02g111050v5
Synpcc7942_1523	CHLRE12g529600v5
Synpcc7942_2525	CHLRE12g500950v5
Synpcc7942_1554	CHLRE12g500950v5
Synpcc7942_2525	CHLRE12g486100v5
Synpcc7942_1554	CHLRE12g486100v5
Synpcc7942_2537	CHLRE16g682900v5
Synpcc7942_2538	CHLRE03g204350v5
Synpcc7942_2538	CHLRE07g331500v5
Synpcc7942_2538	CHLRE14g619100v5
Synpcc7942_0939	CHLRE16g677500v5
Synpcc7942_0295	CHLRE03g203850v5
Synpcc7942_0295	CHLRE02g107450v5
Synpcc7942_0777	CHLRE03g182450v5
Synpcc7942_0777	CHLRE17g698450v5
Synpcc7942_2190	CHLRE03g195850v5
Synpcc7942_0352	CHLRE14g615100v5
Synpcc7942_0352	CHLRE14g615000v5
Synpcc7942_0352	CHLRE01g042050v5
Synpcc7942_0098	CHLRE12g533550v5
Synpcc7942_0585	CHLRE01g028350v5
Synpcc7942_1101	CHLRE01g028350v5
Synpcc7942_0585	CHLRE14g630550v5
Synpcc7942_1101	CHLRE14g630550v5
Synpcc7942_0585	CHLRE12g498500v5
Synpcc7942_1101	CHLRE12g498500v5
Synpcc7942_0585	CHLRE02g088400v5
Synpcc7942_1101	CHLRE02g088400v5
Synpcc7942_0585	CHLRE02g110600v5
Synpcc7942_1101	CHLRE02g110600v5
Synpcc7942_0481	CHLRE02g092000v5
Synpcc7942_1835	CHLRE03g145527v5
Synpcc7942_1835	CHLRE05g245451v5
Synpcc7942_1835	CHLRE16g690900v5
Synpcc7942_1835	CHLRE12g526700v5
Synpcc7942_1939	CHLRE07g354200v5
Synpcc7942_0245	CHLRE12g485150v5
Synpcc7942_0184	CHLRE02g144650v5
Synpcc7942_0184	CHLRE02g144600v5
Synpcc7942_0184	CHLRE02g144750v5
Synpcc7942_0184	CHLRE02g144700v5
Synpcc7942_0184	CHLRE16g655200v5
Synpcc7942_0184	CHLRE12g489400v5
Synpcc7942_0184	CHLRE07g325741v5
Synpcc7942_0184	CHLRE07g325740v5
Synpcc7942_0184	CHLRE12g493404v5
Synpcc7942_0184	CHLRE12g491600v5
Synpcc7942_0184	CHLRE16g676757v5
Synpcc7942_0184	CHLRE12g495953v5
Synpcc7942_0216	CHLRE16g674050v5
Synpcc7942_1516	CHLRE16g691888v5
Synpcc7942_1516	CHLRE16g652150v5
Synpcc7942_1301	CHLRE16g673393v5
Synpcc7942_1831	CHLRE14g614300v5
Synpcc7942_2113	CHLRE08g378850v5
Synpcc7942_0622	CHLRE01g001350v5
Synpcc7942_0622	CHLRE10g439000v5
Synpcc7942_1570	CHLRE09g406400v5
Synpcc7942_2317	CHLRE09g406400v5
Synpcc7942_1570	CHLRE16g682369v5
Synpcc7942_2317	CHLRE16g682369v5
Synpcc7942_1570	CHLRE10g422201v5
Synpcc7942_2317	CHLRE10g422201v5
Synpcc7942_1570	CHLRE10g424775v5
Synpcc7942_2317	CHLRE10g424775v5
Synpcc7942_0459	CHLRE12g543350v5
Synpcc7942_0459	CHLRE12g543400v5
Synpcc7942_0639	CHLRE12g513200v5
Synpcc7942_2309	CHLRE02g114600v5
Synpcc7942_2309	CHLRE17g743897v5
Synpcc7942_2309	CHLRE06g257601v5
Synpcc7942_1403	CHLRE06g276350v5
Synpcc7942_1403	CHLRE06g276450v5
Synpcc7942_1403	CHLRE12g557700v5
Synpcc7942_1029	CHLRE02g081400v5
Synpcc7942_1029	CHLRE05g245900v5
Synpcc7942_1816	CHLRE02g074150v5
Synpcc7942_2436	CHLRE13g570900v5
Synpcc7942_2436	CHLRE16g673953v5
Synpcc7942_2436	CHLRE10g464850v5
Synpcc7942_2436	CHLRE06g257650v5
Synpcc7942_1937	CHLRE08g380300v5
Synpcc7942_1937	CHLRE01g012150v5
Synpcc7942_1145	CHLRE07g325600v5
Synpcc7942_1145	CHLRE07g325743v5
Synpcc7942_1145	CHLRE04g232602v5
Synpcc7942_0842	CHLRE06g262100v5
Synpcc7942_0842	CHLRE09g396252v5
Synpcc7942_0282	CHLRE06g293950v5
Synpcc7942_0282	CHLRE09g411900v5
Synpcc7942_1314	CHLRE12g485800v5
Synpcc7942_0297	CHLRE12g485800v5
Synpcc7942_1302	CHLRE07g356850v5
Synpcc7942_1112	CHLRE02g078750v5
Synpcc7942_1374	CHLRE02g144002v5
Synpcc7942_2460	CHLRE03g202150v5
Synpcc7942_2460	CHLRE03g200750v5
Synpcc7942_1581	CHLRE07g335900v5
Synpcc7942_1581	CHLRE06g309450v5
Synpcc7942_0868	CHLRE08g369150v5
Synpcc7942_0868	CHLRE13g570350v5
Synpcc7942_0708	CHLRE13g581850v5
Synpcc7942_1778	CHLRE03g158500v5
Synpcc7942_2323	CHLRE12g513750v5
Synpcc7942_2323	CHLRE12g550400v5
Synpcc7942_0264	CHLRE17g738250v5
Synpcc7942_2522	CHLRE09g387763v5
Synpcc7942_2522	CHLRE12g511150v5
Synpcc7942_1986	CHLRE12g523850v5
Synpcc7942_1986	CHLRE17g722800v5
Synpcc7942_1763	CHLRE06g278202v5
Synpcc7942_2582	CHLRE06g278202v5
Synpcc7942_0944	CHLRE05g239067v5
Synpcc7942_0944	CHLRE05g239100v5
Synpcc7942_0801	CHLRE16g676150v5
Synpcc7942_0801	CHLRE02g096150v5
Synpcc7942_0801	CHLRE10g436050v5
Synpcc7942_1933	CHLRE06g303050v5
Synpcc7942_2109	CHLRE13g604150v5
Synpcc7942_2109	CHLRE12g561550v5
Synpcc7942_2109	CHLRE10g443000v5
Synpcc7942_1457	CHLRE09g398289v5
Synpcc7942_1193	CHLRE09g398289v5
Synpcc7942_1082	CHLRE06g263950v5
Synpcc7942_2222	CHLRE12g550650v5
Synpcc7942_0101	CHLRE16g691552v5
Synpcc7942_0956	CHLRE01g052000v5
Synpcc7942_0827	CHLRE01g052000v5
Synpcc7942_0956	CHLRE05g234652v5
Synpcc7942_0827	CHLRE05g234652v5
Synpcc7942_0956	CHLRE14g630871v5
Synpcc7942_0827	CHLRE14g630871v5
Synpcc7942_0956	CHLRE16g692901v5
Synpcc7942_0827	CHLRE16g692901v5
Synpcc7942_1865	CHLRE10g431650v5
Synpcc7942_2304	CHLRE10g431650v5
Synpcc7942_0485	CHLRE03g166950v5
Synpcc7942_0582	CHLRE12g532200v5
Synpcc7942_0582	CHLRE12g489200v5
Synpcc7942_1644	CHLRE12g532500v5
Synpcc7942_0367	CHLRE12g532500v5
Synpcc7942_0353	CHLRE12g532500v5
Synpcc7942_1644	CHLRE17g725650v5
Synpcc7942_0367	CHLRE17g725650v5
Synpcc7942_0353	CHLRE17g725650v5
Synpcc7942_1884	CHLRE12g539000v5
Synpcc7942_0835	CHLRE10g442700v5
Synpcc7942_2497	CHLRE07g325734v5
Synpcc7942_2497	CHLRE16g650550v5
Synpcc7942_2334	CHLRE08g378150v5
Synpcc7942_2490	CHLRE17g717350v5
Synpcc7942_1068	CHLRE03g158900v5
Synpcc7942_0885	CHLRE02g076250v5
Synpcc7942_0450	CHLRE17g710800v5
Synpcc7942_0450	CHLRE18g748447v5
Synpcc7942_0631	CHLRE13g581650v5
Synpcc7942_2606	CHLRE10g421600v5
Synpcc7942_2313	CHLRE04g231222v5
Synpcc7942_0685	CHLRE04g231222v5
Synpcc7942_0618	CHLRE03g204250v5
Synpcc7942_1780	CHLRE01g036050v5
Synpcc7942_1780	CHLRE04g227000v5
Synpcc7942_2159	CHLRE13g586350v5
Synpcc7942_2532	CHLRE10g456150v5
Synpcc7942_2532	CHLRE12g514700v5
Synpcc7942_1028	CHLRE12g558550v5
Synpcc7942_0234	CHLRE12g558550v5
Synpcc7942_0269	CHLRE12g558550v5
Synpcc7942_1273	CHLRE08g378200v5
Synpcc7942_0296	CHLRE12g517451v5
Synpcc7942_0296	CHLRE03g184700v5
Synpcc7942_2463	CHLRE06g250200v5
Synpcc7942_0112	CHLRE06g295200v5
Synpcc7942_1867	CHLRE06g295200v5
Synpcc7942_2446	CHLRE06g279750v5
Synpcc7942_2446	CHLRE05g237000v5
Synpcc7942_0711	CHLRE08g358580v5
Synpcc7942_0670	CHLRE02g079700v5
Synpcc7942_1954	CHLRE09g406050v5
Synpcc7942_1001	CHLRE10g458500v5
Synpcc7942_2090	CHLRE02g109550v5
Synpcc7942_0370	CHLRE03g144627v5
Synpcc7942_1856	CHLRE13g573300v5
Synpcc7942_2216	CHLRE16g659950v5
Synpcc7942_1190	CHLRE01g007700v5
Synpcc7942_1662	CHLRE01g069472v5
Synpcc7942_0538	CHLRE02g080200v5
Synpcc7942_0244	CHLRE12g552200v5
Synpcc7942_0244	CHLRE07g336950v5
Synpcc7942_1073	CHLRE17g697624v5
Synpcc7942_0196	CHLRE08g365851v5
Synpcc7942_0196	CHLRE02g073950v5
Synpcc7942_0196	CHLRE02g073900v5
Synpcc7942_0196	CHLRE12g488350v5
Synpcc7942_0196	CHLRE16g657800v5
Synpcc7942_0027	CHLRE17g733650v5
Synpcc7942_0027	CHLRE08g373347v5
Synpcc7942_1146	CHLRE03g164550v5
Synpcc7942_1146	CHLRE08g385900v5
Synpcc7942_2058	CHLRE03g154550v5
Synpcc7942_1944	CHLRE07g337650v5
Synpcc7942_1944	CHLRE02g099850v5
Synpcc7942_0959	CHLRE09g395600v5
Synpcc7942_0959	CHLRE10g433100v5
Synpcc7942_0320	CHLRE04g214502v5
Synpcc7942_1771	CHLRE11g479750v5
Synpcc7942_B2620	CHLRE09g417150v5
Synpcc7942_0156	CHLRE06g278210v5
Synpcc7942_0973	CHLRE12g532450v5
Synpcc7942_0973	CHLRE06g278185v5
Synpcc7942_0973	CHLRE07g357200v5
Synpcc7942_2454	CHLRE17g704850v5
Synpcc7942_0846	CHLRE16g677450v5
Synpcc7942_0846	CHLRE07g347100v5
Synpcc7942_0336	CHLRE02g116750v5
Synpcc7942_1881	CHLRE14g619133v5
Synpcc7942_1881	CHLRE12g528450v5
Synpcc7942_0605	CHLRE03g199652v5
Synpcc7942_0605	CHLRE06g277650v5
Synpcc7942_0605	CHLRE01g038100v5
Synpcc7942_0605	CHLRE07g355300v5
Synpcc7942_0605	CHLRE03g199600v5
Synpcc7942_0605	CHLRE11g474700v5
Synpcc7942_0605	CHLRE16g662600v5
Synpcc7942_0605	CHLRE16g663450v5
Synpcc7942_0605	CHLRE16g663400v5
Synpcc7942_0605	CHLRE06g261750v5
Synpcc7942_1993	CHLRE01g016528v5
Synpcc7942_1431	CHLRE02g106150v5
Synpcc7942_1431	CHLRE12g499400v5
Synpcc7942_0851	CHLRE07g318750v5
Synpcc7942_0925	CHLRE09g404903v5
Synpcc7942_0925	CHLRE18g749497v5
Synpcc7942_0925	CHLRE18g749647v5
Synpcc7942_1499	CHLRE14g626700v5
Synpcc7942_1499	CHLRE16g658400v5
Synpcc7942_2581	CHLRE03g183850v5
Synpcc7942_0338	CHLRE07g334800v5
Synpcc7942_0529	CHLRE01g034400v5
Synpcc7942_1857	CHLRE06g278148v5
Synpcc7942_1857	CHLRE11g467617v5
Synpcc7942_1857	CHLRE16g684350v5
Synpcc7942_1857	CHLRE16g684550v5
Synpcc7942_1857	CHLRE09g401997v5
Synpcc7942_1447	CHLRE13g607350v5
Synpcc7942_1447	CHLRE09g405750v5
Synpcc7942_1990	CHLRE17g731300v5
Synpcc7942_1990	CHLRE16g660000v5
Synpcc7942_1990	CHLRE16g660050v5
Synpcc7942_1390	CHLRE06g273000v5
Synpcc7942_1135	CHLRE10g452000v5
Synpcc7942_1198	CHLRE01g016514v5
Synpcc7942_0876	CHLRE08g368900v5
Synpcc7942_1116	CHLRE11g467770v5
Synpcc7942_1577	CHLRE03g143887v5
Synpcc7942_2545	CHLRE01g034050v5
Synpcc7942_2545	CHLRE02g147302v5
Synpcc7942_2074	CHLRE12g507650v5
Synpcc7942_0887	CHLRE02g144400v5
Synpcc7942_0241	CHLRE02g101950v5
Synpcc7942_0241	CHLRE12g501100v5
Synpcc7942_0813	CHLRE02g142352v5
Synpcc7942_2263	CHLRE02g142352v5
Synpcc7942_0139	CHLRE09g386758v5
Synpcc7942_0774	CHLRE08g384600v5
Synpcc7942_0774	CHLRE08g384800v5
Synpcc7942_0774	CHLRE06g259700v5
Synpcc7942_1352	CHLRE01g055408v5
Synpcc7942_1352	CHLRE07g353450v5
Synpcc7942_1352	CHLRE01g071662v5
Synpcc7942_0913	CHLRE09g395917v5
Synpcc7942_0460	CHLRE09g395917v5
Synpcc7942_2032	CHLRE16g656150v5
Synpcc7942_1347	CHLRE07g324550v5
Synpcc7942_1259	CHLRE05g245158v5
Synpcc7942_1259	CHLRE24g755097v5
Synpcc7942_0041	CHLRE10g462850v5
Synpcc7942_0041	CHLRE09g395139v5
Synpcc7942_0116	CHLRE13g561850v5
Synpcc7942_1723	CHLRE16g674950v5
Synpcc7942_1723	CHLRE09g407200v5
Synpcc7942_1246	CHLRE16g651923v5
Synpcc7942_2362	CHLRE12g511700v5
Synpcc7942_2362	CHLRE13g565650v5
Synpcc7942_B2642	CHLRE06g297400v5
Synpcc7942_2505	CHLRE13g571950v5
Synpcc7942_2046	CHLRE06g253350v5
Synpcc7942_2518	CHLRE17g721500v5
Synpcc7942_2518	CHLRE03g185250v5
Synpcc7942_2518	CHLRE04g215150v5
Synpcc7942_2518	CHLRE12g521700v5
Synpcc7942_2518	CHLRE16g665800v5
Synpcc7942_2518	CHLRE16g663850v5
Synpcc7942_2518	CHLRE13g579598v5
Synpcc7942_0969	CHLRE03g196200v5
Synpcc7942_1971	CHLRE12g560800v5
Synpcc7942_1970	CHLRE12g560800v5
Synpcc7942_0256	CHLRE12g560800v5
Synpcc7942_1971	CHLRE17g728100v5
Synpcc7942_1970	CHLRE17g728100v5
Synpcc7942_0256	CHLRE17g728100v5
Synpcc7942_0292	CHLRE10g423450v5
Synpcc7942_0061	CHLRE09g387171v5
Synpcc7942_2100	CHLRE02g083800v5
Synpcc7942_0023	CHLRE09g409750v5
Synpcc7942_0023	CHLRE12g519500v5
Synpcc7942_1497	CHLRE16g665250v5
Synpcc7942_0604	CHLRE12g511900v5
Synpcc7942_1708	CHLRE13g572900v5
Synpcc7942_0830	CHLRE03g193800v5
Synpcc7942_0537	CHLRE07g335300v5
Synpcc7942_0537	CHLRE11g467723v5
Synpcc7942_0943	CHLRE11g474800v5
Synpcc7942_0943	CHLRE06g278163v5
Synpcc7942_0608	CHLRE12g542850v5
Synpcc7942_1085	CHLRE06g289850v5
Synpcc7942_1191	CHLRE02g084950v5
Synpcc7942_1065	CHLRE06g280200v5
Synpcc7942_1065	CHLRE01g004850v5
Synpcc7942_2203	CHLRE16g673617v5
Synpcc7942_1007	CHLRE01g020223v5
Synpcc7942_2247	CHLRE06g250850v5
Synpcc7942_0534	CHLRE08g375500v5
Synpcc7942_2078	CHLRE05g232550v5
Synpcc7942_1351	CHLRE09g401330v5
Synpcc7942_2613	CHLRE09g401330v5
Synpcc7942_0280	CHLRE13g592500v5
Synpcc7942_0280	CHLRE01g026650v5
Synpcc7942_0311	CHLRE06g309300v5
Synpcc7942_1379	CHLRE08g359350v5
Synpcc7942_1119	CHLRE01g000250v5
Synpcc7942_1119	CHLRE06g262000v5
Synpcc7942_1631	CHLRE02g106850v5
Synpcc7942_2353	CHLRE16g675250v5
Synpcc7942_1746	CHLRE03g194950v5
Synpcc7942_0672	CHLRE03g194950v5
Synpcc7942_1849	CHLRE03g194950v5
Synpcc7942_1557	CHLRE03g194950v5
Synpcc7942_0569	CHLRE03g194950v5
Synpcc7942_0649	CHLRE03g194950v5
Synpcc7942_0909	CHLRE09g400775v5
Synpcc7942_2314	CHLRE03g178450v5
Synpcc7942_0337	CHLRE15g635850v5
Synpcc7942_0337	CHLRE06g259900v5
Synpcc7942_2299	CHLRE06g264300v5
Synpcc7942_1689	CHLRE13g607050v5
Synpcc7942_2427	CHLRE13g607050v5
Synpcc7942_1501	CHLRE07g344600v5
Synpcc7942_1083	CHLRE06g268550v5
Synpcc7942_0628	CHLRE12g558450v5
Synpcc7942_0143	CHLRE16g677026v5
Synpcc7942_0143	CHLRE03g194200v5
Synpcc7942_0554	CHLRE13g562150v5
Synpcc7942_0634	CHLRE10g423650v5
Synpcc7942_2526	CHLRE16g663350v5
Synpcc7942_2526	CHLRE16g663280v5
Synpcc7942_0345	CHLRE12g508852v5
Synpcc7942_2335	CHLRE12g510650v5
Synpcc7942_1696	CHLRE16g674964v5
Synpcc7942_1696	CHLRE09g388208v5
Synpcc7942_1748	CHLRE03g156400v5
Synpcc7942_0039	CHLRE12g526800v5
Synpcc7942_0536	CHLRE16g673109v5
Synpcc7942_0886	CHLRE14g618700v5
Synpcc7942_0004	CHLRE05g234638v5
Synpcc7942_1220	CHLRE06g300800v5
Synpcc7942_0542	CHLRE08g359700v5
Synpcc7942_1507	CHLRE08g359700v5
Synpcc7942_0542	CHLRE02g114400v5
