Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ENSMUST00000000305	Ensembl Transcript	MGI:1298386	Tpd52l1	tumor protein D52-like 1	protein coding gene
ENSMUST00000000312	Ensembl Transcript	MGI:88354	Cdh1	cadherin 1	protein coding gene
ENSMUST00000000314	Ensembl Transcript	MGI:99218	Cdh4	cadherin 4	protein coding gene
ENSMUST00000000317	Ensembl Transcript	MGI:99441	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous	protein coding gene
ENSMUST00000000326	Ensembl Transcript	MGI:1278332	Bcl6b	B cell CLL/lymphoma 6, member B	protein coding gene
ENSMUST00000000329	Ensembl Transcript	MGI:87998	Alox12	arachidonate 12-lipoxygenase	protein coding gene
ENSMUST00000000342	Ensembl Transcript	MGI:103576	Ccl11	chemokine (C-C motif) ligand 11	protein coding gene
ENSMUST00000000348	Ensembl Transcript	MGI:1913618	Rtca	RNA 3'-terminal phosphate cyclase	protein coding gene
ENSMUST00000000349	Ensembl Transcript	MGI:105386	Dbt	dihydrolipoamide branched chain transacylase E2	protein coding gene
ENSMUST00000000356	Ensembl Transcript	MGI:1344344	Dazap2	DAZ associated protein 2	protein coding gene
ENSMUST00000000365	Ensembl Transcript	MGI:1916245	Mcts1	malignant T cell amplified sequence 1	protein coding gene
ENSMUST00000000369	Ensembl Transcript	MGI:1097696	Rem1	rad and gem related GTP binding protein 1	protein coding gene
ENSMUST00000000384	Ensembl Transcript	MGI:1336209	Trappc10	trafficking protein particle complex 10	protein coding gene
ENSMUST00000000388	Ensembl Transcript	MGI:2384924	Ccm2	cerebral cavernous malformation 2	protein coding gene
ENSMUST00000000395	Ensembl Transcript	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene
ENSMUST00000000412	Ensembl Transcript	MGI:1858599	Egfl6	EGF-like-domain, multiple 6	protein coding gene
ENSMUST00000000421	Ensembl Transcript	MGI:1929914	Tssk3	testis-specific serine kinase 3	protein coding gene
ENSMUST00000000445	Ensembl Transcript	MGI:97252	Myf5	myogenic factor 5	protein coding gene
ENSMUST00000000449	Ensembl Transcript	MGI:1914277	Mkrn2	makorin, ring finger protein, 2	protein coding gene
ENSMUST00000000466	Ensembl Transcript	MGI:87920	Plin2	perilipin 2	protein coding gene
ENSMUST00000000500	Ensembl Transcript	MGI:97528	Pdgfb	platelet derived growth factor, B polypeptide	protein coding gene
ENSMUST00000000505	Ensembl Transcript	MGI:1298398	Mcm7	minichromosome maintenance complex component 7	protein coding gene
ENSMUST00000000542	Ensembl Transcript	MGI:1338946	Acvrl1	activin A receptor, type II-like 1	protein coding gene
ENSMUST00000000543	Ensembl Transcript	MGI:1860303	Grasp	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	protein coding gene
ENSMUST00000000544	Ensembl Transcript	MGI:1338944	Acvr1b	activin A receptor, type 1B	protein coding gene
ENSMUST00000000572	Ensembl Transcript	MGI:95614	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	protein coding gene
ENSMUST00000000579	Ensembl Transcript	MGI:98371	Sox9	SRY (sex determining region Y)-box 9	protein coding gene
ENSMUST00000000590	Ensembl Transcript	MGI:97887	Rdx	radixin	protein coding gene
ENSMUST00000000594	Ensembl Transcript	MGI:1927354	C1d	C1D nuclear receptor co-repressor	protein coding gene
ENSMUST00000000608	Ensembl Transcript	MGI:95762	Gm2a	GM2 ganglioside activator protein	protein coding gene
ENSMUST00000000619	Ensembl Transcript	MGI:104571	Clcn4	chloride channel, voltage-sensitive 4	protein coding gene
ENSMUST00000000641	Ensembl Transcript	MGI:1340055	Sema4f	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	protein coding gene
ENSMUST00000000642	Ensembl Transcript	MGI:1315197	Hk2	hexokinase 2	protein coding gene
ENSMUST00000000687	Ensembl Transcript	MGI:1349444	Haao	3-hydroxyanthranilate 3,4-dioxygenase	protein coding gene
ENSMUST00000000696	Ensembl Transcript	MGI:1346088	Cd52	CD52 antigen	protein coding gene
ENSMUST00000000707	Ensembl Transcript	MGI:1337004	Loxl3	lysyl oxidase-like 3	protein coding gene
ENSMUST00000000717	Ensembl Transcript	MGI:1351635	Tcl1b5	T cell leukemia/lymphoma 1B, 5	protein coding gene
ENSMUST00000000718	Ensembl Transcript	MGI:1351604	Tcl1b4	T cell leukemia/lymphoma 1B, 4	protein coding gene
ENSMUST00000000724	Ensembl Transcript	MGI:1343094	Kat2b	K(lysine) acetyltransferase 2B	protein coding gene
ENSMUST00000000727	Ensembl Transcript	MGI:105938	Rab5b	RAB5B, member RAS oncogene family	protein coding gene
ENSMUST00000000755	Ensembl Transcript	MGI:1931463	Sult5a1	sulfotransferase family 5A, member 1	protein coding gene
ENSMUST00000000759	Ensembl Transcript	MGI:1920159	Chmp1a	charged multivesicular body protein 1A	protein coding gene
ENSMUST00000000769	Ensembl Transcript	MGI:108080	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1	protein coding gene
ENSMUST00000000793	Ensembl Transcript	MGI:1914315	Polr3d	polymerase (RNA) III (DNA directed) polypeptide D	protein coding gene
ENSMUST00000000804	Ensembl Transcript	MGI:103064	Ddx3x	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked	protein coding gene
ENSMUST00000000808	Ensembl Transcript	MGI:104579	Il12rb1	interleukin 12 receptor, beta 1	protein coding gene
ENSMUST00000000809	Ensembl Transcript	MGI:2149330	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5	protein coding gene
ENSMUST00000000828	Ensembl Transcript	MGI:2386711	Txnrd3	thioredoxin reductase 3	protein coding gene
ENSMUST00000000834	Ensembl Transcript	MGI:99255	Fasl	Fas ligand (TNF superfamily, member 6)	protein coding gene
ENSMUST00000000894	Ensembl Transcript	MGI:101941	E2f1	E2F transcription factor 1	protein coding gene
ENSMUST00000000895	Ensembl Transcript	MGI:1861721	Necab3	N-terminal EF-hand calcium binding protein 3	protein coding gene
ENSMUST00000000896	Ensembl Transcript	MGI:1891701	Pxmp4	peroxisomal membrane protein 4	protein coding gene
ENSMUST00000000904	Ensembl Transcript	MGI:1338057	Gnb1l	guanine nucleotide binding protein (G protein), beta polypeptide 1-like	protein coding gene
ENSMUST00000000910	Ensembl Transcript	MGI:94864	Dbh	dopamine beta hydroxylase	protein coding gene
ENSMUST00000000924	Ensembl Transcript	MGI:97008	Mmp11	matrix metallopeptidase 11	protein coding gene
ENSMUST00000000939	Ensembl Transcript	MGI:1352504	Hip1r	huntingtin interacting protein 1 related	protein coding gene
ENSMUST00000000940	Ensembl Transcript	MGI:2140844	Nsun5	NOL1/NOP2/Sun domain family, member 5	protein coding gene
ENSMUST00000000958	Ensembl Transcript	MGI:1920210	Top1mt	DNA topoisomerase 1, mitochondrial	protein coding gene
ENSMUST00000000964	Ensembl Transcript	MGI:96170	Hoxa1	homeobox A1	protein coding gene
ENSMUST00000000984	Ensembl Transcript	MGI:1337120	Slc7a7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	protein coding gene
ENSMUST00000000985	Ensembl Transcript	MGI:1916339	Oxa1l	oxidase assembly 1-like	protein coding gene
ENSMUST00000001002	Ensembl Transcript	MGI:1919790	Heatr6	HEAT repeat containing 6	protein coding gene
ENSMUST00000001008	Ensembl Transcript	MGI:98260	Ccl3	chemokine (C-C motif) ligand 3	protein coding gene
ENSMUST00000001036	Ensembl Transcript	MGI:1929470	Tyk2	tyrosine kinase 2	protein coding gene
ENSMUST00000001040	Ensembl Transcript	MGI:1925619	Icam4	intercellular adhesion molecule 4, Landsteiner-Wiener blood group	protein coding gene
ENSMUST00000001042	Ensembl Transcript	MGI:1915031	Ilf2	interleukin enhancer binding factor 2	protein coding gene
ENSMUST00000001043	Ensembl Transcript	MGI:1913761	Chtop	chromatin target of PRMT1	protein coding gene
ENSMUST00000001047	Ensembl Transcript	MGI:1338849	S100a3	S100 calcium binding protein A3	protein coding gene
ENSMUST00000001051	Ensembl Transcript	MGI:1339467	S100a6	S100 calcium binding protein A6 (calcyclin)	protein coding gene
ENSMUST00000001055	Ensembl Transcript	MGI:96394	Icam2	intercellular adhesion molecule 2	protein coding gene
ENSMUST00000001059	Ensembl Transcript	MGI:1930134	Ern1	endoplasmic reticulum (ER) to nucleus signalling 1	protein coding gene
ENSMUST00000001079	Ensembl Transcript	MGI:2139764	Sec24b	Sec24 related gene family, member B (S. cerevisiae)	protein coding gene
ENSMUST00000001080	Ensembl Transcript	MGI:2442218	N4bp3	NEDD4 binding protein 3	protein coding gene
ENSMUST00000001081	Ensembl Transcript	MGI:1913339	Rmnd5b	required for meiotic nuclear division 5 homolog B	protein coding gene
ENSMUST00000001109	Ensembl Transcript	MGI:1915544	Mfsd10	major facilitator superfamily domain containing 10	protein coding gene
ENSMUST00000001115	Ensembl Transcript	MGI:1347078	Grk6	G protein-coupled receptor kinase 6	protein coding gene
ENSMUST00000001122	Ensembl Transcript	MGI:1276558	Slc13a2	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	protein coding gene
ENSMUST00000001126	Ensembl Transcript	MGI:1098733	Slc46a1	solute carrier family 46, member 1	protein coding gene
ENSMUST00000001127	Ensembl Transcript	MGI:1915061	Poldip2	polymerase (DNA-directed), delta interacting protein 2	protein coding gene
ENSMUST00000001130	Ensembl Transcript	MGI:108012	Sebox	SEBOX homeobox	protein coding gene
ENSMUST00000001147	Ensembl Transcript	MGI:88459	Col6a1	collagen, type VI, alpha 1	protein coding gene
ENSMUST00000001156	Ensembl Transcript	MGI:97545	Cfp	complement factor properdin	protein coding gene
ENSMUST00000001179	Ensembl Transcript	MGI:102722	Pcnt	pericentrin (kendrin)	protein coding gene
ENSMUST00000001184	Ensembl Transcript	MGI:96908	Mxd1	MAX dimerization protein 1	protein coding gene
ENSMUST00000001185	Ensembl Transcript	MGI:1345156	Gmcl1	germ cell-less, spermatogenesis associated 1	protein coding gene
ENSMUST00000001202	Ensembl Transcript	MGI:109589	Ocrl	OCRL, inositol polyphosphate-5-phosphatase	protein coding gene
ENSMUST00000001240	Ensembl Transcript	MGI:1336186	Agpat3	1-acylglycerol-3-phosphate O-acyltransferase 3	protein coding gene
ENSMUST00000001242	Ensembl Transcript	MGI:1351861	Gatd3a	glutamine amidotransferase like class 1 domain containing 3A	protein coding gene
ENSMUST00000001253	Ensembl Transcript	MGI:1346029	Slc26a4	solute carrier family 26, member 4	protein coding gene
ENSMUST00000001258	Ensembl Transcript	MGI:1338889	Uhrf1	ubiquitin-like, containing PHD and RING finger domains, 1	protein coding gene
ENSMUST00000001279	Ensembl Transcript	MGI:1927471	Lsr	lipolysis stimulated lipoprotein receptor	protein coding gene
ENSMUST00000001304	Ensembl Transcript	MGI:88407	Ckb	creatine kinase, brain	protein coding gene
ENSMUST00000001319	Ensembl Transcript	MGI:105097	Efnb2	ephrin B2	protein coding gene
ENSMUST00000001326	Ensembl Transcript	MGI:98372	Sp1	trans-acting transcription factor 1	protein coding gene
ENSMUST00000001327	Ensembl Transcript	MGI:96616	Itgb7	integrin beta 7	protein coding gene
ENSMUST00000001384	Ensembl Transcript	MGI:104979	Cnn1	calponin 1	protein coding gene
ENSMUST00000001416	Ensembl Transcript	MGI:108087	Hars	histidyl-tRNA synthetase	protein coding gene
ENSMUST00000001419	Ensembl Transcript	MGI:1913742	Zmat2	zinc finger, matrin type 2	protein coding gene
ENSMUST00000001439	Ensembl Transcript	MGI:1915862	Ube2c	ubiquitin-conjugating enzyme E2C	protein coding gene
ENSMUST00000001451	Ensembl Transcript	MGI:2447364	Smg5	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)	protein coding gene
ENSMUST00000001455	Ensembl Transcript	MGI:99533	Mef2d	myocyte enhancer factor 2D	protein coding gene
ENSMUST00000001456	Ensembl Transcript	MGI:1919163	Tmem79	transmembrane protein 79	protein coding gene
ENSMUST00000001479	Ensembl Transcript	MGI:107532	Kpnb1	karyopherin (importin) beta 1	protein coding gene
ENSMUST00000001480	Ensembl Transcript	MGI:1101358	Npepps	aminopeptidase puromycin sensitive	protein coding gene
ENSMUST00000001484	Ensembl Transcript	MGI:1888984	Tbx21	T-box 21	protein coding gene
ENSMUST00000001485	Ensembl Transcript	MGI:1333801	Mrpl10	mitochondrial ribosomal protein L10	protein coding gene
ENSMUST00000001497	Ensembl Transcript	MGI:1270844	Cideb	cell death-inducing DNA fragmentation factor, alpha subunit-like effector B	protein coding gene
ENSMUST00000001507	Ensembl Transcript	MGI:106040	Cyp51	cytochrome P450, family 51	protein coding gene
ENSMUST00000001513	Ensembl Transcript	MGI:1915201	Tubb6	tubulin, beta 6 class V	protein coding gene
ENSMUST00000001520	Ensembl Transcript	MGI:1928277	Afg3l1	AFG3-like AAA ATPase 1	protein coding gene
ENSMUST00000001534	Ensembl Transcript	MGI:1921749	Sost	sclerostin	protein coding gene
ENSMUST00000001536	Ensembl Transcript	MGI:108067	Nkx2-1	NK2 homeobox 1	protein coding gene
ENSMUST00000001544	Ensembl Transcript	MGI:1915026	Vwa5a	von Willebrand factor A domain containing 5A	protein coding gene
ENSMUST00000001547	Ensembl Transcript	MGI:88467	Col1a1	collagen, type I, alpha 1	protein coding gene
ENSMUST00000001548	Ensembl Transcript	MGI:96602	Itga3	integrin alpha 3	protein coding gene
ENSMUST00000001562	Ensembl Transcript	MGI:1329045	Tulp3	tubby-like protein 3	protein coding gene
ENSMUST00000001565	Ensembl Transcript	MGI:1338799	Gtf2h4	general transcription factor II H, polypeptide 4	protein coding gene
ENSMUST00000001566	Ensembl Transcript	MGI:107812	Tubb5	tubulin, beta 5 class I	protein coding gene
ENSMUST00000001569	Ensembl Transcript	MGI:1100500	Flot1	flotillin 1	protein coding gene
ENSMUST00000001583	Ensembl Transcript	MGI:2183438	Ell2	elongation factor RNA polymerase II 2	protein coding gene
ENSMUST00000001592	Ensembl Transcript	MGI:96650	Jup	junction plakoglobin	protein coding gene
ENSMUST00000001595	Ensembl Transcript	MGI:104769	Fkbp10	FK506 binding protein 10	protein coding gene
ENSMUST00000001599	Ensembl Transcript	MGI:2181067	Klhl10	kelch-like 10	protein coding gene
ENSMUST00000001611	Ensembl Transcript	MGI:1861749	Nom1	nucleolar protein with MIF4G domain 1	protein coding gene
ENSMUST00000001620	Ensembl Transcript	MGI:104860	Fxr1	fragile X mental retardation gene 1, autosomal homolog	protein coding gene
ENSMUST00000001626	Ensembl Transcript	MGI:1930958	Tnk1	tyrosine kinase, non-receptor, 1	protein coding gene
ENSMUST00000001652	Ensembl Transcript	MGI:102845	Bdkrb2	bradykinin receptor, beta 2	protein coding gene
ENSMUST00000001672	Ensembl Transcript	MGI:1316717	Ifrd1	interferon-related developmental regulator 1	protein coding gene
ENSMUST00000001675	Ensembl Transcript	MGI:1922250	Stk38l	serine/threonine kinase 38 like	protein coding gene
ENSMUST00000001699	Ensembl Transcript	MGI:96192	Hoxc10	homeobox C10	protein coding gene
ENSMUST00000001700	Ensembl Transcript	MGI:99560	Hoxc13	homeobox C13	protein coding gene
ENSMUST00000001701	Ensembl Transcript	MGI:96193	Hoxc11	homeobox C11	protein coding gene
ENSMUST00000001706	Ensembl Transcript	MGI:96199	Hoxc9	homeobox C9	protein coding gene
ENSMUST00000001709	Ensembl Transcript	MGI:96196	Hoxc5	homeobox C5	protein coding gene
ENSMUST00000001711	Ensembl Transcript	MGI:96197	Hoxc6	homeobox C6	protein coding gene
ENSMUST00000001712	Ensembl Transcript	MGI:1298375	Cabin1	calcineurin binding protein 1	protein coding gene
ENSMUST00000001715	Ensembl Transcript	MGI:2143526	Gstt3	glutathione S-transferase, theta 3	protein coding gene
ENSMUST00000001716	Ensembl Transcript	MGI:1298381	Ddt	D-dopachrome tautomerase	protein coding gene
ENSMUST00000001720	Ensembl Transcript	MGI:98487	Tat	tyrosine aminotransferase	protein coding gene
ENSMUST00000001724	Ensembl Transcript	MGI:1914192	Ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	protein coding gene
ENSMUST00000001757	Ensembl Transcript	MGI:1913393	Eef1e1	eukaryotic translation elongation factor 1 epsilon 1	protein coding gene
ENSMUST00000001780	Ensembl Transcript	MGI:87986	Akt1	thymoma viral proto-oncogene 1	protein coding gene
ENSMUST00000001792	Ensembl Transcript	MGI:1270855	Il16	interleukin 16	protein coding gene
ENSMUST00000001802	Ensembl Transcript	MGI:1351641	Naglu	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)	protein coding gene
ENSMUST00000001812	Ensembl Transcript	MGI:108075	Smo	smoothened, frizzled class receptor	protein coding gene
ENSMUST00000001818	Ensembl Transcript	MGI:1914127	Crnkl1	crooked neck pre-mRNA splicing factor 1	protein coding gene
ENSMUST00000001824	Ensembl Transcript	MGI:1858193	Folh1	folate hydrolase 1	protein coding gene
ENSMUST00000001825	Ensembl Transcript	MGI:1914167	Chordc1	cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1	protein coding gene
ENSMUST00000001834	Ensembl Transcript	MGI:106379	Rtcb	RNA 2',3'-cyclic phosphate and 5'-OH ligase	protein coding gene
ENSMUST00000001836	Ensembl Transcript	MGI:1914735	Pwp1	PWP1 homolog, endonuclein	protein coding gene
ENSMUST00000001845	Ensembl Transcript	MGI:88266	Capns1	calpain, small subunit 1	protein coding gene
ENSMUST00000001854	Ensembl Transcript	MGI:1858261	Slc7a10	solute carrier family 7 (cationic amino acid transporter, y+ system), member 10	protein coding gene
ENSMUST00000001867	Ensembl Transcript	MGI:95462	Evx2	even-skipped homeobox 2	protein coding gene
ENSMUST00000001872	Ensembl Transcript	MGI:96205	Hoxd13	homeobox D13	protein coding gene
ENSMUST00000001878	Ensembl Transcript	MGI:96204	Hoxd12	homeobox D12	protein coding gene
ENSMUST00000001882		No associated gene			
ENSMUST00000001884	Ensembl Transcript	MGI:1100517	Clpb	ClpB caseinolytic peptidase B	protein coding gene
ENSMUST00000001900	Ensembl Transcript	MGI:1920131	Zdhhc4	zinc finger, DHHC domain containing 4	protein coding gene
ENSMUST00000001920	Ensembl Transcript	MGI:1919598	Aif1l	allograft inflammatory factor 1-like	protein coding gene
ENSMUST00000001921	Ensembl Transcript	MGI:88479	Cpa3	carboxypeptidase A3, mast cell	protein coding gene
ENSMUST00000001927	Ensembl Transcript	MGI:109151	Ltbp1	latent transforming growth factor beta binding protein 1	protein coding gene
ENSMUST00000001950	Ensembl Transcript	MGI:1891808	Tollip	toll interacting protein	protein coding gene
ENSMUST00000001963	Ensembl Transcript	MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	protein coding gene
ENSMUST00000001965	Ensembl Transcript	MGI:2684139	Kcnh6	potassium voltage-gated channel, subfamily H (eag-related), member 6	protein coding gene
ENSMUST00000001975	Ensembl Transcript	MGI:1914080	Nacc1	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing	protein coding gene
ENSMUST00000001984	Ensembl Transcript	MGI:1347247	Ceacam9	carcinoembryonic antigen-related cell adhesion molecule 9	protein coding gene
ENSMUST00000001989	Ensembl Transcript	MGI:98890	Uba1	ubiquitin-like modifier activating enzyme 1	protein coding gene
ENSMUST00000002007	Ensembl Transcript	MGI:104803	Siae	sialic acid acetylesterase	protein coding gene
ENSMUST00000002008	Ensembl Transcript	MGI:1928009	Vsig2	V-set and immunoglobulin domain containing 2	protein coding gene
ENSMUST00000002011	Ensembl Transcript	MGI:1916774	Esam	endothelial cell-specific adhesion molecule	protein coding gene
ENSMUST00000002013	Ensembl Transcript	MGI:1333778	Spa17	sperm autoantigenic protein 17	protein coding gene
ENSMUST00000002029	Ensembl Transcript	MGI:108117	Emd	emerin	protein coding gene
ENSMUST00000002043	Ensembl Transcript	MGI:1914413	Ccdc47	coiled-coil domain containing 47	protein coding gene
ENSMUST00000002044	Ensembl Transcript	MGI:1346874	Map3k3	mitogen-activated protein kinase kinase kinase 3	protein coding gene
ENSMUST00000002048	Ensembl Transcript	MGI:1917457	Taco1	translational activator of mitochondrially encoded cytochrome c oxidase I	protein coding gene
ENSMUST00000002053	Ensembl Transcript	MGI:109205	Npas1	neuronal PAS domain protein 1	protein coding gene
ENSMUST00000002063	Ensembl Transcript	MGI:1336993	Ap4e1	adaptor-related protein complex AP-4, epsilon 1	protein coding gene
ENSMUST00000002073	Ensembl Transcript	MGI:99502	Ltbp2	latent transforming growth factor beta binding protein 2	protein coding gene
ENSMUST00000002080	Ensembl Transcript	MGI:2443483	Pdzd4	PDZ domain containing 4	protein coding gene
ENSMUST00000002084	Ensembl Transcript	MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	protein coding gene
ENSMUST00000002087	Ensembl Transcript	MGI:1347357	Pnck	pregnancy upregulated non-ubiquitously expressed CaM kinase	protein coding gene
ENSMUST00000002091	Ensembl Transcript	MGI:1350933	Bcap31	B cell receptor associated protein 31	protein coding gene
ENSMUST00000002099	Ensembl Transcript	MGI:1923818	Ift46	intraflagellar transport 46	protein coding gene
ENSMUST00000002101	Ensembl Transcript	MGI:88333	Cd3g	CD3 antigen, gamma polypeptide	protein coding gene
ENSMUST00000002121	Ensembl Transcript	MGI:107726	Supt6	suppressor of Ty 6	protein coding gene
ENSMUST00000002133	Ensembl Transcript	MGI:108019	Sdf2	stromal cell derived factor 2	protein coding gene
ENSMUST00000002145	Ensembl Transcript	MGI:1921627	Hsf2bp	heat shock transcription factor 2 binding protein	protein coding gene
ENSMUST00000002152	Ensembl Transcript	MGI:2181667	Bbc3	BCL2 binding component 3	protein coding gene
ENSMUST00000002171	Ensembl Transcript	MGI:1098754	Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3	protein coding gene
ENSMUST00000002172	Ensembl Transcript	MGI:87882	Acp2	acid phosphatase 2, lysosomal	protein coding gene
ENSMUST00000002180	Ensembl Transcript	MGI:98282	Spi1	spleen focus forming virus (SFFV) proviral integration oncogene	protein coding gene
ENSMUST00000002198	Ensembl Transcript	MGI:1914715	Sf3a1	splicing factor 3a, subunit 1	protein coding gene
ENSMUST00000002259	Ensembl Transcript	MGI:107472	Clgn	calmegin	protein coding gene
ENSMUST00000002274	Ensembl Transcript	MGI:109365	Napsa	napsin A aspartic peptidase	protein coding gene
ENSMUST00000002275	Ensembl Transcript	MGI:2182465	Vrk3	vaccinia related kinase 3	protein coding gene
ENSMUST00000002280	Ensembl Transcript	MGI:1919247	Smg9	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)	protein coding gene
ENSMUST00000002284	Ensembl Transcript	MGI:97612	Plaur	plasminogen activator, urokinase receptor	protein coding gene
ENSMUST00000002289	Ensembl Transcript	MGI:1355274	Uchl3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	protein coding gene
ENSMUST00000002291	Ensembl Transcript	MGI:1890430	Paxip1	PAX interacting (with transcription-activation domain) protein 1	protein coding gene
ENSMUST00000002292	Ensembl Transcript	MGI:1915727	Rmnd5a	required for meiotic nuclear division 5 homolog A	protein coding gene
ENSMUST00000002298	Ensembl Transcript	MGI:1919137	Ppm1j	protein phosphatase 1J	protein coding gene
ENSMUST00000002303	Ensembl Transcript	MGI:106028	Rhoc	ras homolog family member C	protein coding gene
ENSMUST00000002305	Ensembl Transcript	MGI:2443388	Kdm7a	lysine (K)-specific demethylase 7A	protein coding gene
ENSMUST00000002320	Ensembl Transcript	MGI:101884	Ppard	peroxisome proliferator activator receptor delta	protein coding gene
ENSMUST00000002327	Ensembl Transcript	MGI:1346328	Def6	differentially expressed in FDCP 6	protein coding gene
ENSMUST00000002336	Ensembl Transcript	MGI:1341879	Zim1	zinc finger, imprinted 1	protein coding gene
ENSMUST00000002360	Ensembl Transcript	MGI:1888999	Angptl4	angiopoietin-like 4	protein coding gene
ENSMUST00000002379	Ensembl Transcript	MGI:1860083	Cd320	CD320 antigen	protein coding gene
ENSMUST00000002395	Ensembl Transcript	MGI:1929645	Rec8	REC8 meiotic recombination protein	protein coding gene
ENSMUST00000002397	Ensembl Transcript	MGI:1917903	Gmpr2	guanosine monophosphate reductase 2	protein coding gene
ENSMUST00000002400	Ensembl Transcript	MGI:1915131	Mdp1	magnesium-dependent phosphatase 1	protein coding gene
