"","ID","fulllength","protein"
"373","ENSMUST00000053792",92054.5,3541.5
"374","ENSMUST00000111035",48813,3878
"375","ENSMUST00000099111",46562.5,3977.5
"376","ENSMUST00000053604",43210.5,4148
"377","ENSMUST00000058918",40775.5,3560.5
"378","ENSMUST00000165661",136170.5,4322
"379","ENSMUST00000096572",35957.5,4692.5
"380","ENSMUST00000076186",29985.5,4604
"381","ENSMUST00000098113",246410,4189
"382","ENSMUST00000105156",246410,4189
"383","ENSMUST00000089350",63763,4427.5
"384","ENSMUST00000052686",67087.5,3934
"385","ENSMUST00000026219",43009,4065
"386","ENSMUST00000166069",113327,4131.5
"387","ENSMUST00000095448",101553.5,4188
"388","ENSMUST00000134825",76309.5,3947.5
"389","ENSMUST00000097570",24845.5,4214.5
"390","ENSMUST00000098585",85586.5,3680.5
"391","ENSMUST00000098260",84618,4513
"392","ENSMUST00000054395",125342.5,3916
"393","ENSMUST00000068448",36058,4637.5
"394","ENSMUST00000098605",53821,3512
"395","ENSMUST00000100294",76056,3786
"396","ENSMUST00000062454",40589.5,3635
"397","ENSMUST00000098781",82465.5,3536.5
"398","ENSMUST00000165680",117600.5,3965
"399","ENSMUST00000097796",102186.5,4456.5
"400","ENSMUST00000089798",27018.5,4571
"401","ENSMUST00000104891",82369.5,4172.5
"402","ENSMUST00000066742",156402.5,4594.5
"403","ENSMUST00000061679",54452.5,4846
"404","ENSMUST00000072578",53927,4448.5
"405","ENSMUST00000084593",85399,3769.5
"406","ENSMUST00000080866",24319.5,4542.5
"407","ENSMUST00000077389",24980,4559
"408","ENSMUST00000075382",24519.5,4490
"409","ENSMUST00000042219",45253.5,4333.5
"410","ENSMUST00000077698",70579,4138.5
"411","ENSMUST00000093768",124930,4632
"412","ENSMUST00000057134",99365.5,4134
"413","ENSMUST00000169614",158651.5,4403
"414","ENSMUST00000092265",131024.5,4435
"415","ENSMUST00000074608",50525.5,4544.5
"416","ENSMUST00000094651",120061,4022
"417","ENSMUST00000094653",40723,4271.5
"418","ENSMUST00000072779",25641.5,4155
"419","ENSMUST00000093344",25763.5,4670
"420","ENSMUST00000075983",66177,4452
"421","ENSMUST00000166958",106155.5,4006
"422","ENSMUST00000166337",63648,3905.5
"423","ENSMUST00000080443",26939,4620
"424","ENSMUST00000037268",60361.5,4246
"425","ENSMUST00000073179",88132.5,4202
"426","ENSMUST00000071118",54795.5,4934.5
"427","ENSMUST00000053956",31750.5,4121
"428","ENSMUST00000072800",102394,4247
"429","ENSMUST00000089771",30371,4997
"430","ENSMUST00000091270",105431.5,4515.5
"431","ENSMUST00000054650",38552.5,4485
"432","ENSMUST00000101522",104418,4504
"433","ENSMUST00000098778",159161.5,4073.5
"434","ENSMUST00000100534",154966,5014
"435","ENSMUST00000078701",26641.5,4206
"436","ENSMUST00000069992",32267.5,4472.5
"437","ENSMUST00000098384",104551,3534.5
"438","ENSMUST00000059539",93671.5,3933
"439","ENSMUST00000075648",37549.5,4769.5
"440","ENSMUST00000169070",44200.5,4691.5
"441","ENSMUST00000119182",105517,4048
"442","ENSMUST00000099431",26047,4760
"443","ENSMUST00000078766",25979,4781.5
"444","ENSMUST00000028918",37087,4795
"445","ENSMUST00000105053",45685.5,4325.5
"446","ENSMUST00000098634",140300,4354
"447","ENSMUST00000105140",91357,3999
"448","ENSMUST00000164756",83747.5,4230
"449","ENSMUST00000081665",32134,4577.5
"450","ENSMUST00000105038",31775.5,4566.5
"451","ENSMUST00000084598",26637.5,4957
"452","ENSMUST00000079481",26991,4964.5
"453","ENSMUST00000093169",47514,5500.5
"454","ENSMUST00000066959",144883.5,4562.5
"455","ENSMUST00000101007",137007,3928
"456","ENSMUST00000098281",106026.5,4845.5
"457","ENSMUST00000171853",117069,4403
"458","ENSMUST00000170510",190373.5,5170.5
"459","ENSMUST00000067599",144696,4444.5
"460","ENSMUST00000166105",112544.5,4440
"461","ENSMUST00000063789",130953.5,4506
"462","ENSMUST00000104933",64944.5,4435.5
"463","ENSMUST00000098653",80622.5,4437.5
"464","ENSMUST00000057611",31203.5,4475
"465","ENSMUST00000077747",35780,4956.5
"466","ENSMUST00000071781",35782,4979.5
"467","ENSMUST00000086909",91149,4507
"468","ENSMUST00000116168",30876.5,4649
"469","ENSMUST00000050106",40646.5,4106
"470","ENSMUST00000065243",30471.5,5110
"471","ENSMUST00000093527",124409.5,4920.5
"472","ENSMUST00000172100",133523,4917.5
"473","ENSMUST00000056711",60018,4366
"474","ENSMUST00000017976",32137,4224.5
"475","ENSMUST00000058987",48219.5,4253
"476","ENSMUST00000061035",43722,4721
"477","ENSMUST00000109824",57435,4598
"478","ENSMUST00000104940",59602.5,4546.5
"479","ENSMUST00000097740",33980.5,4570.5
"480","ENSMUST00000055121",48571,4231.5
"481","ENSMUST00000092695",50500,4250.5
"482","ENSMUST00000060494",37181,4760
"483","ENSMUST00000077067",57236.5,5450.5
"484","ENSMUST00000055830",34290.5,4138.5
"485","ENSMUST00000081007",50231.5,4311.5
"486","ENSMUST00000061483",41480.5,4699.5
"487","ENSMUST00000033692",53339.5,4615.5
"488","ENSMUST00000038928",39279,4919
"489","ENSMUST00000074053",38589,4972
"490","ENSMUST00000098935",90764.5,4560.5
"491","ENSMUST00000104930",43589.5,4278
"492","ENSMUST00000104983",66216,4873
"493","ENSMUST00000047876",196401.5,5072.5
"494","ENSMUST00000100453",106625,4773
"495","ENSMUST00000050882",39334,5168.5
"496","ENSMUST00000095105",77816,5195
"497","ENSMUST00000104929",31654,4372.5
"498","ENSMUST00000066988",119689.5,5664.5
"499","ENSMUST00000096509",42389,5329
"500","ENSMUST00000105004",42385,5338
"501","ENSMUST00000097029",36271.5,5370
"502","ENSMUST00000105006",41688,5378.5
"503","ENSMUST00000075792",36317,5369.5
"504","ENSMUST00000066298",183151,4782
"505","ENSMUST00000093935",48173.5,4671.5
"506","ENSMUST00000058761",46397.5,4699
"507","ENSMUST00000079733",28743.5,5390.5
"508","ENSMUST00000050921",113712,5230.5
"509","ENSMUST00000100426",125926.5,5272.5
"510","ENSMUST00000163919",78861,4530.5
"511","ENSMUST00000172365",80110,5068.5
"512","ENSMUST00000166490",80108,5078.5
"513","ENSMUST00000169260",80114,5061.5
"514","ENSMUST00000165836",80107,5077.5
"515","ENSMUST00000164844",80114,5077.5
"516","ENSMUST00000166600",80110,5077.5
"517","ENSMUST00000171921",80112,5077.5
"518","ENSMUST00000171758",80112,5078.5
"519","ENSMUST00000168904",80114,5061.5
"520","ENSMUST00000057625",78339,5824
"521","ENSMUST00000058119",76390,5824
"522","ENSMUST00000053830",33669.5,5559.5
"523","ENSMUST00000098108",132072.5,4379
"524","ENSMUST00000105057",43123.5,4480.5
"525","ENSMUST00000069711",151390.5,5092
"526","ENSMUST00000062148",39221.5,5764.5
"527","ENSMUST00000105149",40564.5,5388.5
"528","ENSMUST00000094814",62153,4638
"529","ENSMUST00000097454",64446.5,4665.5
"530","ENSMUST00000165828",76825,5375.5
"531","ENSMUST00000107140",72253.5,5365
"532","ENSMUST00000160573",76831,5386.5
"533","ENSMUST00000166370",76828,5402
"534","ENSMUST00000165360",76828,5402
"535","ENSMUST00000170616",76829,5402
"536","ENSMUST00000168151",76833,5386.5
"537","ENSMUST00000168964",76837,5402
"538","ENSMUST00000094977",141162,5402
"539","ENSMUST00000169720",76830,5402
"540","ENSMUST00000097989",47817,5386.5
"541","ENSMUST00000105144",72207,5432
"542","ENSMUST00000055671",38108,6039
"543","ENSMUST00000049064",207967.5,5411
"544","ENSMUST00000081138",82558.5,5296.5
"545","ENSMUST00000081455",84773,5296.5
"546","ENSMUST00000090860",45607,5274.5
"547","ENSMUST00000105157",118202.5,5697
"548","ENSMUST00000171542",50009,4775
"549","ENSMUST00000085340",29785,5528.5
"550","ENSMUST00000051203",43035,5078.5
"551","ENSMUST00000034827",44458,5522.5
"552","ENSMUST00000099123",116164.5,5707
"553","ENSMUST00000099124",89461,5707
"554","ENSMUST00000071825",71851.5,5710.5
"555","ENSMUST00000052337",43630.5,4989.5
"556","ENSMUST00000094973",31839,5785.5
"557","ENSMUST00000062249",111490,5394.5
"558","ENSMUST00000098460",74533,4997.5
"559","ENSMUST00000170573",158369,5200.5
"560","ENSMUST00000056403",52302.5,4992
"561","ENSMUST00000166328",116078,4519.5
"562","ENSMUST00000052853",68003,5042.5
"563","ENSMUST00000102806",39381.5,5706
"564","ENSMUST00000105148",50086,5773
"565","ENSMUST00000072734",40564.5,5645.5
"566","ENSMUST00000051330",83545.5,4959.5
"567","ENSMUST00000026018",40660.5,5966
"568","ENSMUST00000164064",46844,5850.5
"569","ENSMUST00000105146",33091,5648.5
"570","ENSMUST00000105147",51165,5774
"571","ENSMUST00000170428",31989.5,5754
"572","ENSMUST00000079420",52490,5795.5
"573","ENSMUST00000031914",115234.5,4822
"574","ENSMUST00000105056",44162,4722
"575","ENSMUST00000061488",43652.5,5607.5
"576","ENSMUST00000092694",54356,4896.5
"577","ENSMUST00000159814",197651.5,5875
"578","ENSMUST00000076106",35247.5,5451
"579","ENSMUST00000078034",33247.5,5764.5
"580","ENSMUST00000080545",33248.5,5774.5
"581","ENSMUST00000075549",34302,5815.5
"582","ENSMUST00000056014",32811,5878.5
"583","ENSMUST00000043382",71486,5911
"584","ENSMUST00000098494",63474.5,5895.5
"585","ENSMUST00000100190",74348.5,5807.5
"586","ENSMUST00000067384",109893.5,5794.5
"587","ENSMUST00000078442",51821.5,4983.5
"588","ENSMUST00000100476",45579,4992
"589","ENSMUST00000171066",88165,6030.5
"590","ENSMUST00000053149",43825,5585
"591","ENSMUST00000080514",66461,5089
"592","ENSMUST00000078030",72628,5847
"593","ENSMUST00000010673",60012.5,5704.5
"594","ENSMUST00000062591",43307.5,6247.5
"595","ENSMUST00000054223",51012,5630
"596","ENSMUST00000079189",61595,5768.5
"597","ENSMUST00000053754",217121.5,5100
"598","ENSMUST00000105055",34289.5,5022.5
"599","ENSMUST00000057543",76692.5,5525.5
"600","ENSMUST00000107437",47297,4960
"601","ENSMUST00000171007",46375,5244.5
"602","ENSMUST00000066774",67315,5054
"603","ENSMUST00000105169",33771.5,6338
"604","ENSMUST00000086799",33967.5,6391
"605","ENSMUST00000070502",100636,5420.5
"606","ENSMUST00000070587",166019,5775.5
"607","ENSMUST00000105058",53547.5,5131
"608","ENSMUST00000041011",58845.5,5233.5
"609","ENSMUST00000085711",33454.5,6407
"610","ENSMUST00000074645",32971.5,6380
"611","ENSMUST00000172445",33861.5,6444.5
"612","ENSMUST00000097520",61737,4987.5
"613","ENSMUST00000041052",44884.5,5615
"614","ENSMUST00000170333",149834.5,6108.5
"615","ENSMUST00000107439",48828.5,5227
"616","ENSMUST00000051401",89549.5,6437.5
"617","ENSMUST00000040914",77105,5816
"618","ENSMUST00000054984",139166,6101.5
"619","ENSMUST00000107434",56812.5,5380
"620","ENSMUST00000055770",36807.5,5921
"621","ENSMUST00000068783",159065.5,6704
"622","ENSMUST00000113345",151128.5,6817
"623","ENSMUST00000112003",151887,6791.5
"624","ENSMUST00000087632",151635.5,6843.5
"625","ENSMUST00000092883",113725.5,5519.5
"626","ENSMUST00000081908",50468.5,6611.5
"627","ENSMUST00000085496",63390.5,6273
"628","ENSMUST00000071949",64559,5691
"629","ENSMUST00000055458",71111.5,5900
"630","ENSMUST00000076364",36029,6616
